Var1	Var2
S6T3g	Keratan sulfate synthesis
S6TASE10ly	Keratan sulfate degradation
S6TASE11ly	Keratan sulfate degradation
S6TASE12ly	Keratan sulfate degradation
S6TASE13ly	Keratan sulfate degradation
S6TASE14ly	Keratan sulfate degradation
S6TASE15ly	Keratan sulfate degradation
S6TASE16ly	Keratan sulfate degradation
S6TASE17ly	Keratan sulfate degradation
S6TASE18ly	Keratan sulfate degradation
S6TASE19ly	Keratan sulfate degradation
S6TASE1ly	Heparan sulfate degradation
S6TASE20ly	Keratan sulfate degradation
S6TASE21ly	Keratan sulfate degradation
S6TASE22ly	Keratan sulfate degradation
S6TASE23ly	Keratan sulfate degradation
S6TASE24ly	Keratan sulfate degradation
S6TASE25ly	Keratan sulfate degradation
S6TASE26ly	Keratan sulfate degradation
S6TASE2ly	Heparan sulfate degradation
S6TASE3ly	Heparan sulfate degradation
S6TASE4ly	Chondroitin sulfate degradation
S6TASE5ly	Chondroitin sulfate degradation
S6TASE8ly	Chondroitin sulfate degradation
S6TASE9ly	Chondroitin sulfate degradation
SACCD3m	Lysine metabolism
SACCD4m	Lysine metabolism
SADT	Nucleotide interconversion
SALMCOM	Tyrosine metabolism
SAMHISTA	Histidine metabolism
SARCStm	Transport, mitochondrial
SARDHm	Urea cycle
SBTD_D2	Fructose and mannose metabolism
SBTR	Fructose and mannose metabolism
SCP21x	Transport, peroxisomal
SCP22x	Transport, peroxisomal
SCP2x	Bile acid synthesis
SCPx	Bile acid synthesis
Ser_Thrtg	Transport, golgi apparatus
SERDGLNexR	Transport, extracellular
SERGLNexR	Transport, extracellular
SERGLYexR	Transport, extracellular
SERPT	Sphingolipid metabolism
SERt4	Transport, extracellular
SERtN1	Transport, extracellular
SERtp	Transport, peroxisomal
SFGTH	Tyrosine metabolism
SGALSIDEtg	Transport, golgi apparatus
SGALSIDEtl	Transport, lysosomal
SGPL12r	Sphingolipid metabolism
SIAASE2ly	Keratan sulfate degradation
SIAASE3ly	Keratan sulfate degradation
SIAASE4ly	Keratan sulfate degradation
SIAASEly	N-glycan degradation
SIAT4Bg	Sphingolipid metabolism
SIAT9g	Sphingolipid metabolism
sink_citr[c]	Exchange/demand reaction
sink_pre_prot[r]	Exchange/demand reaction
SLDt	Methionine and cysteine metabolism
SLDx	Methionine and cysteine metabolism
SMS	Sphingolipid metabolism
SO4HCOtex	Transport, extracellular
SO4t4_2	Transport, extracellular
SO4tl	Transport, lysosomal
SOAT12	Cholesterol metabolism
SPC_HSt	Transport, extracellular
SPH1Pte	Transport, extracellular
SPHINGStl	Transport, lysosomal
SPHMDAc	Sphingolipid metabolism
SPHMYLNtg	Transport, golgi apparatus
SPHS1Pte	Transport, extracellular
SPHS1Ptr	Transport, endoplasmic reticular
SPODMm	ROS detoxification
SPODMn	ROS detoxification
SPODMx	ROS detoxification
SPRMS	Urea cycle
SPTix	Glycine, serine, alanine, and threonine metabolism
SQLEr	Cholesterol metabolism
SQLSr	Cholesterol metabolism
SRTNt6_2_r	Transport, extracellular
SRTNtu	Transport, extracellular
ST3GAL21g	Sphingolipid metabolism
ST3GAL22g	Sphingolipid metabolism
ST3GAL23g	Sphingolipid metabolism
ST3GAL61g	Blood group synthesis
ST3GAL62g	Blood group synthesis
ST6GALNAC27	Sphingolipid metabolism
ST8SIA11	Sphingolipid metabolism
ST8SIA12	Sphingolipid metabolism
ST8SIA51g	Sphingolipid metabolism
ST8SIA52g	Sphingolipid metabolism
ST8SIA53g	Sphingolipid metabolism
ST8SIA54g	Sphingolipid metabolism
ST8SIA55g	Sphingolipid metabolism
ST8SIA56g	Blood group synthesis
STCOAtx	Transport, peroxisomal
STRDNCCPT1	Fatty acid oxidation
STRDNCCPT2	Fatty acid oxidation
STRDNCCRNt	Fatty acid oxidation
STRDNCt	Transport, extracellular
SUCCt2m	Transport, mitochondrial
SUCCt4_2	Transport, extracellular
SUCCtp	Transport, peroxisomal
SUCD1m	Citric acid cycle
SUCOAS1m	Citric acid cycle
SUCOASm	Citric acid cycle
SULFOX	Methionine and cysteine metabolism
TAGAT_Dt	Transport, extracellular
TAGt	Transport, extracellular
TAURt4_2_r	Transport, extracellular
TAURtcx	Taurine and hypotaurine metabolism
TCHOLAt	Transport, extracellular
TCHOLAte	Transport, extracellular
TCYNTt	Transport, extracellular
TCYNTtm	Transport, mitochondrial
TDCHOLAtx	Transport, peroxisomal
TETPENT3CPT1	Fatty acid oxidation
TETPENT3CPT2	Fatty acid oxidation
TETPENT3CRNt	Fatty acid oxidation
TETPENT3t	Transport, extracellular
TETPENT6COAtx	Transport, peroxisomal
TETPENT6CPT1	Fatty acid oxidation
TETPENT6CPT2	Fatty acid oxidation
TETPENT6CRNt	Fatty acid oxidation
TETPENT6t	Transport, extracellular
TETTET6CPT1	Fatty acid oxidation
TETTET6CPT2	Fatty acid oxidation
TETTET6CRNt	Fatty acid oxidation
TETTET6t	Transport, extracellular
THCHOLSTOICtm	Transport, peroxisomal
THD1m	NAD metabolism
THFt2	Transport, extracellular
THFtl	Transport, lysosomal
THFtm	Transport, mitochondrial
THMMPt4	Transport, extracellular
THMP	Thiamine metabolism
THMTP	Thiamine metabolism
THRGLNexR	Transport, extracellular
THRGLYexR	Transport, extracellular
THRt4	Transport, extracellular
THYMDt1	Transport, extracellular
THYMDtl	Transport, lysosomal
THYMDtm	Transport, mitochondrial
THYMt	Transport, extracellular
THYOXt	Transport, extracellular
THYOXt2	Transport, extracellular
TMABADH	Lysine metabolism
TMDK1m	Nucleotide interconversion
TMLYSOX	Lysine metabolism
TMNDNCCOAtx	Transport, peroxisomal
TMNDNCCPT1	Fatty acid oxidation
TMNDNCCPT2	Fatty acid oxidation
TMNDNCCRNt	Fatty acid oxidation
TMNDNCt	Transport, extracellular
TRDR	Nucleotide interconversion
TRDR2	Miscellaneous
TRDR3	Miscellaneous
TRIODTHYt	Transport, extracellular
TRPt4	Transport, extracellular
TRYPTAOX	Tryptophan metabolism
TSTSTERONEt	Transport, extracellular
TSULt4_3	Transport, extracellular
TTDCAtr	Transport, extracellular
TTDCPT2	Fatty acid oxidation
TTDCRNt	Fatty acid oxidation
TXA2te	Transport, extracellular
TXA2tr	Transport, endoplasmic reticular
TXASr	Eicosanoid metabolism
TYRASE	Tyrosine metabolism
TYROXDAc	Tyrosine metabolism
TYRt	Transport, extracellular
TYRt4	Transport, extracellular
TYRTAm	Tyrosine metabolism
UAGALDP	Aminosugar metabolism
UDPACGALtl	Transport, lysosomal
UDPDOLPT_L	N-glycan synthesis
UDPGALtg	Transport, golgi apparatus
UDPGLCAter	Transport, endoplasmic reticular
UDPGLCAtg	Transport, golgi apparatus
UDPGLCter	Transport, endoplasmic reticular
UDPGLDCg	Nucleotide sugar metabolism
UDPtl	Transport, lysosomal
UDPXYLter	Transport, endoplasmic reticular
UDPXYLtg	Transport, golgi apparatus
UGALNACtg	Transport, golgi apparatus
UGCG	Sphingolipid metabolism
UGLCNACtg	Transport, golgi apparatus
UGT1A10r	Steroid metabolism
UGT1A5r	Vitamin A metabolism
UMPK2	Nucleotide interconversion
UMPK2n	Nucleotide interconversion
UMPK3	Nucleotide interconversion
UMPK3n	Nucleotide interconversion
UMPK4	Nucleotide interconversion
UMPK5	Nucleotide interconversion
UMPK5n	Nucleotide interconversion
UMPK6	Nucleotide interconversion
UMPK6n	Nucleotide interconversion
UMPK7	Nucleotide interconversion
UMPK7n	Nucleotide interconversion
UMPKn	Nucleotide interconversion
UMPtr	Transport, endoplasmic reticular
URAt	Transport, extracellular
URATEt	Transport, extracellular
UREAt5	Transport, extracellular
URIDK2m	Nucleotide interconversion
URIK1	Pyrimidine synthesis
URIt	Transport, extracellular
Uritl	Transport, lysosomal
UROLACer	Vitamin C metabolism
UTPtn	Transport, nuclear
VACCt	Transport, extracellular
VALt5m	Transport, mitochondrial
VALTAm	Valine, leucine, and isoleucine metabolism
VALtec	Transport, extracellular
VD3	Vitamin D metabolism
WHTSTSTERONEte	Transport, extracellular
XOL7AONEtr	Transport, endoplasmic reticular
XOLEST2te	Transport, extracellular
XOLESTte	Transport, extracellular
XOLTRI24te	Transport, extracellular
XOLTRI27te	Transport, extracellular
XOLTRIOLtm	Transport, mitochondrial
XSERtg	Transport, golgi apparatus
XYLTD_Dr	Pentose phosphate pathway
XYLTer	Chondroitin synthesis
XYLtly	Transport, lysosomal
XYLTt	Transport, extracellular
XYLUR	Pentose phosphate pathway
EX_4abutn[e]	Exchange/demand reaction
EX_ahdt[e]	Exchange/demand reaction
EX_ctp[e]	Exchange/demand reaction
EX_dgmp[e]	Exchange/demand reaction
EX_dgtp[e]	Exchange/demand reaction
EX_dha[e]	Exchange/demand reaction
EX_dhap[e]	Exchange/demand reaction
EX_dtmp[e]	Exchange/demand reaction
EX_dttp[e]	Exchange/demand reaction
EX_fad[e]	Exchange/demand reaction
EX_fald[e]	Exchange/demand reaction
EX_HC00229[e]	Exchange/demand reaction
EX_HC00250[e]	Exchange/demand reaction
EX_HC01104[e]	Exchange/demand reaction
EX_HC01361[e]	Exchange/demand reaction
EX_HC01440[e]	Exchange/demand reaction
EX_HC01441[e]	Exchange/demand reaction
EX_HC01444[e]	Exchange/demand reaction
EX_HC01446[e]	Exchange/demand reaction
EX_HC02160[e]	Exchange/demand reaction
EX_HC02161[e]	Exchange/demand reaction
EX_orot[e]	Exchange/demand reaction
EX_prpp[e]	Exchange/demand reaction
EX_pydx5p[e]	Exchange/demand reaction
r0002	Transport, endoplasmic reticular
r0009	Purine catabolism
r0021	Glutathione metabolism
r0022	Glutathione metabolism
r0023	Miscellaneous
r0027	Methionine and cysteine metabolism
r0033	CoA synthesis
r0047	Purine catabolism
r0051	Purine catabolism
r0068	Miscellaneous
r0074	Urea cycle
r0081	Citric acid cycle
r0083	Miscellaneous
r0084	Miscellaneous
r0085	Urea cycle
r0086	Urea cycle
r0097	Miscellaneous
r0119	Purine catabolism
r0129	Glutathione metabolism
r0130	Glutathione metabolism
r0139	Pyrimidine catabolism
r0149	Pyrimidine catabolism
r0156	Urea cycle
r0157	Urea cycle
r0166	Pyrimidine catabolism
r0170	Cholesterol metabolism
r0173	Glycolysis/gluconeogenesis
r0178	Glutamate metabolism
r0179	Glutamate metabolism
r0181	Purine catabolism
r0186	Glycerophospholipid metabolism
r0193	Methionine and cysteine metabolism
r0196	Miscellaneous
r0202	Glycolysis/gluconeogenesis
r0205	Oxidative phosphorylation
r0210	Methionine and cysteine metabolism
r0221	Miscellaneous
r0242	Miscellaneous
r0246	Miscellaneous
r0249	Pentose phosphate pathway
r0276	Purine catabolism
r0280	Glycolysis/gluconeogenesis
r0283	Beta-Alanine metabolism
r0308	Fatty acid oxidation
r0309	Fatty acid oxidation
r0310	Fatty acid oxidation
r0311	Fatty acid oxidation
r0317	Miscellaneous
r0319	Miscellaneous
r0340	Miscellaneous
r0354	Glycolysis/gluconeogenesis
r0355	Glycolysis/gluconeogenesis
r0357	Fructose and mannose metabolism
r0358	Fructose and mannose metabolism
r0360	Fructose and mannose metabolism
r0361	Fructose and mannose metabolism
r0363	Aminosugar metabolism
r0364	Aminosugar metabolism
r0365	Propanoate metabolism
r0380	Miscellaneous
r0381	Taurine and hypotaurine metabolism
r0383	Miscellaneous
r0385	Miscellaneous
r0386	Miscellaneous
r0388	Vitamin B6 metabolism
r0389	Vitamin B6 metabolism
r0390	Miscellaneous
r0391	NAD metabolism
r0393	Miscellaneous
r0394	Nucleotide interconversion
r0407	Miscellaneous
r0408	Miscellaneous
r0409	Miscellaneous
r0410	Pyrimidine catabolism
r0423	Miscellaneous
r0424	Miscellaneous
r0425	Miscellaneous
r0426	Miscellaneous
r0431	Fatty acid oxidation
r0432	Fatty acid oxidation
r0434	Fatty acid oxidation
r0437	Fatty acid oxidation
r0438	Fatty acid oxidation
r0440	Fatty acid oxidation
r0444	Fatty acid oxidation
r0450	Lysine metabolism
r0451	Miscellaneous
r0456	Nucleotide interconversion
r0463	Cholesterol metabolism
r0465	Miscellaneous
r0466	Miscellaneous
r0470	Nucleotide interconversion
r0472	Nucleotide interconversion
r0474	Nucleotide interconversion
r0475	Nucleotide interconversion
r0480	Glycerophospholipid metabolism
r0483	Pyrimidine catabolism
r0488	Cholesterol metabolism
r0494	Pyrimidine catabolism
r0497	Pyrimidine catabolism
r0510	Miscellaneous
r0511	Miscellaneous
r0512	Folate metabolism
r0517	Miscellaneous
r0522	Folate metabolism
r0523	Folate metabolism
r0525	Lysine metabolism
r0527	NAD metabolism
r0531	Nucleotide interconversion
r0537	Glycerophospholipid metabolism
r0541	Tryptophan metabolism
r0545	Phenylalanine metabolism
r0547	Phenylalanine metabolism
r0552	Glycine, serine, alanine, and threonine metabolism
r0553	Glycine, serine, alanine, and threonine metabolism
r0555	Miscellaneous
r0557	Miscellaneous
r0561	Valine, leucine, and isoleucine metabolism
r0568	Glutathione metabolism
r0571	Valine, leucine, and isoleucine metabolism
r0575	Cholesterol metabolism
r0579	CoA synthesis
r0587	Miscellaneous
r0590	CoA synthesis
r0594	Lysine metabolism
r0595	Methionine and cysteine metabolism
r0596	CoA synthesis
r0604	Miscellaneous
r0610	Miscellaneous
r0611	Miscellaneous
r0615	Arginine and proline metabolism
r0616	Arginine and proline metabolism
r0617	Arginine and proline metabolism
r0627	Miscellaneous
r0629	Bile acid synthesis
r0630	Bile acid synthesis
r0633	Fatty acid oxidation
r0634	Fatty acid oxidation
r0636	Fatty acid oxidation
r0638	Fatty acid oxidation
r0639	Fatty acid oxidation
r0641	Fatty acid oxidation
r0642	Miscellaneous
r0643	Valine, leucine, and isoleucine metabolism
r0645	Tryptophan metabolism
r0652	Fatty acid oxidation
r0653	Fatty acid oxidation
r0655	Valine, leucine, and isoleucine metabolism
r0656	Miscellaneous
r0660	Fatty acid oxidation
r0661	Fatty acid oxidation
r0666	Purine synthesis
r0669	Valine, leucine, and isoleucine metabolism
r0670	Miscellaneous
r0672	Bile acid synthesis
r0686	Arginine and proline metabolism
r0688	Bile acid synthesis
r0706	Bile acid synthesis
r0707	Miscellaneous
r0714	Fatty acid oxidation
r0715	Fatty acid oxidation
r0716	Miscellaneous
r0717	Fatty acid oxidation
r0718	Fatty acid oxidation
r0719	Fatty acid oxidation
r0720	Fatty acid oxidation
r0721	Fatty acid oxidation
r0722	Fatty acid oxidation
r0723	Fatty acid oxidation
r0724	Fatty acid oxidation
r0726	Fatty acid oxidation
r0727	Fatty acid oxidation
r0728	Fatty acid oxidation
r0729	Fatty acid oxidation
r0735	Fatty acid oxidation
r0737	Miscellaneous
r0739	Bile acid synthesis
r0741	Bile acid synthesis
r0743	Bile acid synthesis
r0744	Bile acid synthesis
r0747	Bile acid synthesis
r0750	Bile acid synthesis
r0758	Tryptophan metabolism
r0779	Miscellaneous
r0781	Cholesterol metabolism
r0782	Aminosugar metabolism
r0783	Cholesterol metabolism
r0784	Pentose phosphate pathway
r0786	Sphingolipid metabolism
r0788	Sphingolipid metabolism
r0789	Sphingolipid metabolism
r0791	Fatty acid oxidation
r0795	Miscellaneous
r0801	Transport, mitochondrial
r0809	Purine catabolism
r0812	Purine catabolism
r0817	Transport, extracellular
r0818	Pyruvate metabolism
r0819	Transport, mitochondrial
r0821	Transport, mitochondrial
r0822	Transport, mitochondrial
r0826	Transport, endoplasmic reticular
r0829	Transport, mitochondrial
r0830	Transport, mitochondrial
r0834	Transport, mitochondrial
r0835	Transport, mitochondrial
r0838	Transport, mitochondrial
r0839	Transport, extracellular
r0840	Transport, endoplasmic reticular
r0841	Transport, endoplasmic reticular
r0842	Transport, endoplasmic reticular
r0853	Purine catabolism
r0860	Purine catabolism
r0870	Transport, extracellular
r0871	Transport, extracellular
r0879	Transport, extracellular
r0885	Transport, mitochondrial
r0892	Transport, extracellular
r0899	Transport, extracellular
r0908	Transport, endoplasmic reticular
r0909	Transport, endoplasmic reticular
r0913	Transport, mitochondrial
r0915	Transport, mitochondrial
r0917	Transport, mitochondrial
r0926	Transport, mitochondrial
r0931	Transport, endoplasmic reticular
r0932	Transport, lysosomal
r0936	Transport, endoplasmic reticular
r0937	Transport, lysosomal
r0940	Transport, extracellular
r0942	Transport, extracellular
r0944	Transport, extracellular
r0946	Transport, extracellular
r0960	Transport, endoplasmic reticular
r0961	Transport, extracellular
r0973	Transport, mitochondrial
r0974	Transport, extracellular
r0983	Transport, endoplasmic reticular
r0984	Transport, lysosomal
r0986	Transport, lysosomal
r0987	Transport, lysosomal
r0990	Transport, peroxisomal
r0998	Transport, endoplasmic reticular
r0999	Transport, peroxisomal
r1000	Transport, endoplasmic reticular
r1001	Transport, mitochondrial
r1002	Transport, endoplasmic reticular
r1003	Transport, peroxisomal
r1005	Transport, mitochondrial
r1019	Transport, peroxisomal
r1020	Transport, mitochondrial
r1030	Transport, extracellular
r1050	Transport, extracellular
r1051	Transport, endoplasmic reticular
r1052	Transport, lysosomal
r1078	Transport, mitochondrial
r1088	Transport, extracellular
r1090	Transport, extracellular
r1109	Miscellaneous
r1116	Transport, extracellular
r1117	Transport, mitochondrial
r1134	Miscellaneous
r1135	Miscellaneous
r1143	Transport, extracellular
r1144	Transport, extracellular
r1146	Transport, mitochondrial
r1147	Transport, peroxisomal
r1148	Transport, peroxisomal
r1150	Transport, lysosomal
r1156	Nucleotide interconversion
r1165	Miscellaneous
r1166	Miscellaneous
r1167	Miscellaneous
r1168	Miscellaneous
r1170	Miscellaneous
r1171	Miscellaneous
r1174	Miscellaneous
r1175	Miscellaneous
r1177	Miscellaneous
r1179	Miscellaneous
r1182	Miscellaneous
r1183	Miscellaneous
r1251	Fatty acid oxidation
r1252	Fatty acid oxidation
r1253	Fatty acid oxidation
r1254	Fatty acid oxidation
r1255	Fatty acid oxidation
r1257	Fatty acid oxidation
r1259	Fatty acid oxidation
r1260	Fatty acid oxidation
r1262	Fatty acid oxidation
r1291	Transport, mitochondrial
r1292	Transport, peroxisomal
r1318	Transport, endoplasmic reticular
r1364	Transport, lysosomal
r1365	Transport, lysosomal
r1367	Transport, lysosomal
r1368	Transport, lysosomal
r1377	Miscellaneous
r1378	Miscellaneous
r1383	Folate metabolism
r1384	Nucleotide interconversion
r1391	Miscellaneous
r1392	Miscellaneous
r1400	Fatty acid oxidation
r1401	Fatty acid oxidation
r1411	Miscellaneous
r1418	Miscellaneous
r1421	Transport, extracellular
r1423	Transport, extracellular
r1428	Transport, peroxisomal
r1429	Transport, peroxisomal
r1435	Transport, mitochondrial
r1443	Fatty acid oxidation
r1444	Fatty acid oxidation
r1445	Fatty acid oxidation
r1446	Miscellaneous
r1447	Fatty acid oxidation
r1448	Fatty acid oxidation
r1449	Fatty acid oxidation
r1450	Fatty acid oxidation
r1451	Fatty acid oxidation
r1455	Transport, mitochondrial
r1457	Sphingolipid metabolism
r1459	Transport, nuclear
r1467	Transport, mitochondrial
r1468	Transport, mitochondrial
r1472	Fatty acid oxidation
r1474	Fatty acid oxidation
r1477	Fatty acid oxidation
r1481	Fatty acid oxidation
r1487	Fatty acid oxidation
r1493	Transport, extracellular
r1514	Transport, extracellular
r1515	Transport, extracellular
r1516	Transport, extracellular
r1517	Transport, extracellular
r1518	Transport, extracellular
r1519	Transport, extracellular
r1520	Transport, extracellular
r1521	Transport, extracellular
r1522	Transport, extracellular
r1523	Transport, extracellular
r1525	Transport, extracellular
r1527	Transport, extracellular
r1529	Transport, extracellular
r1530	Transport, extracellular
r1536	Transport, extracellular
r1544	Transport, extracellular
r1546	Transport, extracellular
r1547	Transport, extracellular
r1548	Transport, extracellular
r1549	Transport, extracellular
r1551	Transport, extracellular
r1552	Transport, extracellular
r1553	Transport, extracellular
r1554	Transport, extracellular
r1556	Transport, extracellular
r1557	Transport, extracellular
r1559	Transport, extracellular
r1560	Transport, extracellular
r1561	Transport, extracellular
r1562	Transport, extracellular
r1563	Transport, extracellular
r1564	Transport, extracellular
r1565	Transport, extracellular
r1566	Transport, extracellular
r1567	Transport, extracellular
r1568	Transport, extracellular
r1569	Transport, extracellular
r1570	Transport, extracellular
r1571	Transport, extracellular
r1573	Transport, extracellular
r1574	Transport, extracellular
r1575	Transport, extracellular
r1576	Transport, extracellular
r1578	Transport, extracellular
r1579	Transport, extracellular
r1580	Transport, extracellular
r1581	Transport, extracellular
r1583	Transport, extracellular
r1584	Transport, extracellular
r1585	Transport, extracellular
r1586	Transport, extracellular
r1587	Transport, extracellular
r1588	Transport, extracellular
r1589	Transport, extracellular
r1590	Transport, extracellular
r1591	Transport, extracellular
r1592	Transport, extracellular
r1593	Transport, extracellular
r1594	Transport, extracellular
r1595	Transport, extracellular
r1596	Transport, extracellular
r1597	Transport, extracellular
r1598	Transport, extracellular
r1599	Transport, extracellular
r1600	Transport, extracellular
r1602	Transport, extracellular
r1603	Transport, extracellular
r1604	Transport, extracellular
r1605	Transport, extracellular
r1606	Transport, extracellular
r1607	Transport, extracellular
r1608	Transport, extracellular
r1609	Transport, extracellular
r1610	Transport, extracellular
r1611	Transport, extracellular
r1612	Transport, extracellular
r1613	Transport, extracellular
r1614	Transport, extracellular
r1615	Transport, extracellular
r1616	Transport, extracellular
r1617	Transport, extracellular
r1618	Transport, extracellular
r1619	Transport, extracellular
r1620	Transport, extracellular
r1621	Transport, extracellular
r1622	Transport, extracellular
r1623	Transport, extracellular
r1624	Transport, extracellular
r1625	Transport, extracellular
r1626	Transport, extracellular
r1627	Transport, extracellular
r1628	Transport, extracellular
r1629	Transport, extracellular
r1630	Transport, extracellular
r1632	Transport, extracellular
r1634	Transport, extracellular
r1635	Transport, extracellular
r1636	Transport, extracellular
r1637	Transport, extracellular
r1638	Transport, extracellular
r1639	Transport, extracellular
r1640	Transport, extracellular
r1641	Transport, extracellular
r1642	Transport, extracellular
r1643	Transport, extracellular
r1644	Transport, extracellular
r1645	Transport, extracellular
r1646	Transport, extracellular
r1647	Transport, extracellular
r1648	Transport, extracellular
r1649	Transport, extracellular
r1650	Transport, extracellular
r1651	Transport, extracellular
r1652	Transport, extracellular
r1653	Transport, extracellular
r1654	Transport, extracellular
r1655	Transport, extracellular
r1656	Transport, extracellular
r1657	Transport, extracellular
r1658	Transport, extracellular
r1659	Transport, extracellular
r1660	Transport, extracellular
r1661	Transport, extracellular
r1662	Transport, extracellular
r1664	Transport, extracellular
r1665	Transport, extracellular
r1666	Transport, extracellular
r1669	Transport, extracellular
r1670	Transport, extracellular
r1671	Transport, extracellular
r1673	Transport, extracellular
r1680	Transport, extracellular
r1682	Transport, extracellular
r1684	Transport, extracellular
r1700	Transport, extracellular
r1730	Transport, extracellular
r1775	Transport, extracellular
r1776	Transport, extracellular
r1912	Transport, extracellular
r1915	Transport, extracellular
r1921	Transport, extracellular
r1931	Transport, extracellular
r1934	Transport, extracellular
r1954	Transport, extracellular
r1955	Transport, extracellular
r1976	Transport, extracellular
r2001	Transport, extracellular
r2006	Transport, extracellular
r2007	Transport, extracellular
r2022	Transport, extracellular
r2038	Transport, extracellular
r2052	Transport, extracellular
r2054	Transport, extracellular
r2068	Transport, extracellular
r2079	Transport, extracellular
r2080	Transport, extracellular
r2082	Transport, extracellular
r2083	Transport, extracellular
r2084	Transport, extracellular
r2085	Transport, extracellular
r2086	Transport, extracellular
r2087	Transport, extracellular
r2088	Transport, extracellular
r2089	Transport, extracellular
r2090	Transport, extracellular
r2091	Transport, extracellular
r2092	Transport, extracellular
r2094	Transport, extracellular
r2095	Transport, extracellular
r2096	Transport, extracellular
r2097	Transport, extracellular
r2098	Transport, extracellular
r2099	Transport, extracellular
r2100	Transport, extracellular
r2101	Transport, extracellular
r2102	Transport, extracellular
r2103	Transport, extracellular
r2104	Transport, extracellular
r2105	Transport, extracellular
r2106	Transport, extracellular
r2107	Transport, extracellular
r2108	Transport, extracellular
r2109	Transport, extracellular
r2110	Transport, extracellular
r2111	Transport, extracellular
r2112	Transport, extracellular
r2113	Transport, extracellular
r2114	Transport, extracellular
r2115	Transport, extracellular
r2116	Transport, extracellular
r2117	Transport, extracellular
r2118	Transport, extracellular
r2119	Transport, extracellular
r2120	Transport, extracellular
r2121	Transport, extracellular
r2122	Transport, extracellular
r2123	Transport, extracellular
r2124	Transport, extracellular
r2125	Transport, extracellular
r2126	Transport, extracellular
r2127	Transport, extracellular
r2128	Transport, extracellular
r2129	Transport, extracellular
r2130	Transport, extracellular
r2131	Transport, extracellular
r2132	Transport, extracellular
r2133	Transport, extracellular
r2139	Transport, extracellular
r2140	Transport, extracellular
r2141	Transport, extracellular
r2142	Transport, extracellular
r2143	Transport, extracellular
r2144	Transport, extracellular
r2145	Transport, extracellular
r2146	Transport, extracellular
r2149	Transport, extracellular
r2150	Transport, extracellular
r2193	Transport, extracellular
r2194	Transport, extracellular
r2195	Transport, extracellular
r2196	Transport, extracellular
r2197	Transport, extracellular
r2198	Transport, extracellular
r2199	Transport, extracellular
r2200	Transport, extracellular
r2201	Transport, extracellular
r2202	Transport, extracellular
r2308	Transport, extracellular
r2309	Transport, extracellular
r2310	Transport, extracellular
r2311	Transport, extracellular
r2313	Transport, extracellular
r2314	Transport, extracellular
r2315	Transport, extracellular
r2316	Transport, extracellular
r2317	Transport, extracellular
r2319	Transport, extracellular
r2320	Transport, extracellular
r2321	Transport, extracellular
r2323	Transport, extracellular
r2325	Transport, extracellular
r2326	Transport, extracellular
r2327	Transport, extracellular
r2328	Transport, extracellular
r2329	Transport, extracellular
r2330	Transport, extracellular
r2331	Transport, extracellular
r2332	Transport, extracellular
r2333	Transport, extracellular
r2334	Transport, extracellular
r2335	Transport, extracellular
r2338	Transport, extracellular
r2341	Transport, extracellular
r2342	Transport, extracellular
r2343	Transport, extracellular
r2344	Transport, extracellular
r2346	Transport, extracellular
r2347	Transport, extracellular
r2353	Transport, extracellular
r2354	Transport, extracellular
r2355	Transport, extracellular
r2357	Transport, extracellular
r2358	Transport, extracellular
r2359	Transport, extracellular
r2360	Transport, extracellular
r2361	Transport, extracellular
r2362	Transport, extracellular
r2363	Transport, extracellular
r2364	Transport, extracellular
r2365	Transport, extracellular
r2366	Transport, extracellular
r2367	Transport, extracellular
r2368	Transport, extracellular
r2369	Transport, extracellular
r2371	Transport, mitochondrial
r2372	Transport, mitochondrial
r2373	Transport, mitochondrial
r2374	Transport, mitochondrial
r2375	Transport, mitochondrial
r2376	Transport, mitochondrial
r2377	Transport, mitochondrial
r2378	Transport, mitochondrial
r2379	Transport, mitochondrial
r2380	Transport, mitochondrial
r2393	Transport, mitochondrial
r2404	Transport, mitochondrial
r2405	Transport, mitochondrial
r2416	Transport, mitochondrial
r2419	Transport, mitochondrial
r2420	Transport, mitochondrial
r2433	Transport, mitochondrial
r2434	Transport, mitochondrial
r2435	Transport, mitochondrial
r2436	Transport, mitochondrial
r2437	Transport, mitochondrial
r2438	Transport, mitochondrial
r2471	Transport, extracellular
r2497	Transport, peroxisomal
r2506	Transport, endoplasmic reticular
r2507	Transport, endoplasmic reticular
r2508	Transport, endoplasmic reticular
r2509	Transport, endoplasmic reticular
r2510	Transport, endoplasmic reticular
r2511	Transport, endoplasmic reticular
r2514	Transport, endoplasmic reticular
r2516	Transport, peroxisomal
r2517	Transport, peroxisomal
r2518	Transport, peroxisomal
r2519	Transport, endoplasmic reticular
r2520	Transport, mitochondrial
r2521	Transport, endoplasmic reticular
r2525	Transport, extracellular
r2526	Transport, extracellular
r2532	Transport, extracellular
r2534	Transport, extracellular
r2535	Transport, extracellular
r2537	Transport, endoplasmic reticular
r2539	Transport, mitochondrial
EX_so3[e]	Exchange/demand reaction
EX_sprm[e]	Exchange/demand reaction
RE0124C	Pentose phosphate pathway
RE0344C	Fatty acid synthesis
RE0383C	Miscellaneous
RE0452M	Pyrimidine synthesis
RE0453C	Pyrimidine synthesis
RE0453M	Pyrimidine synthesis
RE0453N	Pyrimidine synthesis
RE0456N	Pyrimidine synthesis
