rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
FAOXC225m	Fatty acid oxidation	1632.1	0	17.5	0	H	betaoxidation	[m]
FAOXC226C225m	Fatty acid oxidation	1666.1	0	17.5	0	H	betaoxidation	[m]
FPGS9	Folate metabolism	2356.1	166.666666666667	95.0801234902057	1.75290755363644	L	NA	[c]
GAPD	Glycolysis/gluconeogenesis	2597.1 or 26330.1	481.126279863481	320.737632264141	1.50006183080897	L	glycolysis	[c]
GGH_10FTHF5GLUl	Folate metabolism	8836.1	166.666666666667	95.0801234902057	1.75290755363644	L	NA	[l]
GGH_10FTHF6GLUl	Folate metabolism	8836.1	166.666666666667	95.0801234902057	1.75290755363644	L	NA	[l]
GGH_10FTHF7GLUl	Folate metabolism	8836.1	166.666666666667	95.0801234902057	1.75290755363644	L	NA	[l]
GLB1	Sphingolipid metabolism	(5476.1 and 2720.1 and 2588.1 and 4758.1) or (5476.1 and 2720.1)	0	78.5414258188821	0	H	NA	[l]
GLUCYS	Glutathione metabolism	2729.1 and 2730.1	233.283783783784	40	5.83209459459459	L	glutathione synthesis	[c]
GLYVALHISr	Peptide metabolism		20	10	2	L	NA	[c]
GLYVALHISt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
H2O2tn	Transport, nuclear		0	0.0837520938023317	0	H	NA	intercompartmental
HISLYSVALr	Peptide metabolism		20	10	2	L	NA	[c]
HISLYSVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
HMR_0769	Transport, lysosomal		0	78.5414258188821	0	H	NA	intercompartmental
HMR_3422	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	17.5	0	H	NA	[m]
HMR_9803	Propanoate metabolism		375.785714285714	199.179374124917	1.88666982179609	L	NA	[m]
HMR_9804	Propanoate metabolism	51171.1 or 80270.1 or 10202.1 or 10553.1 or 7923.1 or 157506.1 or 130752.1 or 145226.1 or 84869.1 or 1487.1 or 112724.1 or 56898.1 or 374875.1 or 121214.1 or 195814.1 or 3291.1 or 100288072.1 or 93517.1 or 51741.1 or 1645.1 or 340811.1 or 128.1 or 57016.1 or 51170.1 or 1109.1 or 7923.1 or 7923.1 or 441282.1 or 7923.1 or 7923.1 or 7923.1 or 57665.1	375.785714285714	199.179374124917	1.88666982179609	L	NA	[m]
LEUKTRB4WCOOHt	Transport, extracellular		10	0	Inf	L	NA	intercompartmental
LEULEULAPc	Transport, extracellular	51056.1	10	0	Inf	L	peptide metabolism, Leucylleucine, cytosol	[c]
LEUVALr	Peptide metabolism		20	10	2	L	NA	[c]
LEUVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
LPCOXp	Lysine metabolism	51268.1	0	20	0	H	lysine metabolism	[x]
LYSVALPHEr	Peptide metabolism		20	10	2	L	NA	[c]
LYSVALPHEt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
LYSVALTRPr	Peptide metabolism		20	10	2	L	NA	[c]
LYSVALTRPt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
O2St	Transport, extracellular		0	0.166666666666629	0	H	NA	intercompartmental
O2Stm	Transport, mitochondrial		0	0.167504187604663	0	H	NA	intercompartmental
O2Stn	Transport, nuclear		0	0.167504187604663	0	H	NA	intercompartmental
O2Stx	Transport, peroxisomal		0	0.167504187604663	0	H	NA	intercompartmental
O2tn	Transport, nuclear		0	0.0837520938023317	0	H	NA	intercompartmental
PGESr	Eicosanoid metabolism	80142.4 or 80142.2 or 9536.1 or 80142.1 or 9536.2 or 80142.3	1000	2000	0.5	H	prostaglandin synthesis, cytosol	[r]
PROCYSr	Peptide metabolism		20	40	0.5	H	NA	[c]
PROCYSt	Transport, extracellular	6564.1 or 6565.1	20	40	0.5	H	NA	intercompartmental
PROSTGE2t2r	Transport, endoplasmic reticular		1000	2000	0.5	H	NA	intercompartmental
PROVALGLNr	Peptide metabolism		20	10	2	L	NA	[c]
PROVALGLNt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
RE1254C	Lysine metabolism		0	20	0	H	lysine metabolism	[c]
RE1342C	Fructose and mannose metabolism		1000	1261.66666666667	0.792602377807133	H	NA	[c]
RE2814R	Bile acid synthesis		0	1010	0	H	NA	[r]
SO4t4_2	Transport, extracellular	26266.1	2000	1010	1.98019801980198	L	NA	intercompartmental
SPODM	ROS detoxification	6647.1	0	0.0837520938023451	0	H	superoxide dismutase, cytosol	[c]
SPODMm	ROS detoxification	6648.1	0	0.0837520938023451	0	H	NA	[m]
SPODMn	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[n]
SPODMx	ROS detoxification	6647.1	0	0.0837520938023451	0	H	NA	[x]
THFt2	Transport, extracellular	6573.1 or 6573.2	20	0	Inf	L	NA	intercompartmental
THP2Ctp	Transport, peroxisomal		0	20	0	H	NA	intercompartmental
TRPGLYVALr	Peptide metabolism		20	10	2	L	NA	[c]
TRPGLYVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
TRPLEUVALr	Peptide metabolism		20	10	2	L	NA	[c]
TRPLEUVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
TRPMETVALr	Peptide metabolism		20	10	2	L	NA	[c]
TRPMETVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
TRPPROVALr	Peptide metabolism		20	10	2	L	NA	[c]
TRPPROVALt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
TRPVALASPr	Peptide metabolism		20	10	2	L	NA	[c]
TRPVALASPt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
TYRVALMETr	Peptide metabolism		20	10	2	L	NA	[c]
TYRVALMETt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALARGGLYr	Peptide metabolism		20	10	2	L	NA	[c]
VALARGGLYt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALHISASNr	Peptide metabolism		20	10	2	L	NA	[c]
VALHISASNt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALLEUPHEr	Peptide metabolism		20	10	2	L	NA	[c]
VALLEUPHEt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALLYSTYRr	Peptide metabolism		20	10	2	L	NA	[c]
VALLYSTYRt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALPHEARGr	Peptide metabolism		20	10	2	L	NA	[c]
VALPHEARGt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALPROTRPr	Peptide metabolism		20	10	2	L	NA	[c]
VALPROTRPt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALSERARGr	Peptide metabolism		20	10	2	L	NA	[c]
VALSERARGt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALTRPPHEr	Peptide metabolism		20	10	2	L	NA	[c]
VALTRPPHEt	Transport, extracellular	6564.1 or 6565.1	20	10	2	L	NA	intercompartmental
VALTRPVALr	Peptide metabolism		10	5	2	L	NA	[c]
VALTRPVALt	Transport, extracellular	6564.1 or 6565.1	10	5	2	L	NA	intercompartmental
VALVALr	Peptide metabolism		10	5	2	L	NA	[c]
VALVALt	Transport, extracellular	6564.1 or 6565.1	10	5	2	L	NA	intercompartmental
XOL27OHtm	Transport, mitochondrial		0	1010	0	H	NA	intercompartmental
r0472	Nucleotide interconversion	50484.1 and 6240.1 and 6241.1	1030	1493.47437886409	0.689667003717467	H	purine catabolism, cytosol	[c]
r0596	CoA synthesis	26275.1	375.785714285714	199.179374124917	1.88666982179609	L	NA	[m]
r0642	Miscellaneous	224.1 or 217.1 or 219.1 or 223.1 or 501.1	856.744186046512	0	Inf	L	valine metabolism	[c]
r0990	Transport, peroxisomal		1010	10	101	L	NA	intercompartmental
r2201	Transport, extracellular	10599.1	2000	0	Inf	L	NA	intercompartmental
r2317	Transport, extracellular	6578.1	2000	0	Inf	L	NA	intercompartmental
sink_cholate[c]	Exchange/demand reaction		40	20	2	L	NA	[c]
sink_tchola[c]	Exchange/demand reaction		30	10	3	L	NA	[c]
ACCOAC	Fatty acid oxidation	31.5 or 31.4 or (31.2 and 32.1) or (31.4 and 32.1) or 31.2 or (32.1 and 31.3) or (31.1 and 32.1) or 31.1 or (31.5 and 32.1) or 31.3	419.303370786517	242.236559139785	1.73096650759704	L	fatty acid synthesis & elongation	[c]
ADNtm	Transport, mitochondrial	2030.1	1024.67410714286	482.62962962963	2.12310650701075	L	NA	intercompartmental
EX_eicostet[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
EX_xol27oh[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
EX_xol7aone[e]	Exchange/demand reaction		0	10	0	H	NA	[e]
HMR_2774	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	0	30.1110155398819	0	H	NA	[c]
HMR_2775	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	0	30.1110155398819	0	H	NA	intercompartmental
HMR_2776	Transport, mitochondrial	1384.1 or 1376.1	0	30.1110155398819	0	H	NA	[m]
HMR_3229	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
HMR_3230	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	30	40	0.75	H	NA	[m]
HMR_3231	Fatty acid oxidation	3030.1 or 1892.1	30	40	0.75	H	NA	[m]
HMR_3232	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	30	40	0.75	H	NA	[m]
HMR_3233	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	30	40	0.75	H	NA	[m]
HMR_3425	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	0	30.1110155398819	0	H	NA	[m]
Htr	Transport, endoplasmic reticular		2000	1115	1.79372197309417	L	NA	intercompartmental
ILETA	Valine, leucine, and isoleucine metabolism	586.1	20	603.430555555555	0.0331438304140677	H	isoleucine metabolism	[c]
ILETAm	Valine, leucine, and isoleucine metabolism	587.1	20	608.462962962963	0.0328697081291658	H	isoleucine metabolism	[m]
ILEt5m	Transport, mitochondrial		20	608.462962962963	0.0328697081291658	H	isoleucine metabolism	intercompartmental
NAtx	Transport, peroxisomal		2000	1000	2	L	NA	intercompartmental
PI5P4K	Inositol phosphate metabolism	5297.1 or 55361.1 or 5298.1	598.59375	226.314814814815	2.64496051877915	L	new to recon	[c]
TAURtcx	Taurine and hypotaurine metabolism	6533.1	2000	1000	2	L	NA	intercompartmental
XOL27OHte	Transport, extracellular		0	10	0	H	NA	intercompartmental
XOL27OHtmc	Transport, mitochondrial		0	10	0	H	NA	intercompartmental
XOL7AONEt	Transport, extracellular	6554.1	0	10	0	H	NA	intercompartmental
XOL7AONEtr	Transport, endoplasmic reticular		0	10	0	H	NA	intercompartmental
r0747	Bile acid synthesis	1109.1	1000	10	100	L	NA	[c]
r1472	Fatty acid oxidation	33.1	30	40	0.75	H	betaoxidation	[m]
r1474	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	30	40	0.75	H	betaoxidation	[m]
r1477	Fatty acid oxidation	(3028.1 and 1962.1 and 3295.1) or (3033.1 and 1962.1 and 3295.1)	30	40	0.75	H	betaoxidation	[m]
r2331	Transport, extracellular	6578.1	2000	28.3333333333333	70.5882352941178	L	NA	intercompartmental
