rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8	Var9
CE2537ATP	Transport, extracellular		379.13282571912	243.796872441461	1.55511767613079	L	lipid metabolism	intercompartmental
CHOLt4	Citric acid cycle	47.1 or 47.2	757.170655064056	487.593744882921	1.55287196156683	L	NA	[c]
CHSTEROLt	Transport, extracellular	19.1 or (64240.1 and 64241.1)	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
CHSTEROLtg	Transport, golgi apparatus	19.1	758.265651438241	487.593744882922	1.55511767613079	L	NA	intercompartmental
CMPSAS	Aminosugar metabolism	55907.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
CRMte	Sphingolipid metabolism		399.018612521156	261.028971152656	1.52863726489501	L	NA	intercompartmental
CSm	Citric acid cycle	1431.1 or 1431.2	960.154540327129	578.004877077735	1.66115300822626	L	TCA cycle, mitochondria	[m]
CYTDtl	Transport, lysosomal	55315.1	758.265651438241	487.59374488292	1.5551176761308	L	NA	intercompartmental
DAGK_hs	Glycerophospholipid metabolism	9162.1 or 1607.1 or 8525.2 or 160851.1 or 1608.1 or 1607.2 or 8525.1 or 8527.1 or 1606.1 or 160851.2 or 8526.1 or 8525.3 or 1607.1 or 8527.2 or 1609.1	761.598984771572	490.174390044212	1.55373067267525	L	new to recon	[c]
DCATDc	Fatty acid oxidation	11001.1	758.26565143824	487.593744882922	1.55511767613079	L	NA	intercompartmental
DCSPTN1t	Transport, extracellular		758.265651438241	487.593744882917	1.55511767613081	L	NA	intercompartmental
DGCHOLte	Transport, extracellular		10	20	0.5	H	NA	intercompartmental
DHCHOLESTANATEtm	Transport, peroxisomal		758.265651438242	487.593744882921	1.5551176761308	L	NA	intercompartmental
DMGLYtr	Transport, extracellular		60	0	Inf	L	NA	intercompartmental
DM_atp_c_	Exchange/demand reaction		758.26565143824	487.593744882925	1.55511767613078	L	purine degradation, cytosol 	[c]
DOCOSACTDe	Fatty acid oxidation		758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
DOCOSACTDr	Fatty acid oxidation		389.018612521151	251.028971152656	1.54969607983845	L	NA	intercompartmental
DUMPtn	Transport, nuclear		389.018612521151	251.028971152656	1.54969607983845	L	NA	intercompartmental
DURIPP	Nucleotide interconversion	4860.1 or 151531.1	1648.30600494224	1025.18748976584	1.60780932404737	L	pyrimidine catabolism, cytosol	[c]
DUTPDPm	Nucleotide interconversion	1854.1 or 3704.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
DUTPDPn	Nucleotide interconversion	1854.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[n]
ELAIDt	Transport, extracellular	11001.1	778.265651438241	487.593744882922	1.59613542955747	L	NA	intercompartmental
ENO	Glycolysis/gluconeogenesis	2023.1 or 2027.1 or 2027.2 or 2026.1	871.469711390554	487.916325528082	1.78610484174176	L	glycolysis	[c]
EX_2m3hvac[e]	Exchange/demand reaction		251.359766097589	154.987008018833	1.62181184933285	L	NA	[e]
EX_3hpp[e]	Exchange/demand reaction		516.535869350244	308.131496253324	1.67634881740744	L	NA	[e]
EX_HC02203[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_HC02205[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_dgchol[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_dmgly[e]	Exchange/demand reaction		60	0	Inf	L	NA	[e]
EX_fru[e]	Exchange/demand reaction		215.148697859192	110.179581747039	1.9527093355024	L	NA	[e]
EX_glcn[e]	Exchange/demand reaction		217.884195805433	130.383248730965	1.67110574346111	L	NA	[e]
EX_glyc_S[e]	Exchange/demand reaction		368.603539136981	241.693976905038	1.52508367753743	L	NA	[e]
EX_glyclt[e]	Exchange/demand reaction		307.1673750644	185.568950930626	1.65527354400593	L	NA	[e]
EX_hxa[e]	Exchange/demand reaction		122.807670614777	78.2695658621585	1.5690347743982	L	NA	[e]
EX_inost[e]	Exchange/demand reaction		230.605075432679	137.031665458062	1.68285975844945	L	NA	[e]
EX_lac_L[e]	Exchange/demand reaction		549.753086419753	345.185185185185	1.59263233190272	L	NA	[e]
EX_meoh[e]	Exchange/demand reaction		60	0	Inf	L	NA	[e]
EX_ppa[e]	Exchange/demand reaction		467.223051657212	287.397268552091	1.62570456570824	L	NA	[e]
EX_prostge2[e]	Exchange/demand reaction		20	0	Inf	L	NA	[e]
EX_pyr[e]	Exchange/demand reaction		557.613835624187	368.601616427378	1.51278185111825	L	NA	[e]
EX_so3[e]	Exchange/demand reaction		20	25	0.799999999999999	H	NA	[e]
EX_succ[e]	Exchange/demand reaction		455.441598497852	303.113102101586	1.50254672378106	L	NA	[e]
EX_sucsal[e]	Exchange/demand reaction		614.667529523622	402.875049848568	1.52570264590637	L	NA	[e]
FACOAL140i	Fatty acid oxidation	2181.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL150	Fatty acid oxidation	2182.1 or 2180.1 or 2181.2 or 2181.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL170	Fatty acid oxidation	2182.1 or 2180.1 or 2181.2 or 2181.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL180i	Fatty acid oxidation	2181.2 or 51703.1 or 2181.1 or 2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL181i	Fatty acid oxidation	2180.1 or 2181.2 or 2181.1 or 2182.1 or 81616.1	389.01861252115	251.028971152655	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL1821	Fatty acid oxidation	2180.1 or 2182.1 or 81616.1 or 2181.1	390.685279187817	252.248483347778	1.54881121187625	L	fatty acid activation, cytosol	[c]
FACOAL1831	Fatty acid oxidation	2180.1 or 2182.1 or 2181.1 or 81616.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL204	Fatty acid oxidation	2181.2 or 2181.1 or 2180.1 or 2182.1 or 2182.2 or 81616.1	389.018612521151	251.238847130027	1.54840151897296	L	fatty acid activation, cytosol	[c]
FACOAL2251	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL244_1	Fatty acid oxidation	2180.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL245_1	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL245_2	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FAOXC10C10OHm	Fatty acid oxidation	34.1 and 1892.1	583.546893884457	365.328321042046	1.59732180691597	L	betaoxidation	[m]
FAOXC12C12OHm	Fatty acid oxidation	34.1 and 1892.1	583.546893884458	365.328321042046	1.59732180691597	L	betaoxidation	[m]
FAOXC200180m	Fatty acid oxidation	35.1 or 34.1	435.381762029143	277.247151720248	1.57037415651598	L	betaoxidation	[m]
FAOXC80	Fatty acid oxidation	35.1 or 34.1	100.391886359915	61.0517512305584	1.6443735738356	L	octanoate oxidation	[m]
G3PD2m	Glycolysis/gluconeogenesis	2820.1	583.546893884457	365.328321042046	1.59732180691596	L	NA	intercompartmental
GBA	Sphingolipid metabolism	2629.2 or 2629.3 or 2629.4 or 2629.5 or 2629.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
GBA2e	Sphingolipid metabolism	57704.1	389.018612521158	251.028971152656	1.54969607983848	L	NA	[e]
GCALDDm	Glyoxylate and dicarboxylate metabolism	4329.1 or 7915.1 or 8659.1 or 5832.1 or 217.1 or 7915.2 or 219.1 or 8659.2	307.1673750644	185.568950930626	1.65527354400593	L	NA	[m]
GCC2cm	Glycine, serine, alanine, and threonine metabolism	275.1 and 1738.1 and 2731.1 and 2653.1	587.197546531303	382.07163000564	1.5368781673809	L	glycine cleavage, mitochondria	[m]
GGNG	Starch and sucrose metabolism	(8908.1 and 2998.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2997.1)	40.9493276338053	26.4241022265953	1.54969607983845	L	glycogen metabolism	[c]
GLBRAN	Starch and sucrose metabolism	2632.1	40.9493276338053	26.4241022265953	1.54969607983845	L	glycogen metabolism	[c]
GLCNte	Transport, extracellular		217.884195805434	130.383248730964	1.67110574346111	L	NA	intercompartmental
GLGNS1	Starch and sucrose metabolism	(8908.1 and 2997.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2998.1)	40.9493276338053	26.4241022265953	1.54969607983845	L	glycogen metabolism	[c]
GLNS	Glutamate metabolism	2752.1 or 51557.1	758.265651438235	487.59374488292	1.55511767613079	L	glutamine metabolism	[c]
GLNtm	Transport, mitochondrial		778.26565143824	507.593744882922	1.53324515773485	L	NA	intercompartmental
GLPASE1	Starch and sucrose metabolism	5834.1 or 5837.1 or 5836.1	50.9493276338053	26.4241022265953	1.92813845469179	L	glycogen metabolism	[c]
GLPASE2	Starch and sucrose metabolism	5834.1 or 5836.1 or 5837.1	50.9493276338053	26.4241022265953	1.92813845469179	L	glycogen metabolism	[c]
GLUDC	Glutamate metabolism	2571.1 or 2572.1 or 2571.2	334.874546773024	210.15663524293	1.59345217145263	L	glutamate degradation, cytosol/ Glutamate Decarboxylase	[c]
GLUNm	Glutamate metabolism	2744.1 or 27165.2 or 27165.1	778.26565143824	507.593744882921	1.53324515773486	L	glutamine metabolism, mitochondria/ glutaminase	[m]
GLYCLTtd	Transport, extracellular		307.1673750644	185.568950930626	1.65527354400593	L	NA	intercompartmental
GLYCLTtm	Transport, mitochondrial		307.1673750644	185.568950930626	1.65527354400593	L	NA	intercompartmental
GLYC_St	Transport, extracellular		368.603539136981	241.693976905038	1.52508367753743	L	NA	intercompartmental
GSNtl	Transport, lysosomal	55315.1	808.265651438244	534.421701872169	1.5124117314225	L	NA	intercompartmental
GTHS	Glutathione metabolism	2937.1	379.132825719121	243.79687244146	1.5551176761308	L	glutathione synthesis	[c]
H2O2tp	Transport, peroxisomal		150	80	1.875	L	NA	intercompartmental
H2Otg	Transport, golgi apparatus		774.932318104907	509.851809399049	1.51991677546129	L	NA	intercompartmental
HEX1	Glycolysis/gluconeogenesis	3098.3 or 80201.1 or 2645.3 or 3098.4 or 3099.1 or 2645.2 or 3098.5 or 2645.1 or 3098.1 or 3101.1 or 3098.2	479.018612521151	261.028971152656	1.83511665546507	L	glycolysis	[c]
HMGCOASim	Cholesterol metabolism	3158.1	849.09898477157	517.775465313029	1.63989806712497	L	cholesterol synthesis	[m]
HMGLm	Cholesterol metabolism	3155.1 or 54511.1	849.098984771573	517.775465313029	1.63989806712498	L	ketogenesis	[m]
HMGLx	Cholesterol metabolism	3155.1	849.098984771574	517.775465313029	1.63989806712498	L	ketogenesis	[x]
HMR_0188	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0191	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0192	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0193	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0194	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0200	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0203	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0204	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0206	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0207	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0208	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0209	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0210	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	390.685279187818	251.028971152656	1.55633541974816	L	NA	[c]
HMR_0211	Transport, extracellular	19.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0214	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521152	251.028971152656	1.54969607983846	L	NA	[c]
HMR_0230	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0232	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0233	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0235	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0238	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0239	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0240	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0241	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0242	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0243	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0244	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0245	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0246	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0247	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0253	Transport, extracellular	19.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0254	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0255	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0256	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	254.809458957534	1.52670396975327	L	NA	[c]
HMR_0257	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0259	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0260	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0267	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0268	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	397.351945854484	251.028971152656	1.58289277938699	L	NA	[c]
HMR_0270	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438239	487.593744882922	1.55511767613079	L	NA	intercompartmental
HMR_0273	Transport, extracellular	19.1	758.265651438239	487.593744882922	1.55511767613079	L	NA	intercompartmental
HMR_0278	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0279	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0280	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152655	1.54969607983845	L	NA	[c]
HMR_0281	Transport, extracellular	19.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0287	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0288	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0289	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0290	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0291	Transport, extracellular	19.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0293	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	0	Inf	L	NA	[c]
