name	Subsys_iPS_BD_NR_T	Subsys_iPS_BD_NR_TP	Subsys_iPS_BD_R_T	Subsys_iPS_BD_R_TP	Subsys_iPS_BD_T	Subsys_iPS_BD_TP	Subsys_iPS_Ctrl_T	Subsys_iPS_Ctrl_TP	Subsys_Primary_T	Subsys_Primary_TP
Triacylglycerol synthesis	4	4	4	4	4	4	5	4	6	5
Tryptophan metabolism	26	18	29	20	29	21	30	18	28	21
Tyrosine metabolism	53	41	52	37	54	43	60	41	56	44
Ubiquinone synthesis	17	 1	16	 2	16	 1	16	 1	16	 1
Urea cycle	31	27	32	22	32	24	28	27	32	23
Valine, leucine, and isoleucine metabolism	36	32	36	33	35	33	35	32	34	31
Vitamin A metabolism	24	22	24	19	26	22	26	23	27	22
Vitamin B12 metabolism	1	1	1	1	1	1	1	1	1	1
Vitamin B2 metabolism	7	4	7	5	7	5	8	5	7	5
Vitamin B6 metabolism	11	10	11	10	11	10	11	10	10	10
Vitamin C metabolism	5	6	5	4	6	7	4	4	7	7
Vitamin D metabolism	2	2	2	2	3	2	2	2	2	2
Vitamin E metabolism	2	2	2	5	2	2	2	5	2	2
Protein formation	0	2	0	0	0	0	0	2	0	0
Alkaloid synthesis	1	0	1	0	1	0	1	0	1	0
Cytochrome metabolism	1	0	1	0	1	0	2	0	4	0
Xenobiotics metabolism	0	0	1	0	1	0	1	0	1	0
