SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
AARSD1	80755	50.5263	54.7941	64.7854	61.0545	59.9844	57.3541	52.945	50.5177	64.3616	51.3136	cerebral-cortex	glial-cells	Low	Supported
AASDH	132949	3.70009	3.90607	2.47994	6.0198	5.94171	2.92545	3.79964	4.95312	3.06909	4.6596	cerebral-cortex	glial-cells	Low	Approved
AASDHPPT	60496	25.1993	21.7966	22.7313	22.156	22.2557	19.2126	17.7794	21.8607	21.9	27.9712	cerebral-cortex	glial-cells	Medium	Approved
AASS	10157	3.28059	3.46421	2.86376	2.28406	3.30016	3.10536	2.43445	2.59425	2.36248	3.89383	cerebral-cortex	glial-cells	Low	Enhanced
AATF	26574	26.1027	28.2455	34.0641	35.4037	36.1362	28.9906	24.8378	23.2403	36.8727	33.0541	NA	NA	NA	NA
AATK	9625	0.0555001	0.1593	0.216543	0.182964	0.146348	0.273119	0.105347	0.0177659	0.184675	0.120955	cerebral-cortex	glial-cells	Medium	Enhanced
ABAT	18	2.21491	2.42172	5.62639	5.24766	4.63107	5.35175	2.87357	2.71281	3.3326	3.71833	cerebral-cortex	glial-cells	Medium	Enhanced
ABCA1	19	2.23077	2.46231	3.51669	3.07615	5.62612	4.42528	2.69508	3.26474	6.5345	6.66361	cerebral-cortex	glial-cells	Low	Approved
ABCA10	10349	0.338908	0.19828	0.523095	1.20428	0.488537	0.571814	0.890048	0.90795	0.804703	0.541778	NA	NA	NA	NA
ABCA13	154664	0.0295851	0.275076	0.735396	0.699412	0.696042	0.227962	0.307245	0.150354	0.0182504	0.0312314	NA	NA	NA	NA
ABCA2	20	16.9617	15.605	16.5302	20.2974	16.1265	18.992	14.8306	14.5385	22.5449	23.3752	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	0.859722	0.821698	0.997833	1.11303	1.63083	2.65358	0.83982	0.561279	1.30956	1.61099	NA	NA	NA	NA
ABCA4	24	1.37132	1.65165	1.68184	1.27543	1.09971	1.13933	1.12901	1.19706	1.6715	1.34463	NA	NA	NA	NA
ABCA5	23461	1.35929	1.6651	1.70227	1.45823	1.9205	2.30608	2.11058	2.44433	1.10422	2.02922	cerebral-cortex	glial-cells	Low	Approved
ABCA6	23460	0.145492	0.0360718	0.15193	0.030718	0.160425	0.0602687	0.157097	0.0502554	0.166979	0.161637	NA	NA	NA	NA
ABCA7	10347	2.01881	2.04752	1.35458	1.38014	2.67881	2.44574	2.5044	2.13089	3.08626	1.13388	NA	NA	NA	NA
ABCA8	10351	0.21016	0.345278	1.32367	1.10102	0.726793	0.911896	1.53798	1.13116	1.05453	1.36718	NA	NA	NA	NA
ABCA9	10350	0.121942	0.0331333	0.322001	0.320911	0.587361	1.85949	0.959873	0.578908	0.0879853	0.320333	NA	NA	NA	NA
ABCB1	5243	0.783509	1.13093	0.363989	0.307347	2.0855	2.50499	0.80143	0.887126	1.51468	1.57013	NA	NA	NA	NA
ABCB10	23456	9.84889	8.08976	3.74095	4.49016	4.01552	3.57576	5.21295	6.1771	4.87175	6.26029	NA	NA	NA	NA
ABCB4	5244	0.30548	1.13155	0.0320528	0.0173404	0.153411	0.0410891	0	0.058748	0.173096	0.459606	NA	NA	NA	NA
ABCB6	10058	12.1674	10.7942	12.3012	11.6634	6.94625	9.38824	14.0522	12.4341	13.6121	12.7128	NA	NA	NA	NA
ABCB7	22	6.13917	5.13216	4.95772	5.44474	4.83695	4.79763	4.08528	5.07309	5.6111	5.19115	NA	NA	NA	NA
ABCB8	11194	12.0638	18.8967	15.3949	14.4561	18.2495	19.9726	15.8209	15.9802	14.1176	14.2357	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	2.83073	3.05219	4.88567	4.05779	7.0419	4.72867	5.36087	5.90342	3.20474	3.04667	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	11.6992	10.9499	22.8857	20.7091	14.8849	16.5836	16.9826	16.9639	21.5141	18.2063	NA	NA	NA	NA
ABCC10	89845	16.5921	22.5172	18.4038	18.4753	24.5832	21.7013	20.4107	22.2106	22.9162	20.4713	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.132316	0.118579	0.0859563	0.0356083	0.0775455	0.110681	0.13825	0.177014	0.251523	0.104852	NA	NA	NA	NA
ABCC3	8714	2.08089	2.2485	0.539757	1.23201	0.486546	1.6329	0.629599	0.330427	0.835728	1.29484	NA	NA	NA	NA
ABCC4	10257	4.27639	2.95573	4.25302	3.66422	3.57658	4.29574	5.30746	4.49594	2.9891	3.18978	NA	NA	NA	NA
ABCC5	10057	9.17549	10.2219	8.7876	9.30885	15.382	12.8222	8.50074	10.9427	11.6896	11.2295	NA	NA	NA	NA
ABCC6	368	0.165431	0.121746	0.105257	0.149171	0.257136	0.160871	0.171545	0.163367	0.0998259	0.113553	NA	NA	NA	NA
ABCC9	10060	1.03473	0.804131	0.436005	0.427192	0.4364	0.708866	0.0618549	0.0594554	0.301302	0.224914	NA	NA	NA	NA
ABCD3	5825	19.2009	15.9763	13.0433	15.0326	17.3448	16.4016	14.1031	15.006	13.0147	15.7423	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	15.725	20.3003	12.1859	10.1432	15.6213	18.6914	13.1985	12.2644	21.6925	22.7657	NA	NA	NA	NA
ABCE1	6059	73.6367	69.3743	76.8049	77.1237	69.3418	69.0451	69.0944	68.0077	54.4591	55.8538	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	33.2704	32.0234	42.4171	39.4027	35.2734	32.7015	35.1069	36.482	34.1541	29.5007	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.590476	0.464877	0.302889	0.564449	0.337464	0.496125	0.512284	0.845938	0.490936	0.361893	NA	NA	NA	NA
ABCF3	55324	32.4513	41.9757	43.6633	44.0653	39.2669	33.8602	41.658	36.7636	51.5269	43.9898	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.034112	0.0876466	0.0518562	0.068069	0.184413	0.0607213	0.0217639	0.0118356	0.151306	0.221486	NA	NA	NA	NA
ABCG2	9429	0.0150853	0.0413114	0.223037	0.253114	0.379101	0.41615	0.141698	0.125753	0.0456128	0.041095	NA	NA	NA	NA
ABCG4	64137	0.34761	0.397805	0.0768431	0.0748341	0.0758379	0.122414	0.201549	0.137938	0.407317	0.409696	NA	NA	NA	NA
ABHD1	84696	0.4781	0.0721342	0.273002	0	0.261187	0.561924	0	0.389756	0.290575	0.0625063	NA	NA	NA	NA
ABHD10	55347	19.4983	21.4926	19.167	18.9116	14.811	12.967	16.5007	18.7549	21.4039	20.0002	cerebral-cortex	glial-cells	Low	Supported
ABHD12	26090	41.9737	38.9422	44.7999	47.039	39.4972	42.3981	43.2686	44.5053	30.3396	24.0071	NA	NA	NA	NA
ABHD12B	145447	0.13233	0.111829	0.0850363	0.638911	0.286117	0.0731075	0.520649	0.318849	0.62926	0.136394	NA	NA	NA	NA
ABHD13	84945	2.98597	2.94291	3.24684	2.45044	2.71963	3.42762	3.08206	2.54378	2.60526	3.7034	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	6.42225	6.93833	8.01766	8.61323	6.46107	6.72515	9.60171	8.62025	8.14304	8.37198	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.0706446	0.222878	0.268548	0.439459	0.0885306	0.371085	0.434465	0.144506	0.512688	0.233419	NA	NA	NA	NA
ABHD14B	84836	8.595	9.41864	11.8528	10.6746	15.461	15.3868	11.5489	10.4813	9.33977	8.87548	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.54972	2.97228	2.54606	2.65586	3.08203	3.53162	2.7018	2.57806	3.59926	3.40308	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	0.914256	1.34319	1.44174	1.68722	1.58408	2.30514	1.90702	1.78964	1.34547	1.06334	NA	NA	NA	NA
ABHD17A	81926	4.29536	5.43296	6.16482	6.56342	6.32999	6.79076	7.25576	5.58499	5.7593	5.2913	NA	NA	NA	NA
ABHD17B	51104	6.40253	5.62162	3.91218	3.9498	4.62023	4.56176	5.10924	4.63165	4.03115	4.17611	NA	NA	NA	NA
ABHD17C	58489	3.71841	3.66279	5.57541	7.02856	7.42541	8.30774	6.46401	7.32081	5.14976	2.75108	NA	NA	NA	NA
ABHD2	11057	22.4538	24.9353	21.4765	22.9373	23.0798	20.0504	25.2127	22.6491	19.7766	18.3126	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	1.62637	2.0866	1.68959	1.45968	1.12737	1.57853	1.62033	2.42553	2.4392	2.45814	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	35.8362	45.0714	36.6319	38.5451	35.5364	39.3599	37.4642	36.2102	59.353	58.0278	NA	NA	NA	NA
ABHD5	51099	16.3045	12.6553	16.1954	14.8045	16.0593	13.7024	17.0047	15.5792	15.9022	16.9501	NA	NA	NA	NA
ABHD6	57406	3.00454	4.12055	4.47737	3.34627	1.80967	2.08474	2.19219	2.51692	3.86703	3.15247	NA	NA	NA	NA
ABHD8	79575	3.57013	3.32715	4.44599	4.64531	4.60215	4.63194	3.8238	3.27631	4.56549	3.0803	NA	NA	NA	NA
ABI1	10006	45.128	47.1823	34.4138	35.3972	38.6272	40.0953	37.2861	38.6522	46.5123	43.51	NA	NA	NA	NA
ABI2	10152	37.0014	33.9378	42.7686	45.9658	35.0337	40.852	37.8807	35.3449	37.0384	38.9946	NA	NA	NA	NA
ABI3	51225	0.121664	0.295044	0.488685	0.467806	0.130829	0	0.72616	0.569102	0.220564	0.088584	cerebral-cortex	glial-cells	Medium	Enhanced
ABI3BP	25890	419.273	238.804	16.9643	18.635	38.5416	19.7225	23.53	17.719	3.36673	2.49873	NA	NA	NA	NA
ABL1	25	35.8669	35.9312	38.318	40.322	42.8141	43.8563	39.5415	41.2378	45.3429	39.5969	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	7.40938	8.93975	12.7398	13.8855	18.734	17.9483	10.777	10.7044	9.95419	9.65087	NA	NA	NA	NA
ABLIM1	3983	14.7405	16.6353	9.65797	10.9169	14.2422	17.6153	11.6004	11.2604	9.40117	11.7824	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	0.0982227	0.0567837	0.0611601	0.0680539	0.18734	0.514551	0.0388011	0.398015	0.170609	0.0844165	NA	NA	NA	NA
ABLIM3	22885	13.1219	17.1055	13.2975	13.1312	10.0538	10.4211	7.52828	7.95239	13.9078	13.1603	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	55.0183	73.4653	78.0081	83.4643	100.346	94.707	77.7047	60.779	85.7092	77.0831	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	16.7581	14.9148	16.3948	16.4891	22.9541	22.581	16.8461	15.4005	9.67691	9.91381	NA	NA	NA	NA
ABTB1	80325	4.81534	5.90893	4.56531	4.59391	6.98906	5.46847	4.69449	5.17279	9.11945	9.59352	NA	NA	NA	NA
ABTB2	25841	1.16042	1.61935	1.58681	1.53296	1.74907	1.91428	1.71823	2.61735	0.542405	0.526151	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	36.2966	42.112	53.2317	51.1781	59.055	62.9732	46.3522	45.7456	43.2065	38.3879	NA	NA	NA	NA
ACAA2	10449	22.156	18.5656	16.1231	16.9216	15.2361	14.7936	16.9223	17.4407	24.0066	19.6612	NA	NA	NA	NA
ACACA	31	18.3046	19.3086	22.6798	20.292	17.6718	17.357	15.1773	17.461	20.3668	17.1051	NA	NA	NA	NA
ACACB	32	0.416742	1.70099	0.76546	0.29277	0.583892	0.192908	0.723072	0.785496	1.35275	0.445963	NA	NA	NA	NA
ACAD10	80724	6.65545	5.61463	6.52516	5.83278	9.30654	7.11087	6.74489	6.26571	10.2582	7.80688	NA	NA	NA	NA
ACAD11	84129	9.20782	9.41584	11.1415	10.4354	10.0651	12.6495	12.647	10.5817	8.17439	12.7626	NA	NA	NA	NA
ACAD8	27034	11.7222	9.97712	9.60467	7.77944	10.5054	9.90626	12.1968	13.0002	14.6016	11.7283	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	17.2401	15.6037	17.2761	18.3946	17.1477	13.7551	15.5859	16.5716	16.1672	15.3429	cerebral-cortex	glial-cells	Medium	Supported
ACADM	34	26.4292	21.7301	16.5197	18.4789	15.6266	17.2231	17.7912	16.3234	17.5425	25.7502	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	2.29045	2.82195	1.62821	1.75909	1.36773	1.37407	2.01241	1.39788	2.06427	2.26843	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	5.16087	5.72243	6.7747	6.75141	5.5077	4.63078	6.0668	6.41314	4.25495	5.24719	NA	NA	NA	NA
ACADVL	37	353.904	423.725	284.23	321.24	467.266	465.416	415.234	395.094	363.014	343.386	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	78.1572	102.393	1.19622	0.898348	0.00834615	0.00490068	2.44549	2.28394	0.198535	0.280194	NA	NA	NA	NA
ACAP1	9744	5.41075	7.84202	3.79296	3.47236	11.0193	11.7089	11.5518	7.03931	5.41624	6.65589	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	29.0129	31.6193	26.6064	27.6817	31.6565	32.5115	39.7526	29.0447	25.2871	31.2672	cerebral-cortex	glial-cells	Medium	Supported
ACAP3	116983	37.5336	43.9173	37.5232	34.6449	43.2845	51.2587	48.2215	36.7036	55.914	44.6771	NA	NA	NA	NA
ACAT1	38	78.3242	67.1356	111.185	104.292	88.3099	81.1689	83.9337	102.788	74.0488	73.7081	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	12.4015	14.1592	21.2503	18.4916	11.1187	11.4878	10.7186	11.9534	24.2479	22.0621	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	68.7923	69.0747	64.7141	69.8946	65.207	64.0303	59.102	77.4233	58.5901	68.3183	NA	NA	NA	NA
ACBD4	79777	1.04873	1.99211	1.27202	0.992283	0.806415	1.1903	0.964272	0.910738	1.50642	1.9317	NA	NA	NA	NA
ACBD5	91452	8.74789	8.34359	6.52932	6.61438	6.44313	7.73359	7.39822	7.52689	8.08711	9.03318	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	24.321	21.3115	28.4239	27.3115	20.2103	19.7543	22.4181	23.159	33.7781	28.9332	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	0.112451	0.0901226	0.102547	0.0811852	0.493844	0.273278	0.157525	0.351495	0.0331662	0.122736	NA	NA	NA	NA
ACCS	84680	5.4637	7.34212	4.96633	5.94983	8.4373	6.59215	6.42599	6.7342	8.08005	5.53695	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	6.17229	6.75947	9.27678	8.65931	8.7595	9.04492	9.12582	6.38358	10.8102	7.897	NA	NA	NA	NA
ACER2	340485	0.241461	0.297566	0.265974	0.6166	0.949947	0.846798	0.229829	0.283148	0.675278	0.738216	NA	NA	NA	NA
ACER3	55331	3.22617	3.19974	2.50547	3.77597	2.76053	2.36254	3.02804	2.18071	4.26778	5.19264	NA	NA	NA	NA
ACHE	43	6.17619	6.38389	7.65017	2.59009	3.71993	22.3316	4.94588	1.10378	26.9091	9.72236	NA	NA	NA	NA
ACIN1	22985	96.5727	107.478	93.4944	93.5732	110.34	108.515	118.313	108.606	102.242	102.88	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	2.73643	2.69845	1.74032	1.34889	3.01407	4.43944	5.03285	4.67058	4.72524	5.65079	NA	NA	NA	NA
ACO1	48	27.4815	25.7975	30.7882	31.2619	30.0128	28.344	29.6192	29.0576	27.8274	24.8141	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	28.5651	31.3567	40.1985	38.6215	41.3011	40.7989	33.9496	33.9004	37.193	31.9154	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	1.46507	1.40795	1.50671	1.61577	0.649775	0.403005	1.21005	1.22732	1.35496	1.50251	NA	NA	NA	NA
ACOT11	26027	0.176292	0.302281	0.338641	0.204424	0.510189	0.504333	0.806996	0.454133	0.133712	0.137783	NA	NA	NA	NA
ACOT13	55856	29.3271	24.5115	24.0612	26.6935	21.3083	20.69	21.4645	21.9802	28.9715	26.7015	NA	NA	NA	NA
ACOT2	10965	7.71466	9.07118	6.87987	6.31295	5.24278	5.97375	7.22279	6.39731	6.04545	6.45759	NA	NA	NA	NA
ACOT4	122970	0.256055	0.171399	0.142696	0.112295	0.0611877	0.0498877	0.245131	0.177859	0.309662	0.108497	cerebral-cortex	glial-cells	High	Enhanced
ACOT7	11332	48.2896	54.6865	58.9862	58.5916	57.3923	58.7536	51.6237	47.4378	64.5761	55.072	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	15.1819	15.1377	17.8999	18.0839	21.159	19.9965	14.6377	14.7028	19.7389	19.3168	NA	NA	NA	NA
ACOT9	23597	50.3789	48.215	44.666	46.8734	39.6801	37.732	42.9222	47.3513	50.8665	46.1756	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	16.348	17.9971	15.7167	17.4299	24.6803	26.525	16.1938	15.7739	19.2217	15.6833	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	4.76484	4.05973	2.1918	0.898438	0.466206	0.261515	2.08403	1.47445	1.42652	1.70787	NA	NA	NA	NA
ACOX3	8310	19.6315	21.0419	22.3865	24.3352	21.5747	19.435	15.5943	18.1744	19.0845	19.3507	NA	NA	NA	NA
ACP1	52	92.6388	78.0532	89.2218	87.8814	101.972	92.4296	97.6628	95.9302	82.7917	86.78	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	41.448	49	45.0839	53.2635	49.0228	43.4559	40.8212	46.5716	50.0703	42.3162	NA	NA	NA	NA
ACP5	54	0.941769	0.983121	4.26634	3.93905	2.51019	1.03219	2.00537	1.48465	1.08903	0.639748	NA	NA	NA	NA
ACRV1	56	0.217373	0.309154	0.0492027	0.182133	0.111949	0.0631735	0.152315	0.409209	0.127993	0	NA	NA	NA	NA
ACSF2	80221	11.9766	15.3307	24.6212	17.5476	26.3354	22.5477	25.9802	19.4451	24.753	16.8443	NA	NA	NA	NA
ACSF3	197322	19.1068	17.5756	19.0325	17.8701	12.8718	14.1664	20.0663	17.6568	18.281	19.6438	NA	NA	NA	NA
ACSL1	2180	20.4593	18.0418	19.04	20.2537	18.6177	22.2718	18.5952	19.4836	12.3626	12.8926	NA	NA	NA	NA
ACSL3	2181	118.896	108.783	94.4682	106.16	80.1365	73.2424	74.5315	82.6636	65.0177	68.4322	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	66.1551	60.1118	59.0393	58.5599	71.8991	66.3063	58.4021	61.5866	50.7316	60.1217	NA	NA	NA	NA
ACSL5	51703	0.107522	0.0875236	0.290226	0.344544	0.0536346	0.0933936	0.318032	0.623817	0.144103	0.0901863	NA	NA	NA	NA
ACSM3	6296	0.277004	0.118187	0.216546	0	0.155184	0.876134	0.551885	0.314579	0.0282507	0.102775	NA	NA	NA	NA
ACSS1	84532	0.383983	0.51362	0.492098	0.470579	0.278549	0.284313	0.727712	0.889637	0.970826	0.775939	NA	NA	NA	NA
ACSS2	55902	27.5296	39.7482	34.2212	32.5636	37.0408	39.2577	31.4394	27.6993	27.779	35.2354	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	0.718682	0.835164	0.387138	0.990363	0.361784	0.557843	0.95892	0.445519	0.180985	0.123727	NA	NA	NA	NA
ACTA1	58	2.3834	2.47994	0.282523	0.305707	0.282166	0.250732	0.232095	0.198644	0.489942	0.18176	NA	NA	NA	NA
ACTA2	59	2347.46	2328.11	1304.1	1508.58	532.212	512.582	777.471	782.795	577.504	667.388	NA	NA	NA	NA
ACTA2-AS1	100132116	12.7865	11.515	5.66922	5.10458	3.65495	1.60161	3.15971	3.45464	2.2353	3.27051	NA	NA	NA	NA
ACTB	60	7025.78	7395.39	7541.8	7617.93	5590.33	5503.21	6270.91	6432.09	7155.51	5544.69	NA	NA	NA	NA
ACTBL2	345651	0.353182	0.624026	2.29459	1.95586	3.29208	3.75389	1.6703	1.59029	1.53586	1.50714	NA	NA	NA	NA
ACTBP11	644220	4.15464	5.06072	4.54646	4.4932	3.58091	4.07967	4.39085	4.08639	4.30074	3.80236	NA	NA	NA	NA
ACTBP2	62	43.7157	45.3295	40.4432	44.7821	36.4291	38.006	42.647	38.7386	43.3893	36.0402	NA	NA	NA	NA
ACTBP7	67	0.266474	0.182435	0.121502	0.164341	0.179435	0.155753	0.0318874	0.0694121	0.241691	0.145166	NA	NA	NA	NA
ACTBP9	69	1.0271	0.637552	1.21763	1.18242	0.922243	0.640359	0.950462	0.96314	1.07646	0.410321	NA	NA	NA	NA
ACTC1	70	10.4168	8.73918	1.22352	0.766423	1.2065	1.65153	0.675904	0.514884	3.21674	6.06369	NA	NA	NA	NA
ACTG1P1	73	0.0993891	0.0915456	0.0604241	0.032691	0.0768679	0.348555	0.158575	0.241629	0.120192	0.0721918	NA	NA	NA	NA
ACTG1P11	414754	4.25896	5.17554	0.0303426	0.0984976	2.97539	2.76162	0.0318522	0.0346679	0.0804746	0.0725043	NA	NA	NA	NA
ACTG1P2	74	4.4586	4.9933	0.212398	0.196995	2.72445	2.21707	0.127409	0.17334	0.241424	0.108756	NA	NA	NA	NA
ACTG1P3	75	0.269407	0.295096	0.276389	0.332304	0.217699	0.433108	0.580273	0.280699	0.162906	0.330201	NA	NA	NA	NA
ACTG2	72	1475.49	1618.83	1052.67	1109.86	581.372	554.211	500.543	488.366	1178.26	1072.16	NA	NA	NA	NA
ACTL10	170487	0.706697	0.755657	0.606391	0.705511	0.488657	0.786786	0.434922	0.543476	0.956388	0.733333	NA	NA	NA	NA
ACTL6A	86	125.842	109.167	107.865	77.841	66.3276	111.37	76.3745	110.771	101.712	63.4499	cerebral-cortex	glial-cells	High	Supported
ACTN1	87	881.035	983.409	905.334	938.354	1044.9	1054.99	771.239	741.277	1025.71	897.819	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	1.22104	1.03058	1.37696	1.7785	2.42016	1.97374	0.386669	0.821403	0.883692	1.46745	NA	NA	NA	NA
ACTN4	81	897.494	1023.05	988.68	990.623	653.507	604.469	729.693	704.044	1060.02	958.714	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	2.70536	2.8287	2.78108	3.15491	1.64142	1.84003	3.34331	2.79314	2.91476	2.89405	NA	NA	NA	NA
ACTR10	55860	91.3215	80.1659	87.3944	94.3794	77.8522	82.2764	78.2759	85.0874	99.2844	96.3977	NA	NA	NA	NA
ACTR1A	10121	111.839	122.996	110.64	124.189	118.42	124.163	115.083	111.743	129.801	106.375	NA	NA	NA	NA
ACTR1B	10120	20.396	21.6625	20.8467	21.595	21.0851	19.7025	20.3362	18.7145	26.9565	23.2332	NA	NA	NA	NA
ACTR2	10097	219.428	186.926	163.618	173.264	156.133	153.729	143.213	155.254	158.657	189.754	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	398.605	364.67	307.528	331.696	317.126	317.544	320.783	346.719	359.599	370.126	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	3.7225	2.81526	2.86904	2.55241	1.97321	2.46684	5.76187	2.38628	2.02753	1.57293	NA	NA	NA	NA
ACTR3C	653857	0.257862	0.635592	0.705454	0.190701	0.209017	0	0	0	0.155906	0.351162	NA	NA	NA	NA
ACTR3P2	100129013	2.53285	2.6469	2.12393	2.09713	2.50825	1.93989	2.22962	2.6997	2.4645	3.23546	NA	NA	NA	NA
ACTR5	79913	2.55294	2.46544	2.35564	2.32536	2.35561	2.04844	2.2994	2.36091	3.12395	2.58412	NA	NA	NA	NA
ACTR6	64431	9.18547	9.61944	10.5964	9.17838	8.11723	7.5619	8.49216	10.5798	9.25635	11.4051	NA	NA	NA	NA
ACTR8	93973	35.5629	32.5947	21.0779	25.5352	25.0498	26.9123	17.7483	19.2069	32.2391	27.9572	NA	NA	NA	NA
ACTRT3	84517	2.43474	2.27451	2.11116	2.19914	1.738	2.22781	2.21667	1.84166	1.99899	2.05904	NA	NA	NA	NA
ACVR1	90	19.3149	21.7947	22.7744	21.7067	23.1711	24.4733	23.1022	21.8681	27.4002	26.5114	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	4.4132	5.43827	9.11367	9.4883	7.63704	7.49124	8.20569	6.83138	6.88152	7.49723	NA	NA	NA	NA
ACVR1C	130399	0.28733	0.25487	0.212165	0.163283	0.179078	0.138145	0.12994	0.209607	0.139106	0.129216	cerebral-cortex	glial-cells	Medium	Approved
ACVR2A	92	2.69283	3.43854	1.69268	2.10344	2.35253	3.26536	3.00483	2.54985	2.07537	2.32836	cerebral-cortex	glial-cells	Low	Approved
