	SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2
ACOT2	ACOT2	10965	2.33758	2.95643
ACOT4	ACOT4	122970	0.0839166	0.187225
ACOT7	ACOT7	11332	37.7776	37.542
ACOT8	ACOT8	10005	10.0142	12.0926
ACOT9	ACOT9	23597	21.1399	17.8905
ACOX1	ACOX1	51	11.1223	11.255
ACOX2	ACOX2	8309	0.910462	1.1338
ACOX3	ACOX3	8310	6.46864	8.44557
ACP1	ACP1	52	91.3019	93.2806
ACP2	ACP2	53	25.5667	33.5648
ACP5	ACP5	54	0	0.216978
ACP6	ACP6	51205	0.0540696	1.38909
ACRBP	ACRBP	84519	0.457103	0.400206
ACRV1	ACRV1	56	0.4894	0.341938
ACSBG1	ACSBG1	23205	5.13136	5.81877
ACSBG2	ACSBG2	81616	0.933308	0.661318
ACSF2	ACSF2	80221	17.7953	17.4418
ACSF3	ACSF3	197322	6.36077	8.56066
ACSL1	ACSL1	2180	5.90091	6.61806
ACSL3	ACSL3	2181	51.6661	51.9054
ACSL4	ACSL4	2182	5.21092	5.35905
ACSL5	ACSL5	51703	0.184377	0.284826
ACSL6	ACSL6	23305	1.98866	1.95447
ACSM3	ACSM3	6296	0.523477	0.15419
ACSS1	ACSS1	84532	27.137	28.5841
ACSS2	ACSS2	55902	14.2485	17.5488
ACSS3	ACSS3	79611	0.682703	1.006
ACTA1	ACTA1	58	0.177444	0.281876
ACTA2	ACTA2	59	17.0619	49.3745
ACTA2-AS1	ACTA2-AS1	100132116	0.0730661	0.10515
ACTB	ACTB	60	2282.14	1992.17
ACTBP2	ACTBP2	62	10.0293	7.25839
ACTC1	ACTC1	70	0.413206	0.0892362
ACTG1	ACTG1	71	145.986	62.9947
ACTG1P1	ACTG1P1	73	0.680537	0.434447
ACTG1P3	ACTG1P3	75	0.247006	0.132467
ACTG2	ACTG2	72	8.28908	15.7316
ACTL10	ACTL10	170487	0.123987	0.199212
ACTL6A	ACTL6A	86	81.7502	63.9588
ACTL6B	ACTL6B	51412	0.749704	1.29566
ACTN1	ACTN1	87	83.0021	40.27
ACTN1-AS1	ACTN1-AS1	161159	0.643603	0.245026
ACTN2	ACTN2	88	0.287899	0.459156
ACTN4	ACTN4	81	145.728	89.7078
ACTN4P1	ACTN4P1	344978	0.144677	0.129218
ACTR10	ACTR10	55860	41.5754	67.2112
ACTR1A	ACTR1A	10121	71.5672	74.449
ACTR1B	ACTR1B	10120	34.8018	39.4064
ACTR2	ACTR2	10097	142.278	127.715
ACTR3	ACTR3	10096	166.013	134.385
ACTR3B	ACTR3B	57180	5.16419	6.34688
ACTR3C	ACTR3C	653857	0.0887715	0.158648
ACTR5	ACTR5	79913	4.81094	4.85033
ACTR6	ACTR6	64431	18.4679	22.8886
ACTR8	ACTR8	93973	17.2802	17.2782
ACTRT3	ACTRT3	84517	0.200896	0.246572
ACVR1	ACVR1	90	6.3447	7.06611
ACVR1B	ACVR1B	91	8.87275	8.07999
ACVR2A	ACVR2A	92	10.7114	9.76845
ACVR2B	ACVR2B	93	7.68069	5.39187
ACVR2B-AS1	ACVR2B-AS1	100128640	0.724461	0.61154
ACVRL1	ACVRL1	94	0.118758	0.0310008
ACY1	ACY1	95	6.36046	9.62677
ACYP1	ACYP1	97	24.9682	25.8088
ACYP2	ACYP2	98	15.5391	23.682
ADA	ADA	100	14.1183	15.6843
ADAL	ADAL	161823	7.74569	8.5207
ADAM10	ADAM10	102	44.8301	34.8315
ADAM11	ADAM11	4185	0.692959	0.352297
ADAM12	ADAM12	8038	7.14917	9.6716
ADAM15	ADAM15	8751	13.885	17.1849
ADAM17	ADAM17	6868	28.9862	25.7706
ADAM19	ADAM19	8728	5.09184	3.69806
ADAM1A	ADAM1A	8759	6.2256	5.67198
ADAM1B	ADAM1B	100420505	0.377723	0.2023
ADAM20P1	ADAM20P1	317760	0.167659	0.149654
ADAM21	ADAM21	8747	0.267305	0.385415
ADAM22	ADAM22	53616	2.37831	1.60628
ADAM23	ADAM23	8745	7.33107	9.10251
ADAM28	ADAM28	10863	0	0.0522378
ADAM32	ADAM32	203102	0.797121	0.879032
ADAM33	ADAM33	80332	0.0139609	0.0187565
ADAM8	ADAM8	101	0.487889	1.1224
ADAM9	ADAM9	8754	101.543	122.027
ADAMTS1	ADAMTS1	9510	9.73296	3.11412
ADAMTS10	ADAMTS10	81794	3.42172	1.99249
ADAMTS12	ADAMTS12	81792	6.28399	4.87667
ADAMTS13	ADAMTS13	11093	0.392448	0.292905
ADAMTS14	ADAMTS14	140766	0.609616	0.77689
ADAMTS15	ADAMTS15	170689	0.465365	0.970872
ADAMTS16	ADAMTS16	170690	0.506064	0.915284
ADAMTS17	ADAMTS17	170691	2.65401	1.02429
ADAMTS19	ADAMTS19	171019	0.0782107	0.0699665
ADAMTS2	ADAMTS2	9509	0.073307	0.41454
ADAMTS20	ADAMTS20	80070	0.110257	0.0626182
ADAMTS3	ADAMTS3	9508	7.82923	10.7938
ADAMTS4	ADAMTS4	9507	0.573195	0.482207
ADAMTS5	ADAMTS5	11096	0.421025	0.265543
ADAMTS6	ADAMTS6	11174	4.11824	3.54148
ADAMTS7	ADAMTS7	11173	12.4531	9.6345
ADAMTS7P4	ADAMTS7P4	642935	0.174963	0.159049
ADAMTS8	ADAMTS8	11095	0.0238858	0.0398036
ADAMTS9	ADAMTS9	56999	24.4821	19.0816
ADAMTS9-AS2	ADAMTS9-AS2	100507098	0.0463372	0.0835865
ADAMTSL1	ADAMTSL1	92949	1.32263	1.04139
ADAMTSL4	ADAMTSL4	54507	0.278119	0.578737
ADAMTSL4-AS1	ADAMTSL4-AS1	574406	0	0.137322
ADAMTSL5	ADAMTSL5	339366	0.0513599	0.209164
ADAP1	ADAP1	11033	0.402318	0.643168
ADAP2	ADAP2	55803	0.0218975	0.148097
ADAR	ADAR	103	70.5827	56.4441
ADARB1	ADARB1	104	2.11787	2.30332
ADARB2	ADARB2	105	0.796826	0.346752
ADAT1	ADAT1	23536	28.4901	19.7994
ADAT2	ADAT2	134637	4.74304	3.60123
ADAT3	ADAT3	113179	2.83923	3.89573
ADCK1	ADCK1	57143	2.77232	4.73594
ADCK2	ADCK2	90956	2.65915	4.53687
ADCK5	ADCK5	203054	0.103646	0.138782
ADCY1	ADCY1	107	4.75403	3.67327
ADCY10P1	ADCY10P1	221442	1.28061	0.891239
ADCY2	ADCY2	108	6.83823	4.69892
ADCY3	ADCY3	109	6.81845	3.43247
ADCY4	ADCY4	196883	0.00895258	0.0831115
ADCY5	ADCY5	111	3.45093	2.69754
ADCY6	ADCY6	112	48.3201	34.3733
ADCY7	ADCY7	113	0.4358	0.284517
ADCY8	ADCY8	114	0.961541	0.410953
ADCY9	ADCY9	115	3.7721	2.7505
ADCYAP1	ADCYAP1	116	0.600394	0.716191
ADCYAP1R1	ADCYAP1R1	117	8.4724	7.70464
ADD1	ADD1	118	132.636	117.192
ADD3	ADD3	120	34.0653	22.638
ADH1A	ADH1A	124	0.263564	0.196507
ADH4	ADH4	127	0.318602	0.10161
ADH5	ADH5	128	108.217	102.405
ADH5P4	ADH5P4	642443	4.49491	4.15146
ADH6	ADH6	130	2.44307	0.991661
ADHFE1	ADHFE1	137872	1.95644	1.59002
ADI1	ADI1	55256	26.5652	33.1598
ADIPOR1	ADIPOR1	51094	24.1077	31.1516
ADIPOR2	ADIPOR2	79602	29.3339	26.2226
ADIRF-AS1	ADIRF-AS1	100133190	0.0452541	0.0676469
ADK	ADK	132	26.7938	35.0372
ADM	ADM	133	45.9573	34.4487
ADM2	ADM2	79924	0.190854	0.320456
ADM5	ADM5	199800	2.49532	1.4802
ADNP	ADNP	23394	60.573	39.1462
ADNP2	ADNP2	22850	14.2795	6.9928
ADO	ADO	84890	19.1168	16.7892
ADORA1	ADORA1	134	5.76808	19.4551
ADORA2A	ADORA2A	135	2.6506	4.04189
ADORA2A-AS1	ADORA2A-AS1	646023	0.520566	0.401209
ADORA2B	ADORA2B	136	1.40948	4.47988
ADPGK	ADPGK	83440	27.22	27.1587
ADPRH	ADPRH	141	0.694985	0.450287
ADPRHL1	ADPRHL1	113622	0.591157	0.596411
ADPRHL2	ADPRHL2	54936	19.4964	23.4131
ADPRM	ADPRM	56985	4.24081	6.42291
ADRA1A	ADRA1A	148	0.459742	0.218787
ADRA1B	ADRA1B	147	0.147256	0.0788851
ADRA1D	ADRA1D	146	0.146551	0.130769
ADRA2A	ADRA2A	150	0.148548	0.143552
ADRA2C	ADRA2C	152	0.164696	0.0630001
ADRB2	ADRB2	154	0.0246229	0.0879139
ADRM1	ADRM1	11047	51.657	55.0648
ADSL	ADSL	158	36.154	36.221
AEBP1	AEBP1	165	32.2481	32.626
AEBP2	AEBP2	121536	18.3824	14.603
AEN	AEN	64782	15.1208	18.183
AFAP1	AFAP1	60312	22.3325	11.0322
AFAP1L1	AFAP1L1	134265	0.217042	0.294061
AFAP1L2	AFAP1L2	84632	0.495676	0.985497
AFF1	AFF1	4299	6.36746	4.47954
AFF3	AFF3	3899	7.92409	3.10353
AFF4	AFF4	27125	34.0322	23.1621
AFG3L1P	AFG3L1P	172	25.1922	20.88
AFG3L2	AFG3L2	10939	25.7987	23.6507
AFMID	AFMID	125061	16.0868	13.6143
AFTPH	AFTPH	54812	8.55477	8.84241
AGA	AGA	175	6.51522	8.22395
AGAP1	AGAP1	116987	19.7426	11.9141
AGAP1-IT1	AGAP1-IT1	100506749	0.193155	0.0865337
AGAP2	AGAP2	116986	21.1962	13.8002
AGAP2-AS1	AGAP2-AS1	100130776	0.308674	0.91573
AGAP3	AGAP3	116988	32.9023	32.1821
AGAP4	AGAP4	119016	0.998969	0.384885
AGAP5	AGAP5	729092	2.93192	2.85944
AGAP6	AGAP6	414189	0.202871	1.62137
AGAP9	AGAP9	642517	0.33158	0.391054
AGBL3	AGBL3	340351	2.15031	1.51521
AGBL4	AGBL4	84871	0.08379	0.183844
AGBL5	AGBL5	60509	30.6448	25.5241
AGBL5-IT1	AGBL5-IT1	106481744	0.905487	0.815532
AGFG1	AGFG1	3267	35.2155	33.0795
AGFG2	AGFG2	3268	4.07456	3.98022
AGGF1	AGGF1	55109	16.2891	16.6077
AGK	AGK	55750	13.2079	8.67035
AGL	AGL	178	6.30246	6.15683
AGMAT	AGMAT	79814	0.157797	0.105622
AGMO	AGMO	392636	0	0.0177945
AGO1	AGO1	26523	13.596	12.462
AGO2	AGO2	27161	8.76928	3.75958
AGO3	AGO3	192669	7.10382	7.68711
AGO4	AGO4	192670	9.45737	7.76502
AGPAT1	AGPAT1	10554	5.02904	4.63619
AGPAT2	AGPAT2	10555	7.22751	9.36979
AGPAT3	AGPAT3	56894	17.2479	14.583
AGPAT4	AGPAT4	56895	13.3978	14.4039
AGPAT5	AGPAT5	55326	34.0849	26.8411
AGPS	AGPS	8540	11.0124	9.29863
AGRN	AGRN	375790	125.296	83.2152
AGT	AGT	183	0	0.0193567
AGTPBP1	AGTPBP1	23287	11.9826	10.8181
AGTR1	AGTR1	185	1.34691	1.27234
AGTRAP	AGTRAP	57085	9.5138	16.9106
AHCTF1	AHCTF1	25909	22.7181	14.5316
AHCTF1P1	AHCTF1P1	285116	1.59972	0.991873
AHCY	AHCY	191	57.0391	66.8963
AHCYL1	AHCYL1	10768	41.3305	39.0629
AHCYL2	AHCYL2	23382	14.5705	12.7845
AHDC1	AHDC1	27245	10.6143	7.78229
AHI1	AHI1	54806	18.5797	14.4036
AHNAK	AHNAK	79026	23.2704	14.2379
AHNAK2	AHNAK2	113146	0.491574	1.62886
AHR	AHR	196	13.0908	9.22999
AHRR	AHRR	57491	20.7809	18.2394
AHSA1	AHSA1	10598	48.9205	81.5389
AIDA	AIDA	64853	27.7239	21.9303
AIF1L	AIF1L	83543	64.0897	73.6237
AIFM1	AIFM1	9131	13.876	21.8243
AIFM2	AIFM2	84883	2.01078	2.54079
AIFM3	AIFM3	150209	0.239892	0.885893
AIG1	AIG1	51390	19.04	23.883
AIM2	AIM2	9447	2.09982	0.91249
AIMP1	AIMP1	9255	17.3924	20.9774
AIMP2	AIMP2	7965	17.4466	20.4859
AIP	AIP	9049	28.5666	40.2053
AJAP1	AJAP1	55966	0.102388	0.0318293
AJUBA	AJUBA	84962	18.7123	12.5123
AK1	AK1	203	30.4945	52.2829
AK2	AK2	204	55.9382	63.1991
AK3	AK3	50808	33.0803	39.6902
AK3P3	AK3P3	100419075	3.57338	3.20175
AK3P5	AK3P5	100288319	0.141084	0.251356
AK4	AK4	205	15.0319	7.46354
AK4P1	AK4P1	206	5.56609	2.75148
AK4P3	AK4P3	645619	0.764357	0.513596
AK5	AK5	26289	2.09369	2.89897
AK7	AK7	122481	0.780811	1.04185
AK8	AK8	158067	0.278998	0.960214
AK9	AK9	221264	3.62384	3.6595
AKAP1	AKAP1	8165	14.0997	9.69602
AKAP10	AKAP10	11216	12.2322	10.7263
AKAP11	AKAP11	11215	16.1474	9.88954
AKAP12	AKAP12	9590	14.0182	10.525
AKAP13	AKAP13	11214	32.5895	22.3571
AKAP14	AKAP14	158798	0.32988	1.12292
AKAP17A	AKAP17A	8227	21.4187	28.609
AKAP3	AKAP3	10566	2.8121	4.01231
AKAP5	AKAP5	9495	2.05065	0.98005
AKAP6	AKAP6	9472	1.37182	1.73855
AKAP7	AKAP7	9465	7.29591	7.23385
AKAP8	AKAP8	10270	14.7329	13.5266
AKAP8L	AKAP8L	26993	59.8014	63.6088
AKAP9	AKAP9	10142	17.1382	18.4894
AKIP1	AKIP1	56672	19.504	20.1517
AKIRIN1	AKIRIN1	79647	72.9608	64.001
AKIRIN2	AKIRIN2	55122	63.0866	61.405
AKNA	AKNA	80709	13.4842	10.4441
AKNAD1	AKNAD1	254268	0.608569	1.09053
AKR1A1	AKR1A1	10327	41.1525	54.6604
AKR1B1	AKR1B1	231	69.1392	78.4996
AKR1C1	AKR1C1	1645	1.57002	3.4705
AKR1C3	AKR1C3	8644	0.0683101	0.246165
AKR1E2	AKR1E2	83592	0.664364	0.529977
AKR7A2	AKR7A2	8574	30.4636	37.3699
AKR7A2P1	AKR7A2P1	246182	0.252061	0.338171
AKR7A3	AKR7A3	22977	0.599896	0.723089
AKR7L	AKR7L	246181	0.909735	0.723751
AKT1	AKT1	207	64.0772	53.0705
AKT1S1	AKT1S1	84335	21.3047	28.9264
AKT2	AKT2	208	66.9154	52.7624
AKT3	AKT3	10000	18.9316	14.8942
AKT3-IT1	AKT3-IT1	100874263	0.420889	0.125948
AKTIP	AKTIP	64400	18.185	22.5159
ALAD	ALAD	210	12.1439	12.28
ALAS1	ALAS1	211	18.1135	19.904
ALB	ALB	213	0.369996	0.824684
ALCAM	ALCAM	214	37.1916	32.3899
ALDH16A1	ALDH16A1	126133	9.45715	14.5103
ALDH18A1	ALDH18A1	5832	26.2862	26.1664
ALDH1A1	ALDH1A1	216	10.7696	3.31028
ALDH1A2	ALDH1A2	8854	0.0308162	0.233292
ALDH1A3	ALDH1A3	220	0.108524	0.0326387
ALDH1B1	ALDH1B1	219	8.10943	8.0265
ALDH1L1	ALDH1L1	10840	0.357926	0.35286
ALDH1L2	ALDH1L2	160428	0.725388	0.889895
ALDH2	ALDH2	217	16.8952	23.4348
ALDH3A2	ALDH3A2	224	23.954	20.7849
ALDH3B1	ALDH3B1	221	1.68159	2.37584
ALDH4A1	ALDH4A1	8659	7.89295	9.88586
ALDH5A1	ALDH5A1	7915	5.50674	5.17051
ALDH6A1	ALDH6A1	4329	10.5901	11.0942
ALDH7A1	ALDH7A1	501	78.1728	79.4978
ALDH7A1P1	ALDH7A1P1	541	1.52803	1.39492
ALDH8A1	ALDH8A1	64577	0.277869	0.530469
ALDH9A1	ALDH9A1	223	50.0978	48.6781
ALDOA	ALDOA	226	264.67	380.989
ALDOC	ALDOC	230	0.805849	0.796719
ALG1	ALG1	56052	8.34311	10.799
ALG10	ALG10	84920	4.66979	2.53919
ALG10B	ALG10B	144245	3.34354	2.36266
ALG11	ALG11	440138	9.01364	4.65609
ALG12	ALG12	79087	4.44763	7.8804
ALG13	ALG13	79868	19.1743	14.2785
ALG14	ALG14	199857	2.7407	4.02371
ALG1L	ALG1L	200810	0.445353	0.117177
ALG1L15P	ALG1L15P	730086	0.22709	0.542
ALG1L2	ALG1L2	644974	0.073131	0
ALG2	ALG2	85365	15.1905	21.4553
ALG3	ALG3	10195	11.6379	11.6014
ALG5	ALG5	29880	16.8044	21.3966
ALG6	ALG6	29929	8.65561	8.27714
ALG8	ALG8	79053	24.156	26.5668
ALK	ALK	238	0.956511	1.63472
ALKBH1	ALKBH1	8846	6.08497	7.51139
ALKBH2	ALKBH2	121642	13.3176	15.7786
ALKBH3	ALKBH3	221120	9.15537	12.1729
ALKBH3-AS1	ALKBH3-AS1	100507300	0.876735	0.925221
ALKBH4	ALKBH4	54784	6.94058	7.96596
ALKBH5	ALKBH5	54890	24.7643	26.4393
ALKBH6	ALKBH6	84964	11.0296	12.8289
ALKBH7	ALKBH7	84266	22.5312	35.3064
ALKBH8	ALKBH8	91801	4.58912	4.9097
ALMS1	ALMS1	7840	11.5107	9.00805
ALMS1-IT1	ALMS1-IT1	100874291	0.475478	0.360758
ALOX12	ALOX12	239	0.340488	0.14958
ALPK1	ALPK1	80216	1.22162	0.935937
ALPK2	ALPK2	115701	5.30165	8.1781
ALPK3	ALPK3	57538	0.0551649	0.0454038
ALPL	ALPL	249	1.65228	0.917715
ALS2	ALS2	57679	15.8402	13.0412
ALS2CL	ALS2CL	259173	0.0977759	0.0956828
ALX1	ALX1	8092	0	0
ALYREF	ALYREF	10189	71.4683	71.0991
AMACR	AMACR	23600	6.61071	8.98474
AMBP	AMBP	259	0.156493	0.199923
AMBRA1	AMBRA1	55626	11.1128	9.18917
AMD1	AMD1	262	40.9205	36.3758
AMDHD1	AMDHD1	144193	0	0.459894
AMDHD2	AMDHD2	51005	13.0129	13.8659
AMER1	AMER1	139285	2.36083	1.03308
AMER2	AMER2	219287	6.29238	5.74394
AMFR	AMFR	267	36.2368	35.3112
AMH	AMH	268	13.923	11.7797
AMIGO1	AMIGO1	57463	2.85399	3.43184
AMIGO2	AMIGO2	347902	12.4484	15.5958
AMIGO3	AMIGO3	386724	3.68167	5.02929
AMMECR1	AMMECR1	9949	4.51554	3.7004
AMMECR1L	AMMECR1L	83607	15.7461	13.308
AMN	AMN	81693	0.0780486	0.0501359
AMN1	AMN1	196394	3.8792	6.10403
AMOT	AMOT	154796	13.8242	5.09376
AMOTL1	AMOTL1	154810	13.6268	10.6612
AMOTL2	AMOTL2	51421	12.4936	8.23823
AMPD2	AMPD2	271	22.1474	21.6987
AMPD3	AMPD3	272	0.261908	0.588264
AMPH	AMPH	273	16.1641	15.312
AMT	AMT	275	7.63545	9.46314
AMY2B	AMY2B	280	5.39659	6.04708
AMZ1	AMZ1	155185	0.12756	0.0479697
AMZ2P1	AMZ2P1	201283	7.64642	11.5251
ANAPC1	ANAPC1	64682	10.1741	6.97363
ANAPC10	ANAPC10	10393	11.6394	17.8275
ANAPC10P1	ANAPC10P1	729198	0.125242	0.112375
ANAPC11	ANAPC11	51529	102.227	143.257
ANAPC13	ANAPC13	25847	49.6538	64.4984
ANAPC15	ANAPC15	25906	46.7922	57.9398
ANAPC16	ANAPC16	119504	50.7389	73.004
ANAPC2	ANAPC2	29882	18.699	18.2849
ANAPC4	ANAPC4	29945	19.2942	16.8296
ANAPC5	ANAPC5	51433	27.7833	41.2854
ANAPC7	ANAPC7	51434	56.9067	55.811
ANG	ANG	283	1.3995	1.26206
ANGEL1	ANGEL1	23357	8.19574	8.10648
ANGEL2	ANGEL2	90806	18.9822	19.018
ANGPT1	ANGPT1	284	3.73069	5.7571
ANGPT2	ANGPT2	285	0.0269953	0.0611268
ANGPTL1	ANGPTL1	9068	0.825097	1.04713
ANGPTL2	ANGPTL2	23452	6.53732	7.72597
ANGPTL4	ANGPTL4	51129	1.25908	1.3362
ANGPTL6	ANGPTL6	83854	0.241935	0.109057
ANK1	ANK1	286	0.38271	0.832819
ANK2	ANK2	287	35.6272	25.5769
ANK3	ANK3	288	18.6421	13.5807
ANKAR	ANKAR	150709	0.984054	0.616949
ANKDD1A	ANKDD1A	348094	2.92694	3.20269
ANKDD1B	ANKDD1B	728780	0.196373	0.286656
ANKEF1	ANKEF1	63926	0.730309	0.801777
ANKFN1	ANKFN1	162282	0.0792564	0.165481
ANKFY1	ANKFY1	51479	34.2475	24.698
ANKH	ANKH	56172	1.80367	1.52134
ANKHD1	ANKHD1	54882	61.5573	42.5706
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	404734	2.87994	5.18288
ANKIB1	ANKIB1	54467	21.7671	17.3225
ANKLE1	ANKLE1	126549	1.27889	0.856175
ANKLE2	ANKLE2	23141	52.1957	35.0494
ANKMY1	ANKMY1	51281	6.50321	5.78471
