	SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2
ABCC6	ABCC6	368	0.864324	0.825985
ABCC6P1	ABCC6P1	653190	0.33752	1.6284
ABCC6P2	ABCC6P2	730013	0.262357	1.17222
ABCC8	ABCC8	6833	0.0722397	0
ABCC9	ABCC9	10060	2.64485	4.29584
ABCD1	ABCD1	215	1.15304	0.505788
ABCD2	ABCD2	225	0.834954	1.69947
ABCD3	ABCD3	5825	53.2134	60.9444
ABCD4	ABCD4	5826	51.2457	56.8749
ABCE1	ABCE1	6059	33.6267	27.5532
ABCF2	ABCF2	10061	23.7633	25.9026
ABCF3	ABCF3	55324	21.0688	30.8635
ABCG1	ABCG1	9619	0.0168	0.193813
ABCG4	ABCG4	64137	0.613958	0.592324
ABHD1	ABHD1	84696	0.512492	0.573184
ABHD10	ABHD10	55347	16.6845	23.0878
ABHD11	ABHD11	83451	0.402282	1.00937
ABHD12	ABHD12	26090	30.3217	31.7223
ABHD12B	ABHD12B	145447	0.406376	0.117879
ABHD13	ABHD13	84945	6.61722	4.20329
ABHD14A	ABHD14A	25864	10.7397	15.2562
ABHD14A-ACY1	ABHD14A-ACY1	100526760	0.0685309	0.347775
ABHD14B	ABHD14B	84836	6.77611	6.96038
ABHD15	ABHD15	116236	4.79184	3.83103
ABHD16B	ABHD16B	140701	2.46294	2.97068
ABHD17A	ABHD17A	81926	24.4562	30.4723
ABHD17AP3	ABHD17AP3	648359	0.291445	0.156548
ABHD17AP6	ABHD17AP6	644988	0.215512	0.231928
ABHD17B	ABHD17B	51104	19.3112	13.3356
ABHD17C	ABHD17C	58489	37.6881	47.7625
ABHD2	ABHD2	11057	20.8135	23.5269
ABHD3	ABHD3	171586	12.8842	15.004
ABHD4	ABHD4	63874	40.5759	50.702
ABHD5	ABHD5	51099	6.97103	6.86471
ABHD6	ABHD6	57406	3.60082	3.72629
ABHD8	ABHD8	79575	7.89035	11.1143
ABI1	ABI1	10006	33.3341	19.8989
ABI2	ABI2	10152	70.0779	60.0209
ABI3BP	ABI3BP	25890	2.19048	0.307817
ABL1	ABL1	25	34.9508	38.7015
ABL2	ABL2	27	5.44662	4.69405
ABLIM1	ABLIM1	3983	29.9815	15.3945
ABLIM2	ABLIM2	84448	0.83392	2.97066
ABLIM3	ABLIM3	22885	0.266744	0.0245169
ABR	ABR	29	39.1372	38.7792
ABRACL	ABRACL	58527	20.388	27.1069
ABT1	ABT1	29777	0.0667415	0.0474215
ABTB1	ABTB1	80325	4.40004	6.01152
ABTB2	ABTB2	25841	27.6196	13.1774
ACAA1	ACAA1	30	31.0313	33.5977
ACAA2	ACAA2	10449	34.7912	44.4292
ACACA	ACACA	31	25.9149	33.1691
ACACB	ACACB	32	1.79212	6.44582
ACAD10	ACAD10	80724	12.5714	18.1952
ACAD11	ACAD11	84129	13.5588	13.1664
ACAD8	ACAD8	27034	21.5387	24.3328
ACAD9	ACAD9	28976	15.3185	22.2732
ACADL	ACADL	33	0.476748	0.522555
ACADM	ACADM	34	35.908	37.0825
ACADS	ACADS	35	1.54383	2.92677
ACADSB	ACADSB	36	5.03171	4.05845
ACADVL	ACADVL	37	121.536	196.714
ACAN	ACAN	176	0.108899	0.0959958
ACAP1	ACAP1	9744	1.65192	1.52238
ACAP2	ACAP2	23527	14.335	10.8706
ACAP2-IT1	ACAP2-IT1	100874306	0.737561	0.10037
ACAP3	ACAP3	116983	29.0318	61.4197
ACAT1	ACAT1	38	38.4981	37.3324
ACAT2	ACAT2	39	79.8328	94.7086
ACBD3	ACBD3	64746	20.8069	16.7809
ACBD4	ACBD4	79777	3.72827	6.59392
ACBD5	ACBD5	91452	19.9108	19.2566
ACBD6	ACBD6	84320	33.8079	42.6827
ACBD7	ACBD7	414149	4.54944	5.04979
ACCS	ACCS	84680	0.348685	1.82682
ACD	ACD	65057	8.51145	12.8882
ACE2	ACE2	59272	0.100358	0.24568
ACER2	ACER2	340485	1.72299	1.87258
ACER3	ACER3	55331	11.4256	8.54737
ACHE	ACHE	43	12.106	13.6354
ACIN1	ACIN1	22985	85.9951	125.641
ACKR2	ACKR2	1238	0.234975	0.130407
ACKR3	ACKR3	57007	1.7779	1.62999
ACLY	ACLY	47	1.34233	20.3138
ACMSD	ACMSD	130013	0.241835	0.375383
ACO1	ACO1	48	20.2332	17.9686
ACO2	ACO2	50	46.014	58.0899
ACOT1	ACOT1	641371	0.694051	1.90205
ACOT11	ACOT11	26027	0.0992374	0.0674437
ACOT12	ACOT12	134526	1.30313	2.04638
ACOT13	ACOT13	55856	9.85411	14.3272
ACOT2	ACOT2	10965	4.49967	9.19665
ACOT4	ACOT4	122970	0.10575	0.22534
ACOT7	ACOT7	11332	49.4488	54.3642
ACOT8	ACOT8	10005	11.1303	13.8403
ACOT9	ACOT9	23597	27.7148	33.2754
ACOX1	ACOX1	51	12.9511	14.3821
ACOX2	ACOX2	8309	13.926	20.4722
ACOX3	ACOX3	8310	5.25955	9.28244
ACP1	ACP1	52	87.7235	86.1702
ACP2	ACP2	53	23.2273	34.419
ACP5	ACP5	54	0.152365	0.208115
ACP6	ACP6	51205	0.235851	0.486556
ACRBP	ACRBP	84519	0.671738	0.368228
ACRV1	ACRV1	56	0.304611	0.193752
ACSBG1	ACSBG1	23205	3.40592	10.0919
ACSBG2	ACSBG2	81616	0.279779	0.302901
ACSF2	ACSF2	80221	6.64373	9.776
ACSF3	ACSF3	197322	7.30045	8.78372
ACSL1	ACSL1	2180	10.8386	11.1431
ACSL3	ACSL3	2181	127.493	132.341
ACSL4	ACSL4	2182	10.2161	5.87572
ACSL5	ACSL5	51703	0.0725945	0.129806
ACSL6	ACSL6	23305	0.775435	1.51105
ACSM3	ACSM3	6296	0.375016	0.241356
ACSS1	ACSS1	84532	1.13974	0.677873
ACSS2	ACSS2	55902	19.5968	28.0279
ACSS3	ACSS3	79611	22.8498	25.4043
ACTA1	ACTA1	58	0.311598	0.15123
ACTA2	ACTA2	59	134.123	146.45
ACTA2-AS1	ACTA2-AS1	100132116	0.176093	1.44376
ACTB	ACTB	60	1441.43	2258.72
ACTBP2	ACTBP2	62	7.3465	4.29141
ACTC1	ACTC1	70	0.206815	0.0124574
ACTG1	ACTG1	71	113.544	141.993
ACTG1P1	ACTG1P1	73	0.19596	0.105273
ACTG1P3	ACTG1P3	75	0.199157	0.267533
ACTG2	ACTG2	72	25.569	6.63036
ACTL10	ACTL10	170487	0.199985	0.186654
ACTL6A	ACTL6A	86	43.3959	41.7902
ACTL6B	ACTL6B	51412	0.167917	0.0730188
ACTN1	ACTN1	87	67.8322	76.961
ACTN1-AS1	ACTN1-AS1	161159	0.161928	0.12358
ACTN2	ACTN2	88	6.70073	5.992
ACTN4	ACTN4	81	154.058	276.678
ACTN4P1	ACTN4P1	344978	0.218743	0.195111
ACTR10	ACTR10	55860	72.7771	67.6855
ACTR1A	ACTR1A	10121	76.8673	85.2755
ACTR1B	ACTR1B	10120	21.5799	34.0324
ACTR2	ACTR2	10097	146.654	113.544
ACTR3	ACTR3	10096	133.396	142.773
ACTR3B	ACTR3B	57180	6.58511	10.0408
ACTR3C	ACTR3C	653857	0.134208	0.144013
ACTR5	ACTR5	79913	4.2438	4.6908
ACTR6	ACTR6	64431	27.8403	22.9624
ACTR8	ACTR8	93973	16.3784	17.085
ACTRT3	ACTRT3	84517	0.303784	0.405085
ACVR1	ACVR1	90	18.9687	12.5647
ACVR1B	ACVR1B	91	9.08241	9.94493
ACVR2A	ACVR2A	92	7.94521	10.0813
ACVR2B	ACVR2B	93	3.29944	3.13323
ACVR2B-AS1	ACVR2B-AS1	100128640	0.355318	0.357386
ACVRL1	ACVRL1	94	0.0394327	0
ACY1	ACY1	95	7.92725	12.1466
ACYP1	ACYP1	97	20.8565	21.453
ACYP2	ACYP2	98	13.3407	18.2063
ADA	ADA	100	19.8168	11.4727
ADAL	ADAL	161823	6.02	5.68323
ADAM10	ADAM10	102	50.9178	49.4616
ADAM11	ADAM11	4185	0.366808	0.77573
ADAM12	ADAM12	8038	52.4123	98.0217
ADAM15	ADAM15	8751	21.7892	26.6811
ADAM17	ADAM17	6868	29.212	24.912
ADAM19	ADAM19	8728	25.7132	43.7746
ADAM1A	ADAM1A	8759	3.48853	5.19725
ADAM1B	ADAM1B	100420505	0.101541	0.0270809
ADAM20P1	ADAM20P1	317760	0.376197	0.578332
ADAM21	ADAM21	8747	0.145106	0.132498
ADAM22	ADAM22	53616	5.24907	4.45643
ADAM23	ADAM23	8745	9.54379	7.98979
ADAM28	ADAM28	10863	0.228981	0.201501
ADAM32	ADAM32	203102	4.76092	3.65289
ADAM33	ADAM33	80332	0.509444	0.415378
ADAM8	ADAM8	101	1.64837	0.705231
ADAM9	ADAM9	8754	222.448	203.359
ADAMTS1	ADAMTS1	9510	2.21953	1.72616
ADAMTS10	ADAMTS10	81794	0	0.115443
ADAMTS12	ADAMTS12	81792	9.98941	12.2603
ADAMTS13	ADAMTS13	11093	0.0719338	0.0703556
ADAMTS14	ADAMTS14	140766	10.0823	9.50584
ADAMTS15	ADAMTS15	170689	13.5071	13.8646
ADAMTS16	ADAMTS16	170690	11.3124	19.234
ADAMTS17	ADAMTS17	170691	0.203998	0.0693574
ADAMTS19	ADAMTS19	171019	0.283945	0.280322
ADAMTS2	ADAMTS2	9509	1.65118	0.0527726
ADAMTS20	ADAMTS20	80070	0.0389974	0.0377494
ADAMTS3	ADAMTS3	9508	16.7283	28.4678
ADAMTS4	ADAMTS4	9507	8.63029	9.65555
ADAMTS5	ADAMTS5	11096	0.0414183	0
ADAMTS6	ADAMTS6	11174	1.10878	1.04865
ADAMTS7	ADAMTS7	11173	6.91372	11.4923
ADAMTS7P4	ADAMTS7P4	642935	0.50533	0
ADAMTS8	ADAMTS8	11095	0.245643	0.0383157
ADAMTS9	ADAMTS9	56999	8.54895	16.8702
ADAMTS9-AS2	ADAMTS9-AS2	100507098	0.0626988	0.240518
ADAMTSL1	ADAMTSL1	92949	6.4269	7.38549
ADAMTSL4	ADAMTSL4	54507	0.902348	0.989541
ADAMTSL4-AS1	ADAMTSL4-AS1	574406	0.153857	0.170659
ADAMTSL5	ADAMTSL5	339366	0.191853	0.210797
ADAP1	ADAP1	11033	1.38803	1.76705
ADAP2	ADAP2	55803	0.150638	0.126812
ADAR	ADAR	103	51.8812	58.2828
ADARB1	ADARB1	104	4.72168	4.33801
ADARB2	ADARB2	105	0	0.0864424
ADAT1	ADAT1	23536	17.3453	25.3402
ADAT2	ADAT2	134637	4.29426	3.05889
ADAT3	ADAT3	113179	4.0173	3.60876
ADCK1	ADCK1	57143	4.03394	4.42259
ADCK2	ADCK2	90956	4.31636	4.83372
ADCK5	ADCK5	203054	0.548562	0.230089
ADCY1	ADCY1	107	3.27597	3.74854
ADCY10P1	ADCY10P1	221442	2.29321	0.634218
ADCY2	ADCY2	108	10.9199	18.7042
ADCY3	ADCY3	109	8.4555	9.39232
ADCY4	ADCY4	196883	0.128358	0
ADCY5	ADCY5	111	1.11226	1.00513
ADCY6	ADCY6	112	25.9904	43.1014
ADCY7	ADCY7	113	0.975252	0.271174
ADCY8	ADCY8	114	1.17478	0.831693
ADCY9	ADCY9	115	6.38335	8.73715
ADCYAP1	ADCYAP1	116	0.287028	0.284848
ADCYAP1R1	ADCYAP1R1	117	5.44667	8.20215
ADD1	ADD1	118	126.609	144.907
ADD3	ADD3	120	35.3931	30.1955
ADH1A	ADH1A	124	0	0.0812474
ADH4	ADH4	127	0.0399758	0.283141
ADH5	ADH5	128	101.097	101.135
ADH5P4	ADH5P4	642443	4.07692	2.81321
ADH6	ADH6	130	0.34072	0.277606
ADHFE1	ADHFE1	137872	2.15633	4.22495
ADI1	ADI1	55256	25.9369	31.6756
ADIPOR1	ADIPOR1	51094	34.0004	34.5591
ADIPOR2	ADIPOR2	79602	24.8275	29.3071
ADIRF-AS1	ADIRF-AS1	100133190	0.371146	0.523324
ADK	ADK	132	43.2043	53.31
ADM	ADM	133	74.3437	69.4382
ADM2	ADM2	79924	1.81126	0.312653
ADM5	ADM5	199800	1.08845	0.877778
ADNP	ADNP	23394	33.7382	34.9172
ADNP2	ADNP2	22850	7.81786	10.837
ADO	ADO	84890	20.3668	17.6957
ADORA1	ADORA1	134	55.5831	48.047
ADORA2A	ADORA2A	135	3.23603	1.53045
ADORA2A-AS1	ADORA2A-AS1	646023	0.772227	0.393273
ADORA2B	ADORA2B	136	19.2885	23.4223
ADPGK	ADPGK	83440	22.6352	23.6815
ADPRH	ADPRH	141	0.339221	1.30739
ADPRHL1	ADPRHL1	113622	0.696927	0.864664
ADPRHL2	ADPRHL2	54936	25.1258	27.116
ADPRM	ADPRM	56985	3.78089	4.47089
ADRA1A	ADRA1A	148	0.176272	0.158774
ADRA1B	ADRA1B	147	1.90004	0.634243
ADRA1D	ADRA1D	146	0.221625	0.0983073
ADRA2A	ADRA2A	150	0.0124812	0
ADRA2C	ADRA2C	152	0.142325	0.101162
ADRB2	ADRB2	154	0.347513	0.211807
ADRM1	ADRM1	11047	72.2481	67.1893
ADSL	ADSL	158	36.0686	37.2821
AEBP1	AEBP1	165	43.4533	48.2
AEBP2	AEBP2	121536	17.8314	12.8307
AEN	AEN	64782	27.7811	25.2677
AFAP1	AFAP1	60312	20.7103	15.4973
AFAP1L1	AFAP1L1	134265	0.15725	0.0229926
AFAP1L2	AFAP1L2	84632	5.46169	2.50364
AFF1	AFF1	4299	6.40444	6.21993
AFF3	AFF3	3899	6.34884	6.46917
AFF4	AFF4	27125	33.0991	23.2351
AFG3L1P	AFG3L1P	172	18.0194	24.0649
AFG3L2	AFG3L2	10939	21.1144	22.599
AFMID	AFMID	125061	17.4751	20.7382
AFTPH	AFTPH	54812	13.7259	9.64406
AGA	AGA	175	9.1637	9.57913
AGAP1	AGAP1	116987	21.0831	18.5224
AGAP1-IT1	AGAP1-IT1	100506749	2.23733	2.65161
AGAP2	AGAP2	116986	7.88985	8.67909
AGAP2-AS1	AGAP2-AS1	100130776	0.352642	0.515122
AGAP3	AGAP3	116988	31.6256	35.8268
AGAP4	AGAP4	119016	1.07779	0.52119
AGAP5	AGAP5	729092	1.83464	2.64693
AGAP6	AGAP6	414189	0.63159	0.33645
AGAP9	AGAP9	642517	0.231412	0.329191
AGBL3	AGBL3	340351	1.5349	0.848627
AGBL4	AGBL4	84871	0.311546	0.144331
AGBL5	AGBL5	60509	16.2816	26.4839
AGBL5-IT1	AGBL5-IT1	106481744	0.303166	0
AGFG1	AGFG1	3267	38.6153	33.7401
AGFG2	AGFG2	3268	5.84936	7.65294
AGGF1	AGGF1	55109	18.3593	20.4362
AGK	AGK	55750	12.3022	14.7368
AGL	AGL	178	4.882	4.46946
AGMAT	AGMAT	79814	0.258509	0.190606
AGMO	AGMO	392636	0.18103	0.0214118
AGO1	AGO1	26523	7.91929	6.62897
AGO2	AGO2	27161	5.86272	3.97747
AGO3	AGO3	192669	7.01965	5.7539
AGO4	AGO4	192670	7.68124	6.63707
AGPAT1	AGPAT1	10554	6.43523	9.71771
AGPAT2	AGPAT2	10555	6.45011	5.54324
AGPAT3	AGPAT3	56894	20.0198	20.6216
AGPAT4	AGPAT4	56895	32.3677	32.1407
AGPAT5	AGPAT5	55326	44.0341	43.27
AGPS	AGPS	8540	9.18886	11.8717
AGRN	AGRN	375790	57.3223	98.4178
AGT	AGT	183	14.2563	5.26611
AGTPBP1	AGTPBP1	23287	8.83172	9.63477
AGTR1	AGTR1	185	1.27558	0.47159
AGTRAP	AGTRAP	57085	22.6775	22.5569
AHCTF1	AHCTF1	25909	14.1765	11.8585
AHCTF1P1	AHCTF1P1	285116	1.10766	0.734452
AHCY	AHCY	191	72.6849	77.9858
AHCYL1	AHCYL1	10768	33.197	34.9091
AHCYL2	AHCYL2	23382	18.0212	18.3547
AHDC1	AHDC1	27245	5.01216	7.04032
AHI1	AHI1	54806	10.4208	12.0985
AHNAK	AHNAK	79026	29.0437	36.2054
AHNAK2	AHNAK2	113146	55.0232	48.2551
AHR	AHR	196	5.49095	6.31849
AHRR	AHRR	57491	2.35794	9.60144
AHSA1	AHSA1	10598	120.288	109.473
AIDA	AIDA	64853	18.9305	18.4451
AIF1L	AIF1L	83543	60.7469	62.8879
AIFM1	AIFM1	9131	22.1938	22.2312
AIFM2	AIFM2	84883	3.44658	4.54044
AIFM3	AIFM3	150209	0.246724	0.3279
AIG1	AIG1	51390	26.6734	29.0532
AIM2	AIM2	9447	0.436842	0.734433
AIMP1	AIMP1	9255	20.0064	19.7354
AIMP2	AIMP2	7965	24.7019	25.5457
AIP	AIP	9049	26.7594	32.2861
AJAP1	AJAP1	55966	2.37129	3.18929
AJUBA	AJUBA	84962	18.9313	15.801
AK1	AK1	203	38.5146	62.2741
AK2	AK2	204	61.0564	57.3417
AK3	AK3	50808	26.2845	25.8791
AK3P3	AK3P3	100419075	2.33479	3.39406
AK3P5	AK3P5	100288319	0	0
AK4	AK4	205	1.89818	2.44557
AK4P1	AK4P1	206	1.15992	1.58062
AK4P3	AK4P3	645619	0.288525	0.209642
AK5	AK5	26289	1.22115	0.924622
AK7	AK7	122481	0.710775	0.575712
AK8	AK8	158067	1.19058	0.877364
AK9	AK9	221264	2.13178	1.74815
AKAP1	AKAP1	8165	4.20492	5.58894
AKAP10	AKAP10	11216	9.87852	13.4373
AKAP11	AKAP11	11215	13.1145	12.4626
AKAP12	AKAP12	9590	47.9715	39.8797
AKAP13	AKAP13	11214	21.1812	22.5859
AKAP14	AKAP14	158798	0.116956	0.81571
AKAP17A	AKAP17A	8227	15.8138	17.9098
AKAP3	AKAP3	10566	1.03807	1.1173
AKAP5	AKAP5	9495	0.871587	1.07427
AKAP6	AKAP6	9472	7.16723	8.77271
AKAP7	AKAP7	9465	7.19116	8.20658
AKAP8	AKAP8	10270	15.0523	18.3425
AKAP8L	AKAP8L	26993	54.1075	86.2964
AKAP9	AKAP9	10142	14.9819	16.7148
AKIP1	AKIP1	56672	17.5902	22.7581
AKIRIN1	AKIRIN1	79647	93.5065	73.3492
AKIRIN2	AKIRIN2	55122	66.7802	53.9422
AKNA	AKNA	80709	4.41212	6.76383
AKNAD1	AKNAD1	254268	0.620663	0.280353
AKR1A1	AKR1A1	10327	55.0914	62.696
AKR1B1	AKR1B1	231	64.2854	69.9344
AKR1C1	AKR1C1	1645	0.425467	0.576265
AKR1C3	AKR1C3	8644	0.27752	0.55296
AKR1E2	AKR1E2	83592	0.191298	0.273045
AKR7A2	AKR7A2	8574	27.472	37.8986
AKR7A2P1	AKR7A2P1	246182	0.253978	0
AKR7A3	AKR7A3	22977	0.453537	0.419932
AKR7L	AKR7L	246181	1.29181	0.765318
AKT1	AKT1	207	57.4982	76.1756
AKT1S1	AKT1S1	84335	34.4259	29.7793
AKT2	AKT2	208	58.7941	81.2111
AKT3	AKT3	10000	19.4057	14.8891
AKT3-IT1	AKT3-IT1	100874263	0.282341	0.31199
AKTIP	AKTIP	64400	20.4136	19.6455
ALAD	ALAD	210	16.1746	19.3747
ALAS1	ALAS1	211	21.7208	23.4571
ALB	ALB	213	2.05779	0.336778
ALCAM	ALCAM	214	28.4121	25.1013
ALDH16A1	ALDH16A1	126133	7.34279	10.4621
ALDH18A1	ALDH18A1	5832	22.1748	33.1673
ALDH1A1	ALDH1A1	216	0.0239667	0.0809338
ALDH1A2	ALDH1A2	8854	3.25688	0.16641
ALDH1A3	ALDH1A3	220	0	0.397416
ALDH1B1	ALDH1B1	219	8.35167	9.6148
ALDH1L1	ALDH1L1	10840	0.758989	0.612947
ALDH1L2	ALDH1L2	160428	5.91387	2.56238
ALDH2	ALDH2	217	33.7846	34.8049
ALDH3A2	ALDH3A2	224	44.3095	40.3882
ALDH3B1	ALDH3B1	221	4.2324	4.26153
ALDH4A1	ALDH4A1	8659	10.6539	15.7245
ALDH5A1	ALDH5A1	7915	4.40227	6.11876
ALDH6A1	ALDH6A1	4329	12.4238	18.847
ALDH7A1	ALDH7A1	501	68.1214	87.2196
ALDH7A1P1	ALDH7A1P1	541	1.16374	1.20816
ALDH8A1	ALDH8A1	64577	1.21735	0.880032
ALDH9A1	ALDH9A1	223	49.159	66.7024
ALDOA	ALDOA	226	416.031	450.945
ALDOC	ALDOC	230	4.73491	7.50346
ALG1	ALG1	56052	11.7665	12.0489
ALG10	ALG10	84920	2.26717	1.74572
ALG10B	ALG10B	144245	1.76212	0.99415
ALG11	ALG11	440138	6.67975	6.33942
ALG12	ALG12	79087	6.5289	9.01136
ALG13	ALG13	79868	15.4759	19.2481
ALG14	ALG14	199857	2.62176	1.48907
ALG1L	ALG1L	200810	0.203128	0.547378
ALG1L15P	ALG1L15P	730086	0.686359	0.908825
ALG1L2	ALG1L2	644974	0.0745692	0.0797576
ALG2	ALG2	85365	27.8954	20.3865
ALG3	ALG3	10195	11.4271	10.4154
ALG5	ALG5	29880	26.3783	20.4456
ALG6	ALG6	29929	7.57391	9.66372
ALG8	ALG8	79053	25.7408	25.8025
ALK	ALK	238	20.3633	19.6361
ALKBH1	ALKBH1	8846	7.87869	6.33471
ALKBH2	ALKBH2	121642	17.9125	25.1741
ALKBH3	ALKBH3	221120	11.6074	7.4506
ALKBH3-AS1	ALKBH3-AS1	100507300	0.72676	0.313282
ALKBH4	ALKBH4	54784	6.77518	7.84967
ALKBH5	ALKBH5	54890	29.0993	25.2189
ALKBH6	ALKBH6	84964	12.4348	13.4106
ALKBH7	ALKBH7	84266	26.3881	36.7558
ALKBH8	ALKBH8	91801	5.42184	3.39375
ALMS1	ALMS1	7840	5.88132	8.0365
ALMS1-IT1	ALMS1-IT1	100874291	0.263634	0.204463
ALOX12	ALOX12	239	0.159784	0.484007
ALPK1	ALPK1	80216	0.451739	0.107685
ALPK2	ALPK2	115701	4.97157	9.18506
ALPK3	ALPK3	57538	0.124088	0.113398
ALPL	ALPL	249	11.071	2.60409
ALS2	ALS2	57679	14.5307	12.3789
ALS2CL	ALS2CL	259173	0.160926	0.2566
ALX1	ALX1	8092	0.0732635	0
ALYREF	ALYREF	10189	68.3323	68.3617
AMACR	AMACR	23600	3.57976	6.33049
AMBP	AMBP	259	0.118621	0.242185
AMBRA1	AMBRA1	55626	6.89831	9.34342
AMD1	AMD1	262	50.3156	34.3309
AMDHD1	AMDHD1	144193	0.131434	0.0297129
AMDHD2	AMDHD2	51005	12.8437	22.4931
AMER1	AMER1	139285	1.77982	1.30352
AMER2	AMER2	219287	10.5778	11.1745
AMFR	AMFR	267	41.4711	45.7656
AMH	AMH	268	26.9232	20.3064
AMIGO1	AMIGO1	57463	1.59999	1.9327
AMIGO2	AMIGO2	347902	17.9766	18.8272
AMIGO3	AMIGO3	386724	2.83236	5.48993
AMMECR1	AMMECR1	9949	5.6823	4.27544
AMMECR1L	AMMECR1L	83607	14.8386	11.644
AMN	AMN	81693	0.529288	0.15757
AMN1	AMN1	196394	6.15423	3.99656
AMOT	AMOT	154796	14.5091	12.939
AMOTL1	AMOTL1	154810	18.1676	13.8394
AMOTL2	AMOTL2	51421	7.9018	11.6714
AMPD2	AMPD2	271	29.7953	36.3561
AMPD3	AMPD3	272	1.30024	1.83851
AMPH	AMPH	273	15.3296	26.393
AMT	AMT	275	5.4654	10.75
AMY2B	AMY2B	280	6.51189	5.77612
AMZ1	AMZ1	155185	0.424069	0.233899
AMZ2P1	AMZ2P1	201283	9.37201	11.7588
ANAPC1	ANAPC1	64682	5.89997	6.86059
ANAPC10	ANAPC10	10393	14.0447	13.0745
ANAPC10P1	ANAPC10P1	729198	0.378296	0.416127
ANAPC11	ANAPC11	51529	117.744	126.934
ANAPC13	ANAPC13	25847	53.538	62.3501
ANAPC15	ANAPC15	25906	44.5766	51.2006
ANAPC16	ANAPC16	119504	55.8362	56.7971
ANAPC2	ANAPC2	29882	16.1023	24.5381
ANAPC4	ANAPC4	29945	14.605	17.1131
ANAPC5	ANAPC5	51433	33.4699	35.9278
ANAPC7	ANAPC7	51434	52.5397	55.7602
ANG	ANG	283	1.17682	1.26889
ANGEL1	ANGEL1	23357	5.56223	9.56954
ANGEL2	ANGEL2	90806	19.5305	17.0664
ANGPT1	ANGPT1	284	4.06729	3.0702
ANGPT2	ANGPT2	285	0.110422	0.193203
ANGPTL1	ANGPTL1	9068	6.93396	8.28969
ANGPTL2	ANGPTL2	23452	11.0054	6.39753
ANGPTL4	ANGPTL4	51129	1.08818	0.444875
ANGPTL6	ANGPTL6	83854	0.264086	0.153851
ANK1	ANK1	286	0.627309	2.58856
ANK2	ANK2	287	62.1425	71.4963
ANK3	ANK3	288	3.56052	9.24596
ANKAR	ANKAR	150709	1.24609	0.6378
ANKDD1A	ANKDD1A	348094	3.88553	2.14242
ANKDD1B	ANKDD1B	728780	0.614067	0.661548
ANKEF1	ANKEF1	63926	1.79281	1.26581
ANKFN1	ANKFN1	162282	2.89554	2.81484
ANKFY1	ANKFY1	51479	23.7403	29.3483
ANKH	ANKH	56172	5.53202	2.65787
ANKHD1	ANKHD1	54882	36.0699	44.5818
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	404734	2.27676	1.7227
ANKIB1	ANKIB1	54467	19.4216	20.6979
ANKLE1	ANKLE1	126549	1.45893	1.13841
ANKLE2	ANKLE2	23141	36.9992	36.4519
ANKMY1	ANKMY1	51281	3.69381	4.59187
ANKMY2	ANKMY2	57037	9.41637	9.88639
