rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
HMR_2644	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + hpdcacrn[m]  <=> crn[m] + hpdcacrn[c] 
HMR_2655	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + stcrn[m]  <=> crn[m] + stcrn[c] 
HMR_2660	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	455.381762029143	227.690881014571	2	Cascade	L	NA	[c]	coa[c] + vacccrn[c]  <=> crn[c] + vacccoa[c] 
HMR_2661	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	455.381762029143	227.690881014571	2	DirectMapping	L	NA	intercompartmental	crn[c] + vacccrn[m]  <=> crn[m] + vacccrn[c] 
HMR_2662	Transport, mitochondrial	1384.1 or 1376.1	455.381762029143	227.690881014571	2	Cascade	L	NA	[m]	coa[m] + vacccrn[m]  <=> crn[m] + vacccoa[m] 
HMR_2667	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + elaidcrn[c]  <=> crn[c] + elaidcrn[m] 
HMR_2669	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	20	10	2	Cascade	L	NA	[c]	crn[c] + M00116[c]  <=> coa[c] + M02638[c] 
HMR_2670	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	20	10	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02638[m]  <=> crn[m] + M02638[c] 
HMR_2671	Transport, mitochondrial	1384.1 or 1376.1	20	10	2	Cascade	L	NA	[m]	crn[m] + M00116[m]  <=> coa[m] + M02638[m] 
HMR_2673	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + lneldccrn[c]  <=> crn[c] + lneldccrn[m] 
HMR_2675	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	870.763524058286	435.381762029143	2	Cascade	L	NA	[c]	coa[c] + M02611[c]  <=> crn[c] + M02612[c] 
HMR_2676	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	870.763524058286	435.381762029143	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02611[m]  <=> crn[m] + M02611[c] 
HMR_2677	Transport, mitochondrial	1384.1 or 1376.1	870.763524058286	435.381762029143	2	Cascade	L	NA	[m]	coa[m] + M02611[m]  <=> crn[m] + M02612[m] 
HMR_2679	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + arachcrn[m]  <=> crn[m] + arachcrn[c] 
HMR_2681	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[c]	crn[c] + M00018[c]  <=> coa[c] + M01776[c] 
HMR_2682	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	435.381762029143	217.690881014571	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01776[m]  <=> crn[m] + M01776[c] 
HMR_2683	Transport, mitochondrial	1384.1 or 1376.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[m]	crn[m] + M00018[m]  <=> coa[m] + M01776[m] 
HMR_2687	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	20	10	2	Cascade	L	NA	[c]	crn[c] + M01236[c]  <=> coa[c] + M01775[c] 
HMR_2688	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	20	10	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01775[m]  <=> crn[m] + M01775[c] 
HMR_2689	Transport, mitochondrial	1384.1 or 1376.1	20	10	2	Cascade	L	NA	[m]	crn[m] + M01236[m]  <=> coa[m] + M01775[m] 
HMR_2690	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	27.5	13.75	2	Cascade	L	NA	[c]	crn[c] + M00123[c]  <=> coa[c] + M00122[c] 
HMR_2691	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	27.5	13.75	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00122[c]  <=> crn[c] + M00122[m] 
HMR_2692	Transport, mitochondrial	1384.1 or 1376.1	27.5	13.75	2	Cascade	L	NA	[m]	crn[m] + M00123[m]  <=> coa[m] + M00122[m] 
HMR_2693	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	17.5	8.75	2	Cascade	L	NA	[c]	crn[c] + M00101[c]  <=> coa[c] + M00100[c] 
HMR_2695	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	17.5	8.75	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00100[c]  <=> crn[c] + M00100[m] 
HMR_2697	Transport, mitochondrial	1384.1 or 1376.1	17.5	8.75	2	Cascade	L	NA	[m]	crn[m] + M00101[m]  <=> coa[m] + M00100[m] 
HMR_2699	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[c]	coa[c] + M02051[c]  <=> crn[c] + M02052[c] 
HMR_2700	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	435.381762029143	217.690881014572	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02051[m]  <=> crn[m] + M02051[c] 
HMR_2701	Transport, mitochondrial	1384.1 or 1376.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[m]	coa[m] + M02051[m]  <=> crn[m] + M02052[m] 
HMR_2708	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	20	10	2	Cascade	L	NA	[c]	crn[c] + M00006[c]  <=> coa[c] + M01726[c] 
HMR_2709	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	20	10	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01726[m]  <=> crn[m] + M01726[c] 
HMR_2710	Transport, mitochondrial	1384.1 or 1376.1	20	10	2	Cascade	L	NA	[m]	crn[m] + M00006[m]  <=> coa[m] + M01726[m] 
HMR_2712	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02637[m]  <=> crn[m] + M02637[c] 
HMR_2713	Transport, mitochondrial	1384.1 or 1376.1	2000	1000	2	Cascade	L	NA	[m]	coa[m] + M02637[m]  <=> crn[m] + lnlncacoa[m] 
HMR_2715	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + strdnccrn[c]  <=> crn[c] + strdnccrn[m] 
HMR_2718	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + eicostetcrn[c]  <=> crn[c] + eicostetcrn[m] 
HMR_2722	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + tmndnccrn[c]  <=> crn[c] + tmndnccrn[m] 
HMR_2727	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + clpndcrn[c]  <=> crn[c] + clpndcrn[m] 
HMR_2731	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + c226crn[m]  <=> crn[m] + c226crn[c] 
HMR_2733	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	10	5	2	Cascade	L	NA	[c]	crn[c] + M00012[c]  <=> coa[c] + M00011[c] 
HMR_2734	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	10	5	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00011[c]  <=> crn[c] + M00011[m] 
HMR_2735	Transport, mitochondrial	1384.1 or 1376.1	10	5	2	Cascade	L	NA	[m]	crn[m] + M00012[m]  <=> coa[m] + M00011[m] 
HMR_2736	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	10	5	2	Cascade	L	NA	[c]	crn[c] + M00343[c]  <=> coa[c] + M00342[c] 
HMR_2737	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	10	5	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00342[c]  <=> crn[c] + M00342[m] 
HMR_2738	Transport, mitochondrial	1384.1 or 1376.1	10	5	2	Cascade	L	NA	[m]	crn[m] + M00343[m]  <=> coa[m] + M00342[m] 
HMR_2744	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + lnlccrn[m]  <=> crn[m] + lnlccrn[c] 
HMR_2748	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + lnlncgcrn[m]  <=> crn[m] + lnlncgcrn[c] 
HMR_2753	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + dlnlcgcrn[m]  <=> crn[m] + dlnlcgcrn[c] 
HMR_2757	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + arachdcrn[m]  <=> crn[m] + arachdcrn[c] 
HMR_2760	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + adrncrn[m]  <=> adrncrn[c] + crn[m] 
HMR_2764	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + dcsptn1crn[c]  <=> crn[c] + dcsptn1crn[m] 
HMR_3170	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[m]	fad[m] + M02052[m]  -> fadh2[m] + M00044[m] 
HMR_3171	Fatty acid oxidation	3030.1 or 1892.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[m]	h2o[m] + M00044[m]  -> M00778[m] 
HMR_3172	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[m]	nad[m] + M00778[m]  -> h[m] + nadh[m] + M00873[m] 
HMR_3173	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	435.381762029143	217.690881014572	2	Cascade	L	NA	[m]	coa[m] + M00873[m]  -> accoa[m] + M02612[m] 
HMR_3240	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[m]	fad[m] + M00018[m]  -> fadh2[m] + M03014[m] 
HMR_3241	Fatty acid oxidation	3030.1 or 1892.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[m]	h2o[m] + M03014[m]  -> M00702[m] 
HMR_3242	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[m]	nad[m] + M00702[m]  -> h[m] + nadh[m] + M00843[m] 
HMR_3243	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	435.381762029143	217.690881014571	2	Cascade	L	NA	[m]	coa[m] + M00843[m]  -> accoa[m] + vacccoa[m] 
HMR_3408	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	20	10	2	Cascade	L	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 7 fad[m] + M00116[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 7 fadh2[m] 
HMR_3411	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	20	10	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 8 fad[m] + M01236[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 8 fadh2[m] 
HMR_3413	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	27.5	13.75	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 7 fad[m] + M00123[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 7 fadh2[m] 
HMR_3414	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	17.5	8.75	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 6 fad[m] + M00101[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 6 fadh2[m] 
HMR_3416	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	20	10	2	Cascade	L	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 9 fad[m] + M00006[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 9 fadh2[m] 
HMR_3431	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	10	5	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 6 fad[m] + M00012[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 6 fadh2[m] 
HMR_3432	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	10	5	2	Cascade	L	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 7 fad[m] + M00343[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 7 fadh2[m] 
HPDCACRNt	Fatty acid oxidation	788.1	2000	1326.53632152186	1.50768581873847	Cascade	L	carnitine shuttle	intercompartmental	hpdcacrn[c]  <=> hpdcacrn[m] 
LNELDCCRNt	Fatty acid oxidation	788.1	2000	1027.5	1.94647201946472	Cascade	L	carnitine shuttle	intercompartmental	lneldccrn[c]  <=> lneldccrn[m] 
LNLCCRNt	Fatty acid oxidation	788.1	2000	1020	1.96078431372549	Cascade	L	carnitine shuttle	intercompartmental	lnlccrn[c]  <=> lnlccrn[m] 
LNLNCACPT1	Fatty acid oxidation	1375.1 or 1375.3 or 1375.4 or 126129.1 or 1374.1 or 1375.2	2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	[c]	crn[c] + lnlncacoa[c]  <=> coa[c] + lnlncacrn[c] 
LNLNCACPT2	Fatty acid oxidation	1376.1	2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	[m]	coa[m] + lnlncacrn[m]  <=> crn[m] + lnlncacoa[m] 
LNLNCACRNt	Fatty acid oxidation	788.1	2000	1010	1.98019801980198	Cascade	L	carnitine shuttle	intercompartmental	lnlncacrn[c]  <=> lnlncacrn[m] 
LNLNCGCRNt	Fatty acid oxidation	788.1	2000	1050	1.9047619047619	Cascade	L	carnitine shuttle	intercompartmental	lnlncgcrn[c]  <=> lnlncgcrn[m] 
PTDCACRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	ptdcacrn[c]  <=> ptdcacrn[m] 
STRDNCCRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	strdnccrn[c]  <=> strdnccrn[m] 
TMNDNCCRNt	Fatty acid oxidation	788.1	2000	1040	1.92307692307692	Cascade	L	carnitine shuttle	intercompartmental	tmndnccrn[c]  <=> tmndnccrn[m] 
r0639	Fatty acid oxidation	(10449.1 and 3032.1) or (3032.1 and 30.1)	758.26565143824	439.13282571912	1.72673416111973	Cascade	L	betaoxidation	[m]	coa[m] + 3otdcoa[m]  -> accoa[m] + ddcacoa[m] 
r0718	Fatty acid oxidation	3030.1 and 1962.1 and 3033.1	758.26565143824	439.13282571912	1.72673416111973	Cascade	L	betaoxidation	[m]	nad[m] + 3htdcoa[m]  -> h[m] + nadh[m] + 3otdcoa[m] 
r0720	Fatty acid oxidation	3030.1 and 1962.1 and 1892.1	758.265651438241	439.13282571912	1.72673416111973	Cascade	L	betaoxidation	[m]	h2o[m] + HC01412[m]  -> 3htdcoa[m] 
