SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
ABCB7,22,4.05159,4.71196,6.80293,6.53186,6.70682,5.55276,4.00777,NA,NA,NA,NA
ABCB8,11194,18.853,14.3794,20.1062,16.8728,18.6188,19.0072,14.9559,cerebral-cortex,glial-cells,Low,Approved
ABCB9,23457,8.18368,8.2934,3.17408,3.06154,3.6946,4.55833,6.64621,cerebral-cortex,glial-cells,Medium,Approved
ABCC1,4363,38.4421,35.6047,16.3368,12.9004,15.6795,15.1496,18.1215,NA,NA,NA,NA
ABCC10,89845,19.8936,16.6405,15.1583,15.8883,23.1053,19.541,19.7919,cerebral-cortex,glial-cells,Low,Approved
ABCC2,1244,0.0837184,0.102691,0.246011,0.395037,0.275496,0.135665,0.247005,NA,NA,NA,NA
ABCC3,8714,0.620793,0.190691,5.91579,5.9584,0.371378,0.772889,1.44544,NA,NA,NA,NA
ABCC4,10257,3.61528,3.64794,3.20516,4.39093,4.41247,4.64146,7.16888,NA,NA,NA,NA
ABCC5,10057,8.29403,10.1062,10.1178,8.34748,7.09261,7.6482,11.6921,NA,NA,NA,NA
ABCC6,368,0.401048,0.413104,0.0310415,0.0381938,0.349618,0.337528,0.239236,NA,NA,NA,NA
ABCC9,10060,0,0.0159681,0.644265,0.737886,0.0418799,0.0148731,0.0383865,NA,NA,NA,NA
ABCD3,5825,13.4431,13.1772,12.9185,14.1951,13.928,14.5936,9.08157,cerebral-cortex,glial-cells,High,Enhanced
ABCD4,5826,20.3383,19.9981,16.3838,12.4455,15.111,15.4075,15.0306,NA,NA,NA,NA
ABCE1,6059,66.2189,72.1715,87.3772,90.1125,61.251,53.9138,36.024,cerebral-cortex,glial-cells,Medium,Approved
ABCF2,10061,32.6451,31.8414,35.4598,37.7968,32.1169,31.3462,46.5144,cerebral-cortex,glial-cells,Low,Approved
ABCF2P1,344653,0.553221,0.31359,0.578721,0.572096,0.781354,0.921672,1.35569,NA,NA,NA,NA
ABCF3,55324,38.8229,37.9538,42.8867,32.9278,48.4639,43.4461,43.574,cerebral-cortex,glial-cells,High,Approved
ABCG1,9619,0.0923515,0.0639748,0.192013,0.129663,0.311668,0.418503,0.11866,NA,NA,NA,NA
ABCG2,9429,0.236219,0.534399,0.0422457,0.182924,0.0570367,0.507378,0.0627413,NA,NA,NA,NA
ABCG4,64137,0.206196,0.123425,0.309517,0.245471,0.101997,0.167194,0.109585,NA,NA,NA,NA
ABHD1,84696,0.306048,0,0.0357664,0.213547,0.181759,0.49341,0.42432,NA,NA,NA,NA
ABHD10,55347,19.9055,21.611,19.7727,21.5136,14.588,15.8642,15.8758,cerebral-cortex,glial-cells,Low,Supported
ABHD12,26090,22.9891,19.1841,35.5879,39.519,75.1384,82.404,104.422,NA,NA,NA,NA
ABHD12B,145447,0,0,0,0,0.625075,0.237943,0.501846,NA,NA,NA,NA
ABHD13,84945,2.72309,2.78641,2.23197,2.78295,2.27135,2.47781,1.73371,cerebral-cortex,glial-cells,Medium,Approved
ABHD14A,25864,9.67225,11.6989,6.87498,5.21904,10.1811,12.671,13.5148,cerebral-cortex,glial-cells,Medium,Approved
ABHD14A-ACY1,100526760,0.15982,0.226261,0.18266,0.278539,0.357977,0.130669,0.114418,NA,NA,NA,NA
ABHD14B,84836,12.2573,13.2801,8.34049,6.6762,14.4285,14.805,18.5518,cerebral-cortex,glial-cells,Low,Supported
ABHD15,116236,3.45254,3.14106,2.11564,1.77056,3.35548,2.62445,4.06171,cerebral-cortex,glial-cells,Low,Approved
ABHD16B,140701,2.64027,2.86688,1.9814,1.51516,1.83483,2.0811,1.86779,NA,NA,NA,NA
ABHD17A,81926,7.24582,5.82663,4.65064,5.65483,6.79932,8.53677,10.8222,NA,NA,NA,NA
ABHD17B,51104,4.39853,3.66999,4.35294,5.58579,3.74527,3.49358,3.24012,NA,NA,NA,NA
ABHD17C,58489,9.84976,9.69441,3.75884,4.92922,4.14728,2.88055,4.84938,NA,NA,NA,NA
ABHD2,11057,35.2325,34.5016,42.3435,41.2353,30.1399,25.6045,34.6115,cerebral-cortex,glial-cells,Low,Approved
ABHD3,171586,2.85015,1.92137,3.1137,3.58293,2.97773,3.95985,1.10861,cerebral-cortex,glial-cells,Low,Approved
ABHD4,63874,24.3771,22.9807,57.8162,53.8403,70.985,75.8799,70.2761,NA,NA,NA,NA
ABHD5,51099,9.44589,10.9789,10.5455,10.4377,19.1116,18.124,25.9202,NA,NA,NA,NA
ABHD6,57406,2.43702,1.93217,2.134,2.01787,3.48079,4.00924,2.91654,NA,NA,NA,NA
ABHD8,79575,4.21351,3.41839,4.24653,3.8981,5.06674,5.63611,2.83452,NA,NA,NA,NA
ABI1,10006,35.2965,34.3625,40.4135,41.2247,46.4195,43.3409,30.8649,NA,NA,NA,NA
ABI2,10152,47.0492,38.995,42.9633,39.4498,38.0671,33.9639,39.0189,NA,NA,NA,NA
ABI3,51225,0.4947,0.408193,1.28749,1.30318,0.415086,0.37224,0.16855,cerebral-cortex,glial-cells,Medium,Enhanced
ABI3BP,25890,62.3349,48.0675,5.74053,6.42528,5.63787,11.2461,20.0197,NA,NA,NA,NA
ABL1,25,34.3499,32.7915,41.1109,39.8484,30.4409,30.4225,41.9523,cerebral-cortex,glial-cells,Low,Supported
ABL2,27,6.81565,5.81423,9.51757,9.3489,9.71587,7.58485,13.3946,NA,NA,NA,NA
ABLIM1,3983,10.1498,6.50922,10.1204,7.09194,22.2865,22.9152,5.71374,cerebral-cortex,glial-cells,Low,Approved
ABLIM2,84448,0.0738467,0.0360209,0.0232817,0.455682,0.135227,0.0619084,0.175178,NA,NA,NA,NA
ABLIM3,22885,9.91418,9.43513,21.5348,22.8437,37.1922,38.5427,55.0002,cerebral-cortex,glial-cells,Medium,Approved
ABR,29,93.9918,119.071,72.1781,53.7327,83.5217,89.3936,86.3332,cerebral-cortex,glial-cells,Low,Enhanced
ABRACL,58527,25.8373,24.5365,12.7813,13.3537,16.4634,20.8487,14.9565,NA,NA,NA,NA
ABTB1,80325,4.34515,4.08424,5.72185,5.00929,6.13191,7.67816,6.54309,NA,NA,NA,NA
ABTB2,25841,1.95663,1.83294,4.81211,4.19599,4.62169,5.34142,4.8566,cerebral-cortex,glial-cells,High,Approved
ACAA1,30,33.3252,35.3551,33.0193,23.236,49.923,50.2194,103.278,NA,NA,NA,NA
ACAA2,10449,19.8231,20.1359,15.4529,17.3982,12.1301,13.071,19.9756,NA,NA,NA,NA
ACACA,31,21.8999,22.3998,23.8242,23.1442,18.1537,23.0245,22.615,NA,NA,NA,NA
ACACB,32,0.27978,0.942677,2.7988,2.33946,1.23119,1.1832,1.61429,NA,NA,NA,NA
ACAD10,80724,7.66983,7.07238,7.76592,9.61118,10.5128,9.48621,8.84454,NA,NA,NA,NA
ACAD11,84129,12.0894,10.5568,10.6621,10.1664,11.3406,8.51952,7.58539,NA,NA,NA,NA
ACAD8,27034,10.8389,9.85643,8.48191,8.22356,11.9139,13.4621,12.6256,cerebral-cortex,glial-cells,Medium,Enhanced
ACAD9,28976,18.4776,16.6528,19.4673,15.9233,16.8992,15.5447,19.2305,cerebral-cortex,glial-cells,Medium,Supported
ACADM,34,17.2256,18.5294,17.0308,15.0963,13.4446,15.8485,9.23733,cerebral-cortex,glial-cells,Low,Enhanced
ACADS,35,2.34371,1.96013,1.4406,1.39844,1.18981,1.23037,2.14689,cerebral-cortex,glial-cells,Low,Enhanced
ACADSB,36,5.06305,4.7633,2.69793,4.54843,4.25183,3.51553,5.14177,NA,NA,NA,NA
ACADVL,37,483.795,464.058,306.231,237.466,528.12,574.286,405.993,cerebral-cortex,glial-cells,Low,Enhanced
ACAN,176,9.91258,10.2305,7.43631,5.9575,1.64104,0.407082,0,NA,NA,NA,NA
ACAP1,9744,6.3658,8.25199,6.44865,2.94853,11.6489,18.6773,25.1599,cerebral-cortex,glial-cells,Medium,Approved
ACAP2,23527,20.7891,25.2609,19.9836,32.378,34.7255,39.4118,13.2542,cerebral-cortex,glial-cells,Medium,Supported
ACAP3,116983,46.114,50.2859,44.8227,31.2821,53.1572,52.4878,36.0027,NA,NA,NA,NA
ACAT1,38,90.8896,90.1169,91.3143,92.6085,84.1599,86.0909,89.1473,cerebral-cortex,glial-cells,Low,Enhanced
ACAT2,39,12.351,13.8302,15.2492,14.2758,19.4531,18.8293,43.7266,cerebral-cortex,glial-cells,Medium,Enhanced
ACBD3,64746,50.4901,53.2254,65.3795,72.7919,56.1987,67.4011,45.1897,NA,NA,NA,NA
ACBD4,79777,1.72676,2.21315,1.90644,0.696293,0.86494,1.10984,1.45882,NA,NA,NA,NA
ACBD5,91452,5.81001,5.69055,7.8224,7.89311,7.81179,7.67209,4.55195,cerebral-cortex,glial-cells,Medium,Enhanced
ACBD6,84320,29.0731,28.0999,27.9879,26.0894,24.6761,22.6999,23.1484,cerebral-cortex,glial-cells,Low,Approved
ACBD7,414149,0.241284,0.0310718,0.39243,0.524261,0.17043,0,0.0760323,NA,NA,NA,NA
ACCS,84680,18.7042,23.1878,8.12905,7.52971,8.95755,9.7637,4.21648,cerebral-cortex,glial-cells,Medium,Approved
ACD,65057,11.5646,8.61202,12.0271,10.8557,10.7894,9.82831,9.42486,NA,NA,NA,NA
ACER2,340485,0.125,0.272499,0.457235,0.458232,0.972454,0.890479,1.25045,NA,NA,NA,NA
ACER3,55331,4.13982,4.70139,3.20816,3.8336,2.12652,2.83041,3.54656,NA,NA,NA,NA
ACHE,43,2.41058,0.821555,1.09209,2.34669,5.76926,0.444185,7.2796,NA,NA,NA,NA
ACIN1,22985,111.884,109.912,110.921,113.417,109.972,102.426,84.4257,cerebral-cortex,glial-cells,High,Supported
ACKR3,57007,0.956489,0.878797,3.27214,2.30498,0,0.0742225,0.997954,NA,NA,NA,NA
ACO1,48,27.5456,25.5084,24.567,28.3245,36.4952,40.8956,44.2231,cerebral-cortex,glial-cells,Low,Enhanced
ACO2,50,27.9445,25.5277,26.3106,26.3876,40.4845,39.6135,68.634,cerebral-cortex,glial-cells,High,Enhanced
ACOT1,641371,1.10754,1.23701,0.643664,0.659846,0.782087,1.52756,1.23457,NA,NA,NA,NA
ACOT11,26027,0.41507,0.337694,0.792794,0.455248,1.22835,1.14007,1.57406,NA,NA,NA,NA
ACOT13,55856,19.9068,20.0857,12.4397,11.0043,22.6139,25.6228,33.0198,NA,NA,NA,NA
ACOT2,10965,7.62202,7.06567,3.78295,2.82219,4.40523,4.51099,7.20366,NA,NA,NA,NA
ACOT4,122970,0.274172,0.193402,0.254941,0.13068,0.408741,0.389644,0.0788783,cerebral-cortex,glial-cells,High,Enhanced
ACOT7,11332,50.1157,48.2089,51.1615,46.8954,82.6514,89.8003,117.119,cerebral-cortex,glial-cells,Low,Enhanced
ACOT8,10005,10.0314,13.4862,13.1892,11.5883,15.7591,18.3366,25.8133,NA,NA,NA,NA
ACOT9,23597,40.3262,40.2403,37.7961,39.9756,55.3948,45.2313,45.0483,cerebral-cortex,glial-cells,Low,Supported
ACOX1,51,12.1005,12.4869,13.0955,14.3447,20.4376,15.9712,19.5542,cerebral-cortex,glial-cells,Low,Approved
ACOX2,8309,2.86739,2.95531,1.00317,1.88063,1.41254,2.50079,1.36432,NA,NA,NA,NA
ACOX3,8310,16.7905,11.2787,18.7508,10.7464,18.3752,26.873,27.9289,NA,NA,NA,NA
ACP1,52,84.9425,91.288,92.4529,83.2664,101.026,110.177,84.5145,cerebral-cortex,glial-cells,Low,Approved
ACP2,53,25.3612,25.1906,46.2141,39.9033,56.3539,53.9658,70.7713,NA,NA,NA,NA
ACP5,54,0.596389,1.06184,2.35859,3.52069,4.60061,6.99886,4.37627,NA,NA,NA,NA
ACRV1,56,0.0578032,0.193542,0.181251,0.178623,0,0,0,NA,NA,NA,NA
ACSF2,80221,17.0001,12.8641,22.8675,20.1048,31.2748,24.1548,29.7555,NA,NA,NA,NA
ACSF3,197322,16.6937,18.9517,18.3978,15.7793,23.1179,23.9476,22.5099,NA,NA,NA,NA
ACSL1,2180,29.0542,20.6841,14.3303,15.5689,28.7672,28.8246,27.6049,NA,NA,NA,NA
ACSL3,2181,83.1258,89.7414,81.6612,94.5571,93.0284,96.2082,63.9759,cerebral-cortex,glial-cells,Low,Approved
ACSL4,2182,39.6751,34.8373,67.7471,70.2376,67.3461,64.1129,33.3096,NA,NA,NA,NA
ACSL5,51703,0.280655,0.240414,0.199114,0.271147,0.311401,0.15914,1.60536,NA,NA,NA,NA
ACSM3,6296,0.318939,0.10671,0.053648,0,0.245462,0,0.0647701,NA,NA,NA,NA
ACSS1,84532,1.45864,1.46446,0.501329,0.507318,0.842504,0.462802,0.350562,NA,NA,NA,NA
ACSS2,55902,28.1442,25.7379,23.7344,22.546,50.2036,46.9102,78.6027,cerebral-cortex,glial-cells,Low,Approved
ACSS3,79611,0.402881,0.420365,1.09844,2.0392,0.552542,0.779142,0,NA,NA,NA,NA
ACTA1,58,0.178623,0.243004,0.347019,0.328383,0.288326,0.422389,0.363388,NA,NA,NA,NA
ACTA2,59,984.017,946.466,462.408,353.511,499.091,859.822,252.046,NA,NA,NA,NA
ACTA2-AS1,100132116,5.40325,5.84244,1.69188,1.5068,1.13218,1.32494,0.911218,NA,NA,NA,NA
ACTB,60,6340.63,5951.55,6795.74,7467.92,8543.53,9876.49,10154.7,NA,NA,NA,NA
ACTBL2,345651,0.241463,0.0806826,0.146238,0.122663,2.26436,3.13624,4.4688,NA,NA,NA,NA
ACTBP11,644220,4.12829,3.99161,5.91943,4.99958,7.18808,6.74796,6.40407,NA,NA,NA,NA
ACTBP2,62,41.1317,35.2859,50.6096,48.1292,64.4998,73.0722,64.6652,NA,NA,NA,NA
ACTBP7,67,0.249661,0.301907,0.373098,0.229485,0.403002,0.268356,0.138518,NA,NA,NA,NA
ACTBP9,69,0.843157,0.581838,1.11211,0.982809,1.55334,1.32398,1.47119,NA,NA,NA,NA
ACTC1,70,0.680582,1.12027,5.29286,4.29408,30.6463,35.0563,22.8715,NA,NA,NA,NA
ACTG1P1,73,0.0354756,0.15014,0.0371132,0.228248,0.350728,0.106767,0.091847,NA,NA,NA,NA
ACTG1P11,414754,2.99269,2.82731,2.94428,2.86545,0.201283,0.0536132,0.230611,NA,NA,NA,NA
ACTG1P2,74,2.70767,2.67652,3.09336,2.90366,0.201283,0.482519,0.59959,NA,NA,NA,NA
ACTG1P3,75,0.432689,0.26708,0.226311,0.348009,0.203745,0.325556,0.186731,NA,NA,NA,NA
ACTG2,72,386.316,364.206,1405.03,1128.7,103.664,195.08,137.541,NA,NA,NA,NA
ACTL10,170487,1.33323,1.10569,0.452329,0.431226,0.330798,0.596441,0.653095,NA,NA,NA,NA
ACTL6A,86,111.924,116.473,123.879,131.121,51.4182,103.108,102.267,cerebral-cortex,glial-cells,High,Supported
ACTN1,87,652.64,580.876,823.497,719.152,784.367,924.686,916.759,cerebral-cortex,glial-cells,Low,Approved
ACTN1-AS1,161159,0.605172,0.127186,0.486378,0,0.350604,1.62826,1.08907,NA,NA,NA,NA
ACTN4,81,641.453,592.834,1130.18,1055.7,1062.68,1089.48,1158.82,cerebral-cortex,glial-cells,Low,Supported
ACTN4P1,344978,3.05478,2.28489,3.30577,2.93706,4.87246,6.22159,5.65936,NA,NA,NA,NA
ACTR10,55860,56.0122,67.282,64.9046,77.036,85.0541,80.9664,94.887,NA,NA,NA,NA
ACTR1A,10121,96.354,92.9559,89.6323,88.0908,131.086,123.909,184.333,NA,NA,NA,NA
ACTR1B,10120,21.7973,21.5971,24.8326,21.2599,30.8039,31.1633,25.7963,NA,NA,NA,NA
ACTR2,10097,148.774,140.827,155.074,166.571,149.304,148.912,77.1073,cerebral-cortex,glial-cells,Low,Approved
ACTR3,10096,281.419,271.899,355.907,357.854,367.841,381.749,270.328,cerebral-cortex,glial-cells,Low,Approved
ACTR3B,57180,2.43472,1.93913,5.71918,3.84,3.94861,1.85512,4.22269,NA,NA,NA,NA
ACTR3C,653857,0.552214,0.219113,0.722084,0.518124,0.487431,0.806559,0.268062,NA,NA,NA,NA
ACTR3P2,100129013,1.40279,2.44085,2.70662,3.17583,2.86189,2.67386,1.37212,NA,NA,NA,NA
ACTR5,79913,3.15411,2.46454,3.48562,3.13971,2.28448,2.3366,2.82698,NA,NA,NA,NA
ACTR6,64431,6.63459,8.83438,12.4041,11.7444,7.88499,8.33098,3.91433,NA,NA,NA,NA
ACTR8,93973,24.5687,23.1781,24.2683,20.1297,20.8205,18.3044,19.5202,NA,NA,NA,NA
ACTRT3,84517,1.24075,1.46567,2.00488,2.17153,2.34512,2.194,2.5231,NA,NA,NA,NA
ACVR1,90,21.4643,22.7344,24.66,27.1699,24.3152,29.9068,23.123,cerebral-cortex,glial-cells,Low,Approved
ACVR1B,91,12.1064,8.75782,7.14482,4.96792,5.63557,7.76447,9.49829,NA,NA,NA,NA
ACVR1C,130399,0.00748634,0.0325467,0.132456,0.165059,0.107243,0.0941112,0.0398643,cerebral-cortex,glial-cells,Medium,Approved
ACVR2A,92,3.02054,2.30649,3.47112,4.33606,1.80102,1.32458,1.91935,cerebral-cortex,glial-cells,Low,Approved
ACVR2B,93,0.245893,0.269305,0.450217,0.410113,0.222186,0.177838,0.164105,NA,NA,NA,NA
ACVRL1,94,4.86783,5.20203,2.01295,2.12688,5.00997,2.84887,6.39411,NA,NA,NA,NA
ACY1,95,10.598,10.1371,9.12484,8.12242,11.3628,11.553,17.8808,NA,NA,NA,NA
ACYP1,97,6.80547,6.98561,6.69126,4.32025,8.46132,6.29233,6.0421,cerebral-cortex,glial-cells,Low,Approved
ACYP2,98,7.8914,8.22597,8.58794,6.98768,13.116,12.8984,16.0089,NA,NA,NA,NA
ADA,100,7.89489,7.74774,5.32508,3.61191,9.41978,11.4112,13.9401,NA,NA,NA,NA
ADAL,161823,4.24495,3.52949,3.52094,4.07046,2.92794,2.9088,2.28443,NA,NA,NA,NA
ADAM10,102,86.4746,91.3929,105.792,118.23,103.437,91.5066,58.598,NA,NA,NA,NA
ADAM11,4185,0.0409477,0.0954399,0.233216,0.0616568,0.0524812,0.224036,0.0489264,cerebral-cortex,glial-cells,Medium,Enhanced
ADAM12,8038,45.4621,42.7418,72.6616,70.2291,4.93469,7.81126,14.1694,NA,NA,NA,NA
ADAM15,8751,75.1087,67.1588,37.9535,42.4187,80.3094,89.4135,76.9152,NA,NA,NA,NA
ADAM17,6868,7.10329,7.30752,10.2584,11.0119,8.12413,8.11443,6.09546,cerebral-cortex,glial-cells,Low,Approved
ADAM19,8728,26.239,23.0608,164.874,163.99,94.1642,136.268,69.429,NA,NA,NA,NA
ADAM1A,8759,0.901404,1.00352,1.24821,1.12763,1.01036,0.792003,0.439593,NA,NA,NA,NA
ADAM21,8747,0.0746376,0.0631796,0.141087,0.114935,0.132452,0.0673872,0.163223,NA,NA,NA,NA
ADAM23,8745,17.7163,12.4604,8.17066,6.16874,50.1961,43.3007,23.0064,cerebral-cortex,glial-cells,Low,Approved
ADAM32,203102,0.217623,0.113463,1.39918,0.305624,0.939659,1.84072,0.209499,NA,NA,NA,NA
ADAM33,80332,3.06162,3.39847,17.0643,13.2589,0.232765,0.213287,0.0393217,NA,NA,NA,NA
ADAM8,101,0.468916,0.735399,0.636615,0.877184,1.4043,1.88788,0.379087,NA,NA,NA,NA
ADAM9,8754,131.344,128.769,173.212,210.709,323.672,343.892,91.83,NA,NA,NA,NA
ADAMTS1,9510,178.803,149.782,23.5727,23.3393,51.2631,46.4295,103.163,NA,NA,NA,NA
ADAMTS12,81792,13.6505,12.4776,37.9795,35.156,56.421,54.6724,113.739,NA,NA,NA,NA
ADAMTS14,140766,6.70647,6.13695,3.91654,3.52356,0.248053,0.420926,3.69153,NA,NA,NA,NA
ADAMTS15,170689,6.98251,7.61754,0.188906,0.142021,0.340055,0.244556,0.950758,NA,NA,NA,NA
ADAMTS16,170690,1.58736,1.19521,1.18555,0.241006,0.0662291,0.106656,0.293598,NA,NA,NA,NA
ADAMTS19,171019,0.187949,0.179952,0,0,0.0303095,0.188674,0.0811828,NA,NA,NA,NA
ADAMTS2,9509,49.2269,49.3306,4.45055,2.9529,0.413883,0.107549,11.9358,NA,NA,NA,NA
ADAMTS3,9508,1.45973,1.58186,1.33973,1.37348,1.19283,0.673147,0.86201,NA,NA,NA,NA
ADAMTS4,9507,0.493392,0.520441,0.0195566,0.240624,0.00485879,0.00517956,0.00445589,NA,NA,NA,NA
ADAMTS5,11096,0.84375,0.963572,0.104984,0.123575,0.0997413,0.100674,0.192489,NA,NA,NA,NA
ADAMTS6,11174,11.3426,9.17526,14.3745,10.4085,11.1844,10.6934,3.13051,NA,NA,NA,NA
ADAMTS7,11173,13.8373,13.0809,3.23663,2.26277,2.07953,2.22516,3.55726,NA,NA,NA,NA
ADAMTS7P4,642935,0.122437,0.259102,0,0,0.345933,0.933863,0.792374,NA,NA,NA,NA
ADAMTS9,56999,0.226418,0.536712,2.33667,2.50368,0,0.0166932,0.236409,NA,NA,NA,NA
ADAMTSL1,92949,23.5718,22.9165,28.38,20.8574,71.0703,55.8633,76.9062,NA,NA,NA,NA
ADAMTSL4,54507,2.47593,2.0301,1.06869,0.819267,4.23941,5.29273,2.50486,cerebral-cortex,glial-cells,Medium,Approved
ADAMTSL4-AS1,574406,0.341876,0.120581,0.357634,0,0.321972,0,0.44251,NA,NA,NA,NA
ADAMTSL5,339366,14.4755,10.6656,9.74084,8.87576,13.2154,12.3133,10.0299,NA,NA,NA,NA
ADAP1,11033,1.06028,1.28345,0.744666,0.551083,0.47635,0.910476,2.38728,NA,NA,NA,NA
ADAP2,55803,0.333827,0.398638,0.21615,0.617595,0.987452,0.51028,2.38803,NA,NA,NA,NA
ADAR,103,56.0978,53.214,48.5821,55.1348,26.3807,22.2509,38.8031,cerebral-cortex,glial-cells,Medium,Enhanced
ADARB1,104,29.5717,23.5894,10.0857,7.89378,20.1336,17.8559,20.5738,NA,NA,NA,NA
ADAT1,23536,26.9692,26.0824,22.9744,26.9873,20.3562,17.8069,25.4316,NA,NA,NA,NA
ADAT2,134637,2.56682,2.5336,2.56388,2.42583,2.46326,1.9952,1.10677,NA,NA,NA,NA
ADAT3,113179,1.88024,1.37713,1.917,1.48602,1.45628,1.48441,1.46457,NA,NA,NA,NA
ADCK1,57143,1.95855,2.32241,3.14935,2.53541,2.37023,2.25871,3.86578,NA,NA,NA,NA
ADCK2,90956,5.49837,4.77137,4.06102,4.33955,9.88755,10.6184,8.00226,cerebral-cortex,glial-cells,Medium,Approved
ADCY1,107,0.198651,0.233526,0.180084,0.142005,0.207695,0.0332053,0.0929082,NA,NA,NA,NA
ADCY10P1,221442,0.571567,0.896382,0.588732,0.379983,0.23466,0.490133,0.216007,NA,NA,NA,NA
ADCY2,108,0.0452232,0,1.46154,1.29627,0,0,0.383006,cerebral-cortex,glial-cells,Low,Approved
ADCY3,109,70.1873,68.0594,42.8532,40.2985,22.7272,22.193,15.0781,cerebral-cortex,glial-cells,Low,Approved
