SYMBOL	ENTREZID	Ctrl.1	Ctrl.2	Ctrl.3	Ctrl.4	Ctrl.5	Ctrl.6	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
ABCA17P	650655	0.100263	0.611433	0.288035	0.418323	0.5276	0.149145	NA	NA	NA	NA
ABCA2	20	17.3746	13.4651	25.3258	17.7233	17.3091	24.9081	cerebral-cortex	glial-cells	Medium	Approved
ABCA3	21	20.343	14.6668	20.4614	16.0498	20.639	10.1438	NA	NA	NA	NA
ABCA4	24	0.396896	0.282937	0.033796	0.329653	0.271228	0.0869117	NA	NA	NA	NA
ABCA5	23461	1.8569	0.990356	6.11605	5.20938	4.54842	4.91072	cerebral-cortex	glial-cells	Low	Approved
ABCA7	10347	4.31756	6.36085	3.15925	5.61945	5.55579	5.69407	NA	NA	NA	NA
ABCA8	10351	30.8083	5.92516	17.2899	5.65156	17.5898	19.5108	NA	NA	NA	NA
ABCB1	5243	0.79636	3.82021	1.19338	2.33505	0.901293	0.628617	NA	NA	NA	NA
ABCB10	23456	2.85846	3.94752	4.12714	5.11263	3.58002	3.76847	NA	NA	NA	NA
ABCB4	5244	0.239915	2.61975	0.939829	1.46556	0.475974	0.389886	NA	NA	NA	NA
ABCB5	340273	0.123543	0.152823	0.305772	0.3258	0.0911439	0.336954	NA	NA	NA	NA
ABCB6	10058	32.1078	25.3044	23.2152	21.6412	16.0685	29.0453	NA	NA	NA	NA
ABCB7	22	17.659	22.4029	18.0745	17.5226	18.241	18.2494	NA	NA	NA	NA
ABCB8	11194	9.9396	11.866	14.5852	12.5806	10.3105	13.2553	cerebral-cortex	glial-cells	Low	Approved
ABCB9	23457	1.53868	1.65062	2.51505	5.4706	2.36893	1.66737	cerebral-cortex	glial-cells	Medium	Approved
ABCC1	4363	2.01388	2.99661	2.83391	5.81145	2.82368	3.35166	NA	NA	NA	NA
ABCC10	89845	8.34055	8.16002	7.57317	7.30491	6.7983	6.91445	cerebral-cortex	glial-cells	Low	Approved
ABCC11	85320	0.17399	0.320604	0.19866	0.0394022	0.405918	0.202267	cerebral-cortex	glial-cells	Low	Approved
ABCC2	1244	0.0521421	0.102255	0.301394	0.283843	0.0549619	0.105688	NA	NA	NA	NA
ABCC3	8714	1.46467	0.0878024	1.86577	1.9781	2.29202	1.70814	NA	NA	NA	NA
ABCC4	10257	14.1455	6.70228	7.5138	6.40169	21.9393	26.4569	NA	NA	NA	NA
ABCC5	10057	16.5665	19.8481	12.9918	21.7518	13.5267	16.2378	NA	NA	NA	NA
ABCC6	368	0.642054	1.51457	2.38863	1.5625	1.33764	1.30638	NA	NA	NA	NA
ABCC6P1	653190	2.82003	4.55026	3.77269	4.18947	1.46393	0.822299	NA	NA	NA	NA
ABCC6P2	730013	0.774857	0.675361	0.474409	0.466002	1.2967	1.12184	NA	NA	NA	NA
ABCC8	6833	0	0	0.433108	0.0397296	0.174162	0.121788	NA	NA	NA	NA
ABCC9	10060	22.3898	33.4392	15.6567	20.2081	11.7691	8.82644	NA	NA	NA	NA
ABCD2	225	3.56463	3.91874	3.38111	4.48627	4.7793	2.07713	NA	NA	NA	NA
ABCD3	5825	47.0184	50.236	44.6882	42.822	35.1076	37.8997	cerebral-cortex	glial-cells	High	Enhanced
ABCD4	5826	22.2211	31.9208	29.5141	41.0029	28.1414	33.4768	NA	NA	NA	NA
ABCE1	6059	52.6543	57.6751	37.9164	36.0291	38.0787	43.6352	cerebral-cortex	glial-cells	Medium	Approved
ABCF2	10061	43.6418	39.4999	34.7525	30.4513	43.0785	39.79	cerebral-cortex	glial-cells	Low	Approved
ABCF2P1	344653	0.559895	0.460116	0.146913	0.1298	0.0872952	0.231605	NA	NA	NA	NA
ABCF3	55324	45.7065	40.8072	33.4743	36.6603	37.838	39.2709	cerebral-cortex	glial-cells	High	Approved
ABCG1	9619	0.0739512	0.177117	0.719825	1.09607	0.860829	0.367602	NA	NA	NA	NA
ABCG4	64137	0.42872	0.480022	0.4174	0.854119	0.673885	0.266119	NA	NA	NA	NA
ABCG5	64240	0.164682	0.110728	0.141198	0.0638734	0.0616228	0.05607	NA	NA	NA	NA
ABHD1	84696	1.25061	2.52295	1.69746	2.71459	1.41209	2.25782	NA	NA	NA	NA
ABHD10	55347	32.7534	28.9725	32.4713	31.3304	35.0785	40.7965	cerebral-cortex	glial-cells	Low	Supported
ABHD11	83451	0.523576	0.134443	0.116019	0.294683	0	1.26195	cerebral-cortex	glial-cells	Low	Approved
ABHD12	26090	29.3411	26.0147	24.9249	22.5617	25.1467	31.9332	NA	NA	NA	NA
ABHD12B	145447	0.230374	0	0.318967	0.506109	0.514933	0.127994	NA	NA	NA	NA
ABHD13	84945	4.65606	4.51037	4.70721	4.15679	4.75604	5.12997	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A	25864	13.8444	10.7292	13.8595	14.3819	18.8338	10.4326	cerebral-cortex	glial-cells	Medium	Approved
ABHD14A-ACY1	100526760	0.136347	0.189846	0.206611	0.216466	0.149992	0.140694	NA	NA	NA	NA
ABHD14B	84836	2.44386	1.72334	1.5538	1.6612	2.68365	1.47563	cerebral-cortex	glial-cells	Low	Supported
ABHD15	116236	2.42644	1.95996	1.75641	1.59303	2.42743	1.79578	cerebral-cortex	glial-cells	Low	Approved
ABHD16B	140701	1.52712	1.66457	1.56003	2.12815	1.34815	1.54178	NA	NA	NA	NA
ABHD17A	81926	11.2168	10.586	10.6041	9.36855	9.62842	8.71476	NA	NA	NA	NA
ABHD17AP3	648359	0.0711924	0.260594	0.261513	0.519852	0.0932358	0.371034	NA	NA	NA	NA
ABHD17B	51104	6.35628	7.95234	6.93743	8.73921	8.82172	7.83242	NA	NA	NA	NA
ABHD17C	58489	14.1528	6.89142	19.7595	10.671	8.82968	14.8346	NA	NA	NA	NA
ABHD2	11057	32.5404	28.3684	45.9428	46.8261	48.4598	38.7817	cerebral-cortex	glial-cells	Low	Approved
ABHD3	171586	11.5481	13.7414	9.08353	9.36773	7.88621	6.78531	cerebral-cortex	glial-cells	Low	Approved
ABHD4	63874	19.5849	24.5488	34.1183	22.4043	20.3635	19.1513	NA	NA	NA	NA
ABHD5	51099	15.2091	18.3425	10.6052	11.4554	11.0451	12.4377	NA	NA	NA	NA
ABHD6	57406	20.966	20.4578	15.916	13.6334	16.8068	27.4326	NA	NA	NA	NA
ABHD8	79575	8.15468	5.77838	6.72286	8.06038	7.2199	7.47904	NA	NA	NA	NA
ABI1	10006	51.3085	44.0945	43.3583	45.1984	46.6534	46.6679	NA	NA	NA	NA
ABI2	10152	123.363	109.487	130.796	118.814	116.913	99.9445	NA	NA	NA	NA
ABI3BP	25890	0.0948715	1.37067	0.256196	0.953415	0.480844	0.917968	NA	NA	NA	NA
ABL1	25	20.9672	21.0625	26.4426	24.5524	24.4062	21.3564	cerebral-cortex	glial-cells	Low	Supported
ABL2	27	3.76612	4.51572	4.07126	5.38122	2.77369	6.26428	NA	NA	NA	NA
ABLIM1	3983	62.3375	40.9741	72.6826	49.0621	68.2049	33.8168	cerebral-cortex	glial-cells	Low	Approved
ABLIM2	84448	2.78629	2.6774	4.17976	4.04481	2.44362	1.19246	NA	NA	NA	NA
ABLIM3	22885	0.407908	0.144733	0.511976	0.0954527	0.507071	0.652025	cerebral-cortex	glial-cells	Medium	Approved
ABR	29	109.625	122.96	80.5109	64.1037	88.2451	130.597	cerebral-cortex	glial-cells	Low	Enhanced
ABRACL	58527	23.4974	31.2194	15.7556	13.4601	12.9244	16.7278	NA	NA	NA	NA
ABT1P1	100420695	0	0	0.0789632	0.43607	0.0469195	0.151412	NA	NA	NA	NA
ABTB1	80325	1.65403	1.02158	1.02443	3.75429	1.92523	1.96128	NA	NA	NA	NA
ABTB2	25841	1.00382	1.14592	1.43294	1.82078	1.55849	0.801659	cerebral-cortex	glial-cells	High	Approved
ACAA1	30	17.6656	25.412	25.29	33.3268	25.8773	21.6556	NA	NA	NA	NA
ACAA2	10449	20.6338	23.599	30.5217	29.2236	30.4007	22.2959	NA	NA	NA	NA
ACACA	31	34.0345	32.7822	43.2031	38.8408	31.6951	44.3914	NA	NA	NA	NA
ACACB	32	8.48002	10.2449	16.2853	9.80479	10.1059	9.40944	NA	NA	NA	NA
ACAD10	80724	14.8984	11.9405	14.5094	13.1043	11.3063	13.5876	NA	NA	NA	NA
ACAD11	84129	24.6853	24.5072	22.2589	25.3901	28.8806	19.2896	NA	NA	NA	NA
ACAD8	27034	15.1837	17.4702	15.8178	16.4149	13.8557	11.0767	cerebral-cortex	glial-cells	Medium	Enhanced
ACAD9	28976	19.0591	21.1037	22.373	17.776	19.9676	20.1917	cerebral-cortex	glial-cells	Medium	Supported
ACADL	33	0.941989	2.26875	4.40691	3.10515	1.66216	1.3682	NA	NA	NA	NA
ACADM	34	44.775	46.7622	40.7217	42.2521	46.2677	39.9125	cerebral-cortex	glial-cells	Low	Enhanced
ACADS	35	2.04475	2.1049	2.69003	3.22793	2.95614	1.66955	cerebral-cortex	glial-cells	Low	Enhanced
ACADSB	36	3.04811	3.66482	7.91147	7.60517	5.02471	4.20496	NA	NA	NA	NA
ACADVL	37	288.172	245.14	265.813	209.606	250.672	256.036	cerebral-cortex	glial-cells	Low	Enhanced
ACAN	176	0.277635	3.21242	0.149197	0.280331	0.170445	2.37355	NA	NA	NA	NA
ACAP1	9744	10.4722	4.29201	11.2949	16.4415	14.1157	13.3091	cerebral-cortex	glial-cells	Medium	Approved
ACAP2	23527	55.085	53.2084	50.2496	50.5633	46.783	52.8333	cerebral-cortex	glial-cells	Medium	Supported
ACAP2-IT1	100874306	0.408929	1.21152	1.30158	2.1009	0.416515	2.20975	NA	NA	NA	NA
ACAP3	116983	32.4121	32.1538	31.8179	32.7569	29.0683	25.8864	NA	NA	NA	NA
ACAT1	38	131.832	122.386	101.724	85.4823	131.996	111.393	cerebral-cortex	glial-cells	Low	Enhanced
ACAT2	39	79.0634	79.7295	62.5661	73.6303	79.9046	65.2842	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD3	64746	35.0093	36.1132	31.3494	30.9341	29.6317	40.6691	NA	NA	NA	NA
ACBD4	79777	2.59177	2.77799	4.66691	3.21138	5.00126	3.02444	NA	NA	NA	NA
ACBD5	91452	37.3382	37.8722	31.4715	29.7795	34.6216	34.6443	cerebral-cortex	glial-cells	Medium	Enhanced
ACBD6	84320	27.4577	25.1314	34.8162	31.39	35.872	48.7215	cerebral-cortex	glial-cells	Low	Approved
ACBD7	414149	8.20241	7.21135	6.28836	5.83558	8.06219	4.26586	NA	NA	NA	NA
ACCS	84680	2.76886	2.51596	6.71466	0.3054	0.8772	0.198681	cerebral-cortex	glial-cells	Medium	Approved
ACD	65057	17.5431	15.2306	16.9836	13.5022	15.5523	13.9788	NA	NA	NA	NA
ACE2	59272	0.621726	0.392953	0.166936	0.118549	0.154901	0.26677	NA	NA	NA	NA
ACER2	340485	0.863549	1.37073	1.704	1.55874	1.22309	0.764897	NA	NA	NA	NA
ACER3	55331	3.8259	3.93147	4.7811	4.34193	3.94116	3.66947	NA	NA	NA	NA
ACHE	43	1.12624	1.73987	3.10807	3.36509	2.75846	2.1766	NA	NA	NA	NA
ACIN1	22985	90.5188	88.9644	84.3186	102.365	78.7861	106.292	cerebral-cortex	glial-cells	High	Supported
ACKR3	57007	6.71692	5.61568	5.05467	4.58379	8.10289	6.73811	NA	NA	NA	NA
ACKR4	51554	0.0389002	0.0406827	0.0571605	0.476066	0.0169804	0.112625	NA	NA	NA	NA
ACLY	47	1.2974	0.313637	0.458454	0.460076	1.01742	0.139123	cerebral-cortex	glial-cells	Low	Enhanced
ACMSD	130013	0.883979	0.251004	0.563525	0.883143	0.317476	1.16885	NA	NA	NA	NA
ACO1	48	13.3395	16.1567	13.8788	13.6996	15.6943	13.0094	cerebral-cortex	glial-cells	Low	Enhanced
ACO2	50	59.6628	47.973	46.7139	37.255	51.467	51.178	cerebral-cortex	glial-cells	High	Enhanced
ACOT1	641371	0.153698	0.162763	0.161883	0.46482	0.0543699	0.108188	NA	NA	NA	NA
ACOT11	26027	0.344401	0.391832	0.199359	0.18282	0.218853	0.352924	NA	NA	NA	NA
ACOT12	134526	0.138955	0.328672	0.166757	0.181159	0.123444	0.645591	NA	NA	NA	NA
ACOT13	55856	26.6504	21.0099	10.2792	8.08814	16.8787	15.0761	NA	NA	NA	NA
ACOT2	10965	0.762429	1.46928	2.56123	2.23397	0.981564	0.711369	NA	NA	NA	NA
ACOT7	11332	7.46249	7.22226	9.7724	10.135	10.2941	7.13181	cerebral-cortex	glial-cells	Low	Enhanced
ACOT8	10005	24.0572	19.174	16.6075	15.6231	17.055	16.3653	NA	NA	NA	NA
ACOT9	23597	21.524	18.9496	20.3957	19.1424	18.1518	15.7897	cerebral-cortex	glial-cells	Low	Supported
ACOX1	51	82.6829	73.1734	61.6917	88.1136	82.0966	72.1331	cerebral-cortex	glial-cells	Low	Approved
ACOX2	8309	3.59824	3.73605	7.8532	8.29338	5.96994	2.23972	NA	NA	NA	NA
ACOX3	8310	7.09734	11.6798	11.3359	9.71099	14.0566	9.5054	NA	NA	NA	NA
ACP1	52	85.2874	82.9193	81.087	72.3974	87.1837	82.5267	cerebral-cortex	glial-cells	Low	Approved
ACP2	53	40.3851	30.0809	31.9295	24.6127	35.4832	28.5041	NA	NA	NA	NA
ACP5	54	0	0.0721536	0.413263	0.0898144	0.163489	0.162875	NA	NA	NA	NA
ACRBP	84519	0.530439	1.08425	0.275494	0.584787	0.594095	0.905702	NA	NA	NA	NA
ACRV1	56	0.474027	0.742458	0.426091	0.753401	0.584372	0.777904	NA	NA	NA	NA
ACSBG1	23205	0.992248	3.22628	2.49469	5.8731	6.47234	0.361303	cerebral-cortex	glial-cells	High	Approved
ACSBG2	81616	0.546941	0.650128	1.2486	1.04234	0.120479	0.456591	NA	NA	NA	NA
ACSF2	80221	8.12001	8.91829	12.5504	11.7847	18.9498	11.7624	NA	NA	NA	NA
ACSF3	197322	35.5346	24.1384	23.012	22.8413	31.3325	24.3095	NA	NA	NA	NA
ACSL1	2180	1.4922	2.06245	3.16808	2.45165	2.45646	1.47425	NA	NA	NA	NA
ACSL3	2181	61.9846	76.0258	56.0417	69.7938	72.1213	53.9727	cerebral-cortex	glial-cells	Low	Approved
ACSL4	2182	12.2049	11.8825	7.22226	10.8326	15.4621	11.5153	NA	NA	NA	NA
ACSL5	51703	0.173047	0.255777	0.232202	0.368585	0.103872	0.482783	NA	NA	NA	NA
ACSL6	23305	2.98324	1.18211	6.1145	4.04402	6.96411	2.55566	cerebral-cortex	glial-cells	Medium	Enhanced
ACSM3	6296	2.74243	3.10396	1.51492	2.16156	3.9151	3.18862	NA	NA	NA	NA
ACSS1	84532	1.22757	4.27233	2.02671	4.14905	2.88833	1.68675	NA	NA	NA	NA
ACSS2	55902	21.718	24.8035	26.4696	31.436	24.0354	17.2822	cerebral-cortex	glial-cells	Low	Approved
ACSS3	79611	30.8503	43.2571	24.1774	18.8719	25.1683	17.5876	NA	NA	NA	NA
ACTA1	58	0.194824	0.237731	0.286277	0.586736	0.202936	0.302276	NA	NA	NA	NA
ACTA2	59	66.0173	119.43	40.0328	122.269	156.446	112.366	NA	NA	NA	NA
ACTA2-AS1	100132116	0.216881	0.278292	0.0482969	0.414005	0.268082	0.157436	NA	NA	NA	NA
ACTB	60	925.952	1315.92	1536.13	1489	1809.93	1229.34	NA	NA	NA	NA
ACTBP2	62	3.10753	4.15724	4.46004	4.39789	2.33464	1.67408	NA	NA	NA	NA
ACTBP7	67	0.505394	0.113256	1.96243	1.28865	0.50424	0.292659	NA	NA	NA	NA
ACTC1	70	0	2.11951	0.0125351	0.12409	0.132561	0.442426	NA	NA	NA	NA
ACTG1	71	4.48013	3.6772	4.05581	5.56647	3.18619	7.13611	cerebral-cortex	glial-cells	Low	Approved
ACTG1P1	73	0.718008	0.638328	0.791285	0.640853	0.720941	1.34814	NA	NA	NA	NA
ACTG1P3	75	0.0729806	0.26716	0.697049	0.888249	0.0955811	0.718499	NA	NA	NA	NA
ACTG1P4	648740	0.0361934	0.183737	0.143525	0.239753	0.252652	0.533351	NA	NA	NA	NA
ACTG2	72	0.27487	3.50541	0.331553	0.555757	3.32678	3.16501	NA	NA	NA	NA
ACTL10	170487	0.838766	0.400496	0.535869	0.798938	0.448229	0.612464	NA	NA	NA	NA
ACTL6A	86	72.4832	89.1123	48.3013	72.1559	78.1613	79.0904	cerebral-cortex	glial-cells	High	Supported
ACTL6B	51412	0.17797	2.88921	0.714228	3.06477	2.06429	3.15571	NA	NA	NA	NA
ACTN1	87	55.3757	54.4474	39.3018	48.9408	63.2343	40.3041	cerebral-cortex	glial-cells	Low	Approved
ACTN1-AS1	161159	0.334884	0.350273	0	0.271726	0.219295	0.290908	NA	NA	NA	NA
ACTN2	88	0.9355	3.696	7.98224	6.72802	3.84477	5.0562	NA	NA	NA	NA
ACTN4	81	139.883	183.252	176.984	172.132	161.085	109.463	cerebral-cortex	glial-cells	Low	Supported
ACTN4P1	344978	0.746246	0.696882	0.54827	0.605505	0.791178	0.524774	NA	NA	NA	NA
ACTR10	55860	135.382	122.088	98.2005	98.4322	93.3349	107.09	NA	NA	NA	NA
ACTR1A	10121	69.2698	65.8406	62.6256	64.93	77.9508	75.7307	NA	NA	NA	NA
ACTR1B	10120	18.725	19.101	19.5423	17.4787	21.5666	14.6617	NA	NA	NA	NA
ACTR2	10097	30.5272	31.7938	38.3087	30.3873	28.2072	31.8984	cerebral-cortex	glial-cells	Low	Approved
ACTR3	10096	298.71	181.383	180.519	135.386	258.711	241.683	cerebral-cortex	glial-cells	Low	Approved
ACTR3B	57180	3.92657	7.25585	4.2346	4.86473	3.6013	2.95967	NA	NA	NA	NA
ACTR3C	653857	0.558816	1.09534	0.609099	1.02021	0.121978	1.21355	NA	NA	NA	NA
ACTR3P2	100129013	1.19884	0.923913	1.01986	0.819149	0.964088	1.1693	NA	NA	NA	NA
ACTR5	79913	3.14308	3.47573	2.30923	3.13475	3.11589	3.18539	NA	NA	NA	NA
ACTR6	64431	15.5208	16.6796	12.9707	13.7892	14.3338	15.9321	NA	NA	NA	NA
ACTR8	93973	24.6626	25.4962	20.3205	29.7306	29.1243	25.0597	NA	NA	NA	NA
ACTRT3	84517	0.0568473	0.115886	0.162809	0.149838	0.225728	0.0427775	NA	NA	NA	NA
ACVR1	90	1.52368	3.08684	2.47587	5.26089	3.07193	3.98057	cerebral-cortex	glial-cells	Low	Approved
ACVR1B	91	7.91433	9.45333	8.2398	8.18931	7.6054	10.263	NA	NA	NA	NA
ACVR2A	92	22.1496	21.9198	15.888	18.8019	20.3444	25.7608	cerebral-cortex	glial-cells	Low	Approved
ACVR2B	93	7.05164	9.26604	6.34856	10.8362	7.0084	7.22421	NA	NA	NA	NA
ACVR2B-AS1	100128640	0.230143	0.601773	0.549532	1.07374	0.6405	0.716383	NA	NA	NA	NA
ACY1	95	5.58567	4.36227	5.54989	5.06394	7.21234	6.39483	NA	NA	NA	NA
ACYP1	97	8.74762	10.2848	9.36509	10.248	6.86471	6.99709	cerebral-cortex	glial-cells	Low	Approved
ACYP2	98	13.4143	14.6213	10.4856	13.1836	15.217	11.7106	NA	NA	NA	NA
ADA	100	2.24712	2.52748	2.50083	2.95957	4.07	1.67332	NA	NA	NA	NA
ADAL	161823	10.0105	8.92745	7.38921	6.96662	7.66174	10.1077	NA	NA	NA	NA
ADAM10	102	109.652	96.1269	96.1067	78.2169	96.0738	106.046	NA	NA	NA	NA
ADAM11	4185	0.658198	0.471958	1.43449	0.822492	0.705991	1.24112	cerebral-cortex	glial-cells	Medium	Enhanced
ADAM12	8038	6.9267	7.27172	9.41824	10.5241	14.1974	6.68506	NA	NA	NA	NA
ADAM15	8751	15.4871	10.4988	25.8766	18.7999	19.7742	17.9215	NA	NA	NA	NA
ADAM17	6868	28.8048	26.531	27.5887	27.1755	29.0454	29.546	cerebral-cortex	glial-cells	Low	Approved
ADAM19	8728	7.07338	7.38743	4.18054	3.60417	8.17716	8.6836	NA	NA	NA	NA
ADAM1A	8759	2.9655	3.97099	4.2188	3.95063	3.76562	4.3438	NA	NA	NA	NA
ADAM1B	100420505	0.148143	0.154945	0.380944	0.36061	0.27486	0.514756	NA	NA	NA	NA
ADAM20	8748	0.102739	0.13432	0.30193	0.521014	0.213044	0.594985	NA	NA	NA	NA
ADAM20P1	317760	0.0618982	0.0672214	0.536415	0.274013	0.309499	0.739611	NA	NA	NA	NA
ADAM21	8747	0.406755	0.347862	0.377396	0.80882	0.211247	0.489953	NA	NA	NA	NA
ADAM21P1	145241	0.0721038	0.05656	0.0794627	0.175521	0.125916	0.104397	NA	NA	NA	NA
ADAM22	53616	7.16486	7.45865	5.63604	8.08922	6.16361	7.80194	NA	NA	NA	NA
ADAM23	8745	15.7668	19.6822	18.0725	17.1163	11.5368	9.9117	cerebral-cortex	glial-cells	Low	Approved
ADAM28	10863	0.337721	1.12654	0.390615	0.738789	0.730298	0.526004	NA	NA	NA	NA
ADAM32	203102	9.96304	8.00031	9.327	14.4939	7.68052	13.6819	NA	NA	NA	NA
ADAM33	80332	0.0621397	0.341793	0.215055	0.734818	0.526285	0.137801	NA	NA	NA	NA
ADAM3B	1596	0.10428	0.109068	0.459689	0.930762	0.409718	0.603909	NA	NA	NA	NA
ADAM5	255926	0.817154	0.873134	0.339326	0.295247	0.711257	0.643979	NA	NA	NA	NA
ADAM8	101	0.454569	0.661722	1.7645	0.382874	0.55895	0.57689	NA	NA	NA	NA
ADAM9	8754	336.132	239.473	244.44	194.913	268.287	243.579	NA	NA	NA	NA
ADAMTS1	9510	2.92436	4.33324	4.47541	4.77775	13.9574	7.24466	NA	NA	NA	NA
ADAMTS10	81794	0	0	0.595976	0.850828	0	0	NA	NA	NA	NA
ADAMTS12	81792	5.42665	8.20347	9.85906	14.2384	10.0219	11.988	NA	NA	NA	NA
ADAMTS14	140766	0.632085	1.4038	0.677248	0.874678	0.408144	1.63212	NA	NA	NA	NA
ADAMTS15	170689	42.3409	25.0863	14.4484	6.95018	9.49478	29.7986	NA	NA	NA	NA
ADAMTS16	170690	32.5017	11.261	31.985	44.9681	48.2999	66.1909	NA	NA	NA	NA
ADAMTS17	170691	1.0107	0.503193	0.892867	4.37212	2.39283	0.831022	NA	NA	NA	NA
ADAMTS18	170692	0.310513	0.0744438	0.569462	0.110193	0.28574	0.185614	NA	NA	NA	NA
ADAMTS19	171019	0.0529502	0.1298	0.303298	0.102905	0.166941	0.997721	NA	NA	NA	NA
ADAMTS2	9509	2.84216	1.98318	1.00394	0.440459	1.09364	3.98815	NA	NA	NA	NA
ADAMTS20	80070	0.0113403	0.0405269	0.527404	0.0946208	0.821874	0.846578	NA	NA	NA	NA
ADAMTS3	9508	30.9067	19.7741	20.6328	24.7072	33.3112	11.74	NA	NA	NA	NA
ADAMTS4	9507	6.91493	0.711228	1.80914	2.60687	4.52366	8.84533	NA	NA	NA	NA
ADAMTS6	11174	6.35573	6.83018	3.81354	4.18428	6.22104	5.44025	NA	NA	NA	NA
ADAMTS7	11173	3.52462	4.54891	3.99036	6.1247	3.62351	3.46818	NA	NA	NA	NA
ADAMTS8	11095	1.00873	1.50606	0.321284	0.922548	0.241456	0.628587	NA	NA	NA	NA
ADAMTS9	56999	4.13054	3.661	3.17056	11.0697	9.46126	4.14143	NA	NA	NA	NA
ADAMTS9-AS1	101929335	0.185122	0	0.0641571	0.563508	0.701052	0.541639	NA	NA	NA	NA
ADAMTS9-AS2	100507098	0.536288	0.387812	0.618052	3.6228	1.53119	0.658747	NA	NA	NA	NA
ADAMTSL1	92949	2.1164	2.42748	0.846536	3.74046	1.20547	1.36279	NA	NA	NA	NA
ADAMTSL3	57188	0.501251	1.15839	0.686883	0.465857	0.7565	4.05497	NA	NA	NA	NA
ADAMTSL4	54507	0.517767	0.511236	1.63911	2.1683	0.654263	1.19718	cerebral-cortex	glial-cells	Medium	Approved
ADAMTSL4-AS1	574406	3.4593	2.53269	4.23594	3.55538	1.71154	3.07181	NA	NA	NA	NA
ADAMTSL5	339366	0.249374	0.33584	0.426768	0.670424	0.22074	0.974673	NA	NA	NA	NA
ADAP1	11033	2.63993	1.69805	5.51228	1.805	3.22519	1.69856	NA	NA	NA	NA
ADAP2	55803	1.82973	0.787009	0.127523	3.97824	1.48047	1.77186	NA	NA	NA	NA
ADAR	103	68.1901	58.6715	65.4981	67.8829	60.0062	72.5158	cerebral-cortex	glial-cells	Medium	Enhanced
ADARB1	104	3.64568	2.23736	3.11032	3.16182	2.73829	5.8675	NA	NA	NA	NA
