gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
PRDM11	cerebral-cortex	glial-cells	High	Approved
SNAI2	cerebral-cortex	glial-cells	Low	Supported
CD74	cerebral-cortex	glial-cells	Low	Enhanced
HGF	cerebral-cortex	glial-cells	Medium	Approved
MNAT1	cerebral-cortex	glial-cells	Low	Approved
SAMD4A	cerebral-cortex	glial-cells	Low	Approved
MRE11	cerebral-cortex	glial-cells	High	Supported
RNF10	cerebral-cortex	glial-cells	Low	Approved
RNH1	cerebral-cortex	glial-cells	Low	Enhanced
ERP44	cerebral-cortex	glial-cells	Medium	Supported
ALAS1	cerebral-cortex	glial-cells	Medium	Enhanced
GLRX2	cerebral-cortex	glial-cells	Medium	Supported
UBR2	cerebral-cortex	glial-cells	Low	Approved
DEPDC1	cerebral-cortex	glial-cells	Low	Approved
RRAGD	cerebral-cortex	glial-cells	Low	Approved
PHF20	cerebral-cortex	glial-cells	Low	Approved
HSD17B6	cerebral-cortex	glial-cells	Low	Enhanced
NR1H3	cerebral-cortex	glial-cells	Medium	Approved
TYMP	cerebral-cortex	glial-cells	Low	Enhanced
NCAPH2	cerebral-cortex	glial-cells	Low	Enhanced
KPNA6	cerebral-cortex	glial-cells	Medium	Supported
VIM	cerebral-cortex	glial-cells	Low	Enhanced
RNASET2	cerebral-cortex	glial-cells	Low	Approved
KCNG1	cerebral-cortex	glial-cells	Medium	Approved
AGPAT4	cerebral-cortex	glial-cells	Medium	Approved
MIPEP	cerebral-cortex	glial-cells	Low	Approved
VEZT	cerebral-cortex	glial-cells	Low	Approved
BCLAF1	cerebral-cortex	glial-cells	High	Enhanced
SLC39A9	cerebral-cortex	glial-cells	Low	Approved
TFB1M	cerebral-cortex	glial-cells	Low	Approved
BAK1	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP31	cerebral-cortex	glial-cells	Low	Approved
RANBP3	cerebral-cortex	glial-cells	Low	Enhanced
EIPR1	cerebral-cortex	glial-cells	Low	Approved
ALG1	cerebral-cortex	glial-cells	Low	Approved
ZCCHC8	cerebral-cortex	glial-cells	Medium	Supported
ABCF2	cerebral-cortex	glial-cells	Low	Approved
CHPF2	cerebral-cortex	glial-cells	Medium	Approved
FUT8	cerebral-cortex	glial-cells	Medium	Enhanced
GAB2	cerebral-cortex	glial-cells	Medium	Enhanced
ATP6V0A1	cerebral-cortex	glial-cells	Low	Enhanced
PIAS1	cerebral-cortex	glial-cells	High	Supported
RNF19A	cerebral-cortex	glial-cells	Medium	Approved
FAM136A	cerebral-cortex	glial-cells	Medium	Enhanced
RFC1	cerebral-cortex	glial-cells	High	Supported
TBC1D23	cerebral-cortex	glial-cells	High	Approved
CUL3	cerebral-cortex	glial-cells	Medium	Supported
MYOM2	cerebral-cortex	glial-cells	Low	Enhanced
FLT4	cerebral-cortex	glial-cells	Low	Approved
NSUN2	cerebral-cortex	glial-cells	Low	Supported
FBXO42	cerebral-cortex	glial-cells	Low	Approved
MFAP3	cerebral-cortex	glial-cells	Low	Approved
MRI1	cerebral-cortex	glial-cells	High	Approved
AGA	cerebral-cortex	glial-cells	Low	Enhanced
PI4K2B	cerebral-cortex	glial-cells	Low	Approved
BOD1L1	cerebral-cortex	glial-cells	Medium	Approved
EDC4	cerebral-cortex	glial-cells	Medium	Supported
TRIO	cerebral-cortex	glial-cells	Low	Supported
MTREX	cerebral-cortex	glial-cells	Low	Supported
ZFYVE16	cerebral-cortex	glial-cells	Low	Supported
RAI14	cerebral-cortex	glial-cells	Low	Supported
PNKP	cerebral-cortex	glial-cells	Medium	Supported
SPDL1	cerebral-cortex	glial-cells	Low	Enhanced
STAU2	cerebral-cortex	glial-cells	Low	Approved
PHF23	cerebral-cortex	glial-cells	Medium	Approved
INPP4A	cerebral-cortex	glial-cells	Low	Approved
PSMA4	cerebral-cortex	glial-cells	Low	Supported
LSG1	cerebral-cortex	glial-cells	Low	Approved
PARP3	cerebral-cortex	glial-cells	Low	Supported
THAP3	cerebral-cortex	glial-cells	High	Approved
TDP1	cerebral-cortex	glial-cells	High	Approved
ADRB1	cerebral-cortex	glial-cells	Low	Enhanced
CUL7	cerebral-cortex	glial-cells	Low	Approved
HSPA5	cerebral-cortex	glial-cells	Medium	Enhanced
OFD1	cerebral-cortex	glial-cells	Low	Approved
WDR37	cerebral-cortex	glial-cells	Low	Enhanced
ATP6V1H	cerebral-cortex	glial-cells	Medium	Approved
POLR2B	cerebral-cortex	glial-cells	Low	Supported
FAM214A	cerebral-cortex	glial-cells	Low	Approved
TPR	cerebral-cortex	glial-cells	High	Enhanced
KIAA0556	cerebral-cortex	glial-cells	Low	Enhanced
ARHGAP6	cerebral-cortex	glial-cells	Medium	Enhanced
GOPC	cerebral-cortex	glial-cells	Low	Approved
USP28	cerebral-cortex	glial-cells	Low	Enhanced
RRM2B	cerebral-cortex	glial-cells	High	Approved
ZNF800	cerebral-cortex	glial-cells	Medium	Approved
MRPS10	cerebral-cortex	glial-cells	Medium	Supported
RSF1	cerebral-cortex	glial-cells	Medium	Supported
CELF2	cerebral-cortex	glial-cells	Low	Enhanced
FAM120A	cerebral-cortex	glial-cells	Medium	Approved
H6PD	cerebral-cortex	glial-cells	Low	Approved
PER3	cerebral-cortex	glial-cells	Medium	Approved
RCN1	cerebral-cortex	glial-cells	Low	Approved
ARID1B	cerebral-cortex	glial-cells	Low	Approved
PPP1R3F	cerebral-cortex	glial-cells	Medium	Approved
JKAMP	cerebral-cortex	glial-cells	Low	Supported
DKK3	cerebral-cortex	glial-cells	Low	Approved
ARHGEF5	cerebral-cortex	glial-cells	Medium	Enhanced
FAM160A2	cerebral-cortex	glial-cells	Medium	Approved
HERPUD1	cerebral-cortex	glial-cells	Low	Approved
PIK3CB	cerebral-cortex	glial-cells	Medium	Approved
THOC3	cerebral-cortex	glial-cells	Low	Approved
MPHOSPH9	cerebral-cortex	glial-cells	Low	Approved
SIKE1	cerebral-cortex	glial-cells	Low	Supported
FNIP2	cerebral-cortex	glial-cells	Medium	Approved
MSMO1	cerebral-cortex	glial-cells	Low	Enhanced
AKR7A2	cerebral-cortex	glial-cells	Medium	Enhanced
USE1	cerebral-cortex	glial-cells	Low	Approved
NRIP2	cerebral-cortex	glial-cells	Low	Enhanced
AP5M1	cerebral-cortex	glial-cells	Low	Approved
THRAP3	cerebral-cortex	glial-cells	High	Supported
ENTPD2	cerebral-cortex	glial-cells	Low	Approved
ARID4B	cerebral-cortex	glial-cells	Low	Approved
SDCCAG8	cerebral-cortex	glial-cells	Medium	Approved
FOXC1	cerebral-cortex	glial-cells	Low	Enhanced
ATP9A	cerebral-cortex	glial-cells	Low	Enhanced
NOP58	cerebral-cortex	glial-cells	Medium	Supported
CUL1	cerebral-cortex	glial-cells	Medium	Supported
FAM114A2	cerebral-cortex	glial-cells	Medium	Approved
TAB2	cerebral-cortex	glial-cells	Medium	Approved
PUM2	cerebral-cortex	glial-cells	Medium	Approved
ZFR	cerebral-cortex	glial-cells	High	Supported
ZNF280C	cerebral-cortex	glial-cells	Medium	Enhanced
PHF21B	cerebral-cortex	glial-cells	Medium	Enhanced
TRAF3IP2	cerebral-cortex	glial-cells	Medium	Approved
DCBLD2	cerebral-cortex	glial-cells	Low	Approved
ATG5	cerebral-cortex	glial-cells	Low	Approved
TMCC3	cerebral-cortex	glial-cells	Medium	Approved
MTA3	cerebral-cortex	glial-cells	Medium	Approved
USP13	cerebral-cortex	glial-cells	Low	Enhanced
RASGRF1	cerebral-cortex	glial-cells	Low	Approved
POLR3E	cerebral-cortex	glial-cells	Low	Approved
ATP2B4	cerebral-cortex	glial-cells	Low	Enhanced
ZC3H11A	cerebral-cortex	glial-cells	Low	Approved
NDC1	cerebral-cortex	glial-cells	Medium	Approved
FLYWCH1	cerebral-cortex	glial-cells	Medium	Approved
TBXAS1	cerebral-cortex	glial-cells	Medium	Enhanced
MXD1	cerebral-cortex	glial-cells	Medium	Enhanced
CDK17	cerebral-cortex	glial-cells	Medium	Approved
DNAJC25	cerebral-cortex	glial-cells	Low	Approved
CTDP1	cerebral-cortex	glial-cells	Medium	Approved
WNK1	cerebral-cortex	glial-cells	High	Enhanced
CCAR1	cerebral-cortex	glial-cells	High	Supported
OGFR	cerebral-cortex	glial-cells	Low	Supported
PTPRU	cerebral-cortex	glial-cells	Low	Approved
SNRNP40	cerebral-cortex	glial-cells	High	Supported
MPC1	cerebral-cortex	glial-cells	Medium	Enhanced
MRPS35	cerebral-cortex	glial-cells	Medium	Supported
SFSWAP	cerebral-cortex	glial-cells	Medium	Approved
GPBP1	cerebral-cortex	glial-cells	Low	Approved
CS	cerebral-cortex	glial-cells	Medium	Enhanced
MRPS24	cerebral-cortex	glial-cells	Medium	Approved
WAPL	cerebral-cortex	glial-cells	Medium	Enhanced
VMP1	cerebral-cortex	glial-cells	Low	Approved
POLD1	cerebral-cortex	glial-cells	Low	Supported
SEZ6	cerebral-cortex	glial-cells	High	Enhanced
BICRA	cerebral-cortex	glial-cells	High	Approved
ISOC2	cerebral-cortex	glial-cells	Medium	Enhanced
U2AF2	cerebral-cortex	glial-cells	Low	Supported
EPN1	cerebral-cortex	glial-cells	Medium	Approved
ZNF275	cerebral-cortex	glial-cells	Low	Approved
MTMR1	cerebral-cortex	glial-cells	Medium	Approved
GPC1	cerebral-cortex	glial-cells	Low	Approved
HAGH	cerebral-cortex	glial-cells	Low	Approved
RNF4	cerebral-cortex	glial-cells	Low	Approved
ST3GAL6	cerebral-cortex	glial-cells	Low	Approved
HIPK2	cerebral-cortex	glial-cells	High	Supported
TNPO3	cerebral-cortex	glial-cells	Low	Approved
RFXANK	cerebral-cortex	glial-cells	Medium	Approved
TMEM161A	cerebral-cortex	glial-cells	Low	Approved
CTSA	cerebral-cortex	glial-cells	Low	Enhanced
SUGP2	cerebral-cortex	glial-cells	Medium	Enhanced
SLC12A2	cerebral-cortex	glial-cells	Low	Approved
BTBD1	cerebral-cortex	glial-cells	Low	Enhanced
HMG20B	cerebral-cortex	glial-cells	Medium	Approved
ZNF76	cerebral-cortex	glial-cells	Medium	Approved
NTHL1	cerebral-cortex	glial-cells	High	Supported
OAT	cerebral-cortex	glial-cells	Low	Enhanced
TRAM2	cerebral-cortex	glial-cells	Medium	Approved
DGKA	cerebral-cortex	glial-cells	Low	Approved
KARS	cerebral-cortex	glial-cells	High	Enhanced
NDUFB4	cerebral-cortex	glial-cells	Medium	Enhanced
SPEN	cerebral-cortex	glial-cells	High	Supported
ZC3H15	cerebral-cortex	glial-cells	Medium	Enhanced
SNAP91	cerebral-cortex	glial-cells	Low	Enhanced
CYB5R4	cerebral-cortex	glial-cells	Medium	Approved
GSTO2	cerebral-cortex	glial-cells	Low	Approved
TLE2	cerebral-cortex	glial-cells	Low	Enhanced
TBC1D1	cerebral-cortex	glial-cells	Medium	Approved
FOXJ2	cerebral-cortex	glial-cells	Low	Approved
YBX1	cerebral-cortex	glial-cells	Medium	Approved
CTNNA2	cerebral-cortex	glial-cells	Low	Enhanced
ELAVL1	cerebral-cortex	glial-cells	Medium	Approved
SMARCD1	cerebral-cortex	glial-cells	High	Supported
NGEF	cerebral-cortex	glial-cells	Medium	Approved
ZNRD1	cerebral-cortex	glial-cells	High	Supported
ZBTB11	cerebral-cortex	glial-cells	Medium	Approved
GOLGA5	cerebral-cortex	glial-cells	Medium	Enhanced
THUMPD1	cerebral-cortex	glial-cells	Low	Approved
ARFGEF1	cerebral-cortex	glial-cells	Medium	Supported
FECH	cerebral-cortex	glial-cells	Low	Approved
MYO9A	cerebral-cortex	glial-cells	Low	Approved
SP100	cerebral-cortex	glial-cells	Medium	Enhanced
KLF6	cerebral-cortex	glial-cells	Medium	Supported
TRAM1	cerebral-cortex	glial-cells	Medium	Approved
TNFRSF1A	cerebral-cortex	glial-cells	Medium	Approved
CACNB1	cerebral-cortex	glial-cells	Medium	Approved
EVI5	cerebral-cortex	glial-cells	High	Approved
STOML1	cerebral-cortex	glial-cells	Low	Approved
DHX29	cerebral-cortex	glial-cells	Medium	Approved
TP53BP1	cerebral-cortex	glial-cells	High	Supported
RRP15	cerebral-cortex	glial-cells	Medium	Approved
RHOA	cerebral-cortex	glial-cells	Low	Approved
DHX8	cerebral-cortex	glial-cells	Medium	Approved
IARS2	cerebral-cortex	glial-cells	Medium	Enhanced
PDZD4	cerebral-cortex	glial-cells	High	Enhanced
HDAC4	cerebral-cortex	glial-cells	High	Approved
RASSF1	cerebral-cortex	glial-cells	Low	Approved
FGFR3	cerebral-cortex	glial-cells	Medium	Enhanced
COASY	cerebral-cortex	glial-cells	Low	Approved
MEF2A	cerebral-cortex	glial-cells	Medium	Approved
TFE3	cerebral-cortex	glial-cells	Medium	Approved
TBC1D25	cerebral-cortex	glial-cells	Medium	Approved
INPP5A	cerebral-cortex	glial-cells	Low	Enhanced
GPKOW	cerebral-cortex	glial-cells	Low	Enhanced
GRIPAP1	cerebral-cortex	glial-cells	Low	Approved
FTSJ1	cerebral-cortex	glial-cells	Medium	Approved
ATP11A	cerebral-cortex	glial-cells	Low	Approved
POLR1A	cerebral-cortex	glial-cells	Medium	Supported
LAPTM4A	cerebral-cortex	glial-cells	Medium	Approved
TTC7A	cerebral-cortex	glial-cells	Medium	Enhanced
IP6K2	cerebral-cortex	glial-cells	Medium	Approved
KIF2A	cerebral-cortex	glial-cells	Medium	Approved
PSME4	cerebral-cortex	glial-cells	Medium	Approved
ERLEC1	cerebral-cortex	glial-cells	Medium	Enhanced
MAST4	cerebral-cortex	glial-cells	Medium	Approved
NUCKS1	cerebral-cortex	glial-cells	High	Supported
VPS35	cerebral-cortex	glial-cells	Medium	Supported
MAOB	cerebral-cortex	glial-cells	Low	Enhanced
RORA	cerebral-cortex	glial-cells	High	Approved
TGFBR3	cerebral-cortex	glial-cells	Low	Supported
HDHD5	cerebral-cortex	glial-cells	Low	Approved
LRP6	cerebral-cortex	glial-cells	Low	Enhanced
NUCB2	cerebral-cortex	glial-cells	Low	Approved
PFN2	cerebral-cortex	glial-cells	Low	Enhanced
PTPN3	cerebral-cortex	glial-cells	Low	Approved
DAPP1	cerebral-cortex	glial-cells	Low	Approved
SMG6	cerebral-cortex	glial-cells	Low	Approved
EXOC5	cerebral-cortex	glial-cells	Low	Approved
JMJD6	cerebral-cortex	glial-cells	High	Supported
ST6GALNAC1	cerebral-cortex	glial-cells	Low	Enhanced
GBA2	cerebral-cortex	glial-cells	Medium	Approved
EIF2B3	cerebral-cortex	glial-cells	Medium	Supported
TCOF1	cerebral-cortex	glial-cells	Medium	Enhanced
ATP2B1	cerebral-cortex	glial-cells	Low	Enhanced
MGAT4A	cerebral-cortex	glial-cells	Low	Enhanced
WDR1	cerebral-cortex	glial-cells	High	Approved
RPS6KA2	cerebral-cortex	glial-cells	Medium	Approved
SEL1L	cerebral-cortex	glial-cells	Low	Enhanced
TRIB2	cerebral-cortex	glial-cells	Medium	Approved
DAZAP1	cerebral-cortex	glial-cells	Medium	Enhanced
MBD3	cerebral-cortex	glial-cells	Low	Supported
FAM50A	cerebral-cortex	glial-cells	Medium	Supported
MYO3B	cerebral-cortex	glial-cells	Low	Approved
ACTN1	cerebral-cortex	glial-cells	Low	Approved
AFF4	cerebral-cortex	glial-cells	High	Approved
RHOBTB1	cerebral-cortex	glial-cells	Medium	Approved
SMC1A	cerebral-cortex	glial-cells	Medium	Supported
HSD17B10	cerebral-cortex	glial-cells	Medium	Approved
MARK2	cerebral-cortex	glial-cells	Medium	Approved
ACADVL	cerebral-cortex	glial-cells	Low	Enhanced
STK10	cerebral-cortex	glial-cells	Medium	Enhanced
ACAP1	cerebral-cortex	glial-cells	Medium	Approved
SIDT1	cerebral-cortex	glial-cells	Low	Approved
XRCC1	cerebral-cortex	glial-cells	Low	Supported
SCARB1	cerebral-cortex	glial-cells	Low	Enhanced
PANX2	cerebral-cortex	glial-cells	Low	Enhanced
PDE8A	cerebral-cortex	glial-cells	Medium	Approved
SDHA	cerebral-cortex	glial-cells	Low	Enhanced
SMARCE1	cerebral-cortex	glial-cells	High	Supported
ADAM11	cerebral-cortex	glial-cells	Medium	Enhanced
PICALM	cerebral-cortex	glial-cells	Medium	Enhanced
NSF	cerebral-cortex	glial-cells	Low	Enhanced
GLI2	cerebral-cortex	glial-cells	High	Approved
NOTCH3	cerebral-cortex	glial-cells	Low	Approved
PPP2R2C	cerebral-cortex	glial-cells	Low	Approved
CDHR2	cerebral-cortex	glial-cells	Low	Enhanced
SNCB	cerebral-cortex	glial-cells	Low	Enhanced
TSG101	cerebral-cortex	glial-cells	Low	Approved
MGLL	cerebral-cortex	glial-cells	High	Enhanced
BCS1L	cerebral-cortex	glial-cells	Low	Supported
DPP8	cerebral-cortex	glial-cells	Medium	Approved
LMAN1	cerebral-cortex	glial-cells	Low	Supported
HACD3	cerebral-cortex	glial-cells	High	Enhanced
ENO1	cerebral-cortex	glial-cells	Medium	Supported
ARHGEF10L	cerebral-cortex	glial-cells	Low	Approved
WSCD2	cerebral-cortex	glial-cells	Medium	Approved
KCNQ2	cerebral-cortex	glial-cells	Medium	Enhanced
SRI	cerebral-cortex	glial-cells	High	Enhanced
EIF4G3	cerebral-cortex	glial-cells	Medium	Enhanced
NUP37	cerebral-cortex	glial-cells	Low	Supported
TTC38	cerebral-cortex	glial-cells	Low	Approved
ACAT1	cerebral-cortex	glial-cells	Low	Enhanced
ZNF638	cerebral-cortex	glial-cells	High	Supported
ADD2	cerebral-cortex	glial-cells	Low	Enhanced
RASAL2	cerebral-cortex	glial-cells	Medium	Enhanced
ZNF37A	cerebral-cortex	glial-cells	Medium	Approved
MARK3	cerebral-cortex	glial-cells	Low	Approved
FSCN1	cerebral-cortex	glial-cells	High	Enhanced
PLD1	cerebral-cortex	glial-cells	Low	Enhanced
DLG1	cerebral-cortex	glial-cells	Low	Supported
RAB7A	cerebral-cortex	glial-cells	Medium	Supported
BCAP29	cerebral-cortex	glial-cells	Medium	Enhanced
SART3	cerebral-cortex	glial-cells	Medium	Approved
KIFAP3	cerebral-cortex	glial-cells	Medium	Supported
RBMS2	cerebral-cortex	glial-cells	Medium	Approved
PTPN23	cerebral-cortex	glial-cells	Low	Approved
MLH1	cerebral-cortex	glial-cells	Medium	Supported
KLHL20	cerebral-cortex	glial-cells	Medium	Approved
PLXNA2	cerebral-cortex	glial-cells	Medium	Approved
SPAG5	cerebral-cortex	glial-cells	Low	Approved
TPD52	cerebral-cortex	glial-cells	Medium	Enhanced
TRAF4	cerebral-cortex	glial-cells	Low	Enhanced
GPATCH1	cerebral-cortex	glial-cells	Low	Approved
NT5C2	cerebral-cortex	glial-cells	Low	Approved
GPC4	cerebral-cortex	glial-cells	Low	Approved
RAP1GAP	cerebral-cortex	glial-cells	Low	Enhanced
MAP2K7	cerebral-cortex	glial-cells	Low	Supported
DGKD	cerebral-cortex	glial-cells	Low	Approved
CTTNBP2	cerebral-cortex	glial-cells	Low	Enhanced
RARB	cerebral-cortex	glial-cells	Low	Enhanced
TOP2B	cerebral-cortex	glial-cells	High	Supported
TM9SF3	cerebral-cortex	glial-cells	High	Approved
DNAJC10	cerebral-cortex	glial-cells	Low	Approved
GTF3C1	cerebral-cortex	glial-cells	Low	Approved
SNRPA	cerebral-cortex	glial-cells	High	Supported
EXOSC5	cerebral-cortex	glial-cells	Low	Approved
DYNC1I2	cerebral-cortex	glial-cells	High	Supported
SIRT6	cerebral-cortex	glial-cells	Medium	Supported
JADE1	cerebral-cortex	glial-cells	Medium	Approved
FGFR1	cerebral-cortex	glial-cells	Low	Approved
AMPH	cerebral-cortex	glial-cells	Medium	Enhanced
ARAF	cerebral-cortex	glial-cells	Low	Approved
MCCC1	cerebral-cortex	glial-cells	High	Approved
UBE2K	cerebral-cortex	glial-cells	Medium	Supported
TIGAR	cerebral-cortex	glial-cells	Low	Approved
SYNJ2	cerebral-cortex	glial-cells	Medium	Approved
ADCY2	cerebral-cortex	glial-cells	Low	Approved
PPP2R5C	cerebral-cortex	glial-cells	Low	Approved
PCM1	cerebral-cortex	glial-cells	Low	Enhanced
CBFA2T2	cerebral-cortex	glial-cells	Low	Supported
ITCH	cerebral-cortex	glial-cells	Low	Supported
PKD2L2	cerebral-cortex	glial-cells	Low	Approved
