	rxnList	subSystem	GPR	FluxSpan_a	FluxSpan_b	Flux_Span_Ratio	Var7	Var8	Var9
275	HMR_2262	Fatty acid synthesis	9524.1 or 253017.1	435.381762029142	277.247151720248	1.57037415651598	L	NA	[c]
276	HMR_2263	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029143	277.247151720248	1.57037415651598	L	NA	[c]
277	HMR_2264	Fatty acid synthesis	51144.1	435.381762029143	277.247151720248	1.57037415651598	L	NA	[c]
278	HMR_2265	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029143	277.247151720248	1.57037415651598	L	NA	[c]
279	HMR_2266	Fatty acid synthesis	9524.1 or 253017.1	435.381762029143	277.247151720248	1.57037415651598	L	NA	[c]
280	HMR_2342	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029144	277.247151720248	1.57037415651599	L	NA	[c]
281	HMR_2343	Fatty acid synthesis	51144.1	435.381762029144	277.247151720248	1.57037415651599	L	NA	[c]
282	HMR_2344	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029144	277.247151720248	1.57037415651599	L	NA	[c]
283	HMR_2345	Fatty acid synthesis	9524.1 or 253017.1	435.381762029144	277.247151720248	1.57037415651599	L	NA	[c]
299	HMR_2942	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
300	HMR_2943	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
301	HMR_2944	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
302	HMR_2945	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
303	HMR_2946	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
304	HMR_2947	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
305	HMR_2948	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
306	HMR_2951	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
307	HMR_2954	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
308	HMR_2955	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
309	HMR_2956	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
310	HMR_2957	Fatty acid synthesis	2182.1 or 23205.1 or 10965.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 122970.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
311	HMR_2961	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
312	HMR_2962	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
313	HMR_2963	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
314	HMR_2964	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
315	HMR_2965	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
316	HMR_2966	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
317	HMR_2967	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
318	HMR_2968	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
319	HMR_2969	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
320	HMR_2970	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
321	HMR_2971	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
322	HMR_2972	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
323	HMR_2973	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
324	HMR_2974	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
325	HMR_2975	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
326	HMR_2976	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
327	HMR_2977	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
328	HMR_2978	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
329	HMR_2979	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
330	HMR_2980	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
331	HMR_2982	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
332	HMR_2983	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
333	HMR_2985	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
334	HMR_2986	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
335	HMR_2988	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
336	HMR_2989	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
337	HMR_2990	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
338	HMR_2994	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[r]
339	HMR_2998	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
340	HMR_2999	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
341	HMR_3001	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
342	HMR_3002	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
343	HMR_3003	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
365	HMR_3455	Fatty acid synthesis	3030.1 or 3032.1 or 10449.1	40	26.6666666666666	1.5	L	NA	[m]
366	HMR_3625	Cholesterol metabolism	6646.1 or 8435.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
367	HMR_3626	Cholesterol metabolism	6646.1 or 8435.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
368	HMR_3627	Cholesterol metabolism	6646.1 or 8435.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
369	HMR_3628	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
370	HMR_3629	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
371	HMR_3630	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
372	HMR_3631	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
373	HMR_3633	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
374	HMR_3635	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
375	HMR_3636	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
376	HMR_3637	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
377	HMR_3639	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
378	HMR_3640	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
379	HMR_3642	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
380	HMR_3644	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
381	HMR_3645	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
382	HMR_3646	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
383	HMR_3647	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
384	HMR_3648	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
385	HMR_3649	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
386	HMR_3650	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
387	HMR_3651	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
388	HMR_3652	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
389	HMR_3654	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
390	HMR_3655	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
391	HMR_3656	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
392	HMR_3657	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
393	HMR_3658	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
394	HMR_3659	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
395	HMR_3660	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
396	HMR_3663	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
397	HMR_3665	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
398	HMR_3666	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
399	HMR_3667	Cholesterol metabolism	6646.1 or 8435.1	389.01861252115	251.028971152655	1.54969607983845	L	NA	[r]
400	HMR_3668	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
401	HMR_3669	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
402	HMR_3670	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
403	HMR_3677	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
404	HMR_3678	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
405	HMR_3679	Cholesterol metabolism	6646.1 or 8435.1	389.01861252115	251.028971152655	1.54969607983845	L	NA	[r]
406	HMR_3680	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
407	HMR_3681	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
408	HMR_3682	Cholesterol metabolism	6646.1 or 8435.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
409	HMR_3684	Cholesterol metabolism	3988.1 or 1056.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
410	HMR_3685	Cholesterol metabolism	3988.1 or 1056.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
411	HMR_3686	Cholesterol metabolism	3988.1 or 1056.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[r]
412	HMR_3687	Cholesterol metabolism	3988.1 or 1056.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
413	HMR_3688	Cholesterol metabolism	3988.1 or 1056.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
414	HMR_3689	Cholesterol metabolism	3988.1 or 1056.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
415	HMR_3690	Cholesterol metabolism	3988.1 or 1056.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
416	HMR_3692	Cholesterol metabolism	3988.1 or 1056.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[r]
