rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	direction	localization	rxnFormula
HMR_0192	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M03051[c]  -> amp[c] + ppi[c] + M03050[c] 
HMR_0200	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + ttdcea[c]  -> amp[c] + ppi[c] + M00129[c] 
HMR_0204	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00117[c]  -> amp[c] + ppi[c] + HC10784[c] 
HMR_0209	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M02745[c]  -> amp[c] + ppi[c] + M01141[c] 
HMR_0233	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M01197[c]  -> amp[c] + ppi[c] + M01191[c] 
HMR_0241	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00003[c]  -> amp[c] + ppi[c] + M00004[c] 
HMR_0245	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M01238[c]  -> amp[c] + ppi[c] + M01237[c] 
HMR_0255	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00019[c]  -> amp[c] + ppi[c] + M00020[c] 
HMR_0259	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + vacc[c]  -> amp[c] + ppi[c] + vacccoa[c] 
HMR_0267	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + elaid[c]  -> amp[c] + ppi[c] + M00127[c] 
HMR_0279	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M02613[c]  -> amp[c] + ppi[c] + M02612[c] 
HMR_0289	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00017[c]  -> amp[c] + ppi[c] + M00018[c] 
HMR_0293	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	0	Inf	L	[c]	atp[c] + coa[c] + CE2510[c]  -> amp[c] + ppi[c] + CE5151[c] 
HMR_0297	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	[c]	atp[c] + coa[c] + M01235[c]  -> amp[c] + ppi[c] + M01236[c] 
HMR_0301	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	[c]	atp[c] + coa[c] + M01207[c]  -> amp[c] + ppi[c] + M00123[c] 
HMR_0305	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M02457[c]  -> h[c] + amp[c] + ppi[c] + M00101[c] 
HMR_0309	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M02053[c]  -> amp[c] + ppi[c] + M02052[c] 
HMR_0323	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M01582[c]  -> amp[c] + ppi[c] + M00006[c] 
HMR_0327	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M03045[c]  -> amp[c] + ppi[c] + M03047[c] 
HMR_0345	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M03153[c]  -> amp[c] + ppi[c] + M02112[c] 
HMR_0381	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152663	1.54969607983841	L	[c]	atp[c] + coa[c] + M00010[c]  -> amp[c] + ppi[c] + M00012[c] 
HMR_0385	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00341[c]  -> amp[c] + ppi[c] + M00343[c] 
HMR_0389	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152663	1.54969607983841	L	[c]	atp[c] + coa[c] + M00260[c]  -> amp[c] + ppi[c] + CE4854[c] 
HMR_0393	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521152	251.028971152656	1.54969607983846	L	[c]	atp[c] + coa[c] + M00315[c]  -> amp[c] + ppi[c] + CE4855[c] 
HMR_0429	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00008[c]  -> amp[c] + ppi[c] + CE4843[c] 
HMR_0433	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00021[c]  -> amp[c] + ppi[c] + M00023[c] 
HMR_0437	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[c]	atp[c] + coa[c] + M00265[c]  -> amp[c] + ppi[c] + CE4847[c] 
HMR_1465	Cholesterol metabolism	2222.1	3.5	20.7494000685635	0.168679575719526	H	[c]	ppi[c] + HC01118[c]  <=> 2 frdp[c] 
HMR_1467	Cholesterol metabolism	2222.1	3.5	20.7494000685636	0.168679575719525	H	[c]	h[c] + nadph[c] + HC01118[c]  -> nadp[c] + ppi[c] + sql[c] 
HMR_1470	Cholesterol metabolism	6713.1	3.5	20.7494000685636	0.168679575719525	H	[c]	o2[c] + h[c] + nadph[c] + sql[c]  -> h2o[c] + nadp[c] + Ssq23epx[c] 
HMR_1473	Cholesterol metabolism	4047.1	3.5	20.7494000685636	0.168679575719525	H	[c]	Ssq23epx[c]  -> lanost[c] 
HMR_2259	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029142	277.247151720248	1.57037415651598	L	[c]	h[c] + hpdcacoa[c] + malcoa[c]  -> co2[c] + coa[c] + M00887[c] 
HMR_2260	Fatty acid synthesis	51144.1	435.381762029142	277.247151720248	1.57037415651598	L	[c]	h[c] + nadph[c] + M00887[c]  -> nadp[c] + M00790[c] 
HMR_2261	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029142	277.247151720248	1.57037415651598	L	[c]	M00790[c]  -> h2o[c] + M00054[c] 
HMR_2262	Fatty acid synthesis	9524.1 or 253017.1	435.381762029142	277.247151720248	1.57037415651598	L	[c]	h[c] + nadph[c] + M00054[c]  -> nadp[c] + M02612[c] 
HMR_2263	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029143	277.247151720248	1.57037415651598	L	[c]	h[c] + malcoa[c] + M02612[c]  -> co2[c] + coa[c] + M00873[c] 
HMR_2264	Fatty acid synthesis	51144.1	435.381762029143	277.247151720248	1.57037415651598	L	[c]	h[c] + nadph[c] + M00873[c]  -> nadp[c] + M00778[c] 
HMR_2265	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029143	277.247151720248	1.57037415651598	L	[c]	M00778[c]  -> h2o[c] + M00044[c] 
HMR_2266	Fatty acid synthesis	9524.1 or 253017.1	435.381762029143	277.247151720248	1.57037415651598	L	[c]	h[c] + nadph[c] + M00044[c]  -> nadp[c] + M02052[c] 
HMR_2342	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	435.381762029144	277.247151720248	1.57037415651599	L	[c]	h[c] + malcoa[c] + vacccoa[c]  -> co2[c] + coa[c] + M00843[c] 
HMR_2343	Fatty acid synthesis	51144.1	435.381762029144	277.247151720248	1.57037415651599	L	[c]	h[c] + nadph[c] + M00843[c]  -> nadp[c] + M00702[c] 
HMR_2344	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	435.381762029144	277.247151720248	1.57037415651599	L	[c]	M00702[c]  -> h2o[c] + M03014[c] 
HMR_2345	Fatty acid synthesis	9524.1 or 253017.1	435.381762029144	277.247151720248	1.57037415651599	L	[c]	h[c] + nadph[c] + M03014[c]  -> nadp[c] + M00018[c] 
HMR_2942	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + ddca[r]  -> amp[r] + ppi[r] + ddcacoa[r] 
HMR_2943	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M03051[r]  -> amp[r] + ppi[r] + M03050[r] 
HMR_2944	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + ttdca[r]  -> amp[r] + ppi[r] + tdcoa[r] 
HMR_2945	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M02745[r]  -> amp[r] + ppi[r] + M01141[r] 
HMR_2946	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + ttdcea[r]  -> amp[r] + ppi[r] + M00129[r] 
HMR_2947	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00117[r]  -> amp[r] + ppi[r] + HC10784[r] 
HMR_2948	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + ptdca[r]  -> amp[r] + ppi[r] + ptdcacoa[r] 
HMR_2951	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M01197[r]  -> amp[r] + ppi[r] + M01191[r] 
HMR_2954	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + hpdca[r]  -> amp[r] + ppi[r] + hpdcacoa[r] 
HMR_2955	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00003[r]  -> amp[r] + ppi[r] + M00004[r] 
HMR_2956	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M01238[r]  -> amp[r] + ppi[r] + M01237[r] 
HMR_2957	Fatty acid synthesis	2182.1 or 23205.1 or 10965.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 122970.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + ocdca[r]  -> amp[r] + ppi[r] + stcoa[r] 
HMR_2961	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + elaid[r]  -> amp[r] + ppi[r] + M00127[r] 
HMR_2962	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00019[r]  -> amp[r] + ppi[r] + M00020[r] 
HMR_2963	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + vacc[r]  -> amp[r] + ppi[r] + vacccoa[r] 
HMR_2964	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + lneldc[r]  -> amp[r] + ppi[r] + lneldccoa[r] 
HMR_2965	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M02613[r]  -> amp[r] + ppi[r] + M02612[r] 
HMR_2966	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + arach[r]  -> amp[r] + ppi[r] + arachcoa[r] 
HMR_2967	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + CE2510[r]  -> amp[r] + ppi[r] + CE5151[r] 
HMR_2968	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00017[r]  -> amp[r] + ppi[r] + M00018[r] 
HMR_2969	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M01235[r]  -> amp[r] + ppi[r] + M01236[r] 
HMR_2970	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M01207[r]  -> amp[r] + ppi[r] + M00123[r] 
HMR_2971	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M02457[r]  -> amp[r] + h[r] + ppi[r] + M00101[r] 
HMR_2972	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M02053[r]  -> amp[r] + ppi[r] + M02052[r] 
HMR_2973	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + docosac[r]  -> amp[r] + ppi[r] + docoscoa[r] 
HMR_2974	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + doco13ac[r]  -> amp[r] + ppi[r] + CE5155[r] 
HMR_2975	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M01582[r]  -> amp[r] + ppi[r] + M00006[r] 
HMR_2976	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M03045[r]  -> amp[r] + ppi[r] + M03047[r] 
HMR_2977	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + lgnc[r]  -> amp[r] + ppi[r] + ttccoa[r] 
HMR_2978	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + nrvnc[r]  -> amp[r] + ppi[r] + nrvnccoa[r] 
HMR_2979	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + hexc[r]  -> amp[r] + ppi[r] + hexccoa[r] 
HMR_2980	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M03153[r]  -> amp[r] + ppi[r] + M02112[r] 
HMR_2982	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + strdnc[r]  -> amp[r] + ppi[r] + strdnccoa[r] 
HMR_2983	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + eicostet[r]  -> amp[r] + ppi[r] + eicostetcoa[r] 
HMR_2985	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + clpnd[r]  -> amp[r] + ppi[r] + clpndcoa[r] 
HMR_2986	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + tetpent3[r]  -> amp[r] + ppi[r] + tetpent3coa[r] 
HMR_2988	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + crvnc[r]  -> amp[r] + ppi[r] + c226coa[r] 
HMR_2989	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00010[r]  -> amp[r] + ppi[r] + M00012[r] 
HMR_2990	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	[r]	atp[r] + coa[r] + M00341[r]  -> amp[r] + ppi[r] + M00343[r] 
