	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2
ACP1	ACP1	52	118.505	105.934
ACP2	ACP2	53	16.6682	18.2462
ACP5	ACP5	54	0.295887	0.248022
ACP6	ACP6	51205	0.0749352	0
ACRBP	ACRBP	84519	0.523282	0.801452
ACRV1	ACRV1	56	0.35523	0.3171
ACSBG1	ACSBG1	23205	0.120187	0.589504
ACSBG2	ACSBG2	81616	0.0308776	0.433375
ACSF2	ACSF2	80221	39.3913	27.8576
ACSF3	ACSF3	197322	9.7573	8.08721
ACSL1	ACSL1	2180	17.1691	7.38262
ACSL3	ACSL3	2181	78.1995	110.22
ACSL4	ACSL4	2182	12.3864	14.2672
ACSL5	ACSL5	51703	0.0357885	0.0698536
ACSL6	ACSL6	23305	0.0348965	0.0204152
ACSM3	ACSM3	6296	0.762854	0.359928
ACSS1	ACSS1	84532	1.89072	1.01253
ACSS2	ACSS2	55902	28.9265	32.3253
ACSS3	ACSS3	79611	2.8478	3.72971
ACTA1	ACTA1	58	102.144	39.1604
ACTA2	ACTA2	59	184.288	205.373
ACTA2-AS1	ACTA2-AS1	100132116	1.06259	1.68248
ACTB	ACTB	60	1979.6	2015.46
ACTBP2	ACTBP2	62	6.30977	3.09559
ACTC1	ACTC1	70	3301.91	619.666
ACTG1	ACTG1	71	43.822	91.0747
ACTG1P1	ACTG1P1	73	0.527367	0.229543
ACTG1P3	ACTG1P3	75	0	0.140006
ACTG2	ACTG2	72	69.2693	124.341
ACTL10	ACTL10	170487	0.1803	0.305297
ACTL6A	ACTL6A	86	54.6161	58.9326
ACTL6B	ACTL6B	51412	0.211492	0.285556
ACTN1	ACTN1	87	33.656	74.2383
ACTN1-AS1	ACTN1-AS1	161159	0	0.360228
ACTN2	ACTN2	88	104.265	21.8153
ACTN4	ACTN4	81	75.563	128.673
ACTN4P1	ACTN4P1	344978	0.218601	0.0342084
ACTR10	ACTR10	55860	87.8471	63.5408
ACTR1A	ACTR1A	10121	83.669	84.5001
ACTR1B	ACTR1B	10120	27.9843	26.7739
ACTR2	ACTR2	10097	76.5317	141.084
ACTR3	ACTR3	10096	65.5851	118.365
ACTR3B	ACTR3B	57180	4.24675	6.64789
ACTR3C	ACTR3C	653857	0.463631	0.13973
ACTR5	ACTR5	79913	6.80552	5.65467
ACTR6	ACTR6	64431	21.2132	20.6269
ACTR8	ACTR8	93973	15.9518	17.2421
ACTRT3	ACTRT3	84517	0.121717	0.356718
ACVR1	ACVR1	90	12.612	18.2767
ACVR1B	ACVR1B	91	8.59764	9.11756
ACVR2A	ACVR2A	92	35.1964	17.3058
ACVR2B	ACVR2B	93	6.64385	7.37587
ACVR2B-AS1	ACVR2B-AS1	100128640	0.902696	0.333978
ACVRL1	ACVRL1	94	5.16595	5.85612
ACY1	ACY1	95	11.3191	9.29617
ACYP1	ACYP1	97	27.2919	21.6683
ACYP2	ACYP2	98	13.3663	7.40938
ADA	ADA	100	15.4343	35.0314
ADAL	ADAL	161823	8.83934	6.26961
ADAM10	ADAM10	102	29.0379	38.3723
ADAM11	ADAM11	4185	0.606552	0.394411
ADAM12	ADAM12	8038	14.2639	24.0051
ADAM15	ADAM15	8751	10.6947	16.1163
ADAM17	ADAM17	6868	10.0831	21.3868
ADAM19	ADAM19	8728	30.1147	31.7846
ADAM1A	ADAM1A	8759	5.39335	4.62295
ADAM1B	ADAM1B	100420505	0.122052	0.143081
ADAM20P1	ADAM20P1	317760	0.233375	0.0783376
ADAM21	ADAM21	8747	0.124704	0.253273
ADAM22	ADAM22	53616	1.40666	2.99393
ADAM23	ADAM23	8745	3.08293	6.26951
ADAM28	ADAM28	10863	8.25834	5.42531
ADAM32	ADAM32	203102	0.24216	0.247841
ADAM33	ADAM33	80332	4.58147	1.94353
ADAM8	ADAM8	101	1.07488	1.28657
ADAM9	ADAM9	8754	28.907	51.3036
ADAMTS1	ADAMTS1	9510	20.2848	11.3078
ADAMTS10	ADAMTS10	81794	0	0.0659682
ADAMTS12	ADAMTS12	81792	8.86291	12.707
ADAMTS13	ADAMTS13	11093	0.316612	0.488557
ADAMTS14	ADAMTS14	140766	1.68193	3.16751
ADAMTS15	ADAMTS15	170689	12.9477	5.97694
ADAMTS16	ADAMTS16	170690	0.8155	1.26723
ADAMTS17	ADAMTS17	170691	2.69971	1.86677
ADAMTS19	ADAMTS19	171019	8.1969	1.23489
ADAMTS2	ADAMTS2	9509	7.26905	6.77506
ADAMTS20	ADAMTS20	80070	0.489379	0.861516
ADAMTS3	ADAMTS3	9508	1.22916	2.8076
ADAMTS4	ADAMTS4	9507	0.851302	1.89403
ADAMTS5	ADAMTS5	11096	10.1428	4.35222
ADAMTS6	ADAMTS6	11174	0.622971	1.36857
ADAMTS7	ADAMTS7	11173	27.2513	32.645
ADAMTS7P4	ADAMTS7P4	642935	8.73588	8.40243
ADAMTS8	ADAMTS8	11095	0.375491	0.377578
ADAMTS9	ADAMTS9	56999	29.9445	25.6709
ADAMTS9-AS2	ADAMTS9-AS2	100507098	0.0620502	0.184095
ADAMTSL1	ADAMTSL1	92949	5.15881	1.7275
ADAMTSL4	ADAMTSL4	54507	1.27065	0.765481
ADAMTSL4-AS1	ADAMTSL4-AS1	574406	0	0
ADAMTSL5	ADAMTSL5	339366	1.65647	0.225037
ADAP1	ADAP1	11033	0.829413	1.37258
ADAP2	ADAP2	55803	0.161446	0.0472117
ADAR	ADAR	103	37.7109	65.3709
ADARB1	ADARB1	104	7.23275	7.3485
ADARB2	ADARB2	105	0.243499	0.48813
ADAT1	ADAT1	23536	17.1591	24.5559
ADAT2	ADAT2	134637	4.28693	4.42237
ADAT3	ADAT3	113179	5.32405	4.20998
ADCK1	ADCK1	57143	2.34131	3.50298
ADCK2	ADCK2	90956	5.07641	5.63091
ADCK5	ADCK5	203054	0.251146	0.245367
ADCY1	ADCY1	107	2.96788	3.2995
ADCY10P1	ADCY10P1	221442	1.59205	1.04184
ADCY2	ADCY2	108	2.2132	1.21609
ADCY3	ADCY3	109	7.3034	14.0922
ADCY4	ADCY4	196883	2.94224	3.20409
ADCY5	ADCY5	111	1.08927	0.880128
ADCY6	ADCY6	112	18.5	26.0437
ADCY7	ADCY7	113	0.393309	2.16127
ADCY8	ADCY8	114	0.174205	0.0958058
ADCY9	ADCY9	115	4.71038	5.363
ADCYAP1	ADCYAP1	116	1.98936	0.554322
ADCYAP1R1	ADCYAP1R1	117	2.4137	2.93728
ADD1	ADD1	118	154.746	116.07
ADD3	ADD3	120	40.4977	65.1551
ADH1A	ADH1A	124	0	0.220463
ADH4	ADH4	127	0	0
ADH5	ADH5	128	93.8783	107.662
ADH5P4	ADH5P4	642443	2.88892	4.29157
ADH6	ADH6	130	0.270847	0.159057
ADHFE1	ADHFE1	137872	3.95577	1.99028
ADI1	ADI1	55256	41.948	32.4031
ADIPOR1	ADIPOR1	51094	39.6946	25.668
ADIPOR2	ADIPOR2	79602	21.7536	29.4376
ADIRF-AS1	ADIRF-AS1	100133190	0.916575	1.46888
ADK	ADK	132	48.9039	28.24
ADM	ADM	133	17.9932	13.488
ADM2	ADM2	79924	0.518575	2.64379
ADM5	ADM5	199800	2.52821	1.1566
ADNP	ADNP	23394	38.6621	48.2768
ADNP2	ADNP2	22850	8.55687	10.8025
ADO	ADO	84890	15.5378	13.0933
ADORA1	ADORA1	134	19.066	7.4571
ADORA2A	ADORA2A	135	1.84403	2.43254
ADORA2A-AS1	ADORA2A-AS1	646023	0.243593	0.425449
ADORA2B	ADORA2B	136	4.54168	8.54119
ADPGK	ADPGK	83440	28.1595	30.0511
ADPRH	ADPRH	141	0.238409	0.864808
ADPRHL1	ADPRHL1	113622	34.1209	5.43798
ADPRHL2	ADPRHL2	54936	28.0745	25.3408
ADPRM	ADPRM	56985	16.8072	6.37318
ADRA1A	ADRA1A	148	0.0334991	0.153527
ADRA1B	ADRA1B	147	0.142611	0.111506
ADRA1D	ADRA1D	146	0.133388	0.0520856
ADRA2A	ADRA2A	150	1.77505	1.00968
ADRA2C	ADRA2C	152	3.26687	0.757707
ADRB2	ADRB2	154	0.566956	0.536344
ADRM1	ADRM1	11047	72.4691	76.8647
ADSL	ADSL	158	79.5069	54.6171
AEBP1	AEBP1	165	38.2938	50.9299
AEBP2	AEBP2	121536	20.7493	18.7318
AEN	AEN	64782	16.2423	37.5264
AFAP1	AFAP1	60312	13.6984	15.7349
AFAP1L1	AFAP1L1	134265	23.5271	6.98967
AFAP1L2	AFAP1L2	84632	3.80061	2.66677
AFF1	AFF1	4299	5.88587	14.1804
AFF3	AFF3	3899	7.30471	12.8716
AFF4	AFF4	27125	18.8263	22.9338
AFG3L1P	AFG3L1P	172	21.4443	20.6385
AFG3L2	AFG3L2	10939	24.6873	26.6089
AFMID	AFMID	125061	27.5704	18.7754
AFTPH	AFTPH	54812	6.46839	8.26753
AGA	AGA	175	1.72898	2.35944
AGAP1	AGAP1	116987	12.7239	13.0857
AGAP1-IT1	AGAP1-IT1	100506749	0.575984	0
AGAP2	AGAP2	116986	5.27965	5.72354
AGAP2-AS1	AGAP2-AS1	100130776	1.93096	1.23898
AGAP3	AGAP3	116988	56.1515	40.5589
AGAP4	AGAP4	119016	0.0491527	0.825496
AGAP5	AGAP5	729092	2.84244	1.98571
AGAP6	AGAP6	414189	0.293717	0.395719
AGAP9	AGAP9	642517	0.67989	0.255285
AGBL3	AGBL3	340351	3.12048	1.66716
AGBL4	AGBL4	84871	0.118308	0.0683655
AGBL5	AGBL5	60509	25.5346	25.4804
AGBL5-IT1	AGBL5-IT1	106481744	0.346326	0.280127
AGFG1	AGFG1	3267	27.0733	30.6159
AGFG2	AGFG2	3268	2.54893	3.11378
AGGF1	AGGF1	55109	10.6642	12.2676
AGK	AGK	55750	7.13144	11.0181
AGL	AGL	178	13.4248	7.18607
AGMAT	AGMAT	79814	0.239294	0.186908
AGMO	AGMO	392636	0.37665	0.132265
AGO1	AGO1	26523	5.41013	9.99064
AGO2	AGO2	27161	3.04804	6.97724
AGO3	AGO3	192669	7.43961	8.38205
AGO4	AGO4	192670	7.13357	10.4766
AGPAT1	AGPAT1	10554	1.03901	6.64091
AGPAT2	AGPAT2	10555	20.5137	18.1006
AGPAT3	AGPAT3	56894	7.14225	12.9546
AGPAT4	AGPAT4	56895	8.33965	12.1041
AGPAT5	AGPAT5	55326	33.2076	24.4145
AGPS	AGPS	8540	10.7567	9.91209
AGRN	AGRN	375790	57.7264	44.9479
AGT	AGT	183	0.368221	0.205479
AGTPBP1	AGTPBP1	23287	6.9633	9.24939
AGTR1	AGTR1	185	4.71271	1.6307
AGTRAP	AGTRAP	57085	16.829	19.2101
AHCTF1	AHCTF1	25909	10.6588	19.4932
AHCTF1P1	AHCTF1P1	285116	0.835346	1.58985
AHCY	AHCY	191	95.4143	80.7369
AHCYL1	AHCYL1	10768	32.3909	37.0525
AHCYL2	AHCYL2	23382	7.24954	8.8186
AHDC1	AHDC1	27245	13.3773	11.5196
AHI1	AHI1	54806	9.76102	10.5104
AHNAK	AHNAK	79026	20.5229	30.7468
AHNAK2	AHNAK2	113146	3.47812	3.8479
AHR	AHR	196	1.93843	1.22614
AHRR	AHRR	57491	0.377351	0.474998
AHSA1	AHSA1	10598	83.0801	96.7524
AIDA	AIDA	64853	12.924	23.4044
AIF1L	AIF1L	83543	9.84556	8.92692
AIFM1	AIFM1	9131	26.4614	28.5138
AIFM2	AIFM2	84883	2.39751	3.53413
AIFM3	AIFM3	150209	0.266591	0.0998296
AIG1	AIG1	51390	22.8157	17.3557
AIM2	AIM2	9447	0.134781	0.520146
AIMP1	AIMP1	9255	30.0946	20.1335
AIMP2	AIMP2	7965	32.6202	25.5629
AIP	AIP	9049	54.0504	40.5752
AJAP1	AJAP1	55966	0.033803	0.0791385
AJUBA	AJUBA	84962	40.5095	30.2462
AK1	AK1	203	141.715	66.7387
AK2	AK2	204	75.5043	70.965
AK3	AK3	50808	34.9003	31.3768
AK3P3	AK3P3	100419075	1.15197	1.36061
AK3P5	AK3P5	100288319	0.329467	0
AK4	AK4	205	2.31125	5.77062
AK4P1	AK4P1	206	0.915869	2.16334
AK4P3	AK4P3	645619	0	0.538433
AK5	AK5	26289	6.94773	3.61792
AK7	AK7	122481	0.618566	0.881869
AK8	AK8	158067	0.721618	0.327198
AK9	AK9	221264	5.08112	2.2641
AKAP1	AKAP1	8165	11.0903	7.42902
AKAP10	AKAP10	11216	12.3042	11.1132
AKAP11	AKAP11	11215	5.93835	10.6573
AKAP12	AKAP12	9590	15.874	26.6722
AKAP13	AKAP13	11214	22.7589	24.113
AKAP14	AKAP14	158798	0	0
AKAP17A	AKAP17A	8227	25.2247	35.0823
AKAP3	AKAP3	10566	0.938123	1.89152
AKAP5	AKAP5	9495	0.588941	0.97155
AKAP6	AKAP6	9472	5.63962	2.73102
AKAP7	AKAP7	9465	8.57282	3.50648
AKAP8	AKAP8	10270	13.8739	13.9004
AKAP8L	AKAP8L	26993	58.4776	45.1438
AKAP9	AKAP9	10142	52.8842	25.6017
AKIP1	AKIP1	56672	25.3167	21.7511
AKIRIN1	AKIRIN1	79647	44.1231	52.7961
AKIRIN2	AKIRIN2	55122	44.8515	42.9231
AKNA	AKNA	80709	3.70729	5.83478
AKNAD1	AKNAD1	254268	6.03158	0.996264
AKR1A1	AKR1A1	10327	107.985	94.272
AKR1B1	AKR1B1	231	149.709	70.5077
AKR1C1	AKR1C1	1645	18.5912	20.6781
AKR1C3	AKR1C3	8644	1.0301	0.76159
AKR1E2	AKR1E2	83592	0	0.20107
AKR7A2	AKR7A2	8574	37.9765	27.5167
AKR7A2P1	AKR7A2P1	246182	0.151436	0.118824
AKR7A3	AKR7A3	22977	0.762436	0.482614
AKR7L	AKR7L	246181	1.6912	0.952022
AKT1	AKT1	207	105.183	73.0611
AKT1S1	AKT1S1	84335	41.5325	33.1692
AKT2	AKT2	208	48.7791	50.4667
AKT3	AKT3	10000	9.12191	13.4719
AKT3-IT1	AKT3-IT1	100874263	0	0
AKTIP	AKTIP	64400	15.4544	12.8306
ALAD	ALAD	210	12.288	12.1732
ALAS1	ALAS1	211	22.5627	25.3947
ALB	ALB	213	0.0962573	0.377462
ALCAM	ALCAM	214	7.19064	9.14597
ALDH16A1	ALDH16A1	126133	13.9696	14.5217
ALDH18A1	ALDH18A1	5832	30.1074	33.7202
ALDH1A1	ALDH1A1	216	1.21029	0.157643
ALDH1A2	ALDH1A2	8854	69.2724	32.9855
ALDH1A3	ALDH1A3	220	8.43658	5.9201
ALDH1B1	ALDH1B1	219	28.2905	17.313
ALDH1L1	ALDH1L1	10840	0.192566	0.307245
ALDH1L2	ALDH1L2	160428	0.848313	5.29567
ALDH2	ALDH2	217	23.4885	28.3009
ALDH3A2	ALDH3A2	224	16.4991	14.6108
ALDH3B1	ALDH3B1	221	0.330241	0.206239
ALDH4A1	ALDH4A1	8659	10.7956	5.13289
ALDH5A1	ALDH5A1	7915	3.25142	2.89422
ALDH6A1	ALDH6A1	4329	5.18894	4.69763
ALDH7A1	ALDH7A1	501	92.0598	100.051
ALDH7A1P1	ALDH7A1P1	541	1.51942	1.38132
ALDH8A1	ALDH8A1	64577	0.478834	0.539204
ALDH9A1	ALDH9A1	223	32.5008	33.6088
ALDOA	ALDOA	226	666.441	723.283
ALDOC	ALDOC	230	9.09975	14.3104
ALG1	ALG1	56052	8.60661	10.1518
ALG10	ALG10	84920	1.399	4.0647
ALG10B	ALG10B	144245	1.10079	1.80395
ALG11	ALG11	440138	4.76928	6.31753
ALG12	ALG12	79087	5.0367	6.48682
ALG13	ALG13	79868	17.8988	16.1884
ALG14	ALG14	199857	2.92188	3.16133
ALG1L	ALG1L	200810	0.229715	0.101804
ALG1L15P	ALG1L15P	730086	0.997742	0.498854
ALG1L2	ALG1L2	644974	0.175369	0
ALG2	ALG2	85365	23.5614	27.0389
ALG3	ALG3	10195	16.3488	15.1746
ALG5	ALG5	29880	25.4325	26.142
ALG6	ALG6	29929	11.2343	8.24127
ALG8	ALG8	79053	36.6701	28.8546
ALK	ALK	238	0.11022	0.67533
ALKBH1	ALKBH1	8846	8.45048	8.65213
ALKBH2	ALKBH2	121642	20.2748	12.9453
ALKBH3	ALKBH3	221120	15.6004	16.8873
ALKBH3-AS1	ALKBH3-AS1	100507300	0.340514	0.315861
ALKBH4	ALKBH4	54784	9.53587	8.5728
ALKBH5	ALKBH5	54890	32.725	30.7887
ALKBH6	ALKBH6	84964	13.4803	10.5961
ALKBH7	ALKBH7	84266	60.7904	30.4777
ALKBH8	ALKBH8	91801	3.7414	5.0102
ALMS1	ALMS1	7840	9.42356	7.00544
ALMS1-IT1	ALMS1-IT1	100874291	0.864493	0.18014
ALOX12	ALOX12	239	0.504242	0.309647
ALPK1	ALPK1	80216	3.17511	2.3448
ALPK2	ALPK2	115701	9.67702	3.46581
ALPK3	ALPK3	57538	2.24719	1.52955
ALPL	ALPL	249	3.14167	3.01845
ALS2	ALS2	57679	9.76318	12.9118
ALS2CL	ALS2CL	259173	0.182922	0.196703
ALX1	ALX1	8092	1.05427	0.412459
ALYREF	ALYREF	10189	86.3899	82.4053
AMACR	AMACR	23600	7.1825	14.5685
AMBP	AMBP	259	0.0443142	0.0693515
AMBRA1	AMBRA1	55626	7.64105	8.76028
AMD1	AMD1	262	39.372	49.6111
AMDHD1	AMDHD1	144193	0	0.152496
AMDHD2	AMDHD2	51005	8.96313	9.81116
AMER1	AMER1	139285	2.96961	2.71204
AMER2	AMER2	219287	0.104474	0.422383
AMFR	AMFR	267	27.6276	29.7332
AMH	AMH	268	13.839	14.5627
AMIGO1	AMIGO1	57463	2.9505	2.50465
AMIGO2	AMIGO2	347902	4.61592	5.93498
AMIGO3	AMIGO3	386724	4.80276	4.82998
AMMECR1	AMMECR1	9949	2.54269	4.50395
AMMECR1L	AMMECR1L	83607	9.77635	14.4349
AMN	AMN	81693	0.197577	0.417758
AMN1	AMN1	196394	3.98486	2.38307
AMOT	AMOT	154796	18.6058	47.023
AMOTL1	AMOTL1	154810	12.4787	34.4425
AMOTL2	AMOTL2	51421	31.1652	11.5609
AMPD2	AMPD2	271	28.8558	38.5068
AMPD3	AMPD3	272	0.887919	2.00724
AMPH	AMPH	273	9.75121	10.7539
AMT	AMT	275	9.673	8.77067
AMY2B	AMY2B	280	2.86997	2.05482
AMZ1	AMZ1	155185	0.0623958	0.218547
AMZ2P1	AMZ2P1	201283	13.0427	8.65028
ANAPC1	ANAPC1	64682	5.1376	9.68084
ANAPC10	ANAPC10	10393	24.3992	14.7182
ANAPC10P1	ANAPC10P1	729198	0.445404	0.351807
ANAPC11	ANAPC11	51529	196.998	122.508
ANAPC13	ANAPC13	25847	100.011	61.6732
ANAPC15	ANAPC15	25906	50.0669	30.3955
ANAPC16	ANAPC16	119504	75.37	50.6888
ANAPC2	ANAPC2	29882	19.2082	17.1541
ANAPC4	ANAPC4	29945	17.8394	15.8807
ANAPC5	ANAPC5	51433	50.3291	41.1312
ANAPC7	ANAPC7	51434	61.6491	49.26
ANG	ANG	283	3.22539	3.36951
ANGEL1	ANGEL1	23357	7.73116	10.5598
ANGEL2	ANGEL2	90806	14.612	17.0793
ANGPT1	ANGPT1	284	3.77403	4.92093
ANGPT2	ANGPT2	285	0.270861	0.810464
ANGPTL1	ANGPTL1	9068	9.97619	16.1585
ANGPTL2	ANGPTL2	23452	13.5382	24.7375
ANGPTL4	ANGPTL4	51129	1.67105	2.75964
ANGPTL6	ANGPTL6	83854	0.157751	0.064669
ANK1	ANK1	286	14.9692	4.63367
ANK2	ANK2	287	25.1106	12.0276
ANK3	ANK3	288	7.92858	9.43137
ANKAR	ANKAR	150709	0.693273	0.933476
ANKDD1A	ANKDD1A	348094	6.06492	4.84558
ANKDD1B	ANKDD1B	728780	0.0698712	0.0265569
ANKEF1	ANKEF1	63926	0.325367	0.532292
ANKFN1	ANKFN1	162282	0.47787	0.153842
ANKFY1	ANKFY1	51479	12.4302	20.816
ANKH	ANKH	56172	1.28191	2.41186
ANKHD1	ANKHD1	54882	47.4677	54.3286
ANKHD1-EIF4EBP3	ANKHD1-EIF4EBP3	404734	5.36585	3.6852
ANKIB1	ANKIB1	54467	11.7835	18.8837
ANKLE1	ANKLE1	126549	1.19912	1.58468
ANKLE2	ANKLE2	23141	26.9926	41.1721
ANKMY1	ANKMY1	51281	4.21873	4.32167
ANKMY2	ANKMY2	57037	13.9971	11.0395
ANKRA2	ANKRA2	57763	15.4921	16.9053
