name	Akkouh_et_al_Rat	GSE132397_Mouse	GSE66276_Rat	Literature	Rat_Microarray_v8_Output
'DDCAte'	1	0	1	0	1
'DDCRNe'	1	0	0	0	0
'DDECCRNe'	1	0	0	0	0
'DDECE1CRNe'	1	0	0	0	0
'DECCRNe'	1	0	0	0	0
'DECDICRNe'	1	0	0	0	0
'DESAT14_9'	1	1	0	0	0
'DESAT18_10'	1	0	0	0	0
'DESAT18_4'	0	1	1	0	1
'DESAT18_6'	0	0	1	0	1
'DESAT18_7'	0	1	1	0	1
'DESAT18_8'	0	1	1	0	1
'DESAT18_9'	1	0	1	0	1
'DESAT20_1'	1	0	0	0	0
'DGSNt'	0	0	1	0	1
'DHCR71r'	0	1	0	0	0
'DINt'	0	0	1	0	1
'DLNLCGCPT1'	0	0	1	0	1
'DLNLCGCPT2'	1	0	1	0	1
'DM_for[c]'	0	1	0	0	0
'DMATT'	0	1	0	0	0
'DMGLYtr'	1	0	1	0	1
'DOCOSACTDr'	1	0	0	0	0
'DPMVDc'	0	1	0	0	0
'DPMVDx'	0	1	0	0	0
'DSMSTEROLte'	0	1	0	0	0
'DSMSTEROLtr'	0	1	0	0	0
'EBP1r'	0	1	0	0	0
'ECOAH12m'	1	0	0	0	0
'ECOAH1m'	0	0	1	0	1
'ECOAH1x'	1	0	1	0	1
'ECOAH9m'	1	0	0	0	0
'EICOSTETCPT1'	0	0	1	0	1
'EICOSTETCPT2'	1	0	1	0	1
'ELAIDCPT1'	0	0	1	0	1
'ELAIDCPT2'	1	0	1	0	1
'ETF'	0	1	0	0	0
'ETFQO'	0	1	0	0	0
'EX_2hb[e]'	1	0	0	0	0
'EX_2obut[e]'	1	0	0	0	0
'EX_3bcrn[e]'	1	0	0	0	0
'EX_3ddcrn[e]'	1	0	0	0	0
'EX_3deccrn[e]'	1	0	0	0	0
'EX_3hdececrn[e]'	1	0	0	0	0
'EX_3hexdcrn[e]'	1	0	0	0	0
'EX_3ivcrn[e]'	1	0	0	0	0
'EX_3octdec2crn[e]'	1	0	0	0	0
'EX_3octdeccrn[e]'	1	0	0	0	0
'EX_3octdece1crn[e]'	1	0	0	0	0
'EX_3tdcrn[e]'	1	0	0	0	0
'EX_3tetd7ecoacrn[e]'	1	0	0	0	0
'EX_3thexddcoacrn[e]'	1	0	0	0	0
'EX_3ttetddcoacrn[e]'	1	0	0	0	0
'EX_4aabutn[e]'	0	1	0	0	0
'EX_ach[e]'	0	0	1	0	1
'EX_ade[e]'	0	0	1	0	1
'EX_adn[e]'	0	0	1	0	1
'EX_aicar[e]'	0	0	1	0	1
'EX_amp[e]'	0	0	1	0	1
'EX_arach[e]'	0	0	1	0	1
'EX_asp_L[e]'	1	0	0	0	0
'EX_C02356[e]'	1	0	0	0	0
'EX_c101crn[e]'	1	0	0	0	0
'EX_c10crn[e]'	1	0	0	0	0
'EX_c3dc[e]'	1	0	0	0	0
'EX_c51crn[e]'	1	0	0	0	0
'EX_c5dc[e]'	1	0	0	0	0
'EX_c81crn[e]'	1	0	0	0	0
'EX_caproic[e]'	0	0	1	0	1
'EX_chol[e]'	0	0	1	0	1
'EX_cholp[e]'	0	0	1	0	1
'EX_crvnc[e]'	0	0	1	0	1
'EX_dad_2[e]'	0	0	1	0	1
'EX_ddca[e]'	1	0	1	0	1
'EX_ddece1crn[e]'	1	0	0	0	0
'EX_ddecrn[e]'	1	0	0	0	0
'EX_decdicrn[e]'	1	0	0	0	0
'EX_dgsn[e]'	0	0	1	0	1
'EX_din[e]'	0	0	1	0	1
'EX_dmgly[e]'	1	0	1	0	1
'EX_dsmsterol[e]'	0	1	0	0	0
'EX_for[e]'	0	1	0	0	0
'EX_glyb[e]'	1	0	1	0	1
'EX_gsn[e]'	0	0	1	0	1
'EX_gua[e]'	0	0	1	0	1
'EX_hdca[e]'	0	0	1	0	1
'EX_hxa[e]'	0	0	1	0	1
'EX_hxan[e]'	0	0	1	0	1
'EX_imp[e]'	0	0	1	0	1
'EX_ins[e]'	0	0	1	0	1
'EX_ivcrn[e]'	1	0	0	0	0
'EX_lneldc[e]'	0	1	1	0	1
'EX_lthstrl[e]'	0	1	0	0	0
'EX_M00017[e]'	0	1	1	0	1
'EX_M00341[e]'	0	0	1	0	1
'EX_M01197[e]'	1	0	1	0	1
'EX_M01582[e]'	0	1	1	0	1
'EX_M02457[e]'	0	1	1	0	1
'EX_M02745[e]'	1	0	1	0	1
'EX_o2s[e]'	0	1	0	0	0
'EX_ocdca[e]'	0	0	1	0	1
'EX_ocdcea[e]'	0	0	1	0	1
'EX_orn[e]'	0	1	0	0	0
'EX_oxa[e]'	0	1	0	0	0
'EX_prpp[e]'	0	0	1	0	1
'EX_ptrc[e]'	0	1	0	0	0
'EX_sphgn[e]'	0	0	1	0	1
'EX_tetdec2crn[e]'	1	0	0	0	0
'EX_tetdece1crn[e]'	1	0	0	0	0
'EX_ttdcea[e]'	0	0	1	0	1
'EX_xan[e]'	0	0	1	0	1
'EX_xmp[e]'	0	0	1	0	1
'EX_xtsn[e]'	0	0	1	0	1
'FADH2tx'	0	0	1	0	1
'FADtx'	0	0	1	0	1
'FAOXC101C102x'	0	1	0	0	0
'FAOXC101x'	0	0	1	0	1
'FAOXC102C101m'	0	0	1	0	1
'FAOXC102C103x'	1	1	1	0	1
'FAOXC102C81m'	0	0	1	0	1
'FAOXC102C81x'	1	1	1	0	1
'FAOXC102m'	0	0	1	0	1
'FAOXC102x'	1	1	1	0	1
'FAOXC103C102m'	0	0	1	0	1
'FAOXC103C102x'	1	1	1	0	1
'FAOXC10C8x'	0	1	1	0	1
'FAOXC121C101m'	0	1	0	0	0
'FAOXC122C101m'	0	0	1	0	1
'FAOXC122m'	0	0	1	0	1
'FAOXC122x'	0	0	1	0	1
'FAOXC123C102m'	0	0	1	0	1
'FAOXC123C102x'	1	1	1	0	1
'FAOXC123m'	0	0	1	0	1
'FAOXC123x'	1	1	1	0	1
'FAOXC12DCTc'	1	0	0	0	0
'FAOXC12DCx'	1	0	0	0	0
'FAOXC141C121m'	0	1	1	0	1
'FAOXC141C141OHm'	1	0	0	0	0
'FAOXC142C122m'	0	0	1	0	1
'FAOXC142C122x'	0	0	1	0	1
'FAOXC142C142OHm'	1	0	0	0	0
'FAOXC143C123m'	0	0	1	0	1
'FAOXC143C123x'	1	1	1	0	1
'FAOXC14C12m'	0	0	1	0	1
'FAOXC14C12x'	0	1	1	0	1
'FAOXC14C14OHm'	0	0	1	0	1
'FAOXC16180m'	0	1	0	0	0
'FAOXC161C141m'	0	1	1	0	1
'FAOXC161C161OHm'	1	0	0	0	0
'FAOXC162C142m'	0	0	1	0	1
'FAOXC162C162OHm'	1	0	0	0	0
'FAOXC163C142x'	0	0	1	0	1
'FAOXC163C143m'	0	0	1	0	1
'FAOXC163C164Gm'	0	0	1	0	1
'FAOXC163C164x'	0	0	1	0	1
'FAOXC163GC142m'	0	0	1	0	1
'FAOXC163Gm'	0	0	1	0	1
'FAOXC163x'	0	0	1	0	1
'FAOXC164C143m'	1	0	1	0	1
'FAOXC164C143x'	1	1	1	0	1
'FAOXC164C163x'	0	0	1	0	1
'FAOXC164C165m'	1	0	1	0	1
'FAOXC164C165x'	1	1	1	0	1
'FAOXC164GC163m'	0	0	1	0	1
'FAOXC164m'	1	0	1	0	1
'FAOXC164x'	1	1	1	0	1
'FAOXC165C164m'	1	0	1	0	1
'FAOXC165C164x'	1	1	1	0	1
'FAOXC16C14m'	0	0	1	0	1
'FAOXC16C16OHm'	1	0	0	0	0
'FAOXC1811602m'	1	1	0	0	0
'FAOXC181C161m'	1	1	1	0	1
'FAOXC181C181OHm'	1	0	0	0	0
'FAOXC18280m'	1	1	0	0	0
'FAOXC182C162m'	0	0	1	0	1
'FAOXC182C182OHm'	1	0	0	0	0
'FAOXC183C163Gm'	0	0	1	0	1
'FAOXC183C163m'	0	0	1	0	1
'FAOXC18480m'	1	0	0	0	0
'FAOXC184C163m'	0	0	1	0	1
'FAOXC184C163x'	0	0	1	0	1
'FAOXC184C164m'	1	0	1	0	1
'FAOXC184C164x'	1	1	1	0	1
'FAOXC184m'	0	0	1	0	1
'FAOXC184x'	0	0	1	0	1
'FAOXC185C164m'	1	0	1	0	1
'FAOXC185m'	1	0	1	0	1
'FAOXC18C18OHm'	1	0	0	0	0
'FAOXC200180m'	1	0	0	0	0
'FAOXC2031836m'	1	0	0	0	0
'FAOXC204184m'	1	0	0	0	0
'FAOXC204C184m'	0	0	1	0	1
'FAOXC204C205x'	0	0	1	0	1
'FAOXC2051843m'	1	0	0	0	0
'FAOXC2051843x'	1	1	1	0	1
'FAOXC205C184x'	0	0	1	0	1
'FAOXC205C185m'	1	0	1	0	1
'FAOXC225C204m'	0	0	1	0	1
'FAOXC225C204x'	0	0	1	0	1
'FAOXC225C226m'	0	0	1	0	1
'FAOXC225C226x'	0	0	1	0	1
'FAOXC225m'	0	0	1	0	1
'FAOXC225x'	0	0	1	0	1
'FAOXC226'	1	0	0	0	0
'FAOXC226205m'	1	0	0	0	0
'FAOXC226C205m'	1	0	1	0	1
'FAOXC226C225m'	0	0	1	0	1
'FAOXC226C225x'	0	0	1	0	1
'FAOXC226C227m'	1	0	1	0	1
'FAOXC226m'	1	0	1	0	1
'FAOXC227C226m'	1	0	1	0	1
'FAOXC5C5OHm'	1	0	0	0	0
'FAOXC61C4m'	0	0	1	0	1
'FAOXC61m'	0	0	1	0	1
'FAOXC61x'	1	1	1	0	1
'FAOXC81C61x'	1	1	1	0	1
'FAOXTC101TC102m'	1	1	0	0	0
'FAOXTC102C101m'	1	1	1	0	1
'FAOXTC122m'	1	1	1	0	1
'FAOXTC122TC101m'	1	1	1	0	1
'FAOXTC142TC122m'	1	1	1	0	1
'FAOXTC162TC142m'	1	1	1	0	1
'FAOXTC182TC162m'	1	1	1	0	1
'FDH'	0	1	0	0	0
'FOAXC122C101x'	0	0	1	0	1
'FORt2m'	0	1	0	0	0
'FORtr'	0	1	0	0	0
'FTHFL'	0	1	0	0	0
'FTHFLm'	0	1	0	0	0
'GARFT'	0	0	1	0	1
'GBA'	0	0	0	1	0
'GBA2e'	0	0	0	1	0
'GCC2cm'	1	0	0	0	0
'GGNG'	0	0	0	1	0
'GLBRAN'	0	0	0	1	0
'GLGNS1'	0	0	0	1	0
'GLPASE2'	0	0	0	1	0
'GLUPRT'	0	0	1	0	1
'GLUTCOAACBP'	1	0	0	0	0
'GLXO1'	0	1	0	0	0
'GLXtp'	0	1	0	0	0
'GLYBtm'	1	0	1	0	1
'GLYCLTtp'	0	1	0	0	0
'GLYCTO1p'	0	1	0	0	0
'GRTT'	0	1	0	0	0
'GUAt'	0	0	1	0	1
'H2O2tn'	0	1	0	0	0
'H2O2tp'	0	1	0	0	0
'HACD1m'	0	0	1	0	1
'HACD1x'	1	0	1	0	1
'HACD9m'	1	0	0	0	0
'HDCACBP'	1	0	0	0	0
'HDD2COAtx'	1	1	1	0	1
'HDDACBP'	1	0	0	0	0
'HDECAACBP'	1	0	0	0	0
'HDECEACBP'	1	0	0	0	0
'HEDCECRNe'	1	0	0	0	0
'HEX1'	0	0	0	1	0
'HEX7'	0	0	0	1	0
'HEXCCOAtx'	0	1	0	0	0
'HEXCOAACBP'	0	0	1	0	1
'HEXDCRNe'	1	0	0	0	0
'HIBDm'	1	0	0	0	0
'HIVCACBP'	1	0	0	0	0
'HIVCRNe'	1	0	0	0	0
'HMR_0020'	1	0	0	0	0
'HMR_0167'	0	0	1	0	1
'HMR_0182'	1	0	0	0	0
'HMR_0230'	1	0	0	0	0
'HMR_0276'	0	1	1	0	1
'HMR_0378'	0	0	1	0	1
'HMR_0597'	0	0	1	0	1
'HMR_0625'	0	0	1	0	1
'HMR_0629'	0	0	1	0	1
'HMR_0761'	0	0	0	1	0
'HMR_0770'	0	0	0	1	0
'HMR_1465'	0	1	0	0	0
'HMR_1467'	0	1	0	0	0
'HMR_1470'	0	1	0	0	0
'HMR_1473'	0	1	0	0	0
'HMR_1484'	1	1	0	0	0
'HMR_1490'	1	1	0	0	0
'HMR_1493'	1	1	0	0	0
'HMR_1494'	1	1	0	0	0
'HMR_1495'	1	1	0	0	0
'HMR_1496'	1	1	0	0	0
'HMR_1500'	1	1	0	0	0
'HMR_1502'	1	1	0	0	0
'HMR_1503'	1	1	0	0	0
'HMR_1504'	1	1	0	0	0
'HMR_1505'	1	1	0	0	0
'HMR_1509'	1	1	0	0	0
'HMR_1512'	1	1	0	0	0
'HMR_1516'	1	1	0	0	0
'HMR_1536'	0	1	0	0	0
'HMR_1538'	0	1	0	0	0
'HMR_1539'	0	1	0	0	0
'HMR_1540'	0	1	0	0	0
'HMR_1543'	0	1	0	0	0
'HMR_1544'	0	1	0	0	0
'HMR_1545'	0	1	0	0	0
'HMR_1546'	0	1	0	0	0
'HMR_1547'	0	1	0	0	0
'HMR_1548'	0	1	0	0	0
'HMR_1549'	0	1	0	0	0
'HMR_1550'	0	1	0	0	0
'HMR_1551'	0	1	0	0	0
'HMR_1552'	0	1	0	0	0
'HMR_1706'	0	1	0	0	0
'HMR_1807'	0	1	0	0	0
'HMR_2215'	0	1	0	0	0
'HMR_2217'	0	1	0	0	0
'HMR_2218'	0	1	0	0	0
'HMR_2219'	0	1	0	0	0
'HMR_2259'	1	0	0	0	0
'HMR_2260'	1	0	0	0	0
'HMR_2261'	1	0	0	0	0
'HMR_2262'	1	0	0	0	0
'HMR_2263'	1	0	0	0	0
'HMR_2264'	1	0	0	0	0
'HMR_2265'	1	0	0	0	0
'HMR_2266'	1	0	0	0	0
'HMR_2293'	0	1	1	0	1
'HMR_2296'	0	1	1	0	1
'HMR_2342'	1	0	0	0	0
'HMR_2343'	1	0	0	0	0
'HMR_2344'	1	0	0	0	0
'HMR_2345'	1	0	0	0	0
'HMR_2347'	0	1	1	0	1
'HMR_2348'	0	1	1	0	1
'HMR_2349'	0	1	1	0	1
'HMR_2350'	0	1	1	0	1
'HMR_2353'	0	1	1	0	1
'HMR_2354'	0	1	1	0	1
'HMR_2355'	0	1	1	0	1
'HMR_2356'	0	1	1	0	1
'HMR_2359'	0	0	1	0	1
'HMR_2361'	0	1	1	0	1
'HMR_2362'	0	1	1	0	1
'HMR_2363'	0	1	1	0	1
'HMR_2364'	0	1	1	0	1
'HMR_2365'	0	1	1	0	1
'HMR_2368'	1	0	1	0	1
'HMR_2380'	1	1	0	0	0
'HMR_2472'	1	0	1	0	1
'HMR_2484'	0	0	1	0	1
'HMR_2530'	1	0	1	0	1
'HMR_2533'	1	0	1	0	1
'HMR_2535'	1	0	1	0	1
'HMR_2537'	1	0	1	0	1
'HMR_2540'	1	0	1	0	1
'HMR_2541'	1	0	1	0	1
'HMR_2542'	1	0	1	0	1
'HMR_2543'	1	0	1	0	1
'HMR_2569'	1	0	0	0	0
'HMR_2602'	0	0	1	0	1
'HMR_2603'	1	0	1	0	1
'HMR_2604'	1	0	1	0	1
'HMR_2609'	1	0	0	0	0
'HMR_2610'	1	0	0	0	0
'HMR_2613'	0	0	1	0	1
'HMR_2620'	0	0	1	0	1
'HMR_2621'	1	0	1	0	1
'HMR_2622'	1	0	1	0	1
'HMR_2633'	0	0	1	0	1
'HMR_2635'	0	0	1	0	1
'HMR_2659'	0	0	1	0	1
'HMR_2660'	0	0	1	0	1
'HMR_2661'	1	0	1	0	1
'HMR_2662'	1	0	1	0	1
'HMR_2668'	0	0	1	0	1
'HMR_2669'	0	1	1	0	1
'HMR_2670'	1	1	1	0	1
'HMR_2671'	1	1	1	0	1
'HMR_2676'	1	0	0	0	0
'HMR_2677'	1	0	0	0	0
'HMR_2682'	1	0	0	0	0
'HMR_2683'	1	0	0	0	0
'HMR_2687'	0	1	1	0	1
'HMR_2688'	1	1	1	0	1
'HMR_2689'	1	1	1	0	1
'HMR_2690'	0	1	1	0	1
'HMR_2691'	1	1	1	0	1
'HMR_2692'	1	1	1	0	1
'HMR_2693'	0	1	1	0	1
'HMR_2695'	1	1	1	0	1
'HMR_2697'	1	1	1	0	1
'HMR_2700'	1	0	0	0	0
'HMR_2701'	1	0	0	0	0
'HMR_2708'	0	1	1	0	1
'HMR_2709'	1	1	1	0	1
'HMR_2710'	1	1	1	0	1
'HMR_2733'	0	0	1	0	1
'HMR_2734'	1	0	1	0	1
'HMR_2735'	1	0	1	0	1
'HMR_2736'	0	0	1	0	1
'HMR_2737'	1	0	1	0	1
'HMR_2738'	1	0	1	0	1
'HMR_2851'	1	0	0	0	0
'HMR_2852'	1	0	0	0	0
'HMR_2857'	0	0	1	0	1
'HMR_2859'	0	0	1	0	1
'HMR_2865'	1	0	0	0	0
'HMR_2866'	1	0	0	0	0
'HMR_3057'	0	1	0	0	0
'HMR_3058'	0	1	0	0	0
'HMR_3059'	0	1	0	0	0
'HMR_3070'	0	1	0	0	0
'HMR_3071'	0	1	0	0	0
'HMR_3072'	0	1	0	0	0
'HMR_3073'	0	1	0	0	0
'HMR_3074'	0	1	1	0	1
'HMR_3075'	0	1	1	0	1
'HMR_3076'	0	1	1	0	1
'HMR_3094'	1	1	1	0	1
'HMR_3095'	1	1	1	0	1
'HMR_3096'	1	1	1	0	1
'HMR_3097'	1	1	1	0	1
'HMR_3098'	0	0	1	0	1
'HMR_3099'	0	0	1	0	1
'HMR_3100'	0	0	1	0	1
'HMR_3101'	0	0	1	0	1
'HMR_3102'	1	0	1	0	1
'HMR_3111'	1	0	0	0	0
'HMR_3112'	1	0	1	0	1
'HMR_3113'	1	0	1	0	1
'HMR_3114'	1	0	1	0	1
'HMR_3115'	1	0	0	0	0
'HMR_3116'	0	0	1	0	1
'HMR_3117'	0	0	1	0	1
'HMR_3118'	0	0	1	0	1
'HMR_3170'	1	0	0	0	0
'HMR_3171'	1	0	0	0	0
'HMR_3172'	1	0	0	0	0
'HMR_3173'	1	0	0	0	0
'HMR_3174'	1	0	0	0	0
'HMR_3175'	1	0	0	0	0
'HMR_3176'	1	0	0	0	0
'HMR_3177'	1	0	0	0	0
'HMR_3229'	0	0	1	0	1
'HMR_3231'	0	0	1	0	1
'HMR_3232'	0	0	1	0	1
'HMR_3233'	0	0	1	0	1
'HMR_3235'	0	0	1	0	1
'HMR_3236'	0	0	1	0	1
'HMR_3237'	0	0	1	0	1
'HMR_3240'	1	0	0	0	0
'HMR_3241'	1	0	0	0	0
'HMR_3242'	1	0	0	0	0
'HMR_3243'	1	0	0	0	0
'HMR_3244'	0	1	0	0	0
'HMR_3245'	0	1	1	0	1
'HMR_3246'	0	1	1	0	1
'HMR_3247'	0	1	1	0	1
'HMR_3296'	0	0	1	0	1
'HMR_3322'	0	0	1	0	1
'HMR_3408'	1	1	0	0	0
'HMR_3409'	1	1	0	0	0
'HMR_3411'	1	1	0	0	0
'HMR_3413'	1	1	0	0	0
'HMR_3414'	1	1	0	0	0
'HMR_3416'	1	1	0	0	0
'HMR_3427'	1	0	0	0	0
'HMR_3428'	1	0	0	0	0
'HMR_3429'	1	0	0	0	0
'HMR_3431'	1	0	0	0	0
'HMR_3432'	1	0	0	0	0
'HMR_3448'	1	0	0	0	0
'HMR_3453'	0	0	1	0	1
'HMR_3454'	0	0	1	0	1
'HMR_3455'	0	0	1	0	1
'HMR_3457'	0	0	1	0	1
'HMR_3597'	1	0	0	0	0
'HMR_3859'	0	1	0	0	0
'HMR_3915'	0	0	1	0	1
'HMR_4422'	0	1	0	0	0
'HMR_4696'	0	0	1	0	1
'HMR_4790'	0	1	0	0	0
'HMR_6564'	0	0	1	0	1
'HMR_7703'	0	1	0	0	0
'HMR_9719'	1	0	0	0	0
'HMR_9797'	0	0	1	0	1
'HOCDACBP'	1	0	0	0	0
'HOCTDACBP'	1	0	0	0	0
'HOCTDEC2CRNe'	1	0	0	0	0
'HOCTDECCRNe'	1	0	0	0	0
'HPDCACRNCPT2'	1	0	0	0	0
'HSD17B42x'	0	1	0	0	0
'HSD17B9r'	0	1	0	0	0
'HSD3B2r'	0	1	0	0	0
'HTDCACBP'	1	0	0	0	0
'HTDCRNe'	1	0	0	0	0
'Htmi'	0	1	0	0	0
'HXAt3'	0	0	1	0	1
'HYXNt'	0	0	1	0	1
'ILEt5m'	1	0	0	0	0
'ILETAm'	1	0	0	0	0
'IMPC'	0	0	1	0	1
'IMPtr'	0	0	1	0	1
'IPDPtx'	0	1	0	0	0
'IVCOAACBP'	1	0	0	0	0
'IVCRNe'	1	0	0	0	0
'LANOSTtr'	0	1	0	0	0
'LGNCCOAtx'	0	1	0	0	0
'LNELDCCPT1'	0	1	1	0	1
'LNELDCCPT2'	1	1	1	0	1
'LNELDCt'	0	0	1	0	1
'LNLCCPT1'	0	0	1	0	1
'LNLCCPT2'	0	0	1	0	1
'LNLNCACPT2'	1	0	0	0	0
'LNLNCACRNt'	1	0	0	0	0
'LNLNCGCPT2'	0	0	1	0	1
'LNSTLSr'	0	1	0	0	0
'LPS'	1	0	0	0	0
'LSTO1r'	0	1	0	0	0
'LTHSTRLt'	0	1	0	0	0
'LTHSTRLtr'	0	1	0	0	0
'METAT'	0	0	1	0	1
'METS'	0	0	1	0	1
'MEVK1c'	0	1	0	0	0
'MEVK1x'	0	1	0	0	0
'MI1345PP'	0	0	1	0	1
'MI134PP'	0	0	1	0	1
'MI14P4P'	0	0	0	1	0
'MI34PP'	0	0	1	0	1
'MI3PP'	0	0	1	0	1
'NABTNO'	0	1	0	0	0
'O2St'	0	1	0	0	0
'O2Stm'	0	1	0	0	0
'O2Stn'	0	1	0	0	0
'O2Stx'	0	1	0	0	0
'O2ter'	0	1	0	0	0
'O2tn'	0	1	0	0	0
'O2tp'	1	1	0	0	0
'OBDHc'	1	0	0	0	0
'OCCOAtx'	1	1	1	0	1
'OCD11COACPT1'	0	1	1	0	1
'OCD11CRNCACT'	1	1	1	0	1
'OCD11CRNCPT2'	1	1	1	0	1
'OCTDEC2ACBP'	1	0	0	0	0
'OCTDECCACT'	1	0	0	0	0
'OCTDECCPT2'	1	0	0	0	0
'OCTDECE1CRNe'	1	0	0	0	0
'ORNDC'	0	1	0	0	0
'OROTGLUt'	1	0	0	0	0
'P45027A12m'	0	1	0	0	0
'P45027A13m'	0	1	0	0	0
'P45027A15m'	0	1	0	0	0
'P45027A16m'	0	1	0	0	0
'PAIL45P_HStn'	1	0	0	0	0
'PDE1'	0	0	1	0	1
'PI5P4K'	1	0	0	0	0
'PIK5'	1	0	0	0	0
'PIPLC'	0	0	0	1	0
'PMEVKc'	0	1	0	0	0
'PMEVKx'	0	1	0	0	0
'PPItx'	1	0	0	0	0
'PRAGSr'	0	0	1	0	1
'PRASCS'	0	0	1	0	1
'PRFGS'	0	0	1	0	1
'PTCRTD'	0	1	0	0	0
'PTRCAT1'	0	1	0	0	0
'PUNP2'	0	0	1	0	1
'PUNP6'	0	0	1	0	1
'R_group_phosphotase_3'	1	0	0	0	0
'r0022'	1	0	0	0	0
'r0023'	0	0	1	0	1
'r0074'	0	1	0	0	0
'r0205'	0	1	0	0	0
'r0310'	0	1	0	0	0
'r0354'	0	0	0	1	0
'r0355'	0	0	0	1	0
'r0357'	0	0	0	1	0
'r0358'	0	0	0	1	0
'r0383'	1	0	0	0	0
'r0385'	1	0	0	0	0
'r0437'	0	0	1	0	1
'r0444'	1	0	0	0	0
'r0451'	1	0	0	0	0
'r0480'	0	0	1	0	1
'r0509'	0	1	0	0	0
'r0511'	0	1	1	0	1
'r0523'	1	0	0	0	0
'r0557'	1	0	0	0	0
'r0561'	1	0	0	0	0
'r0604'	1	0	0	0	0
'r0636'	1	1	1	0	1
'r0639'	0	0	1	0	1
'r0653'	0	0	1	0	1
'r0655'	1	0	0	0	0
'r0660'	0	0	1	0	1
'r0661'	0	1	1	0	1
'r0666'	0	0	1	0	1
'r0669'	1	0	0	0	0
'r0670'	1	0	0	0	0
'r0714'	0	0	1	0	1
'r0715'	0	1	1	0	1
'r0716'	0	0	1	0	1
'r0717'	0	1	1	0	1
'r0718'	0	0	1	0	1
'r0719'	0	1	1	0	1
'r0720'	0	0	1	0	1
'r0721'	0	1	1	0	1
'r0722'	1	0	1	0	1
'r0723'	0	1	1	0	1
'r0724'	1	0	1	0	1
'r0727'	0	1	1	0	1
'r0729'	0	1	1	0	1
'r0779'	1	0	0	0	0
'r0781'	0	1	0	0	0
'r0788'	0	0	1	0	1
'r0789'	0	0	1	0	1
