name	Literature_Model_Input	Literature_Model_v8_Output	Mouse_Microarray_v8_Input	Mouse_Microarray_v8_Output	Rat_Microarray_v8_Input	Rat_Microarray_v8_Output	Rat_RNA_Seq_v8_Input	Rat_RNA_Seq_v8_Output
'DMGLYtr'	0	0	0	0	0	1	0	1
'DOCOSACTDr'	0	0	0	0	0	0	0	1
'DPMVDc'	0	0	0	1	0	0	0	0
'DPMVDx'	0	0	0	1	0	0	0	0
'DSMSTEROLte'	0	0	0	1	0	0	0	0
'DSMSTEROLtr'	0	0	0	1	0	0	0	0
'EBP1r'	0	0	0	1	0	0	0	0
'ECOAH12m'	0	0	0	0	0	0	0	1
'ECOAH1m'	0	0	0	0	0	1	0	0
'ECOAH1x'	0	0	0	0	0	1	0	1
'ECOAH9m'	0	0	0	0	0	0	0	1
'EICOSTETCPT1'	0	0	0	0	0	1	1	0
'EICOSTETCPT2'	0	0	0	0	0	1	0	1
'ELAIDCPT1'	0	0	0	0	0	1	1	0
'ELAIDCPT2'	0	0	0	0	0	1	0	1
'ETF'	0	0	0	1	0	0	0	0
'ETFQO'	0	0	0	1	0	0	0	0
'EX_2hb[e]'	0	0	0	0	0	0	0	1
'EX_2obut[e]'	0	0	0	0	0	0	0	1
'EX_3bcrn[e]'	0	0	0	0	0	0	0	1
'EX_3ddcrn[e]'	0	0	0	0	0	0	0	1
'EX_3deccrn[e]'	0	0	0	0	0	0	0	1
'EX_3hdececrn[e]'	0	0	0	0	0	0	0	1
'EX_3hexdcrn[e]'	0	0	0	0	0	0	0	1
'EX_3ivcrn[e]'	0	0	0	0	0	0	0	1
'EX_3octdec2crn[e]'	0	0	0	0	0	0	0	1
'EX_3octdeccrn[e]'	0	0	0	0	0	0	0	1
'EX_3octdece1crn[e]'	0	0	0	0	0	0	0	1
'EX_3tdcrn[e]'	0	0	0	0	0	0	0	1
'EX_3tetd7ecoacrn[e]'	0	0	0	0	0	0	0	1
'EX_3thexddcoacrn[e]'	0	0	0	0	0	0	0	1
'EX_3ttetddcoacrn[e]'	0	0	0	0	0	0	0	1
'EX_4aabutn[e]'	0	0	0	1	0	0	0	0
'EX_ach[e]'	0	0	0	0	0	1	0	0
'EX_ade[e]'	0	0	0	0	0	1	0	0
'EX_adn[e]'	0	0	0	0	0	1	0	0
'EX_aicar[e]'	0	0	0	0	0	1	0	0
'EX_amp[e]'	0	0	0	0	0	1	0	0
'EX_arach[e]'	0	0	0	0	0	1	0	0
'EX_asp_L[e]'	0	0	0	0	0	0	0	1
'EX_C02356[e]'	0	0	0	0	0	0	0	1
'EX_c101crn[e]'	0	0	0	0	0	0	0	1
'EX_c10crn[e]'	0	0	0	0	0	0	0	1
'EX_c3dc[e]'	0	0	0	0	0	0	0	1
'EX_c51crn[e]'	0	0	0	0	0	0	0	1
'EX_c5dc[e]'	0	0	0	0	0	0	0	1
'EX_c81crn[e]'	0	0	0	0	0	0	0	1
'EX_caproic[e]'	0	0	0	0	0	1	0	0
'EX_chol[e]'	0	0	0	0	0	1	0	0
'EX_cholp[e]'	0	0	0	0	0	1	0	0
'EX_crvnc[e]'	0	0	0	0	0	1	0	0
'EX_dad_2[e]'	0	0	0	0	0	1	0	0
'EX_ddca[e]'	0	0	0	0	0	1	0	1
'EX_ddece1crn[e]'	0	0	0	0	0	0	0	1
'EX_ddecrn[e]'	0	0	0	0	0	0	0	1
'EX_decdicrn[e]'	0	0	0	0	0	0	0	1
'EX_dgsn[e]'	0	0	0	0	0	1	0	0
'EX_din[e]'	0	0	0	0	0	1	0	0
'EX_dmgly[e]'	0	0	0	0	0	1	0	1
'EX_dsmsterol[e]'	0	0	0	1	0	0	0	0
'EX_for[e]'	0	0	0	1	0	0	0	0
'EX_glyb[e]'	0	0	0	0	0	1	0	1
'EX_gsn[e]'	0	0	0	0	0	1	0	0
'EX_gua[e]'	0	0	0	0	0	1	0	0
'EX_hdca[e]'	0	0	0	0	0	1	0	0
'EX_hxa[e]'	0	0	0	0	0	1	0	0
'EX_hxan[e]'	0	0	0	0	0	1	0	0
'EX_imp[e]'	0	0	0	0	0	1	0	0
'EX_ins[e]'	0	0	0	0	0	1	0	0
'EX_ivcrn[e]'	0	0	0	0	0	0	0	1
'EX_lneldc[e]'	0	0	0	1	0	1	0	0
'EX_lthstrl[e]'	0	0	0	1	0	0	0	0
'EX_M00017[e]'	0	0	0	1	0	1	0	0
'EX_M00341[e]'	0	0	0	0	0	1	0	0
'EX_M01197[e]'	0	0	0	0	0	1	0	1
'EX_M01582[e]'	0	0	0	1	0	1	0	0
'EX_M02457[e]'	0	0	0	1	0	1	0	0
'EX_M02745[e]'	0	0	0	0	0	1	0	1
'EX_o2s[e]'	0	0	0	1	0	0	0	0
'EX_ocdca[e]'	0	0	0	0	0	1	0	0
'EX_ocdcea[e]'	0	0	0	0	0	1	0	0
'EX_orn[e]'	0	0	0	1	0	0	0	0
'EX_oxa[e]'	0	0	0	1	0	0	0	0
'EX_prpp[e]'	0	0	0	0	0	1	0	0
'EX_ptrc[e]'	0	0	0	1	0	0	0	0
'EX_sphgn[e]'	0	0	0	0	0	1	0	0
'EX_tetdec2crn[e]'	0	0	0	0	0	0	0	1
'EX_tetdece1crn[e]'	0	0	0	0	0	0	0	1
'EX_ttdcea[e]'	0	0	0	0	0	1	0	0
'EX_xan[e]'	0	0	0	0	0	1	0	0
'EX_xmp[e]'	0	0	0	0	0	1	0	0
'EX_xtsn[e]'	0	0	0	0	0	1	0	0
'FADH2tx'	0	0	0	0	0	1	0	0
'FADtx'	0	0	0	0	0	1	0	0
'FAOXC101C102m'	0	0	0	0	1	0	0	0
'FAOXC101C102x'	0	0	0	1	0	0	0	0
'FAOXC101x'	0	0	0	0	0	1	0	0
'FAOXC102C101m'	0	0	0	0	0	1	0	0
'FAOXC102C103m'	0	0	0	0	1	0	0	0
'FAOXC102C103x'	0	0	0	1	0	1	0	1
'FAOXC102C81m'	0	0	0	0	0	1	0	0
'FAOXC102C81x'	0	0	0	1	0	1	0	1
'FAOXC102m'	0	0	0	0	0	1	0	0
'FAOXC102x'	0	0	0	1	0	1	0	1
'FAOXC103C102m'	0	0	0	0	0	1	0	0
'FAOXC103C102x'	0	0	0	1	0	1	0	1
'FAOXC10C10OHm'	0	0	0	0	1	0	0	0
'FAOXC10C8x'	0	0	0	1	0	1	0	0
'FAOXC11'	0	0	0	0	1	0	0	0
'FAOXC11C9m'	0	0	0	0	1	0	0	0
'FAOXC121C101m'	0	0	0	1	1	0	0	0
'FAOXC122C101m'	0	0	0	0	0	1	0	0
'FAOXC122m'	0	0	0	0	0	1	0	0
'FAOXC122x'	0	0	0	0	0	1	0	0
'FAOXC123C102m'	0	0	0	0	0	1	0	0
'FAOXC123C102x'	0	0	0	1	0	1	0	1
'FAOXC123m'	0	0	0	0	0	1	0	0
'FAOXC123x'	0	0	0	1	0	1	0	1
'FAOXC12C12OHm'	0	0	0	0	1	0	0	0
'FAOXC12DCc'	0	0	0	0	0	0	1	0
'FAOXC12DCTc'	0	0	0	0	0	0	0	1
'FAOXC12DCx'	0	0	0	0	0	0	0	1
'FAOXC140'	0	0	0	0	1	0	0	0
'FAOXC141C121m'	0	0	0	1	0	1	0	0
'FAOXC141C141OHm'	0	0	0	0	0	0	0	1
'FAOXC142C122m'	0	0	0	0	0	1	0	0
'FAOXC142C122x'	0	0	0	0	0	1	0	0
'FAOXC142C142OHm'	0	0	0	0	0	0	0	1
'FAOXC143C123m'	0	0	0	0	0	1	0	0
'FAOXC143C123x'	0	0	0	1	0	1	0	1
'FAOXC14C12m'	0	0	0	0	0	1	0	0
'FAOXC14C12x'	0	0	0	1	0	1	0	0
'FAOXC14C14OHm'	0	0	0	0	0	1	0	0
'FAOXC150m'	0	0	0	0	1	0	0	0
'FAOXC160'	0	0	0	0	1	0	0	0
'FAOXC16080m'	0	0	0	0	1	0	0	0
'FAOXC161802m'	0	0	0	0	1	0	0	0
'FAOXC16180m'	0	0	0	1	1	0	0	0
'FAOXC161C141m'	0	0	0	1	0	1	0	0
'FAOXC161C161OHm'	0	0	0	0	0	0	0	1
'FAOXC162C142m'	0	0	0	0	0	1	0	0
'FAOXC162C162OHm'	0	0	0	0	0	0	0	1
'FAOXC163C142x'	0	0	0	0	0	1	0	0
'FAOXC163C143m'	0	0	0	0	0	1	0	0
'FAOXC163C164Gm'	0	0	0	0	0	1	0	0
'FAOXC163C164x'	0	0	0	0	0	1	0	0
'FAOXC163GC142m'	0	0	0	0	0	1	0	0
'FAOXC163Gm'	0	0	0	0	0	1	0	0
'FAOXC163x'	0	0	0	0	0	1	0	0
'FAOXC164C143m'	0	0	0	0	0	1	0	1
'FAOXC164C143x'	0	0	0	1	0	1	0	1
'FAOXC164C163x'	0	0	0	0	0	1	0	0
'FAOXC164C165m'	0	0	0	0	0	1	0	1
'FAOXC164C165x'	0	0	0	1	0	1	0	1
'FAOXC164GC163m'	0	0	0	0	0	1	0	0
'FAOXC164m'	0	0	0	0	0	1	0	1
'FAOXC164x'	0	0	0	1	0	1	0	1
'FAOXC165C164m'	0	0	0	0	0	1	0	1
'FAOXC165C164x'	0	0	0	1	0	1	0	1
'FAOXC16C14m'	0	0	0	0	0	1	0	0
'FAOXC16C16OHm'	0	0	0	0	0	0	0	1
'FAOXC170m'	0	0	0	0	1	0	0	0
'FAOXC180'	0	0	0	0	1	0	0	0
'FAOXC1811601m'	0	0	0	0	1	0	0	0
'FAOXC1811602m'	0	0	0	1	1	0	0	1
'FAOXC1811603m'	0	0	0	0	1	0	0	0
'FAOXC181C161m'	0	0	0	1	0	1	0	1
'FAOXC181C181OHm'	0	0	0	0	0	0	0	1
'FAOXC182806m'	0	0	0	0	1	0	0	0
'FAOXC18280m'	0	0	0	1	1	0	0	1
'FAOXC182C162m'	0	0	0	0	0	1	0	0
'FAOXC182C182OHm'	0	0	0	0	0	0	0	1
'FAOXC183803m'	0	0	0	0	1	0	0	0
'FAOXC183806m'	0	0	0	0	1	0	0	0
'FAOXC183C163Gm'	0	0	0	0	0	1	0	0
'FAOXC183C163m'	0	0	0	0	0	1	0	0
'FAOXC18480m'	0	0	0	0	1	0	0	1
'FAOXC184C163m'	0	0	0	0	0	1	0	0
'FAOXC184C163x'	0	0	0	0	0	1	0	0
'FAOXC184C164m'	0	0	0	0	0	1	0	1
'FAOXC184C164x'	0	0	0	1	0	1	0	1
'FAOXC184m'	0	0	0	0	0	1	0	0
'FAOXC184x'	0	0	0	0	0	1	0	0
'FAOXC185C164m'	0	0	0	0	0	1	0	1
'FAOXC185m'	0	0	0	0	0	1	0	1
'FAOXC18C18OHm'	0	0	0	0	0	0	0	1
'FAOXC200180m'	0	0	0	0	1	0	0	1
'FAOXC2031836m'	0	0	0	0	1	0	0	1
'FAOXC204'	0	0	0	0	1	0	0	0
'FAOXC204184m'	0	0	0	0	1	0	0	1
'FAOXC204C184m'	0	0	0	0	0	1	0	0
'FAOXC204C205x'	0	0	0	0	0	1	0	0
'FAOXC2051843m'	0	0	0	0	1	0	0	1
'FAOXC2051843x'	0	0	0	1	0	1	0	1
'FAOXC205C184x'	0	0	0	0	0	1	0	0
'FAOXC205C185m'	0	0	0	0	0	1	0	1
'FAOXC2242046m'	0	0	0	0	1	0	0	0
'FAOXC2251836m'	0	0	0	0	1	0	0	0
'FAOXC2252053m'	0	0	0	0	1	0	0	0
'FAOXC225C204m'	0	0	0	0	0	1	0	0
'FAOXC225C204x'	0	0	0	0	0	1	0	0
'FAOXC225C226m'	0	0	0	0	0	1	0	0
'FAOXC225C226x'	0	0	0	0	0	1	0	0
'FAOXC225m'	0	0	0	0	0	1	0	0
'FAOXC225x'	0	0	0	0	0	1	0	0
'FAOXC226'	0	0	0	0	1	0	0	1
'FAOXC226205m'	0	0	0	0	1	0	0	1
'FAOXC226C205m'	0	0	0	0	0	1	0	1
'FAOXC226C225m'	0	0	0	0	0	1	0	0
'FAOXC226C225x'	0	0	0	0	0	1	0	0
'FAOXC226C227m'	0	0	0	0	0	1	0	1
'FAOXC226m'	0	0	0	0	0	1	0	1
'FAOXC227C226m'	0	0	0	0	0	1	0	1
'FAOXC3DC'	0	0	0	0	0	0	1	0
'FAOXC4C4DCc'	0	0	0	0	0	0	1	0
'FAOXC5C5DCc'	0	0	0	0	0	0	1	0
'FAOXC5C5OHm'	0	0	0	0	0	0	0	1
'FAOXC5OHc'	0	0	0	0	0	0	1	0
'FAOXC61C4m'	0	0	0	0	0	1	0	0
'FAOXC61m'	0	0	0	0	0	1	0	0
'FAOXC61x'	0	0	0	1	0	1	0	1
'FAOXC7C5m'	0	0	0	0	1	0	0	0
'FAOXC80'	0	0	0	0	1	0	0	0
'FAOXC81C61m'	0	0	0	0	1	0	0	0
'FAOXC81C61x'	0	0	0	1	0	1	0	1
'FAOXC9C7m'	0	0	0	0	1	0	0	0
'FAOXTC101TC102m'	0	0	0	1	1	0	0	1
'FAOXTC102C101m'	0	0	0	1	0	1	0	1
'FAOXTC122m'	0	0	0	1	0	1	0	1
'FAOXTC122TC101m'	0	0	0	1	0	1	0	1
'FAOXTC142TC122m'	0	0	0	1	0	1	0	1
'FAOXTC162TC142m'	0	0	0	1	0	1	0	1
'FAOXTC182TC162m'	0	0	0	1	0	1	0	1
'FDH'	0	0	0	1	0	0	0	0
'FOAXC122C101x'	0	0	0	0	0	1	0	0
'FORt2m'	0	0	0	1	0	0	0	0
'FORtr'	0	0	0	1	0	0	0	0
'FTHFL'	0	0	0	1	0	0	0	0
'FTHFLm'	0	0	0	1	0	0	0	0
'G6PDH1rer_b'	0	0	0	0	1	0	0	0
'G6PDH1rer_f'	0	0	0	0	1	0	0	0
'G6PDH2rer_b'	0	0	0	0	1	0	0	0
'G6PDH2rer_f'	0	0	0	0	1	0	0	0
'GARFT'	0	0	0	0	0	1	0	0
'GBA'	0	1	0	0	0	0	0	0
'GBA2e'	0	1	0	0	0	0	0	0
'GCC2cm'	0	0	0	0	0	0	0	1
'GGNG'	0	1	0	0	1	0	0	0
'GLBRAN'	0	1	0	0	0	0	0	0
'GLCAASE1ly'	0	0	0	0	1	0	0	0
'GLCAASE4ly'	0	0	0	0	1	0	0	0
'GLCAASE5ly'	0	0	0	0	1	0	0	0
'GLCAASE6ly'	0	0	0	0	1	0	0	0
'GLCAASE7ly'	0	0	0	0	1	0	0	0
'GLCAASE8ly'	0	0	0	0	1	0	0	0
'GLCAASE9ly'	0	0	0	0	1	0	0	0
'GLCNACT1g'	0	0	0	0	0	0	1	0
'GLGNS1'	0	1	0	0	1	0	0	0
'GLPASE2'	0	1	0	0	0	0	0	0
'GLUPRT'	0	0	0	0	0	1	0	0
'GLUt6_s'	0	0	0	0	0	0	1	0
'GLUt6'	0	0	0	0	0	0	1	0
'GLUTCOAACBP'	0	0	0	0	0	0	0	1
'GLXO1'	0	0	0	1	0	0	0	0
'GLXtp'	0	0	0	1	0	0	0	0
'GLYBtm'	0	0	0	0	0	1	0	1
'GLYCLTtp'	0	0	0	1	0	0	0	0
'GLYCTO1p'	0	0	0	1	0	0	0	0
'GRTT'	0	0	0	1	0	0	0	0
'GTHPm'	0	0	0	0	0	0	1	0
'GUAPRT'	0	0	0	0	1	0	0	0
'GUAt'	0	0	0	0	0	1	0	0
'H2O2tn'	0	0	0	1	0	0	0	0
'H2O2tp'	0	0	0	1	0	0	0	0
'HACD1m'	0	0	0	0	0	1	0	0
'HACD1x'	0	0	0	0	0	1	0	1
'HACD9m'	0	0	0	0	0	0	0	1
'HDCACBP'	0	0	0	0	0	0	0	1
'HDD2COAtx'	0	0	0	1	0	1	0	1
'HDDACBP'	0	0	0	0	0	0	0	1
'HDECAACBP'	0	0	0	0	0	0	0	1
'HDECEACBP'	0	0	0	0	0	0	0	1
'HEDCECRNe'	0	0	0	0	0	0	0	1
'HEX1'	0	1	0	0	0	0	0	0
'HEX7'	0	1	0	0	0	0	0	0
'HEXCCOAtx'	0	0	0	1	0	0	0	0
'HEXCOAACBP'	0	0	0	0	0	1	0	0
'HEXDCRNe'	0	0	0	0	0	0	0	1
'HIBDm'	0	0	0	0	0	0	0	1
'HIVCACBP'	0	0	0	0	0	0	0	1
'HIVCRNe'	0	0	0	0	0	0	0	1
'HMR_0019'	0	0	0	0	0	0	1	0
'HMR_0020'	0	0	0	0	0	0	0	1
'HMR_0167'	0	0	0	0	0	1	0	0
'HMR_0182'	0	0	0	0	0	0	0	1
'HMR_0230'	0	0	0	0	0	0	0	1
'HMR_0276'	0	0	0	1	0	1	0	0
'HMR_0378'	0	0	0	0	0	1	0	0
'HMR_0597'	0	0	0	0	0	1	0	0
'HMR_0625'	0	0	0	0	0	1	0	0
'HMR_0629'	0	0	0	0	0	1	0	0
'HMR_0678'	0	0	0	0	0	0	1	0
'HMR_0761'	0	1	0	0	0	0	1	0
'HMR_0765'	0	0	0	0	0	0	1	0
'HMR_0770'	0	1	0	0	0	0	0	0
'HMR_1465'	0	0	0	1	0	0	0	0
'HMR_1467'	0	0	0	1	0	0	0	0
'HMR_1470'	0	0	0	1	0	0	0	0
'HMR_1473'	0	0	0	1	0	0	0	0
'HMR_1484'	0	0	0	1	0	0	0	1
'HMR_1490'	0	0	0	1	0	0	0	1
'HMR_1493'	0	0	0	1	0	0	0	1
'HMR_1494'	0	0	0	1	0	0	0	1
'HMR_1495'	0	0	0	1	0	0	0	1
'HMR_1496'	0	0	0	1	0	0	0	1
'HMR_1500'	0	0	0	1	0	0	0	1
'HMR_1502'	0	0	0	1	0	0	0	1
'HMR_1503'	0	0	0	1	0	0	0	1
'HMR_1504'	0	0	0	1	0	0	0	1
'HMR_1505'	0	0	0	1	0	0	0	1
'HMR_1509'	0	0	0	1	0	0	0	1
'HMR_1512'	0	0	0	1	0	0	0	1
'HMR_1516'	0	0	0	1	0	0	0	1
'HMR_1536'	0	0	0	1	0	0	0	0
'HMR_1538'	0	0	0	1	0	0	0	0
'HMR_1539'	0	0	0	1	0	0	0	0
'HMR_1540'	0	0	0	1	0	0	0	0
'HMR_1543'	0	0	0	1	0	0	0	0
'HMR_1544'	0	0	0	1	0	0	0	0
'HMR_1545'	0	0	0	1	0	0	0	0
'HMR_1546'	0	0	0	1	0	0	0	0
'HMR_1547'	0	0	0	1	0	0	0	0
'HMR_1548'	0	0	0	1	0	0	0	0
'HMR_1549'	0	0	0	1	0	0	0	0
'HMR_1550'	0	0	0	1	0	0	0	0
'HMR_1551'	0	0	0	1	0	0	0	0
'HMR_1552'	0	0	0	1	0	0	0	0
'HMR_1706'	0	0	0	1	0	0	0	0
'HMR_1807'	0	0	0	1	0	0	0	0
'HMR_2215'	0	0	0	1	0	0	0	0
'HMR_2217'	0	0	0	1	0	0	0	0
'HMR_2218'	0	0	0	1	0	0	0	0
'HMR_2219'	0	0	0	1	0	0	0	0
'HMR_2259'	0	0	0	0	0	0	0	1
'HMR_2260'	0	0	0	0	0	0	0	1
'HMR_2261'	0	0	0	0	0	0	0	1
'HMR_2262'	0	0	0	0	0	0	0	1
'HMR_2263'	0	0	0	0	0	0	0	1
'HMR_2264'	0	0	0	0	0	0	0	1
'HMR_2265'	0	0	0	0	0	0	0	1
'HMR_2266'	0	0	0	0	0	0	0	1
'HMR_2293'	0	0	0	1	0	1	0	0
'HMR_2296'	0	0	0	1	0	1	0	0
'HMR_2342'	0	0	0	0	0	0	0	1
'HMR_2343'	0	0	0	0	0	0	0	1
