rxnList	subSystem	GPR	fluxspan_a	fluxspan_b	FluxSpanRatio	PerturbationClass	Flux	MetabolicUnits	localization	rxnFormula
HMR_2434	Fatty acid synthesis	51144.1	40	20	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00860[c]  -> nadp[c] + M00085[c] 
HMR_2435	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	40	20	2	Cascade	L	NA	[c]	M00085[c]  -> h2o[c] + M03008[c] 
HMR_2436	Fatty acid synthesis	9524.1 or 253017.1	40	20	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03008[c]  -> nadp[c] + M00023[c] 
HMR_2540	Fatty acid synthesis	60481.1 or 64834.1 or 6785.1 or 83401.1 or 79993.1 or 79071.1 or 54898.1	10	5	2	Cascade	L	NA	[c]	h[c] + malcoa[c] + M00012[c]  -> co2[c] + coa[c] + M00862[c] 
HMR_2541	Fatty acid synthesis	51144.1	10	5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M00862[c]  -> nadp[c] + M00712[c] 
HMR_2542	Fatty acid synthesis	51495.1 or 192286.1 or 9200.1 or 401494.1 or 201562.1	10	5	2	Cascade	L	NA	[c]	M00712[c]  -> h2o[c] + M03006[c] 
HMR_2543	Fatty acid synthesis	9524.1 or 253017.1	10	5	2	Cascade	L	NA	[c]	h[c] + nadph[c] + M03006[c]  -> nadp[c] + M00343[c] 
HMR_2602	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	10	5	2	Cascade	L	NA	[c]	coa[c] + M01729[c]  <=> crn[c] + ddcacoa[c] 
HMR_2603	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	10	5	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01729[m]  <=> crn[m] + M01729[c] 
HMR_2604	Transport, mitochondrial	1384.1 or 1376.1	10	5	2	Cascade	L	NA	[m]	coa[m] + M01729[m]  <=> crn[m] + ddcacoa[m] 
HMR_2608	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	2000	1000	2	Cascade	L	NA	[c]	coa[c] + M02973[c]  <=> crn[c] + tdcoa[c] 
HMR_2609	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02973[m]  <=> crn[m] + M02973[c] 
HMR_2610	Transport, mitochondrial	1384.1 or 1376.1	2000	1000	2	Cascade	L	NA	[m]	coa[m] + M02973[m]  <=> crn[m] + tdcoa[m] 
HMR_2612	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + ttdcrn[m]  <=> crn[m] + ttdcrn[c] 
HMR_2620	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	145	72.5	2	Cascade	L	NA	[c]	crn[c] + M01141[c]  <=> coa[c] + M02976[c] 
HMR_2621	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	145	72.5	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02976[m]  <=> crn[m] + M02976[c] 
HMR_2622	Transport, mitochondrial	1384.1 or 1376.1	145	72.5	2	Cascade	L	NA	[m]	crn[m] + M01141[m]  <=> coa[m] + M02976[m] 
HMR_2624	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + ptdcacrn[m]  <=> crn[m] + ptdcacrn[c] 
HMR_2634	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	155	77.5	2	DirectMapping	L	NA	intercompartmental	crn[c] + hdd2crn[m]  <=> crn[m] + hdd2crn[c] 
HMR_2644	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + hpdcacrn[m]  <=> crn[m] + hpdcacrn[c] 
HMR_2655	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + stcrn[m]  <=> crn[m] + stcrn[c] 
HMR_2660	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	461.5	230.75	2	Cascade	L	NA	[c]	coa[c] + vacccrn[c]  <=> crn[c] + vacccoa[c] 
HMR_2661	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	461.5	230.75	2	DirectMapping	L	NA	intercompartmental	crn[c] + vacccrn[m]  <=> crn[m] + vacccrn[c] 
HMR_2662	Transport, mitochondrial	1384.1 or 1376.1	461.5	230.75	2	Cascade	L	NA	[m]	coa[m] + vacccrn[m]  <=> crn[m] + vacccoa[m] 
HMR_2667	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + elaidcrn[c]  <=> crn[c] + elaidcrn[m] 
HMR_2669	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	42.5	21.25	2	Cascade	L	NA	[c]	crn[c] + M00116[c]  <=> coa[c] + M02638[c] 
HMR_2670	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	42.5	21.25	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02638[m]  <=> crn[m] + M02638[c] 
HMR_2671	Transport, mitochondrial	1384.1 or 1376.1	42.5	21.25	2	Cascade	L	NA	[m]	crn[m] + M00116[m]  <=> coa[m] + M02638[m] 
HMR_2673	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + lneldccrn[c]  <=> crn[c] + lneldccrn[m] 
HMR_2675	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	838.000000000002	419.000000000001	2	Cascade	L	NA	[c]	coa[c] + M02611[c]  <=> crn[c] + M02612[c] 
HMR_2676	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	838.000000000002	419.000000000001	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02611[m]  <=> crn[m] + M02611[c] 
HMR_2677	Transport, mitochondrial	1384.1 or 1376.1	838.000000000002	419.000000000001	2	Cascade	L	NA	[m]	coa[m] + M02611[m]  <=> crn[m] + M02612[m] 
HMR_2679	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + arachcrn[m]  <=> crn[m] + arachcrn[c] 
HMR_2681	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	419	209.5	2	Cascade	L	NA	[c]	crn[c] + M00018[c]  <=> coa[c] + M01776[c] 
HMR_2682	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	419	209.5	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01776[m]  <=> crn[m] + M01776[c] 
HMR_2683	Transport, mitochondrial	1384.1 or 1376.1	419	209.5	2	Cascade	L	NA	[m]	crn[m] + M00018[m]  <=> coa[m] + M01776[m] 
HMR_2687	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	42.5	21.25	2	Cascade	L	NA	[c]	crn[c] + M01236[c]  <=> coa[c] + M01775[c] 
HMR_2688	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	42.5	21.25	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01775[m]  <=> crn[m] + M01775[c] 
HMR_2689	Transport, mitochondrial	1384.1 or 1376.1	42.5	21.25	2	Cascade	L	NA	[m]	crn[m] + M01236[m]  <=> coa[m] + M01775[m] 
HMR_2690	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	45	22.5	2	Cascade	L	NA	[c]	crn[c] + M00123[c]  <=> coa[c] + M00122[c] 
HMR_2691	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	45	22.5	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00122[c]  <=> crn[c] + M00122[m] 
HMR_2692	Transport, mitochondrial	1384.1 or 1376.1	45	22.5	2	Cascade	L	NA	[m]	crn[m] + M00123[m]  <=> coa[m] + M00122[m] 
HMR_2693	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	22.5	11.25	2	Cascade	L	NA	[c]	crn[c] + M00101[c]  <=> coa[c] + M00100[c] 
HMR_2695	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	22.5	11.25	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00100[c]  <=> crn[c] + M00100[m] 
HMR_2697	Transport, mitochondrial	1384.1 or 1376.1	22.5	11.25	2	Cascade	L	NA	[m]	crn[m] + M00101[m]  <=> coa[m] + M00100[m] 
HMR_2699	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	419	209.5	2	Cascade	L	NA	[c]	coa[c] + M02051[c]  <=> crn[c] + M02052[c] 
HMR_2700	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	419	209.5	2	DirectMapping	L	NA	intercompartmental	crn[c] + M02051[m]  <=> crn[m] + M02051[c] 
HMR_2701	Transport, mitochondrial	1384.1 or 1376.1	419	209.5	2	Cascade	L	NA	[m]	coa[m] + M02051[m]  <=> crn[m] + M02052[m] 
HMR_2708	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	42.5	21.25	2	Cascade	L	NA	[c]	crn[c] + M00006[c]  <=> coa[c] + M01726[c] 
HMR_2709	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	42.5	21.25	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01726[m]  <=> crn[m] + M01726[c] 
HMR_2710	Transport, mitochondrial	1384.1 or 1376.1	42.5	21.25	2	Cascade	L	NA	[m]	crn[m] + M00006[m]  <=> coa[m] + M01726[m] 
HMR_2715	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + strdnccrn[c]  <=> crn[c] + strdnccrn[m] 
HMR_2718	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + eicostetcrn[c]  <=> crn[c] + eicostetcrn[m] 
HMR_2722	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + tmndnccrn[c]  <=> crn[c] + tmndnccrn[m] 
HMR_2727	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + clpndcrn[c]  <=> crn[c] + clpndcrn[m] 
HMR_2731	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + c226crn[m]  <=> crn[m] + c226crn[c] 
HMR_2733	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	10	5	2	Cascade	L	NA	[c]	crn[c] + M00012[c]  <=> coa[c] + M00011[c] 
HMR_2734	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	10	5	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00011[c]  <=> crn[c] + M00011[m] 
HMR_2735	Transport, mitochondrial	1384.1 or 1376.1	10	5	2	Cascade	L	NA	[m]	crn[m] + M00012[m]  <=> coa[m] + M00011[m] 
HMR_2736	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	10	5	2	Cascade	L	NA	[c]	crn[c] + M00343[c]  <=> coa[c] + M00342[c] 
HMR_2737	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	10	5	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00342[c]  <=> crn[c] + M00342[m] 
HMR_2738	Transport, mitochondrial	1384.1 or 1376.1	10	5	2	Cascade	L	NA	[m]	crn[m] + M00343[m]  <=> coa[m] + M00342[m] 
HMR_2744	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	40	20	2	DirectMapping	L	NA	intercompartmental	crn[c] + lnlccrn[m]  <=> crn[m] + lnlccrn[c] 
HMR_2748	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + lnlncgcrn[m]  <=> crn[m] + lnlncgcrn[c] 
HMR_2753	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + dlnlcgcrn[m]  <=> crn[m] + dlnlcgcrn[c] 
HMR_2757	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + arachdcrn[m]  <=> crn[m] + arachdcrn[c] 
HMR_2760	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[c] + adrncrn[m]  <=> adrncrn[c] + crn[m] 
HMR_2764	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	2000	1000	2	DirectMapping	L	NA	intercompartmental	crn[m] + dcsptn1crn[c]  <=> crn[c] + dcsptn1crn[m] 
HMR_2768	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	40	20	2	Cascade	L	NA	[c]	crn[c] + CE4843[c]  <=> coa[c] + M01770[c] 
HMR_2769	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	40	20	2	DirectMapping	L	NA	intercompartmental	crn[c] + M01770[m]  <=> crn[m] + M01770[c] 
HMR_2770	Transport, mitochondrial	1384.1 or 1376.1	40	20	2	Cascade	L	NA	[m]	crn[m] + CE4843[m]  <=> coa[m] + M01770[m] 
HMR_2771	Fatty acid oxidation	1374.1 or 126129.1 or 1375.1	40	20	2	Cascade	L	NA	[c]	crn[c] + M00023[c]  <=> h[c] + coa[c] + M00022[c] 
HMR_2772	Transport, mitochondrial	114571.1 or 6580.1 or 788.1 or 123096.1 or 6583.1	40	20	2	DirectMapping	L	NA	intercompartmental	crn[m] + M00022[c]  <=> crn[c] + M00022[m] 
HMR_2773	Transport, mitochondrial	1384.1 or 1376.1	40	20	2	Cascade	L	NA	[m]	crn[m] + M00023[m]  <=> h[m] + coa[m] + M00022[m] 
HMR_3170	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	419	209.5	2	Cascade	L	NA	[m]	fad[m] + M02052[m]  -> fadh2[m] + M00044[m] 
HMR_3171	Fatty acid oxidation	3030.1 or 1892.1	419	209.5	2	Cascade	L	NA	[m]	h2o[m] + M00044[m]  -> M00778[m] 
HMR_3172	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	419	209.5	2	Cascade	L	NA	[m]	nad[m] + M00778[m]  -> h[m] + nadh[m] + M00873[m] 
HMR_3173	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	419	209.5	2	Cascade	L	NA	[m]	coa[m] + M00873[m]  -> accoa[m] + M02612[m] 
HMR_3240	Fatty acid oxidation	37.1 or 33.1 or 34.1 or 28976.1	419	209.5	2	Cascade	L	NA	[m]	fad[m] + M00018[m]  -> fadh2[m] + M03014[m] 
HMR_3241	Fatty acid oxidation	3030.1 or 1892.1	419	209.5	2	Cascade	L	NA	[m]	h2o[m] + M03014[m]  -> M00702[m] 
HMR_3242	Fatty acid oxidation	3028.1 or 3030.1 or 3033.1	419	209.5	2	Cascade	L	NA	[m]	nad[m] + M00702[m]  -> h[m] + nadh[m] + M00843[m] 
HMR_3243	Fatty acid oxidation	3030.1 or 3032.1 or 10449.1	419	209.5	2	Cascade	L	NA	[m]	coa[m] + M00843[m]  -> accoa[m] + vacccoa[m] 
HMR_3408	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	42.5	21.25	2	Cascade	L	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 7 fad[m] + M00116[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 7 fadh2[m] 
HMR_3411	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	42.5	21.25	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 8 fad[m] + M01236[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 8 fadh2[m] 
HMR_3413	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	45	22.5	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 7 fad[m] + M00123[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 7 fadh2[m] 
HMR_3414	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	22.5	11.25	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 6 fad[m] + M00101[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 6 fadh2[m] 
HMR_3416	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	42.5	21.25	2	Cascade	L	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 9 fad[m] + M00006[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 9 fadh2[m] 
HMR_3423	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	20	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 7 fad[m] + CE4843[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 7 fadh2[m] 
HMR_3424	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	40	20	2	Cascade	L	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 8 fad[m] + M00023[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 8 fadh2[m] 
HMR_3431	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	10	5	2	Cascade	L	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 6 fad[m] + M00012[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 6 fadh2[m] 
HMR_3432	Fatty acid oxidation	30.1 or 3028.1 or 37.1 or 3030.1 or 33.1 or 34.1 or 1892.1 or 3032.1 or 3033.1 or 10449.1 or 28976.1	10	5	2	Cascade	L	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 7 fad[m] + M00343[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 7 fadh2[m] 
HPDCACRNt	Fatty acid oxidation	788.1	2000	1314.25	1.5217804831653	Cascade	L	carnitine shuttle	intercompartmental	hpdcacrn[c]  <=> hpdcacrn[m] 
LNELDCCRNt	Fatty acid oxidation	788.1	2000	1045	1.91387559808612	Cascade	L	carnitine shuttle	intercompartmental	lneldccrn[c]  <=> lneldccrn[m] 
LNLCCPT2	Fatty acid oxidation	1376.1	40	20	2	Cascade	L	carnitine shuttle	[m]	coa[m] + lnlccrn[m]  <=> crn[m] + lnlccoa[m] 
PTDCACRNt	Fatty acid oxidation	788.1	2000	1000	2	Cascade	L	carnitine shuttle	intercompartmental	ptdcacrn[c]  <=> ptdcacrn[m] 
RE0512M	Fatty acid oxidation	3030.1 or 3295.1 or 1962.1 or 3033.1 or 3028.1 or 3032.1	40	20	2	Cascade	L	betaoxidation	[m]	nad[m] + CE2421[m]  -> h[m] + nadh[m] + CE0713[m] 
RE1516M	Fatty acid oxidation	33.1 or 51.1	40	20	2	Cascade	L	betaoxidation	[m]	fad[m] + lnlccoa[m]  <=> fadh2[m] + CE2434[m] 
RE1517M	Fatty acid oxidation	33.1 or 51.1	40	20	2	Cascade	L	betaoxidation	[m]	fad[m] + CE0849[m]  <=> fadh2[m] + CE2433[m] 
RE1523M	Fatty acid oxidation	1892.1 or 3030.1 or 1962.1 or 3032.1	40	20	2	Cascade	L	betaoxidation	[m]	h2o[m] + CE2434[m]  <=> CE2421[m] 
RE1531M	Fatty acid oxidation	10449.1 or 3032.1 or 3030.1	40	20	2	Cascade	L	betaoxidation	[m]	coa[m] + CE0713[m]  <=> accoa[m] + CE0849[m] 
TMNDNCCRNt	Fatty acid oxidation	788.1	2000	1075	1.86046511627907	Cascade	L	carnitine shuttle	intercompartmental	tmndnccrn[c]  <=> tmndnccrn[m] 
TTDCPT2	Fatty acid oxidation	1376.1	2000	1110	1.8018018018018	Cascade	L	carnitine shuttle	[m]	coa[m] + ttdcrn[m]  <=> crn[m] + tdcoa[m] 
