subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula
Fatty acid oxidation	FVA_BD_abs	HMR_3398	NA	[m]	6 h2o[m] + 6 nad[m] + 6 coa[m] + 5 fad[m] + M00129[m]  -> 6 h[m] + 6 nadh[m] + 7 accoa[m] + 5 fadh2[m] 
Fatty acid oxidation	FVA_BD_abs	STRDNCCPT1	carnitine shuttle	[c]	crn[c] + strdnccoa[c]  <=> coa[c] + strdnccrn[c] 
Fatty acid oxidation	FVA_BD_abs	r0633	fatty acid synthesis & elongation	[m]	nadp[m] + occoa[m]  <=> h[m] + nadph[m] + HC01415[m] 
Fatty acid oxidation	FVA_BD_abs	CLPNDCPT1	carnitine shuttle	[c]	crn[c] + clpndcoa[c]  <=> coa[c] + clpndcrn[c] 
Fatty acid oxidation	FVA_BD_abs	CLPNDCPT2	carnitine shuttle	[m]	coa[m] + clpndcrn[m]  <=> crn[m] + clpndcoa[m] 
Fatty acid oxidation	FVA_BD_abs	ELAIDCPT1	carnitine shuttle	[c]	crn[c] + od2coa[c]  <=> coa[c] + elaidcrn[c] 
Fatty acid oxidation	FVA_BD_abs	FAOXC101x	betaoxidation	[x]	dece3coa[x]  -> dc2coa[x] 
Fatty acid oxidation	FVA_BD_abs	FAOXC164C143m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC164C165m	betaoxidation	[m]	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC164m	betaoxidation	[m]	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC165C164m	betaoxidation	[m]	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_abs	FAOXC184C164m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + strdnccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 4hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_abs	HMR_0366	NA	[c]	h2o[c] + clpndcoa[c]  -> h[c] + coa[c] + clpnd[c] 
Fatty acid oxidation	FVA_BD_abs	HMR_2611	NA	[c]	2 h[c] + crn[c] + M00129[c]  <=> coa[c] + ttdcrn[c] 
Fatty acid oxidation	FVA_BD_abs	HMR_3322	NA	[x]	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 
Fatty acid oxidation	FVA_BD_abs	HMR_3429	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 5 fad[m] + clpndcoa[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 5 fadh2[m] 
Fatty acid oxidation	FVA_BD_abs	HMR_9719	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 4 fad[m] + strdnccoa[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 4 fadh2[m] 
Fatty acid oxidation	FVA_BD_abs	RE1518X	betaoxidation	[x]	fad[x] + CE0785[x]  -> fadh2[x] + CE2432[x] 
Fatty acid oxidation	FVA_BD_abs	RE1520X	betaoxidation	[x]	h2o[x] + C05279[x]  <=> CE2420[x] 
Fatty acid oxidation	FVA_BD_abs	RE1521X	betaoxidation	[x]	h2o[x] + CE2432[x]  <=> CE2417[x] 
Fatty acid oxidation	FVA_BD_abs	RE1522X	betaoxidation	[x]	h2o[x] + CE2433[x]  <=> CE2418[x] 
Fatty acid oxidation	FVA_BD_abs	RE1525X	betaoxidation	[x]	nad[x] + CE2418[x]  <=> h[x] + nadh[x] + CE2422[x] 
Fatty acid oxidation	FVA_BD_abs	RE1526X	betaoxidation	[x]	nad[x] + CE2417[x]  <=> h[x] + nadh[x] + CE2424[x] 
Fatty acid oxidation	FVA_BD_abs	RE1527X	betaoxidation	[x]	nad[x] + CE2420[x]  <=> h[x] + nadh[x] + CE0693[x] 
Fatty acid oxidation	FVA_BD_abs	RE1532X	betaoxidation	[x]	coa[x] + CE2422[x]  <=> accoa[x] + CE0785[x] 
Fatty acid oxidation	FVA_BD_abs	RE1533X	betaoxidation	[x]	coa[x] + CE2424[x]  <=> accoa[x] + C05280[x] 
Fatty acid oxidation	FVA_BD_abs	RE1534X	betaoxidation	[x]	coa[x] + CE0693[x]  <=> accoa[x] + dece4coa[x] 
Fatty acid oxidation	FVA_BD_abs	RE1573X	betaoxidation	[x]	C05280[x]  <=> C05279[x] 
Fatty acid oxidation	FVA_BD_abs	RE3119C	fatty acid synthesis & elongation	[c]	h[c] + nadph[c] + CE4821[c]  <=> nadp[c] + clpndcoa[c] 
Fatty acid oxidation	FVA_BD_abs	RE3120C	fatty acid synthesis & elongation	[c]	h[c] + tmndnccoa[c] + malcoa[c]  -> co2[c] + coa[c] + CE4819[c] 
Fatty acid oxidation	FVA_BD_abs	RE3121C	fatty acid synthesis & elongation	[c]	h[c] + nadph[c] + CE4819[c]  <=> nadp[c] + CE4817[c] 
Fatty acid oxidation	FVA_BD_abs	RE3122C	fatty acid synthesis & elongation	[c]	CE4817[c]  <=> h2o[c] + CE4821[c] 
Fatty acid oxidation	FVA_BD_abs	r0638	fatty acid synthesis & elongation	[m]	nadp[m] + ddcacoa[m]  <=> h[m] + nadph[m] + dd2coa[m] 
Fatty acid oxidation	FVA_BD_abs	r0660	betaoxidation	[m]	3hddcoa[m]  <=> h2o[m] + dd2coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	ACACT4p	betaoxidation	[x]	coa[x] + 3odcoa[x]  -> accoa[x] + occoa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC101x	betaoxidation	intercompartmental	dece3coa[x]  -> dc2coa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3322	NA	intercompartmental	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1518X	betaoxidation	intercompartmental	fad[x] + CE0785[x]  -> fadh2[x] + CE2432[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1520X	betaoxidation	intercompartmental	h2o[x] + C05279[x]  <=> CE2420[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1521X	betaoxidation	intercompartmental	h2o[x] + CE2432[x]  <=> CE2417[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1522X	betaoxidation	intercompartmental	h2o[x] + CE2433[x]  <=> CE2418[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1525X	betaoxidation	intercompartmental	nad[x] + CE2418[x]  <=> h[x] + nadh[x] + CE2422[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1526X	betaoxidation	intercompartmental	nad[x] + CE2417[x]  <=> h[x] + nadh[x] + CE2424[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1527X	betaoxidation	intercompartmental	nad[x] + CE2420[x]  <=> h[x] + nadh[x] + CE0693[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1532X	betaoxidation	intercompartmental	coa[x] + CE2422[x]  <=> accoa[x] + CE0785[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1533X	betaoxidation	intercompartmental	coa[x] + CE2424[x]  <=> accoa[x] + C05280[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1534X	betaoxidation	intercompartmental	coa[x] + CE0693[x]  <=> accoa[x] + dece4coa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	RE1573X	betaoxidation	intercompartmental	C05280[x]  <=> C05279[x] 
Fatty acid oxidation	FVA_BD_norm_t1	r0444	carnitine shuttle	[r]	crn[r] + hdcoa[r]  -> coa[r] + hdcecrn[r] 
Fatty acid oxidation	FVA_BD_norm_t1	r0660	betaoxidation	intercompartmental	3hddcoa[m]  <=> h2o[m] + dd2coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r0727	betaoxidation	[x]	nad[x] + 3hdcoa[x]  -> h[x] + nadh[x] + 3odcoa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	r0729	betaoxidation	[x]	h2o[x] + dc2coa[x]  -> 3hdcoa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	r0791	fatty acid synthesis & elongation	[m]	h[m] + nadph[m] + hx2coa[m]  <=> nadp[m] + hxcoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r1262	NA	[r]	arachd[r] + atp[r] + coa[r]  -> amp[r] + ppi[r] + arachdcoa[r] 
Fatty acid oxidation	FVA_BD_norm_t1	r1487	NA	[r]	atp[r] + coa[r] + hdcea[r]  -> amp[r] + ppi[r] + hdcoa[r] 
Fatty acid oxidation	FVA_BD_norm_t1	ACCOAC	fatty acid synthesis & elongation	[c]	atp[c] + hco3[c] + accoa[c]  -> h[c] + adp[c] + pi[c] + malcoa[c] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_2774	NA	[c]	crn[c] + CE4847[c]  <=> coa[c] + M00263[c] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3229	NA	[m]	coa[m] + HC10858[m]  -> accoa[m] + M01191[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3230	NA	[m]	fad[m] + M01191[m]  -> fadh2[m] + M03019[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3231	NA	[m]	h2o[m] + M03019[m]  -> M00172[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3232	NA	[m]	nad[m] + M00172[m]  -> h[m] + nadh[m] + M00849[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3233	NA	[m]	coa[m] + M00849[m]  -> accoa[m] + M01141[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3425	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 7 fad[m] + CE4847[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 7 fadh2[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r1472	betaoxidation	[m]	fad[m] + odecoa[m]  -> fadh2[m] + HC10856[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r1474	betaoxidation	[m]	h2o[m] + HC10856[m]  -> HC10857[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r1477	betaoxidation	[m]	nad[m] + HC10857[m]  -> h[m] + nadh[m] + HC10858[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102C103m	betaoxidation	intercompartmental	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102C81m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102m	betaoxidation	intercompartmental	3decdicoa[m]  -> 2decdicoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC103C102m	betaoxidation	intercompartmental	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC123C102m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC123m	betaoxidation	intercompartmental	3dodtricoa[m]  -> 2dodtricoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC143C123m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164C143m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164C165m	betaoxidation	intercompartmental	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164m	betaoxidation	intercompartmental	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC165C164m	betaoxidation	intercompartmental	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC61m	betaoxidation	intercompartmental	hexe3coa[m]  -> hx2coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC81C61m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r0652	fatty acid synthesis & elongation	[m]	nadp[m] + tdcoa[m]  <=> h[m] + nadph[m] + HC01412[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_2608	NA	[c]	coa[c] + M02973[c]  <=> crn[c] + tdcoa[c] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3070	NA	[x]	o2[x] + arachcoa[x]  -> h2o2[x] + CE2243[x] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3071	NA	[x]	h2o[x] + CE2243[x]  -> CE2247[x] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3072	NA	[x]	nad[x] + CE2247[x]  -> h[x] + nadh[x] + CE2251[x] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3073	NA	[x]	coa[x] + CE2251[x]  -> accoa[x] + stcoa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3121	NA	[m]	fad[m] + pmtcoa[m]  -> fadh2[m] + hdd2coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3128	NA	[m]	fad[m] + tdcoa[m]  -> fadh2[m] + HC01412[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3135	NA	[m]	fad[m] + ddcacoa[m]  -> fadh2[m] + dd2coa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3428	NA	intercompartmental	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 
Fatty acid oxidation	FVA_BD_norm_t1	RE3119C	fatty acid synthesis & elongation	intercompartmental	h[c] + nadph[c] + CE4821[c]  <=> nadp[c] + clpndcoa[c] 
Fatty acid oxidation	FVA_BD_norm_t1	RE3120C	fatty acid synthesis & elongation	intercompartmental	h[c] + tmndnccoa[c] + malcoa[c]  -> co2[c] + coa[c] + CE4819[c] 
Fatty acid oxidation	FVA_BD_norm_t1	RE3121C	fatty acid synthesis & elongation	intercompartmental	h[c] + nadph[c] + CE4819[c]  <=> nadp[c] + CE4817[c] 
Fatty acid oxidation	FVA_BD_norm_t1	RE3122C	fatty acid synthesis & elongation	intercompartmental	CE4817[c]  <=> h2o[c] + CE4821[c] 
Fatty acid oxidation	FVA_BD_norm_t1	TTDCPT2	carnitine shuttle	[m]	coa[m] + ttdcrn[m]  <=> crn[m] + tdcoa[m] 
Fatty acid oxidation	FVA_BD_norm_t1	r0308	NA	[x]	h[x] + coa[x] + arachd[x]  -> h2o[x] + arachdcoa[x] 
Fatty acid oxidation	FVA_BD_norm_t1	r0309	fatty acid synthesis & elongation	[m]	nadp[m] + pmtcoa[m]  <=> h[m] + nadph[m] + hdd2coa[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3205	NA	[m]	coa[m] + M00899[m]  -> accoa[m] + ppcoa[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_2705	NA	[c]	crn[c] + CE5155[c]  <=> coa[c] + M01727[c] 
Fatty acid oxidation	MTA_BD_abs	HMR_3218	NA	[m]	fad[m] + CE5155[m]  -> fadh2[m] + CE5154[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3219	NA	[m]	h2o[m] + CE5154[m]  -> CE5153[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3220	NA	[m]	nad[m] + CE5153[m]  -> h[m] + nadh[m] + CE5152[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3221	NA	[m]	coa[m] + CE5152[m]  -> accoa[m] + CE5151[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3422	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 5 fad[m] + dcsptn1coa[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 5 fadh2[m] 
Fatty acid oxidation	MTA_BD_abs	3OHSEBCOAx	NA	[x]	o2[x] + h2o[x] + sebcoa[x]  -> h2o2[x] + 3ohsebcoa[x] 
Fatty acid oxidation	MTA_BD_abs	3OHSEBACx	NA	[x]	h2o[x] + 3ohsebcoa[x]  -> h[x] + coa[x] + 3ohsebac[x] 
Fatty acid oxidation	MTA_BD_abs	ADRNCPT2	carnitine shuttle	[m]	coa[m] + adrncrn[m]  <=> adrncoa[m] + crn[m] 
Fatty acid oxidation	MTA_BD_abs	2MB2COAc	NA	intercompartmental	2mb2coa[m]  <=> 2mb2coa[c] 
Fatty acid oxidation	MTA_BD_abs	C51CPT1	carnitine shuttle	[c]	crn[c] + 2mb2coa[c]  <=> coa[c] + c51crn[c] 
Fatty acid oxidation	MTA_BD_abs	TIGCRNe	NA	intercompartmental	c51crn[c]  -> c51crn[e] 
Fatty acid oxidation	MTA_BD_abs	FAOXC163C164Gm	betaoxidation	[m]	fad[m] + 4hexdtricoa[m]  -> fadh2[m] + hexdectecoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC163GC142m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtricoa[m]  -> h[m] + nadh[m] + accoa[m] + tetdecdicoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC163Gm	betaoxidation	[m]	3hexdtricoa[m]  -> 2hexdtricoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC164GC163m	betaoxidation	[m]	h[m] + nadph[m] + hexdectecoa[m]  -> nadp[m] + 3hexdtricoa[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_9719	NA	intercompartmental	8 h2o[m] + 8 nad[m] + 8 coa[m] + 4 fad[m] + strdnccoa[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 4 fadh2[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC61C4m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + hx2coa[m]  -> h[m] + nadh[m] + accoa[m] + btcoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXTC182TC162m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + lneldccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + thexddcoa[m] 
Fatty acid oxidation	MTA_BD_abs	C121CPT1	carnitine shuttle	[c]	crn[c] + dd2coa[c]  <=> coa[c] + ddece1crn[c] 
Fatty acid oxidation	MTA_BD_abs	sink_dd2coa[c]	NA	[c]	dd2coa[c]  <=> 
Fatty acid oxidation	MTA_BD_abs	DDECE1CRNe	NA	intercompartmental	ddece1crn[c]  -> ddece1crn[e] 
Fatty acid oxidation	MTA_BD_abs	HMR_2768	NA	[c]	crn[c] + CE4843[c]  <=> coa[c] + M01770[c] 
Fatty acid oxidation	MTA_BD_abs	HMR_3423	NA	[m]	9 h2o[m] + 9 nad[m] + 9 coa[m] + 7 fad[m] + CE4843[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 7 fadh2[m] 
Fatty acid oxidation	MTA_BD_abs	C8DCc	carnitine shuttle	[c]	crn[c] + sbcoa[c]  <=> coa[c] + c8dc[c] 
Fatty acid oxidation	MTA_BD_abs	SUBERCACT	NA	intercompartmental	c8dc[x]  <=> c8dc[c] 
Fatty acid oxidation	MTA_BD_abs	SUBERCROT	carnitine shuttle	[x]	crn[x] + sbcoa[x]  <=> coa[x] + c8dc[x] 
Fatty acid oxidation	MTA_BD_abs	sink_c81coa[c]	NA	[c]	c81coa[c]  <=> 
Fatty acid oxidation	MTA_BD_abs	C81CPT1	carnitine shuttle	[c]	crn[c] + c81coa[c]  <=> coa[c] + c81crn[c] 
Fatty acid oxidation	MTA_BD_abs	C81CRNe	NA	intercompartmental	c81crn[c]  -> c81crn[e] 
Fatty acid oxidation	MTA_BD_abs	C102CPT1	carnitine shuttle	[c]	crn[c] + decdicoa[c]  <=> coa[c] + decdicrn[c] 
Fatty acid oxidation	MTA_BD_abs	sink_decdicoa[c]	NA	[c]	decdicoa[c]  <=> 
Fatty acid oxidation	MTA_BD_abs	DECDICRNe	NA	intercompartmental	decdicrn[c]  -> decdicrn[e] 
Fatty acid oxidation	MTA_BD_abs	sink_c101coa[c]	NA	[c]	c101coa[c]  <=> 
Fatty acid oxidation	MTA_BD_abs	C101CPT1	carnitine shuttle	[c]	crn[c] + c101coa[c]  <=> coa[c] + c101crn[c] 
Fatty acid oxidation	MTA_BD_abs	C101CRNe	NA	intercompartmental	c101crn[c]  -> c101crn[e] 
Fatty acid oxidation	MTA_BD_abs	HMR_3222	NA	[m]	fad[m] + CE5151[m]  -> fadh2[m] + CE5150[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3223	NA	[m]	h2o[m] + CE5150[m]  -> CE5148[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3224	NA	[m]	nad[m] + CE5148[m]  -> h[m] + nadh[m] + CE5144[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3225	NA	[m]	coa[m] + CE5144[m]  -> accoa[m] + odecoa[m] 
Fatty acid oxidation	MTA_BD_abs	C142CPT1	carnitine shuttle	[c]	crn[c] + tetdec2coa[c]  <=> coa[c] + tetdec2crn[c] 
Fatty acid oxidation	MTA_BD_abs	sink_tetdec2coa[c]	NA	[c]	tetdec2coa[c]  <=> 
Fatty acid oxidation	MTA_BD_abs	TETDEC2CRNe	NA	intercompartmental	tetdec2crn[c]  -> tetdec2crn[e] 
Fatty acid oxidation	MTA_BD_abs	DLNLCGCPT2	carnitine shuttle	[m]	coa[m] + dlnlcgcrn[m]  <=> crn[m] + dlnlcgcoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC183806m	betaoxidation	[m]	5 h2o[m] + 2 o2[m] + 5 nad[m] + 5 coa[m] + lnlncgcoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + 2 h2o2[m] + occoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC204184m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + eicostetcoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + strdnccoa[m] 
Fatty acid oxidation	MTA_BD_abs	FAOXC160	betaoxidation	[m]	7 h2o[m] + 7 nad[m] + 7 coa[m] + 7 fad[m] + pmtcoa[m]  -> 7 h[m] + 7 nadh[m] + 8 accoa[m] + 7 fadh2[m] 
Fatty acid oxidation	MTA_BD_abs	DMNONCRNCPT2	carnitine shuttle	[m]	coa[m] + dmnoncrn[m]  <=> crn[m] + dmnoncoa[m] 
Fatty acid oxidation	MTA_BD_abs	HMR_3069	NA	[x]	coa[x] + CE2250[x]  -> accoa[x] + arachcoa[x] 
Fatty acid oxidation	MTA_BD_abs	DOCO13EFATP	NA	intercompartmental	atp[c] + coa[c] + doco13ac[e]  -> amp[c] + ppi[c] + doco13ecoa[c] 
Fatty acid oxidation	MTA_BD_abs	C16DCc	carnitine shuttle	[c]	crn[c] + hexdicoa[c]  <=> coa[c] + c16dc[c] 
Fatty acid oxidation	MTA_BD_abs	C16DCe	NA	intercompartmental	c16dc[c]  -> c16dc[e] 
Fatty acid oxidation	MTA_BD_abs	FAOXC14DCC12DCx	betaoxidation	[x]	nad[x] + coa[x] + o2[x] + h2o[x] + c14dccoa[x]  -> h[x] + nadh[x] + accoa[x] + h2o2[x] + c12dccoa[x] 
