del_rxnID_KO	prctile_CP	prctile_PC	prctile_CH	prctile_HC	prctile_CS	prctile_SC	subSystem_CP	subSystem_PC	subSystem_CH	subSystem_HC	subSystem_CS	subSystem_SC	MetabolicUnits_CP	MetabolicUnits_PC	MetabolicUnits_CH	MetabolicUnits_HC	MetabolicUnits_CS	MetabolicUnits_SC	Localization_CP	Localization_PC	Localization_CH	Localization_HC	Localization_CS	Localization_SC
DUTPDPm	63.8558201058201	58.0392156862745	67.762527928503	34.2998247570495	67.9380785189914	99.1551091981508	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
URIDK2m	63.8558201058201	72.2875816993464	67.762527928503	63.0555998088259	67.9380785189914	99.1551091981508	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[m]	[m]	[m]	[m]	[m]	[m]
CYTK1	63.2109788359788	15.4411764705882	9.83083306734759	27.7043173490521	96.3453558889244	6.56783038418619	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
NRVNCABCt	61.6732804232804	67.6470588235294	61.1075646345356	65.4452764059264	99.2020427705075	44.0777937191137	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
OLEICFATPtc	60.6150793650794	73.1045751633987	56.4953718480689	73.2515532897881	62.0331950207469	83.1818906424358	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
GLCAASE6ly	60.1190476190476	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulfate C degradation, lysosome	chondroitin sulfate C degradation, lysosome	chondroitin sulfate C degradation, lysosome	chondroitin sulfate C degradation, lysosome	chondroitin sulfate C degradation, lysosome	chondroitin sulfate C degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
S2TASE4ly	60.1190476190476	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin degradation, lysosome	chondroitin degradation, lysosome	chondroitin degradation, lysosome	chondroitin degradation, lysosome	chondroitin degradation, lysosome	chondroitin degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
C182OHc	59.9371693121693	57.3039215686274	72.231088413661	79.2257447825394	96.6964570699011	83.9470747648653	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	carnitine shuttle	[c]	[c]	[c]	[c]	[c]	[c]
EX_3octdec2crn[e]	59.9371693121693	57.3039215686274	72.231088413661	79.2257447825394	96.6964570699011	83.9470747648653	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
FAOXC182C182OHm	59.9371693121693	57.3039215686274	72.231088413661	79.2257447825394	96.6964570699011	83.9470747648653	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	betaoxidation	[m]	[m]	[m]	[m]	[m]	[m]
HOCTDEC2CRNe	59.9371693121693	57.3039215686274	72.231088413661	79.2257447825394	96.6964570699011	83.9470747648653	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
OCTDEC2ACBP	59.9371693121693	57.3039215686274	72.231088413661	79.2257447825394	96.6964570699011	83.9470747648653	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_0359	59.4080687830688	37.859477124183	48.5157995531439	63.0396686315119	81.5352697095436	99.0435198469632	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_0297	59.375	69.7058823529412	61.1394829237153	77.441452923371	50.526651771465	98.6768691216324	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
UMPK2	59.3088624338624	8.72549019607843	5.55378231726779	14.6248207742552	97.5103734439834	24.5496572612785	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
HMR_0167	58.8789682539683	77.4673202614379	45.643153526971	38.1870320216664	33.5461219278647	94.1814124023593	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_caproic[e]	58.8789682539683	77.4673202614379	45.643153526971	38.1870320216664	33.5461219278647	94.1814124023593	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
UMPK	58.7797619047619	8.08823529411765	3.511011809767	21.7938505655568	96.3293967443345	1.61007492427865	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	pyrimidine synthesis	[c]	[c]	[c]	[c]	[c]	[c]
UMPK6n	57.2420634920635	20.359477124183	12.974784551548	22.877170622909	96.3932333226939	12.3704766459429	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[n]	[n]	[n]	[n]	[n]	[n]
CSAPASEly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
CSPG_At	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
CSPG_Atly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	Transport, lysosomal	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
GALNACT2g	57.2255291005291	44.2156862745098	70.3638684966486	74.1118368647443	78.9179699968082	81.0935756416388	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
GLCAASE4ly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
GLCAT2g	57.2255291005291	44.2156862745098	70.3638684966486	74.1118368647443	78.9179699968082	81.0935756416388	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
NACHEX1ly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	NA	NA	NA	NA	NA	NA	[l]	[l]	[l]	[l]	[l]	[l]
S4T2g	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
S4TASE1ly	57.2255291005291	44.2156862745098	70.3638684966486	69.1253783654612	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
S4TASE2ly	57.0767195767196	44.2156862745098	70.3638684966486	74.1118368647443	78.9179699968082	81.0935756416388	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
GALNACT4g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
GLCAT4g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
S6T21g	53.968253968254	69.1993464052288	68.6083625917651	78.0627688386172	83.2428981806575	82.2094691535151	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
CYTK1n	50.9424603174603	7.6797385620915	32.6843281200128	26.8281025967819	81.2958825406958	6.75912641479356	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	NA	NA	NA	NA	NA	NA	[n]	[n]	[n]	[n]	[n]	[n]
r0944	50.5952380952381	55.343137254902	39.897861474625	72.837342679624	36.067666773061	94.1814124023593	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_spmd[e]	50.5952380952381	55.343137254902	39.897861474625	72.837342679624	36.067666773061	94.1814124023593	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
S4TASE5ly	49.8842592592593	60.8006535947712	72.4545164379189	74.0162498008603	95.7069901053304	98.3899250757213	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	chondroitin sulphate degradation, lysosome	[l]	[l]	[l]	[l]	[l]	[l]
P45027A1m	48.8425925925926	69.4444444444444	40.7915735716566	56.8743030109925	42.1002234280243	99.3782879005261	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	Bile acid synthesis	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	cholesterol metabolism	[m]	[m]	[m]	[m]	[m]	[m]
S4T1g	48.4292328042328	31.9934640522876	71.592722630067	69.1253783654612	74.9281838493457	98.2623943886498	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	Chondroitin synthesis	NA	NA	NA	NA	NA	NA	[g]	[g]	[g]	[g]	[g]	[g]
BDHm	47.2718253968254	19.1176470588235	25.4548356208107	36.53018958101	23.4918608362592	99.5855252670174	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	Nucleotide salvage pathway	ketolysis	ketolysis	ketolysis	ketolysis	ketolysis	ketolysis	[m]	[m]	[m]	[m]	[m]	[m]
HMR_0386	47.255291005291	78.921568627451	1.595914458985	34.1564441612235	32.8598787105011	95.0900685477443	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
URIK1	46.7592592592593	14.5098039215686	5.41015001595914	18.7669268758961	99.7925311203319	7.74748923959828	Pyrimidine synthesis	Pyrimidine synthesis	Pyrimidine synthesis	Pyrimidine synthesis	Pyrimidine synthesis	Pyrimidine synthesis	pyrimidine catabolism	pyrimidine catabolism	pyrimidine catabolism	pyrimidine catabolism	pyrimidine catabolism	pyrimidine catabolism	[c]	[c]	[c]	[c]	[c]	[c]
D_LACtm	42.4437830687831	75.4248366013072	34.7590169166933	78.6681535765493	29.8755186721992	80.8066315957277	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
GLYOXm	42.4437830687831	75.4248366013072	34.7590169166933	78.6681535765493	29.8755186721992	80.8066315957277	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	Pyruvate metabolism	NA	NA	NA	NA	NA	NA	[m]	[m]	[m]	[m]	[m]	[m]
HMR_8510	42.4437830687831	75.4248366013072	34.7590169166933	78.6681535765493	29.8755186721992	80.8066315957277	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	Transport, mitochondrial	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
HMR_0267	42.0304232804233	74.3954248366013	49.1062879029684	74.0321809781743	54.4526013405681	83.1021839630161	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	Fatty acid synthesis	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
ALDD2y	41.087962962963	65.8169934640523	31.6150654324928	30.8905528118528	25.9814873922758	94.1814124023593	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	Glycolysis/gluconeogenesis	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
ICDHxm	39.9636243386243	68.5457516339869	31.0564953718481	40.2580850724869	34.4557931694861	99.9202933205803	Citric acid cycle	Citric acid cycle	Citric acid cycle	Citric acid cycle	Citric acid cycle	Citric acid cycle	TCA cycle, mitochondria	TCA cycle, mitochondria	TCA cycle, mitochondria	TCA cycle, mitochondria	TCA cycle, mitochondria	TCA cycle, mitochondria	[m]	[m]	[m]	[m]	[m]	[m]
FACOAL170	36.4417989417989	78.4967320261438	47.334822853495	77.457384100685	54.5962336418768	94.277060417663	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	Fatty acid oxidation	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	fatty acid activation, cytosol	[c]	[c]	[c]	[c]	[c]	[c]
13DAMPPOX	35.8300264550265	55.343137254902	61.5225023938717	73.7772821411502	52.4896265560166	94.1814124023593	Beta-Alanine metabolism	Beta-Alanine metabolism	Beta-Alanine metabolism	Beta-Alanine metabolism	Beta-Alanine metabolism	Beta-Alanine metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
CYTDK1	34.8214285714286	9.59150326797386	7.43696137887009	29.1381233073124	95.7867858282796	15.4949784791966	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	Nucleotide interconversion	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	pyrimidine synthesis/ de novo	[c]	[c]	[c]	[c]	[c]	[c]
EX_o2s[e]	32.771164021164	55.343137254902	66.804979253112	68.5040624502151	67.3316310245771	83.7876614060258	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
O2St	32.771164021164	55.343137254902	66.804979253112	68.5040624502151	67.3316310245771	83.7876614060258	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
BILGLCURtr	32.4900793650794	34.5261437908497	72.5023938716885	72.837342679624	99.3297159272263	33.3652160051012	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
BILIRUBtr	32.4900793650794	12.8267973856209	72.5023938716885	72.837342679624	99.3297159272263	4.6070460704607	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
UGT1A10r	32.4900793650794	34.5261437908497	72.5023938716885	72.837342679624	99.3297159272263	33.3652160051012	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	Steroid metabolism	heme degradation	heme degradation	heme degradation	heme degradation	heme degradation	heme degradation	[r]	[r]	[r]	[r]	[r]	[r]
RE3258C	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
CE2049te	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_CE2049[e]	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
HMR_2457	31.8783068783069	41.4705882352941	61.3469518033833	68.089851840051	76.9071177784871	99.4420532440619	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	Linoleate metabolism	NA	NA	NA	NA	NA	NA	[c]	[c]	[c]	[c]	[c]	[c]
XTSNtr	31.0846560846561	33.9052287581699	48.8828598787105	53.0826828102597	81.0086179380785	75.1633986928105	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	Transport, extracellular	NA	NA	NA	NA	NA	NA	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental	intercompartmental
EX_xtsn[e]	31.0846560846561	33.9052287581699	48.8828598787105	53.0826828102597	81.0086179380785	75.1633986928105	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	Exchange/demand reaction	NA	NA	NA	NA	NA	NA	[e]	[e]	[e]	[e]	[e]	[e]
