rxnList	subSystem	GPR	Fluxspan_a	Fluxspan_b	FluxSpanRatio	Flux	MetabolicUnits	Localization
ADNK1m	Nucleotide interconversion		758.26565143824	487.593744882921	1.55511767613079	L	purine synthesis, cytosol	[m]
ADNtl	Transport, lysosomal	55315.1	778.265651438243	509.045357786147	1.52887289813022	L	NA	intercompartmental
ADSK	Nucleotide interconversion	9060.1 or 9061.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	[c]
ADSL1	Nucleotide interconversion	158.1 or 158.2	757.170655064056	489.045357786147	1.54826263660222	L	purine synthesis, cytosol	[c]
ADSS	Nucleotide interconversion	159.1 or 122622.1 or 122622.2	757.170655064056	489.045357786147	1.54826263660222	L	purine synthesis, cytosol	[c]
AHC	Methionine and cysteine metabolism	191.1 or 10768.2 or 10768.1	266.135865137558	174.791671825348	1.52258893320433	L	cysteine metabolism, cytosol/ SAH hydrolase	[c]
AK2LGCHOLABCt	Transport, extracellular	5244.1 or 19.1 or 5205.1 or 57198.1 or 57194.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
AK2LGCHOLt1	Transport, extracellular		758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
AMPDA	Nucleotide interconversion	271.2 or 270.1 or 271.1 or 272.1 or 271.3	777.854085796758	504.421701872169	1.54207101500538	L	purine synthesis, cytosol	[c]
AMPTASECG	Glutathione metabolism	290.1	379.13282571912	243.79687244146	1.5551176761308	L	di-peptidase, cysteinylglycine, cytosol	[c]
APOCF	Biotin metabolism		389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
APOCFm	Biotin metabolism		389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
APOC_LYS_BTNP	Biotin metabolism		389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
APOC_LYS_BTNPm	Biotin metabolism		389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
ARACHCPT1	Fatty acid oxidation	1375.3 or 1374.1 or 1375.2 or 1375.4 or 1375.1 or 126129.1	435.381762029142	277.247151720248	1.57037415651598	L	carnitine shuttle	[c]
ARACHCPT2	Fatty acid oxidation	1376.1	435.381762029143	277.247151720248	1.57037415651598	L	carnitine shuttle	[m]
ARACHDFATPtc	Transport, extracellular	376497.1 or 10999.1	389.01861252115	251.238847130027	1.54840151897296	L	NA	intercompartmental
ATP1ter	Transport, endoplasmic reticular		758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
ATP2ter	Transport, endoplasmic reticular		392.351945854483	254.239160601259	1.54323962101903	L	NA	intercompartmental
ATPH1e	Nucleotide interconversion	954.1 or 954.2 or 953.1 or 956.1 or 955.1 or 957.1	259.421883812747	169.681785928716	1.52887289813021	L	purine catabolism, cytosol	[e]
ATPtg	Transport, golgi apparatus		758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
BACCL	Biotin metabolism	3141.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
BACCLm	Biotin metabolism	3141.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
BHMT	Glycine, serine, alanine, and threonine metabolism	23743.1 or 635.1	60	0	Inf	L	methionine regeneration, cytosol	[c]
BIOCYTtn	Transport, nuclear		389.018612521151	251.028971152656	1.54969607983845	L	NA	intercompartmental
BPNT2	Nucleotide interconversion	10380.1	758.26565143824	487.593744882922	1.55511767613079	L	NA	[c]
BTND1n	Biotin metabolism	686.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[n]
BTNDm	Biotin metabolism	686.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
BTNPL	Biotin metabolism	3141.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
BTNPLm	Biotin metabolism	3141.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
CAATPS	Transport, extracellular	492.1 or 491.1 or 490.1 or 493.1	758.26565143824	487.593744882922	1.55511767613079	L	NA	intercompartmental
CBR2	Eicosanoid metabolism	873.1	1000	0	Inf	L	prostaglandin synthesis, cytosol	[c]
CDIPTr	Glycerophospholipid metabolism	10423.1 or 10423.2	439.018612521151	291.028971152656	1.50850484328885	L	new to recon	[c]
CDS	Glycerophospholipid metabolism	1040.1 or 8760.1	389.018612521151	251.028971152656	1.54969607983845	L	new to recon	[c]
CE2512te	Transport, extracellular		758.265651438242	487.593744882921	1.5551176761308	L	NA	intercompartmental
CE2537ABCt	Transport, extracellular	376497.1 or 11001.1 or 11000.1 or 10999.1 or 10998.1 or 28965.1	379.132825719121	243.796872441461	1.55511767613079	L	NA	intercompartmental
CE2537ATP	Transport, extracellular		379.132825719121	243.796872441461	1.55511767613079	L	lipid metabolism	intercompartmental
CHLPCTD	Glycerophospholipid metabolism	5130.1 or 9468.1	40	60.0279345461424	0.66635642726059	H	phospholipid metabolism, phosphatidylcholine synthesis, cytosol	[c]
CHOLt4	Citric acid cycle	47.1 or 47.2	757.170655064056	487.593744882922	1.55287196156682	L	NA	[c]
CHSTEROLt	Transport, extracellular	19.1 or (64240.1 and 64241.1)	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
CHSTEROLtg	Transport, golgi apparatus	19.1	758.26565143824	487.593744882922	1.55511767613079	L	NA	intercompartmental
CMPSAS	Aminosugar metabolism	55907.1	389.018612521151	251.028971152656	1.54969607983846	L	NA	[c]
CRMte	Sphingolipid metabolism		399.018612521151	261.028971152656	1.528637264895	L	NA	intercompartmental
CSm	Citric acid cycle	1431.1 or 1431.2	960.154540327129	578.004877077736	1.66115300822626	L	TCA cycle, mitochondria	[m]
CYTDtl	Transport, lysosomal	55315.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
DAGK_hs	Glycerophospholipid metabolism	9162.1 or 1607.1 or 8525.2 or 160851.1 or 1608.1 or 1607.2 or 8525.1 or 8527.1 or 1606.1 or 160851.2 or 8526.1 or 8525.3 or 1607.1 or 8527.2 or 1609.1	761.598984771576	490.174390044212	1.55373067267526	L	new to recon	[c]
DCATDc	Fatty acid oxidation	11001.1	758.265651438241	487.59374488292	1.5551176761308	L	NA	intercompartmental
DCSPTN1t	Transport, extracellular		758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
DGCHOLte	Transport, extracellular		10	20	0.5	H	NA	intercompartmental
DHCHOLESTANATEtm	Transport, peroxisomal		758.26565143824	487.593744882922	1.55511767613079	L	NA	intercompartmental
DMGLYtr	Transport, extracellular		60	0	Inf	L	NA	intercompartmental
DM_atp_c_	Exchange/demand reaction		758.265651438241	487.593744882921	1.5551176761308	L	purine degradation, cytosol 	[c]
DOCOSACTDe	Fatty acid oxidation		758.265651438242	487.593744882921	1.5551176761308	L	NA	intercompartmental
DOCOSACTDr	Fatty acid oxidation		389.01861252115	251.028971152655	1.54969607983846	L	NA	intercompartmental
DUMPtn	Transport, nuclear		389.018612521151	251.028971152655	1.54969607983846	L	NA	intercompartmental
DURIPP	Nucleotide interconversion	4860.1 or 151531.1	1648.30600494224	1025.18748976584	1.60780932404737	L	pyrimidine catabolism, cytosol	[c]
DUTPDPm	Nucleotide interconversion	1854.1 or 3704.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[m]
DUTPDPn	Nucleotide interconversion	1854.1	389.018612521151	251.028971152655	1.54969607983846	L	NA	[n]
ELAIDt	Transport, extracellular	11001.1	778.26565143824	487.59374488292	1.59613542955748	L	NA	intercompartmental
ENO	Glycolysis/gluconeogenesis	2023.1 or 2027.1 or 2027.2 or 2026.1	871.469711390556	487.916325528083	1.78610484174176	L	glycolysis	[c]
EX_2m3hvac[e]	Exchange/demand reaction		251.359766097589	154.987008018834	1.62181184933285	L	NA	[e]
EX_3hpp[e]	Exchange/demand reaction		516.535869350245	308.131496253324	1.67634881740744	L	NA	[e]
EX_dgchol[e]	Exchange/demand reaction		10	20	0.5	H	NA	[e]
EX_dmgly[e]	Exchange/demand reaction		60	0	Inf	L	NA	[e]
EX_fru[e]	Exchange/demand reaction		215.148697859193	110.179581747039	1.95270933550241	L	NA	[e]
EX_glcn[e]	Exchange/demand reaction		217.884195805433	130.383248730965	1.67110574346111	L	NA	[e]
EX_glyc_S[e]	Exchange/demand reaction		368.603539136982	241.693976905037	1.52508367753743	L	NA	[e]
EX_glyclt[e]	Exchange/demand reaction		307.1673750644	185.568950930626	1.65527354400593	L	NA	[e]
EX_hxa[e]	Exchange/demand reaction		122.807670614777	78.2695658621585	1.5690347743982	L	NA	[e]
EX_inost[e]	Exchange/demand reaction		230.605075432678	137.031665458061	1.68285975844945	L	NA	[e]
EX_lac_L[e]	Exchange/demand reaction		549.753086419753	345.185185185185	1.59263233190272	L	NA	[e]
EX_meoh[e]	Exchange/demand reaction		60	0	Inf	L	NA	[e]
EX_ppa[e]	Exchange/demand reaction		467.223051657211	287.397268552091	1.62570456570824	L	NA	[e]
EX_pyr[e]	Exchange/demand reaction		557.613835624188	368.601616427378	1.51278185111825	L	NA	[e]
EX_succ[e]	Exchange/demand reaction		455.441598497852	303.113102101585	1.50254672378106	L	NA	[e]
EX_sucsal[e]	Exchange/demand reaction		614.667529523622	402.875049848568	1.52570264590637	L	NA	[e]
FACOAL140i	Fatty acid oxidation	2181.1	389.01861252115	251.028971152655	1.54969607983846	L	fatty acid activation, cytosol	[c]
FACOAL150	Fatty acid oxidation	2182.1 or 2180.1 or 2181.2 or 2181.1	389.018612521152	251.028971152656	1.54969607983846	L	fatty acid activation, cytosol	[c]
FACOAL170	Fatty acid oxidation	2182.1 or 2180.1 or 2181.2 or 2181.1	389.018612521152	251.028971152656	1.54969607983846	L	fatty acid activation, cytosol	[c]
FACOAL180i	Fatty acid oxidation	2181.2 or 51703.1 or 2181.1 or 2180.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL181i	Fatty acid oxidation	2180.1 or 2181.2 or 2181.1 or 2182.1 or 81616.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL1821	Fatty acid oxidation	2180.1 or 2182.1 or 81616.1 or 2181.1	390.685279187817	252.248483347778	1.54881121187625	L	fatty acid activation, cytosol	[c]
FACOAL1831	Fatty acid oxidation	2180.1 or 2182.1 or 2181.1 or 81616.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983846	L	fatty acid activation, cytosol	[c]
FACOAL204	Fatty acid oxidation	2181.2 or 2181.1 or 2180.1 or 2182.1 or 2182.2 or 81616.1	389.018612521152	251.238847130027	1.54840151897297	L	fatty acid activation, cytosol	[c]
FACOAL2251	Fatty acid oxidation	2180.1	389.018612521151	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL244_1	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL245_1	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FACOAL245_2	Fatty acid oxidation	2180.1	389.01861252115	251.028971152656	1.54969607983845	L	fatty acid activation, cytosol	[c]
FAOXC10C10OHm	Fatty acid oxidation	34.1 and 1892.1	583.546893884458	365.328321042046	1.59732180691597	L	betaoxidation	[m]
FAOXC12C12OHm	Fatty acid oxidation	34.1 and 1892.1	583.546893884457	365.328321042046	1.59732180691597	L	betaoxidation	[m]
FAOXC200180m	Fatty acid oxidation	35.1 or 34.1	435.381762029143	277.247151720248	1.57037415651598	L	betaoxidation	[m]
FAOXC80	Fatty acid oxidation	35.1 or 34.1	100.391886359915	61.0517512305584	1.64437357383559	L	octanoate oxidation	[m]
G3PD2m	Glycolysis/gluconeogenesis	2820.1	583.546893884457	365.328321042046	1.59732180691597	L	NA	intercompartmental
GBA	Sphingolipid metabolism	2629.2 or 2629.3 or 2629.4 or 2629.5 or 2629.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
GBA2e	Sphingolipid metabolism	57704.1	389.018612521151	251.028971152656	1.54969607983846	L	NA	[e]
GCALDDm	Glyoxylate and dicarboxylate metabolism	4329.1 or 7915.1 or 8659.1 or 5832.1 or 217.1 or 7915.2 or 219.1 or 8659.2	307.1673750644	185.568950930626	1.65527354400593	L	NA	[m]
GCC2cm	Glycine, serine, alanine, and threonine metabolism	275.1 and 1738.1 and 2731.1 and 2653.1	587.197546531303	382.07163000564	1.53687816738091	L	glycine cleavage, mitochondria	[m]
GGNG	Starch and sucrose metabolism	(8908.1 and 2998.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2997.1)	40.9493276338053	26.4241022265954	1.54969607983845	L	glycogen metabolism	[c]
GLBRAN	Starch and sucrose metabolism	2632.1	40.9493276338053	26.4241022265954	1.54969607983845	L	glycogen metabolism	[c]
GLCNte	Transport, extracellular		217.884195805433	130.383248730964	1.67110574346111	L	NA	intercompartmental
GLGNS1	Starch and sucrose metabolism	(8908.1 and 2997.1) or (2998.1 and 2992.1) or (2997.1 and 2992.1) or (8908.1 and 2998.1)	40.9493276338053	26.4241022265954	1.54969607983845	L	glycogen metabolism	[c]
GLNS	Glutamate metabolism	2752.1 or 51557.1	758.26565143824	487.59374488292	1.5551176761308	L	glutamine metabolism	[c]
GLNtm	Transport, mitochondrial		778.265651438241	507.59374488292	1.53324515773486	L	NA	intercompartmental
GLPASE1	Starch and sucrose metabolism	5834.1 or 5837.1 or 5836.1	50.9493276338052	26.4241022265954	1.92813845469178	L	glycogen metabolism	[c]
GLPASE2	Starch and sucrose metabolism	5834.1 or 5836.1 or 5837.1	50.9493276338054	26.4241022265953	1.92813845469179	L	glycogen metabolism	[c]
GLUDC	Glutamate metabolism	2571.1 or 2572.1 or 2571.2	334.874546773024	210.15663524293	1.59345217145262	L	glutamate degradation, cytosol/ Glutamate Decarboxylase	[c]
GLUNm	Glutamate metabolism	2744.1 or 27165.2 or 27165.1	778.265651438241	507.593744882921	1.53324515773486	L	glutamine metabolism, mitochondria/ glutaminase	[m]
GLYCLTtd	Transport, extracellular		307.1673750644	185.568950930626	1.65527354400593	L	NA	intercompartmental
GLYCLTtm	Transport, mitochondrial		307.1673750644	185.568950930626	1.65527354400593	L	NA	intercompartmental
GLYC_St	Transport, extracellular		368.603539136982	241.693976905037	1.52508367753743	L	NA	intercompartmental
GSNtl	Transport, lysosomal	55315.1	808.265651438241	534.421701872169	1.51241173142249	L	NA	intercompartmental
GTHS	Glutathione metabolism	2937.1	379.13282571912	243.79687244146	1.5551176761308	L	glutathione synthesis	[c]
H2Otg	Transport, golgi apparatus		774.932318104908	509.85180939905	1.51991677546129	L	NA	intercompartmental
HEX1	Glycolysis/gluconeogenesis	3098.3 or 80201.1 or 2645.3 or 3098.4 or 3099.1 or 2645.2 or 3098.5 or 2645.1 or 3098.1 or 3101.1 or 3098.2	479.01861252115	261.028971152656	1.83511665546507	L	glycolysis	[c]
HMGCOASim	Cholesterol metabolism	3158.1	849.098984771572	517.775465313029	1.63989806712498	L	cholesterol synthesis	[m]
HMGLm	Cholesterol metabolism	3155.1 or 54511.1	849.098984771577	517.77546531303	1.63989806712498	L	ketogenesis	[m]
HMGLx	Cholesterol metabolism	3155.1	849.098984771578	517.77546531303	1.63989806712499	L	ketogenesis	[x]
HMR_0188	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152655	1.54969607983846	L	NA	[c]
HMR_0191	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882922	1.5551176761308	L	NA	intercompartmental
HMR_0192	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0193	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0194	Transport, extracellular	19.1	758.265651438241	487.593744882922	1.5551176761308	L	NA	intercompartmental
HMR_0200	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521152	251.028971152656	1.54969607983846	L	NA	[c]
HMR_0203	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0204	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0206	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0207	Transport, extracellular	19.1	758.265651438238	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0208	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438237	487.593744882922	1.55511767613079	L	NA	intercompartmental
HMR_0209	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521152	251.028971152656	1.54969607983846	L	NA	[c]
HMR_0210	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	390.685279187817	251.028971152656	1.55633541974816	L	NA	[c]
HMR_0211	Transport, extracellular	19.1	758.265651438241	487.593744882922	1.5551176761308	L	NA	intercompartmental
HMR_0214	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0230	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152655	1.54969607983845	L	NA	[c]
HMR_0232	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438243	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0233	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0235	Transport, extracellular	19.1	758.265651438243	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0238	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0239	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0240	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0241	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0242	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0243	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0244	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0245	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0246	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0247	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0253	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0254	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0255	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0256	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	254.809458957534	1.52670396975327	L	NA	[c]
HMR_0257	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0259	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0260	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0267	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0268	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	397.351945854485	251.028971152656	1.58289277938699	L	NA	[c]
HMR_0270	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438243	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0273	Transport, extracellular	19.1	758.265651438243	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0278	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882922	1.55511767613079	L	NA	intercompartmental
HMR_0279	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521151	251.028971152656	1.54969607983846	L	NA	[c]
HMR_0280	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152655	1.54969607983845	L	NA	[c]
HMR_0281	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0287	Transport, extracellular	19.1	758.26565143824	487.593744882921	1.55511767613079	L	NA	intercompartmental
HMR_0288	Transport, extracellular	28965.1 or 2170.1 or 376497.1 or 948.1 or 11000.1 or 2169.1 or 2168.1 or 2173.1 or 2171.1 or 10999.1 or 2172.1 or 2167.1 or 646486.1 or 646480.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0289	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521152	251.028971152656	1.54969607983846	L	NA	[c]
HMR_0290	Fatty acid oxidation	11332.1 or 10965.1 or 570.1 or 122970.1 or 641371.1 or 641372.1 or 344967.1	389.01861252115	251.028971152656	1.54969607983845	L	NA	[c]
HMR_0291	Transport, extracellular	19.1	758.265651438241	487.593744882921	1.5551176761308	L	NA	intercompartmental
HMR_0293	Fatty acid synthesis	2182.1 or 23205.1 or 2181.1 or 81616.1 or 11001.1 or 2180.1 or 23305.1 or 51703.1	389.018612521149	0	Inf	L	NA	[c]
