subSystem	disrupted_module	rxnList	MetabolicUnits	Localization	rxnFormula	rxnName	rxnECNumbers
Fatty acid oxidation	FVA_BD_abs	C180CPT1	carnitine shuttle	[c]	crn[c] + stcoa[c]  <=> coa[c] + stcrn[c] 	Production of Stearoylcarnitine	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	C180CPT2	carnitine shuttle	[m]	coa[m] + stcrn[m]  <=> crn[m] + stcoa[m] 	Carnitine O-Stearoyl Transferase	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	FAOXC140	betaoxidation	[m]	6 h2o[m] + 6 nad[m] + 6 coa[m] + 6 fad[m] + tdcoa[m]  -> 6 h[m] + 6 nadh[m] + 7 accoa[m] + 6 fadh2[m] 	Beta Oxidation of Long Chain Fatty Acid	1.3.99.3
Fatty acid oxidation	FVA_BD_abs	FAOXC18480m	betaoxidation	[m]	5 h2o[m] + 5 nad[m] + 5 coa[m] + fad[m] + strdnccoa[m]  -> 5 h[m] + 5 nadh[m] + 5 accoa[m] + fadh2[m] + occoa[m] 	Beta Oxidation of Fatty Acid	4.2.1.74
Fatty acid oxidation	FVA_BD_abs	HMR_0354	NA	[c]	h2o[c] + strdnccoa[c]  -> h[c] + coa[c] + strdnc[c] 	Palmitoyl Coenzyme A Hydrolase	EC:3.1.2.2
Fatty acid oxidation	FVA_BD_abs	HMR_3115	NA	[m]	fad[m] + stcoa[m]  -> fadh2[m] + od2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_BD_abs	HMR_3398	NA	[m]	6 h2o[m] + 6 nad[m] + 6 coa[m] + 5 fad[m] + M00129[m]  -> 6 h[m] + 6 nadh[m] + 7 accoa[m] + 5 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
Fatty acid oxidation	FVA_BD_abs	STRDNCCPT1	carnitine shuttle	[c]	crn[c] + strdnccoa[c]  <=> coa[c] + strdnccrn[c] 	Carnitine O-Palmitoyltransferase	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	r0633	fatty acid synthesis & elongation	[m]	nadp[m] + occoa[m]  <=> h[m] + nadph[m] + HC01415[m] 	Trans-Oct-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	FVA_BD_abs	CLPNDCPT1	carnitine shuttle	[c]	crn[c] + clpndcoa[c]  <=> coa[c] + clpndcrn[c] 	Carnitine O-Palmitoyltransferase	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	CLPNDCPT2	carnitine shuttle	[m]	coa[m] + clpndcrn[m]  <=> crn[m] + clpndcoa[m] 	Carnitine Transferase	
Fatty acid oxidation	FVA_BD_abs	ELAIDCPT1	carnitine shuttle	[c]	crn[c] + od2coa[c]  <=> coa[c] + elaidcrn[c] 	Carnitine O-Palmitoyltransferase	2.3.1.21
Fatty acid oxidation	FVA_BD_abs	FAOXC101x	betaoxidation	[x]	dece3coa[x]  -> dc2coa[x] 	Isomerization (C10:1), Peroxisomal	
Fatty acid oxidation	FVA_BD_abs	FAOXC164C143m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 	Fatty Acid Beta Oxidation (C16:4->C14:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC164C165m	betaoxidation	[m]	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 	Fatty Acid Beta Oxidation (C16:4->C16:5), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC164m	betaoxidation	[m]	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 	Isomerization (C16:4), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC165C164m	betaoxidation	[m]	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 	Fatty Acid Beta Oxidation (C16:5->C16:4), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	FAOXC184C164m	betaoxidation	[m]	h2o[m] + nad[m] + coa[m] + fad[m] + strdnccoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 4hexdtetcoa[m] 	Fatty Acid Beta Oxidation (C18:4->C16:4), Mitochondrial	
Fatty acid oxidation	FVA_BD_abs	HMR_0366	NA	[c]	h2o[c] + clpndcoa[c]  -> h[c] + coa[c] + clpnd[c] 	Palmitoyl Coenzyme A Hydrolase	EC:3.1.2.2
Fatty acid oxidation	FVA_BD_abs	HMR_2611	NA	[c]	2 h[c] + crn[c] + M00129[c]  <=> coa[c] + ttdcrn[c] 	Carnitine O-Palmitoyltransferase	EC:2.3.1.21
Fatty acid oxidation	FVA_BD_abs	HMR_3322	NA	[x]	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 	2, 4-Dienoyl Coenzyme A Reductase (NADPH)	EC:1.3.1.34
Fatty acid oxidation	FVA_BD_abs	HMR_3429	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 5 fad[m] + clpndcoa[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 5 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
Fatty acid oxidation	FVA_BD_abs	HMR_9719	NA	[m]	8 h2o[m] + 8 nad[m] + 8 coa[m] + 4 fad[m] + strdnccoa[m]  -> 8 h[m] + 8 nadh[m] + 9 accoa[m] + 4 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
Fatty acid oxidation	FVA_BD_abs	RE1518X	betaoxidation	[x]	fad[x] + CE0785[x]  -> fadh2[x] + CE2432[x] 	RE1518X	1.3.99.13
Fatty acid oxidation	FVA_BD_abs	RE1520X	betaoxidation	[x]	h2o[x] + C05279[x]  <=> CE2420[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_abs	RE1521X	betaoxidation	[x]	h2o[x] + CE2432[x]  <=> CE2417[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_abs	RE1522X	betaoxidation	[x]	h2o[x] + CE2433[x]  <=> CE2418[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_abs	RE1525X	betaoxidation	[x]	nad[x] + CE2418[x]  <=> h[x] + nadh[x] + CE2422[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	1.1.1.35
Fatty acid oxidation	FVA_BD_abs	RE1526X	betaoxidation	[x]	nad[x] + CE2417[x]  <=> h[x] + nadh[x] + CE2424[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	1.1.1.35
Fatty acid oxidation	FVA_BD_abs	RE1527X	betaoxidation	[x]	nad[x] + CE2420[x]  <=> h[x] + nadh[x] + CE0693[x] 	RE1527X	
Fatty acid oxidation	FVA_BD_abs	RE1532X	betaoxidation	[x]	coa[x] + CE2422[x]  <=> accoa[x] + CE0785[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_abs	RE1533X	betaoxidation	[x]	coa[x] + CE2424[x]  <=> accoa[x] + C05280[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_abs	RE1534X	betaoxidation	[x]	coa[x] + CE0693[x]  <=> accoa[x] + dece4coa[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_abs	RE1573X	betaoxidation	[x]	C05280[x]  <=> C05279[x] 	Dodecenoyl Coenzyme A Isomerase	5.3.3.8
Fatty acid oxidation	FVA_BD_abs	RE3119C	fatty acid synthesis & elongation	[c]	h[c] + nadph[c] + CE4821[c]  <=> nadp[c] + clpndcoa[c] 	RE3119C	
Fatty acid oxidation	FVA_BD_abs	RE3120C	fatty acid synthesis & elongation	[c]	h[c] + tmndnccoa[c] + malcoa[c]  -> co2[c] + coa[c] + CE4819[c] 	RE3120C	
Fatty acid oxidation	FVA_BD_abs	RE3121C	fatty acid synthesis & elongation	[c]	h[c] + nadph[c] + CE4819[c]  <=> nadp[c] + CE4817[c] 	RE3121C	6.2.1.3
Fatty acid oxidation	FVA_BD_abs	RE3122C	fatty acid synthesis & elongation	[c]	CE4817[c]  <=> h2o[c] + CE4821[c] 	RE3122C	6.2.1.24
Fatty acid oxidation	FVA_BD_abs	r0638	fatty acid synthesis & elongation	[m]	nadp[m] + ddcacoa[m]  <=> h[m] + nadph[m] + dd2coa[m] 	Trans-Dodec-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	FVA_BD_abs	r0660	betaoxidation	[m]	3hddcoa[m]  <=> h2o[m] + dd2coa[m] 	(S)-3-Hydroxydodecanoyl Coenzyme A Hydro-Lyase 	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	ACACT4p	betaoxidation	[x]	coa[x] + 3odcoa[x]  -> accoa[x] + occoa[x] 	Acetyl Coenzyme A C-Acetyltransferase (Octanoyl Coenzyme A), Peroxisomal	2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC101x	betaoxidation	intercompartmental	dece3coa[x]  -> dc2coa[x] 	Isomerization (C10:1), Peroxisomal	
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3322	NA	intercompartmental	h[x] + nadh[x] + dec24dicoa[x]  -> nad[x] + dece3coa[x] 	2, 4-Dienoyl Coenzyme A Reductase (NADPH)	EC:1.3.1.34
Fatty acid oxidation	FVA_BD_norm_t1	RE1518X	betaoxidation	intercompartmental	fad[x] + CE0785[x]  -> fadh2[x] + CE2432[x] 	RE1518X	1.3.99.13
Fatty acid oxidation	FVA_BD_norm_t1	RE1520X	betaoxidation	intercompartmental	h2o[x] + C05279[x]  <=> CE2420[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	RE1521X	betaoxidation	intercompartmental	h2o[x] + CE2432[x]  <=> CE2417[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	RE1522X	betaoxidation	intercompartmental	h2o[x] + CE2433[x]  <=> CE2418[x] 	Enoyl Coenzyme A Hydratase	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	RE1525X	betaoxidation	intercompartmental	nad[x] + CE2418[x]  <=> h[x] + nadh[x] + CE2422[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	1.1.1.35
Fatty acid oxidation	FVA_BD_norm_t1	RE1526X	betaoxidation	intercompartmental	nad[x] + CE2417[x]  <=> h[x] + nadh[x] + CE2424[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	1.1.1.35
Fatty acid oxidation	FVA_BD_norm_t1	RE1527X	betaoxidation	intercompartmental	nad[x] + CE2420[x]  <=> h[x] + nadh[x] + CE0693[x] 	RE1527X	
Fatty acid oxidation	FVA_BD_norm_t1	RE1532X	betaoxidation	intercompartmental	coa[x] + CE2422[x]  <=> accoa[x] + CE0785[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	RE1533X	betaoxidation	intercompartmental	coa[x] + CE2424[x]  <=> accoa[x] + C05280[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	RE1534X	betaoxidation	intercompartmental	coa[x] + CE0693[x]  <=> accoa[x] + dece4coa[x] 	Acetyl Coenzyme A C-Acyltransferase	2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	RE1573X	betaoxidation	intercompartmental	C05280[x]  <=> C05279[x] 	Dodecenoyl Coenzyme A Isomerase	5.3.3.8
Fatty acid oxidation	FVA_BD_norm_t1	r0444	carnitine shuttle	[r]	crn[r] + hdcoa[r]  -> coa[r] + hdcecrn[r] 	Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase	2.3.1.21
Fatty acid oxidation	FVA_BD_norm_t1	r0660	betaoxidation	intercompartmental	3hddcoa[m]  <=> h2o[m] + dd2coa[m] 	(S)-3-Hydroxydodecanoyl Coenzyme A Hydro-Lyase 	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	r0727	betaoxidation	[x]	nad[x] + 3hdcoa[x]  -> h[x] + nadh[x] + 3odcoa[x] 	(S)-Hydroxydecanoyl Coenzyme A:NAD+ Oxidoreductase 	1.1.1.35
Fatty acid oxidation	FVA_BD_norm_t1	r0729	betaoxidation	[x]	h2o[x] + dc2coa[x]  -> 3hdcoa[x] 	(S)-Hydroxydecanoyl Coenzyme A Hydro-Lyase 	4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	r0791	fatty acid synthesis & elongation	[m]	h[m] + nadph[m] + hx2coa[m]  <=> nadp[m] + hxcoa[m] 	Trans-Hex-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	FVA_BD_norm_t1	r1262	NA	[r]	arachd[r] + atp[r] + coa[r]  -> amp[r] + ppi[r] + arachdcoa[r] 	Long-Chain-Fatty-Acid---Coa Ligase	6.2.1.3
Fatty acid oxidation	FVA_BD_norm_t1	r1487	NA	[r]	atp[r] + coa[r] + hdcea[r]  -> amp[r] + ppi[r] + hdcoa[r] 	Long-Chain-Fatty-Acid Coenzyme A Ligase	6.2.1.3
Fatty acid oxidation	FVA_BD_norm_t1	ACCOAC	fatty acid synthesis & elongation	[c]	atp[c] + hco3[c] + accoa[c]  -> h[c] + adp[c] + pi[c] + malcoa[c] 	Acetyl Coenzyme A Carboxylase	
Fatty acid oxidation	FVA_BD_norm_t1	HMR_2774	NA	[c]	crn[c] + CE4847[c]  <=> coa[c] + M00263[c] 	Carnitine O-Palmitoyltransferase	EC:2.3.1.21
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3229	NA	[m]	coa[m] + HC10858[m]  -> accoa[m] + M01191[m] 	Acetyl Coenzyme A C-Acyltransferase	EC:2.3.1.16;EC:1.1.1.211
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3230	NA	[m]	fad[m] + M01191[m]  -> fadh2[m] + M03019[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3231	NA	[m]	h2o[m] + M03019[m]  -> M00172[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3232	NA	[m]	nad[m] + M00172[m]  -> h[m] + nadh[m] + M00849[m] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	EC:1.1.1.35;EC:1.1.1.211
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3233	NA	[m]	coa[m] + M00849[m]  -> accoa[m] + M01141[m] 	Acetyl Coenzyme A C-Acyltransferase	EC:2.3.1.16;EC:1.1.1.211
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3425	NA	[m]	10 h2o[m] + 10 nad[m] + 10 coa[m] + 7 fad[m] + CE4847[m]  -> 10 h[m] + 10 nadh[m] + 11 accoa[m] + 7 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	r1472	betaoxidation	[m]	fad[m] + odecoa[m]  -> fadh2[m] + HC10856[m] 	Long-Chain-Acyl Coenzyme A Dehydrogenase	2.3.1.86
Fatty acid oxidation	FVA_BD_norm_t1	r1474	betaoxidation	[m]	h2o[m] + HC10856[m]  -> HC10857[m] 	Long-Chain-Acyl Coenzyme A Dehydrogenase	2.3.1.86
Fatty acid oxidation	FVA_BD_norm_t1	r1477	betaoxidation	[m]	nad[m] + HC10857[m]  -> h[m] + nadh[m] + HC10858[m] 	Long-Chain-Acyl Coenzyme A Dehydrogenase	2.3.1.86
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102C103m	betaoxidation	intercompartmental	fad[m] + dec47dicoa[m]  -> fadh2[m] + dectricoa[m] 	Fatty Acid Beta Oxidation (C10:2->C10:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102C81m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2decdicoa[m]  -> h[m] + nadh[m] + accoa[m] + octe5coa[m] 	Fatty Acid Beta Oxidation (C10:2->C8:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC102m	betaoxidation	intercompartmental	3decdicoa[m]  -> 2decdicoa[m] 	Isomerization (C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC103C102m	betaoxidation	intercompartmental	h[m] + nadph[m] + dectricoa[m]  -> nadp[m] + 3decdicoa[m] 	Fatty Acid Beta Oxidation (C10:3->C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC123C102m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2dodtricoa[m]  -> h[m] + nadh[m] + accoa[m] + dec47dicoa[m] 	Fatty Acid Beta Oxidation (C12:3->C10:2), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC123m	betaoxidation	intercompartmental	3dodtricoa[m]  -> 2dodtricoa[m] 	Isomerization (C12:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC143C123m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + fad[m] + 5tedtricoa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + 3dodtricoa[m] 	Fatty Acid Beta Oxidation (C14:3->C12:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164C143m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + 2hexdtetcoa[m]  -> h[m] + nadh[m] + accoa[m] + 5tedtricoa[m] 	Fatty Acid Beta Oxidation (C16:4->C14:3), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164C165m	betaoxidation	intercompartmental	fad[m] + 4hexdtetcoa[m]  -> fadh2[m] + hexdpencoa[m] 	Fatty Acid Beta Oxidation (C16:4->C16:5), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC164m	betaoxidation	intercompartmental	3hexdtetcoa[m]  -> 2hexdtetcoa[m] 	Isomerization (C16:4), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC165C164m	betaoxidation	intercompartmental	h[m] + nadph[m] + hexdpencoa[m]  -> nadp[m] + 3hexdtetcoa[m] 	Fatty Acid Beta Oxidation (C16:5->C16:4), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC61m	betaoxidation	intercompartmental	hexe3coa[m]  -> hx2coa[m] 	Isomerization (C6:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	FAOXC81C61m	betaoxidation	intercompartmental	h2o[m] + nad[m] + coa[m] + fad[m] + octe5coa[m]  -> h[m] + nadh[m] + accoa[m] + fadh2[m] + hexe3coa[m] 	Fatty Acid Beta Oxidation (C8:1->C6:1), Mitochondrial	
Fatty acid oxidation	FVA_BD_norm_t1	r0652	fatty acid synthesis & elongation	[m]	nadp[m] + tdcoa[m]  <=> h[m] + nadph[m] + HC01412[m] 	Trans-Tetradec-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	FVA_BD_norm_t1	HMR_2608	NA	[c]	coa[c] + M02973[c]  <=> crn[c] + tdcoa[c] 	Carnitine O-Palmitoyltransferase	EC:2.3.1.21
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3070	NA	[x]	o2[x] + arachcoa[x]  -> h2o2[x] + CE2243[x] 	Acyl Coenzyme A Oxidase	EC:1.3.3.6
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3071	NA	[x]	h2o[x] + CE2243[x]  -> CE2247[x] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3072	NA	[x]	nad[x] + CE2247[x]  -> h[x] + nadh[x] + CE2251[x] 	3-Hydroxyacyl Coenzyme A Dehydrogenase	EC:1.1.1.35;EC:1.1.1.211
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3073	NA	[x]	coa[x] + CE2251[x]  -> accoa[x] + stcoa[x] 	Acetyl Coenzyme A C-Acyltransferase	EC:2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3121	NA	[m]	fad[m] + pmtcoa[m]  -> fadh2[m] + hdd2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3128	NA	[m]	fad[m] + tdcoa[m]  -> fadh2[m] + HC01412[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3135	NA	[m]	fad[m] + ddcacoa[m]  -> fadh2[m] + dd2coa[m] 	Medium-Chain Acyl Coenzyme A Dehydrogenase	EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:1.3.99.-;
Fatty acid oxidation	FVA_BD_norm_t1	HMR_3428	NA	intercompartmental	9 h2o[m] + 9 nad[m] + 9 coa[m] + 4 fad[m] + tmndnccoa[m]  -> 9 h[m] + 9 nadh[m] + 10 accoa[m] + 4 fadh2[m] 	Enoyl Coenzyme A Hydratase	EC:4.2.1.17;EC:1.1.1.35;EC:1.1.1.211;EC:1.3.8.7;EC:1.3.8.8;EC:1.3.8.9;EC:2.3.1.16
Fatty acid oxidation	FVA_BD_norm_t1	RE3119C	fatty acid synthesis & elongation	intercompartmental	h[c] + nadph[c] + CE4821[c]  <=> nadp[c] + clpndcoa[c] 	RE3119C	
Fatty acid oxidation	FVA_BD_norm_t1	RE3120C	fatty acid synthesis & elongation	intercompartmental	h[c] + tmndnccoa[c] + malcoa[c]  -> co2[c] + coa[c] + CE4819[c] 	RE3120C	
Fatty acid oxidation	FVA_BD_norm_t1	RE3121C	fatty acid synthesis & elongation	intercompartmental	h[c] + nadph[c] + CE4819[c]  <=> nadp[c] + CE4817[c] 	RE3121C	6.2.1.3
Fatty acid oxidation	FVA_BD_norm_t1	RE3122C	fatty acid synthesis & elongation	intercompartmental	CE4817[c]  <=> h2o[c] + CE4821[c] 	RE3122C	6.2.1.24
Fatty acid oxidation	FVA_BD_norm_t1	TTDCPT2	carnitine shuttle	[m]	coa[m] + ttdcrn[m]  <=> crn[m] + tdcoa[m] 	Carnitine Transferase	
Fatty acid oxidation	FVA_BD_norm_t1	r0308	NA	[x]	h[x] + coa[x] + arachd[x]  -> h2o[x] + arachdcoa[x] 	Palmitoyl Coenzyme A Hydrolase	3.1.2.22
Fatty acid oxidation	FVA_BD_norm_t1	r0309	fatty acid synthesis & elongation	[m]	nadp[m] + pmtcoa[m]  <=> h[m] + nadph[m] + hdd2coa[m] 	Trans-Hexadec-2-Enoyl Coenzyme A Reductase	1.3.1.38
Fatty acid oxidation	MTA_BD_abs	HMR_3205	NA	[m]	coa[m] + M00899[m]  -> accoa[m] + ppcoa[m] 	Acetyl Coenzyme A C-Acyltransferase	EC:2.3.1.16;EC:1.1.1.211
Fatty acid oxidation	MTA_BD_abs	HMR_2705	NA	[c]	crn[c] + CE5155[c]  <=> coa[c] + M01727[c] 	Carnitine O-Palmitoyltransferase	EC:2.3.1.21
